ligand_inchikey,ligand_smiles,drug_names,project_entity_ids,target_chembl_id,gene_symbol,uniprot_accession,target_name,target_class_l1,assay_lane,calibration_status,positive_compounds,negative_compounds,computed_pocket_evidence,pocket_consensus_class,best_method_match_p2rank_rank,best_method_match_fpocket_rank,evidence_compute_route,target_compute_class_zh,class_specific_compute_bundle_zh,wetlab_priority,conplex_score,conplex_rank_within_target,conplex_rank_within_ligand_46,conplex_percentile_within_target,conplex_percentile_within_ligand_46,drugclip_predicted_pocket_cosine_mean,drugclip_predicted_pocket_sixfold_std,drugclip_rank_within_target,drugclip_rank_within_ligand_44,drugclip_percentile_within_target,drugclip_percentile_within_ligand_44,drugclip_formal_eligible,dta_target_percentile_disagreement,dta_ligand_percentile_disagreement,dta_target_top10pct_concordant,dta_bidirectional_top10pct_concordant,sequence_only_fragment_exploratory_top5pct,shortlist_route
AURFZBICLPNKBZ-SYBPFIFISA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,brexanolone,UNII:S39XZ5QV8Y,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.21228573,37.0,13.0,0.9499304,0.73333335,0.14301474,0.14485979,56.0,8.0,0.9235049,0.8372093,True,0.02642554,0.103875935,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
OIGNJSKKLXVSLS-VWUMJDOOSA-N,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,prednisone,UNII:VB0R961HZT,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.25631762,20.0,3.0,0.9735744,0.95555556,0.14959995,0.12823135,42.0,7.0,0.94297636,0.8604651,True,0.030598044,0.09509045,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
BQEJAAIPKDQEPV-MXHGPKCJSA-N,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,difluprednate,UNII:S8A06QG2QE,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.18536597,48.0,9.0,0.9346314,0.82222223,0.13416432,0.07646265,70.0,4.0,0.90403336,0.9302325,True,0.030598044,0.10801029,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,progesterone,UNII:4G7DS2Q64Y,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.29139578,9.0,12.0,0.9888734,0.75555557,0.15818433,0.15654156,32.0,6.0,0.95688456,0.88372093,True,0.03198886,0.12816536,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
WYQPLTPSGFELIB-JTQPXKBDSA-N,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,difluprednate,UNII:S8A06QG2QE,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.22147734,34.0,8.0,0.95410293,0.84444445,0.14233412,0.05286044,57.0,4.0,0.922114,0.9302325,True,0.03198892,0.08578807,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
FWLMVFUGMHIOAA-UHFFFAOYSA-N,CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,defactinib,UNII:53O87HA2QU,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.16950886,56.0,19.0,0.9235049,0.6,0.16263749,0.102805875,26.0,3.0,0.9652295,0.95348835,True,0.041724622,0.35348833,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
FBHSPRKOSMHSIF-GRMWVWQJSA-N,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,deflazacort,UNII:KR5YZ6AE4B,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.15377115,68.0,11.0,0.90681505,0.7777778,0.15546896,0.076646864,36.0,3.0,0.9513213,0.95348835,True,0.04450625,0.17571056,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
WWYNJERNGUHSAO-XUDSTZEESA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,levonorgestrel,UNII:5W7SIA7YZW,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.2243973,30.0,14.0,0.9596662,0.71111107,0.13365196,0.13761207,71.0,5.0,0.90264255,0.90697676,True,0.057023644,0.19586569,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
WBGKWQHBNHJJPZ-LECWWXJVSA-N,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,desonide,UNII:J280872D1O,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.16532877,59.0,14.0,0.9193324,0.71111107,0.17249857,0.10447113,17.0,3.0,0.97774684,0.95348835,True,0.05841446,0.24237728,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO,vamorolone,UNII:8XP29XMB43,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.27509105,14.0,12.0,0.98191935,0.75555557,0.13351002,0.13739066,72.0,4.0,0.90125173,0.9302325,True,0.080667615,0.17467695,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
GJJFMKBJSRMPLA-DZGCQCFKSA-N,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,levomilnacipran,UNII:UGM0326TXX,CHEMBL1163124,MAP3K13,O43283,Mitogen-activated protein kinase kinase kinase 13,Enzyme,KINASE_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,30,102,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,71.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,激酶,预测ATP/变构口袋ensemble；历史正负对照校准GNINA；Boltz-2多seed；通过门控后短程MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.11790175,72.0,9.0,0.90125173,0.82222223,0.33064964,0.045287352,43.0,2.0,0.94158554,0.9767442,True,0.040333807,0.15452194,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
PNVNVHUZROJLTJ-UHFFFAOYSA-N,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,venlafaxine,UNII:GRZ5RCB1QG,CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,45.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.4937594,49.0,2.0,0.9332406,0.9777778,0.17272533,0.037675887,47.0,12.0,0.9360223,0.74418604,True,0.0027816892,0.23359174,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
BLJRIMJGRPQVNF-JTQLQIEISA-N,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,timolol,UNII:817W3C6175,CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,45.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.54525566,29.0,1.0,0.961057,1.0,0.19700861,0.061118413,26.0,10.0,0.9652295,0.7906977,True,0.004172504,0.2093023,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccccc1,diphenhydramine,UNII:8GTS82S83M,CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,45.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.48570964,52.0,2.0,0.92906815,0.9777778,0.15633155,0.04537081,59.0,9.0,0.9193324,0.8139535,True,0.009735763,0.16382426,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
KQKPFRSPSRPDEB-UHFFFAOYSA-N,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,sumatriptan,UNII:8R78F6L9VO,CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,45.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.53682387,32.0,3.0,0.95688456,0.95555556,0.17397903,0.05898793,45.0,11.0,0.9388039,0.76744187,True,0.018080652,0.18811369,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2ccccc12,propranolol,UNII:9Y8NXQ24VQ,CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,45.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.55492496,24.0,1.0,0.96801114,1.0,0.28995422,0.05965605,3.0,5.0,0.9972184,0.90697676,True,0.02920723,0.09302324,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
MRBDMNSDAVCSSF-UHFFFAOYSA-N,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,phentolamine,UNII:Z468598HBV,CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,45.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.51562935,41.0,2.0,0.9443672,0.9777778,0.2354669,0.05478485,12.0,2.0,0.984701,0.9767442,True,0.040333807,0.0010336041,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
