arm,variant,seed,panel,scope,pairs,positive,negative,prevalence,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
kdki_inactive,rotate150,20260922,ACTIVITY_EC50,raw_source_assay_disjoint,8644,5962,2682,0.6897269782508099,0.6320515577028865,0.7743732123971663,0.2657970037417967,0.7509578544061303,0.6903723582690372,0.5089485458612976,0.5193275058339792,0.6117093624820358,87,0.8275862068965517,1.199875070851022,433,0.8221709006928406,1.192023694328902,865,0.8092485549132948,1.173288243654901
kdki_inactive,rotate150,20260922,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109,61020,21089,0.7431584844535922,0.6681222487971759,0.839507606380376,0.2316311419699302,0.8072502210433244,0.7481153720091773,0.5168571293091185,0.5193275058339792,0.6550068446199234,822,0.8953771289537713,1.2048266253894657,4106,0.9067218704335119,1.2200922002527896,8211,0.8930702715868957,1.2017224996677878
kdki_inactive,rotate150,20260922,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521,0,521,0.0,,,0.5986071941648579,0.0,,0.8080614203454894,0.5193275058339792,0.7281449807954383,6,0.0,,27,0.0,,53,0.0,
kdki_inactive,rotate150,20260922,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488,324,164,0.6639344262295082,0.8460648148148149,0.8932141003498311,0.13815102458455186,0.8601190476190477,0.8919753086419753,0.2865853658536585,0.5193275058339792,0.6666568921817864,5,0.8,1.2049382716049384,25,0.96,1.445925925925926,49,0.9591836734693877,1.4446963970773494
kdki_inactive,rotate150,20260922,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994,508,486,0.5110663983903421,0.6839518324098377,0.704966623169141,0.2859240856803915,0.5872534142640364,0.7618110236220472,0.5596707818930041,0.5193275058339792,0.6346152687006793,10,1.0,1.9566929133858266,50,0.88,1.7218897637795274,100,0.82,1.6044881889763778
kdki_inactive,rotate150,20260922,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188,166,22,0.8829787234042553,0.7302847754654984,0.9526981961243346,0.17702221334165594,0.9310344827586207,0.8132530120481928,0.45454545454545453,0.5193275058339792,0.7106909103533054,2,1.0,1.1325301204819278,10,1.0,1.1325301204819278,19,1.0,1.1325301204819278
kdki_inactive,rotate150,20260922,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930,934,996,0.48393782383419687,0.6701484739815795,0.6626906225354132,0.3046126559480699,0.5530358449158742,0.8094218415417559,0.6134538152610441,0.5193275058339792,0.6684884367443119,20,0.95,1.9630620985010707,97,0.865979381443299,1.7894434755734123,193,0.8031088082901554,1.6595289079229123
kdki_inactive,rotate150,20260922,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362,0,362,0.0,,,0.6298629306228032,0.0,,0.8425414364640884,0.5193275058339792,0.7606082296215039,4,0.0,,19,0.0,,37,0.0,
kdki_inactive,regression,20260922,AFFINITY_KD_KI,raw_source_assay_disjoint,3485,2448,1037,0.7024390243902439,0.6858908301346895,0.834244693143235,0.2503511278209546,0.7925233644859813,0.6928104575163399,0.42815814850530376,0.43495001727975696,0.550405831578344,35,0.9428571428571428,1.3422619047619049,175,0.9257142857142857,1.3178571428571428,349,0.9111747851002865,1.2971585482330468
kdki_inactive,regression,20260922,ACTIVITY_IC50,raw_source_assay_disjoint,70620,53437,17183,0.7566836590201076,0.7000961239749464,0.8643539120762049,0.2043361428715895,0.8229101699079586,0.814809963134158,0.5453064074957807,0.43495001727975696,0.6640622765089049,707,0.9363507779349364,1.2374401994454256,3531,0.9209855564995751,1.2171341954076762,7062,0.9146134239592183,1.2087130639818853
