arm,variant,panel,scope,pairs,positive,negative,ap,auroc
kdki_inactive,balanced,AFFINITY_KD_KI,raw_source_assay_disjoint,3485.0,2448.0,1037.0,0.8355847453678482,0.6801542807201097
kdki_inactive,balanced,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.6563792236555661,0.6660623579256354
kdki_inactive,balanced,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109.0,61020.0,21089.0,0.8391315399922536,0.6690644033594425
kdki_inactive,balanced,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
kdki_inactive,balanced,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521.0,0.0,521.0,,
kdki_inactive,binary,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9359650144891116,0.7617287331142752
kdki_inactive,binary,ACTIVITY_EC50,raw_source_assay_disjoint,8644.0,5962.0,2682.0,0.7892076155453052,0.6462596652608787
kdki_inactive,binary,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.7126588573375251,0.6750125563008328
kdki_inactive,binary,ACTIVITY_IC50,raw_source_assay_disjoint,70620.0,53437.0,17183.0,0.853449689932587,0.679841040064332
kdki_inactive,binary,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.9157399964582845,0.8645300110408511
kdki_inactive,binary,AFFINITY_KD_KI,raw_source_assay_disjoint,3485.0,2448.0,1037.0,0.8391711806662511,0.6837616180619897
kdki_inactive,binary,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.6875481232699842,0.6736519597304277
kdki_inactive,binary,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109.0,61020.0,21089.0,0.8422352698912859,0.6734207929428045
kdki_inactive,binary,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
kdki_inactive,binary,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521.0,0.0,521.0,,
kdki_inactive,continue_A,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9593360905869329,0.7775648046732385
kdki_inactive,continue_A,ACTIVITY_EC50,raw_source_assay_disjoint,8644.0,5962.0,2682.0,0.8026395902517648,0.659992446985686
kdki_inactive,continue_A,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.7158335272794768,0.6899741313200046
kdki_inactive,continue_A,ACTIVITY_IC50,raw_source_assay_disjoint,70620.0,53437.0,17183.0,0.8566846371791671,0.6840454789880422
kdki_inactive,continue_A,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.905170249302392,0.8622057864097159
kdki_inactive,continue_A,AFFINITY_KD_KI,raw_source_assay_disjoint,3485.0,2448.0,1037.0,0.8351963545862192,0.675579603158096
kdki_inactive,continue_A,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.6464507336051036,0.6548288084529409
kdki_inactive,continue_A,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109.0,61020.0,21089.0,0.8455999128243709,0.6778166770043065
kdki_inactive,continue_A,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
kdki_inactive,continue_A,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521.0,0.0,521.0,,
kdki_inactive,regression,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.958879675598304,0.7963216502373128
kdki_inactive,regression,ACTIVITY_EC50,raw_source_assay_disjoint,8644.0,5962.0,2682.0,0.7978924236149977,0.6591178528726512
kdki_inactive,regression,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.7299817940740972,0.6991922113130921
kdki_inactive,regression,ACTIVITY_IC50,raw_source_assay_disjoint,70620.0,53437.0,17183.0,0.8628902070660421,0.696882797299669
kdki_inactive,regression,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.904652629652326,0.8650946000200742
kdki_inactive,regression,AFFINITY_KD_KI,raw_source_assay_disjoint,3485.0,2448.0,1037.0,0.838881598566922,0.692634308893385
kdki_inactive,regression,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.612572635627215,0.6412584671304776
kdki_inactive,regression,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109.0,61020.0,21089.0,0.849245333784776,0.6877513778248634
kdki_inactive,regression,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
kdki_inactive,regression,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521.0,0.0,521.0,,
kdki_inactive,rotate150,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9364387581960946,0.734163928441037
kdki_inactive,rotate150,ACTIVITY_EC50,raw_source_assay_disjoint,8644.0,5962.0,2682.0,0.7778603943179089,0.6361379548308398
kdki_inactive,rotate150,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.7092579040623068,0.6852594428782822
kdki_inactive,rotate150,ACTIVITY_IC50,raw_source_assay_disjoint,70620.0,53437.0,17183.0,0.8504125198608077,0.673978235191484
kdki_inactive,rotate150,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.9042183867938048,0.8588496185887785
kdki_inactive,rotate150,AFFINITY_KD_KI,raw_source_assay_disjoint,3485.0,2448.0,1037.0,0.826351624181335,0.6596297162923886
kdki_inactive,rotate150,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.6778615921220695,0.678187231438244
kdki_inactive,rotate150,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109.0,61020.0,21089.0,0.8388267536427138,0.6673312688463641
kdki_inactive,rotate150,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
kdki_inactive,rotate150,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521.0,0.0,521.0,,
