system_id,cluster,native_contact_ap,native_distance_mae
6crh__1__1.A__1.E_1.F_1.I,c31,0.3408679956432246,1.8064361810684204
3c35__1__1.B__1.T_1.U,c7,0.6709096837986053,0.8495490550994873
6dio__2__1.C_2.C__2.HA_2.IA,c248,0.542704861331271,1.5524606704711914
3c35__1__1.A__1.J_1.K,c7,0.6891264527644123,0.8335759043693542
6dio__1__1.A_1.B__1.E_1.I_1.O,c248,0.579792321449558,1.2550833225250244
6dio__2__1.C_2.C__1.HA_1.IA,c248,0.5410656111336443,1.6382482051849365
6dio__3__2.A_2.B__2.E_2.I_2.O,c248,0.5775375078068054,1.2785555124282837
6dio__3__1.A_1.B__1.E_1.I_1.O,c248,0.5614352372108229,1.2811685800552368
6dio__3__2.C_3.C__2.HA_2.IA,c248,0.5369313023233119,1.4801684617996216
1duv__1__1.A_1.C__1.D,c103,0.27970676112633847,2.2836151123046875
4bdr__1__1.A__1.C,c7,0.6049746729760443,0.8823714256286621
4e91__1__1.A__1.C,c1996,0.46634494814105903,1.8462629318237305
6dio__3__2.C_3.C__3.HA_3.IA,c248,0.5305591372992055,1.524115800857544
1ejh__2__1.B__1.J,c326,0.8164524754592501,1.2150863409042358
1ejh__3__1.C__1.K,c326,0.8228544320592095,1.2321738004684448
1duv__1__1.B_1.C__1.G,c103,0.23704600797299435,2.515657424926758
4e0x__1__2.B__2.H,c7,0.6946857477468957,0.9044522047042847
4e0x__1__1.B__1.H,c7,0.698289845417087,0.8811637759208679
4bdr__1__1.B__1.F,c7,0.6722498493142306,0.8271967172622681
4e91__2__1.B__1.I,c1996,0.4357995110886039,1.6640524864196777
4d0t__3__1.A__1.I_1.L,c186,0.67284430314362,1.0434653759002686
3dds__1__1.B__1.I,c33,0.7495542439577801,0.8577299118041992
7dia__1__1.A__1.D_1.E_1.G,c10526,0.4118414859028585,1.8807799816131592
4c9g__1__1.A__1.B,c2097,0.20907153148108645,2.2846481800079346
4d0t__3__1.D__1.U_1.V,c186,0.6603299825702471,1.0896068811416626
4e92__1__1.A__1.C,c1996,0.49981166009375516,1.4461768865585327
4e92__3__1.A_1.B__1.C,c1996,0.5927080292047145,1.2331721782684326
4d0z__2__1.A__1.I_1.M_1.U,c186,0.5886743765973521,1.3030856847763062
5ean__1__1.A__1.E,c602,0.59410717400907,1.049194097518921
3eb3__1__1.A_3.A__1.C,c4653,0.5679327512673912,0.8526850938796997
3ddw__1__1.B__1.H,c33,0.7706935779953177,0.8387786746025085
5dnl__1__1.A_1.B_1.C__1.G_1.H_1.I,c89,0.6337413778435251,0.7362339496612549
5ei3__1__1.A__1.C_1.D,c326,0.339635796918609,1.6641006469726562
4d0z__4__1.D__1.IA_1.JA,c186,0.5509609867450408,1.318792700767517
4d0z__5__1.F__1.HB_1.IB,c186,0.5367762613308373,1.3853168487548828
3er9__1__1.B__1.C,c3509,0.127836997500653,3.1994781494140625
5djg__1__1.A__1.B_1.C_1.D,c414,0.42347109331591265,1.2321385145187378
4e1b__1__1.A__1.B_1.C,c1652,0.5585820176333711,1.0028644800186157
1frp__1__2.A_2.B__2.C_2.D,c141,0.6189573447907758,1.0410698652267456
1frp__1__2.A_2.B__2.F_2.G,c141,0.5360437892025888,1.1026018857955933
5dnl__1__1.A_1.B_4.A__1.D_1.E_1.F,c89,0.5787378826205709,0.7969958186149597
5dnl__1__1.A_3.A_3.B__3.D_3.E_3.F,c89,0.6036820082696767,0.7877205610275269
3e7j__1__1.A__1.C_1.I,c3318,0.12218432911252905,3.196967601776123
5ean__1__2.A__2.E,c602,0.5647520281596691,1.0631670951843262
4doc__1__1.A__1.E_1.F_1.N,c31,0.5383943433711741,1.2540900707244873
2far__2__1.B__1.H_1.I_1.K,c2457,0.3734816314639745,1.8239445686340332
5dji__1__1.A__1.B_1.C_1.D_1.E,c414,0.45004134200576457,1.0670106410980225
5a1l__2__1.B__1.O_1.P,c1133,0.3476424757704533,1.9311246871948242
5dnl__1__1.B_4.C_8.C__4.J_4.K_4.L,c89,0.6439343443214716,0.7440906763076782
5dnl__1__1.C_3.B_6.C__1.J_1.K_1.L,c89,0.6079941615995627,0.7597162127494812
2faq__2__1.B__1.H_1.I_1.K,c2457,0.6682349342287215,1.3531193733215332
2far__1__1.A__1.C_1.D_1.G,c2457,0.43551126934176665,1.6265949010849
2f3b__1__1.A_2.A__1.B_1.D_1.E_1.F_1.G,c141,0.6918677279820247,0.7940737009048462
1f1b__1__1.A_2.A__1.E,c103,0.3840564575475124,1.6393111944198608
5dnl__1__2.A_2.B_2.C__2.G_2.H_2.I,c89,0.6120020701874411,0.7500588893890381
5dnl__1__2.A_2.B_3.A__2.D_2.E_2.F,c89,0.5992038213906677,0.7733816504478455
5dnl__1__1.C_6.C_8.B__6.J_6.K_6.L,c89,0.630880508385085,0.7599551677703857
7a1j__1__1.A__1.B_1.H,c201,0.18742995151402558,1.884427785873413
5eo2__2__1.B_1.C__1.H,c5274,0.5461703893535264,0.9529552459716797
2f3b__1__1.A_2.A__2.B_2.D_2.E_2.F_2.G,c141,0.6892633706671055,0.8265863656997681
2faq__1__1.A__1.C_1.D_1.G,c2457,0.6493648557596775,1.255670428276062
2f3b__1__3.A_4.A__3.B_3.D_3.E_3.F_3.G,c141,0.7012941767939614,0.8253436088562012
3f64__1__1.A__1.B,c1940,0.3782278627279722,1.6300853490829468
5dnl__1__2.A_4.A_4.B__4.D_4.E_4.F,c89,0.5982438436788495,0.7854706048965454
5el9__1__1.A_11.A_13.A__1.B_1.C_1.D,c89,0.659386786657998,0.7530295252799988
7a1j__1__2.A__2.B_2.H,c201,0.19544672009168307,1.831976294517517
5el9__1__1.A_13.A_23.A__13.B_13.C_13.D,c89,0.6913186403197804,0.7156549692153931
1f1b__1__1.A_3.A__3.E,c103,0.402090563657757,1.5511116981506348
2ex1__1__1.A__1.B,c1327,0.8329296533024698,0.6410751342773438
2f3b__1__3.A_4.A__4.B_4.D_4.E_4.F_4.G,c141,0.6908687179909786,0.8137227296829224
4ehy__1__1.A__1.B_1.D,c5397,0.5525430314564085,0.882440447807312
1fc0__1__1.A__1.C,c33,0.6723744199186914,0.906051516532898
5dnl__1__2.B_3.C_7.C__3.J_3.K_3.L,c89,0.6454850225526647,0.7394818067550659
5dnl__1__2.C_4.B_5.C__2.J_2.K_2.L,c89,0.604667449314006,0.7684710025787354
5dnl__1__2.C_5.C_7.B__5.J_5.K_5.L,c89,0.6085178605076299,0.7575428485870361
5el9__1__1.A_21.A_8.A__8.B_8.C_8.D,c89,0.680893089589824,0.7372006773948669
5el9__1__12.A_18.A_5.A__12.B_12.C_12.D,c89,0.6719345059587337,0.7452629804611206
5el9__1__10.A_14.A_2.A__2.B_2.C_2.D,c89,0.6859861372604837,0.7242363691329956
4fgz__1__1.A__1.C,c5754,0.2247803030795842,2.380286931991577
4f5n__1__1.A__1.H,c31,0.46357319108242656,1.2334959506988525
1flm__1__1.A_1.B__1.C,c1089,0.7912926098713458,0.8100085258483887
1flm__1__1.A_1.B__1.D,c1089,0.7851341005966787,0.8025858998298645
5el9__1__10.A_16.A_19.A__19.B_19.C_19.D,c89,0.6784372009547865,0.7237983345985413
5dnl__1__3.C_6.B_7.C__7.J_7.K_7.L,c89,0.6089423953608069,0.7615221738815308
5dnl__1__3.A_3.B_3.C__3.G_3.H_3.I,c89,0.6166721327877519,0.7581993341445923
5el9__1__10.A_19.A_6.A__10.B_10.C_10.D,c89,0.6769510333573678,0.745772123336792
5el9__1__11.A_15.A_17.A__17.B_17.C_17.D,c89,0.6661884404329761,0.7532257437705994
6e3v__1__1.A__1.E_1.F_1.I,c31,0.5850563293999014,1.0527794361114502
2fbw__2__1.F_1.G_1.H__1.JJ,c270,0.3727159211135008,1.74749755859375
5eo2__3__1.E_1.F__1.L,c5274,0.526029934797425,1.0145173072814941
2f3d__1__1.A_2.A__1.B_1.C_1.D_1.E_1.F,c141,0.7345036049129655,0.7323740720748901
1f1b__1__1.C_2.C__2.G,c103,0.4461225653029998,1.4011820554733276
