排名,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,是否同原适应症领域,是否同已知靶点家族
442,二级复核,跨大领域老药新用,Maraviroc,感染性疾病,Infectious Disease,SCN5A,心律失常,cardiac arrhythmia,心血管,44.24004035242666,0.44744533,66,0.7863374052930366,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,否,否
443,二级复核,跨大领域老药新用,Regadenoson,心血管,Cardiovascular,FAAH,,,免疫/炎症,44.2380326,0.22652927,47,0.0,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,否,否
444,二级复核,跨大领域老药新用,Ulipristal Acetate,内分泌/代谢,Endocrinology/Metabolic,BRAF,黑色素瘤,melanoma,实体瘤,44.23297133333333,0.3121351,31,0.819548256089721,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,否,否
445,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,AKT2,乳腺癌,breast cancer,实体瘤,44.23023893429436,0.42144808,43,0.5731553422649348,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
446,二级复核,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,FGFR1,精神分裂症,schizophrenia,神经/精神,44.116658193797164,0.44973454,31,0.2872168737983924,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
447,二级复核,跨大领域老药新用,Methocarbamol,胃肠/消化,Gastroenterology,CACNA1A,,,免疫/炎症,44.04053666666667,0.3080115,53,0.0,离子通道功能,中,PubMed pair审计未见明确报道,0,0,否,否
448,二级复核,同领域同靶点家族扩展,Erdafitinib,肿瘤,Oncology,MET,乳腺癌,breast carcinoma,实体瘤,43.46922873071737,0.31141984,2,0.3230949421059571,激酶生化/细胞,medium,上市后文献有新靶点线索,1,1,是,是
449,二级复核,跨大领域老药新用,Acyclovir,感染性疾病,Infectious Disease,CHEK2,乳腺癌,breast carcinoma,实体瘤,43.416156427377416,0.20991318,9,0.7090462826982556,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
450,二级复核,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,KRAS,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,43.343246666666666,0.421641,23,0.803548887170282,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,否,否
451,二级复核,同领域新靶点/新病种探索,Bicalutamide,肿瘤,Oncology,CDK4,乳腺癌,breast cancer,实体瘤,43.19123738405045,0.54905325,18,0.6307216615133534,激酶生化/细胞,中高,上市后文献有新靶点线索,5,5,是,否
452,二级复核,跨大领域老药新用,Acyclovir,感染性疾病,Infectious Disease,FGFR2,乳腺癌,breast carcinoma,实体瘤,42.780654885248076,0.21382025,3,0.7171426615665811,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
453,二级复核,跨领域但同靶点家族扩展,Lubiprostone,胃肠/消化,Gastroenterology,GABRB3,癫痫,epilepsy,神经/精神,42.76690855671087,0.45257705,29,0.7102213136315941,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,否,是
454,二级复核,跨大领域老药新用,Ozanimod Hydrochloride,神经/精神,Neurology/Psychiatry,AR,前列腺癌,prostate carcinoma,实体瘤,42.62148967592316,0.43722984,8,0.7355895026336221,核受体/转录因子 reporter,high,PubMed pair审计未见明确报道,0,0,否,否
