排名,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,是否同原适应症领域,是否同已知靶点家族
11,第一轮优先,跨领域但同靶点家族扩展,Palbociclib,肿瘤,Oncology,TYK2,银屑病,psoriasis,皮肤/免疫,84.36840680984075,0.4810829,37,0.7222757693262555,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,是
12,第一轮优先,同领域同靶点家族扩展,Afatinib Dimaleate,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,84.0,0.63125384,4,0.8354100756215777,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,是,是
13,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,LYN,乳腺癌,breast cancer,实体瘤,83.80990680775645,0.45665708,6,0.4370033959002865,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,否,否
14,第一轮优先,同领域同靶点家族扩展,Tucatinib,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,82.57495493333333,0.46946332,4,0.8354100756215777,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,是,是
15,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,PTK6,食管鳞癌,esophageal squamous cell carcinoma,实体瘤,82.29863784914879,0.49339902,1,0.2936303814436496,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,否,否
16,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,CHEK2,乳腺癌,breast carcinoma,实体瘤,81.95354136071074,0.5460861,32,0.7090462826982556,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,是,是
17,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,BMPR1A,乳腺癌,breast carcinoma,实体瘤,81.56088906991121,0.5462819,2,0.2915950697738313,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,否,否
18,第一轮优先,跨大领域老药新用,Maraviroc,感染性疾病,Infectious Disease,SLC34A2,肺鳞癌,squamous cell lung carcinoma,实体瘤,81.32386227713619,0.50970215,47,0.3699494345393864,转运体摄取/外排,low,PubMed pair审计未见明确报道,0,0,否,否
19,第一轮优先,跨大领域老药新用,Avibactam Sodium,感染性疾病,Infectious Disease,SLC5A2,慢性肾病,chronic kidney disease,肾脏,81.15657203712217,0.43705928,3,0.6263913616498742,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,否,否
20,第一轮优先,同领域同靶点家族扩展,Cabozantinib S-Malate,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.6794778,4,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,30,29,是,是
21,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.9139769,4,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,7,6,是,是
22,第一轮优先,同领域同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.62431186,6,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,3,1,是,是
23,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,BRAF,黑色素瘤,melanoma,实体瘤,81.0,0.55524075,30,0.819548256089721,激酶生化/细胞,low,上市后文献有新靶点线索,37,36,是,是
24,第一轮优先,同领域同靶点家族扩展,Dacomitinib,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.54986876,4,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,2,1,是,是
25,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,FGFR3,头颈鳞癌,head and neck squamous cell carcinoma,实体瘤,80.74593357802763,0.45653036,7,0.3455340790234503,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,否,否
26,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,BTK,肺鳞癌,squamous cell lung carcinoma,实体瘤,80.62874464780435,0.46554467,4,0.2771848910135263,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,否,否
27,第一轮优先,跨大领域老药新用,Abiraterone Acetate,肿瘤,Oncology,KCND3,心律失常,cardiac arrhythmia,心血管,80.42538807299101,0.5248671,51,0.5522394699107118,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,否,否
28,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,SYK,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,80.36864805149142,0.44111168,10,0.3163008733996184,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,否,否
29,第一轮优先,同领域同靶点家族扩展,Regorafenib,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,79.452832,0.4668464,1,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,8,8,是,是
