排名,审计ID,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,是否同原适应症领域,是否同已知靶点家族
54,strict895_0233,第一轮优先,跨大领域老药新用,Palonosetron Hydrochloride,肿瘤,Oncology,SLC6A1,精神分裂症,schizophrenia,神经/精神,76.29476397441098,0.8031629,12,0.2797672877515993,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,,,否,否
55,strict895_0639,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,RET,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,75.8755057242704,0.8601657,8,0.7055780321897952,激酶生化/细胞,medium,上市后文献有新靶点线索,9,9,37979019;29312631;26677336,37979019;29312631;26677336,是,是
56,strict895_0287,第一轮优先,同领域新靶点/新病种探索,Selpercatinib,肿瘤,Oncology,MEN1,乳腺癌,breast carcinoma,实体瘤,75.79125206402318,0.6118933,7,0.3018334250676967,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,是,否
57,strict895_0759,第一轮优先,跨领域但同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,CSF1R,肾细胞癌,renal cell carcinoma,实体瘤,75.54849099261283,0.699764,1,0.6021551552272368,酶/表观遗传生化,medium,上市后文献有新靶点线索,4,1,39367768;33396726;31770593,39367768,否,是
58,strict895_0424,第一轮优先,跨领域但同靶点家族扩展,Palonosetron Hydrochloride,肿瘤,Oncology,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,75.26503418496569,0.7315058,27,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,是
59,strict895_0271,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,LCK,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,75.11160462872733,0.36284697,55,0.3783146383138076,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,,,否,否
60,strict895_0543,第一轮优先,跨领域但同靶点家族扩展,Palonosetron Hydrochloride,肿瘤,Oncology,SCN5A,心律失常,cardiac arrhythmia,心血管,74.69259161909332,0.60582685,60,0.7863374052930366,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,,,否,是
61,strict895_0004,第一轮优先,跨大领域老药新用,Ombitasvir,感染性疾病,Infectious Disease,IDH2,浆细胞骨髓瘤,plasma cell myeloma,血液肿瘤/血液病,73.28174055653224,0.32210785,1,0.2925944099199518,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
62,strict895_0182,第一轮优先,跨大领域老药新用,Raltegravir Potassium,感染性疾病,Infectious Disease,SLC34A2,肺鳞癌,squamous cell lung carcinoma,实体瘤,72.73919974380286,0.38032866,7,0.3699494345393864,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,,,否,否
63,strict895_0209,第一轮优先,跨大领域老药新用,Siponimod,神经/精神,Neurology/Psychiatry,NOX4,动脉粥样硬化,atherosclerosis,心血管,72.67940616495132,0.46716738,4,0.0982931154793176,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否
64,strict895_0820,第一轮优先,同领域同靶点家族扩展,Neratinib Maleate,肿瘤,Oncology,KDR,肝细胞癌,hepatocellular carcinoma,实体瘤,72.49571732357533,0.26954842,12,0.6777833062329777,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,是,是
65,strict895_0653,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,KRAS,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,72.0,0.64690065,2,0.803548887170282,酶/表观遗传生化,medium,上市后文献有新靶点线索,18,18,41537704;41374970;41255652,41537704;41374970;41255652,是,是
66,strict895_0184,第一轮优先,跨大领域老药新用,Etravirine,感染性疾病,Infectious Disease,LCK,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,71.065406295394,0.27614272,13,0.3783146383138076,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,,,否,否
67,strict895_0667,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,KIT,黑色素瘤,melanoma,实体瘤,70.72632779550207,0.92742383,2,0.4767256798000925,激酶生化/细胞,medium,上市后文献有新靶点线索,96,91,41075192;40965696;40902132,41075192;40965696;40902132,是,是
68,strict895_0472,第一轮优先,跨领域但同靶点家族扩展,Abiraterone Acetate,肿瘤,Oncology,NOX4,动脉粥样硬化,atherosclerosis,心血管,70.21159509828465,0.646334,8,0.0982931154793176,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,否,是
69,strict895_0254,第一轮优先,跨大领域老药新用,Palonosetron Hydrochloride,肿瘤,Oncology,SLC29A1,,,实体瘤,70.0,0.7837953,15,0.0,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,,,否,否
70,strict895_0171,第一轮优先,跨大领域老药新用,Abiraterone Acetate,肿瘤,Oncology,SLC29A1,,,实体瘤,70.0,0.5966999,18,0.0,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,,,否,否
71,strict895_0574,第一轮优先,同领域同靶点家族扩展,Bosutinib Monohydrate,肿瘤,Oncology,EPHA3,肝细胞癌,hepatocellular carcinoma,实体瘤,69.81503089327799,0.8254985,7,0.2140013730345777,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,是,是
72,strict895_0216,第一轮优先,跨领域但同靶点家族扩展,Larotrectinib Sulfate,肿瘤,Oncology,ACVRL1,动脉粥样硬化,atherosclerosis,心血管,69.23814239285582,0.5180267,15,0.0550285507935923,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,是
73,strict895_0725,第一轮优先,跨大领域老药新用,Ribociclib Succinate,肿瘤,Oncology,KCND3,心律失常,cardiac arrhythmia,心血管,69.13743773965768,0.25811535,58,0.5522394699107118,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
74,strict895_0434,第一轮优先,跨领域但同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,FLT1,慢性肾病,chronic kidney disease,肾脏,68.85234446805461,0.57920015,8,0.0378819763579827,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,是
75,strict895_0263,第一轮优先,跨领域但同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,PDGFRB,慢性肾病,chronic kidney disease,肾脏,68.73320638540244,0.6456682,5,0.032586950462331,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,是
76,strict895_0705,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,PDGFRB,乳腺癌,breast cancer,实体瘤,68.63089713024608,0.9373275,1,0.4280398724553814,酶/表观遗传生化,medium,上市后文献有新靶点线索,9,8,32567826;30374686;29312631,32567826;30374686;29312631,是,是
77,strict895_0151,第一轮优先,跨大领域老药新用,Mifepristone,内分泌/代谢,Endocrinology/Metabolic,TRPV3,银屑病,psoriasis,皮肤/免疫,68.43822266930911,0.47951007,27,0.0619741956729978,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
78,strict895_0551,第一轮优先,同领域同靶点家族扩展,Bosutinib Monohydrate,肿瘤,Oncology,ITK,前列腺癌,prostate cancer,实体瘤,68.4008831309955,0.5597129,19,0.106705916933133,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,,,是,是
79,strict895_0536,第一轮优先,同领域同靶点家族扩展,Bosutinib Monohydrate,肿瘤,Oncology,EPHA2,乳腺癌,breast cancer,实体瘤,68.31318155239705,0.8254985,5,0.1472525134398691,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,是,是
80,strict895_0752,第一轮优先,跨大领域老药新用,Ulipristal Acetate,内分泌/代谢,Endocrinology/Metabolic,KCNA5,心律失常,cardiac arrhythmia,心血管,67.59473717937458,0.25003633,64,0.5004314864907219,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
81,strict895_0613,第一轮优先,同领域同靶点家族扩展,Trifarotene,肿瘤,Oncology,ESR2,乳腺癌,breast carcinoma,实体瘤,67.4215235219576,0.48625293,2,0.4916912646795965,核受体/转录因子 reporter,中高,PubMed pair审计未见明确报道,0,0,,,是,是
82,strict895_0190,第一轮优先,跨大领域老药新用,Givinostat Hydrochloride,肿瘤,Oncology,PDGFRB,慢性肾病,chronic kidney disease,肾脏,66.46764171873579,0.3657379,6,0.032586950462331,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否
83,strict895_0245,第一轮优先,跨领域但同靶点家族扩展,Palbociclib,肿瘤,Oncology,ATP2A2,银屑病,psoriasis,皮肤/免疫,66.19889733474713,0.4590822,50,0.0048175408035761,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,是
84,strict895_0308,第一轮优先,跨大领域老药新用,Mifepristone,内分泌/代谢,Endocrinology/Metabolic,EZH2,乳腺癌,breast cancer,实体瘤,65.50540963375575,0.40453273,63,0.1760243955743292,酶/表观遗传生化,中,上市后文献有新靶点线索,1,1,23874806,23874806,否,否
85,strict895_0736,第一轮优先,跨大领域老药新用,Ribociclib Succinate,肿瘤,Oncology,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,65.35698805163236,0.20197044,90,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
86,strict895_0499,第一轮优先,同领域新靶点/新病种探索,Cyclobenzaprine Hydrochloride,神经/精神,Neurology/Psychiatry,SV2A,脊髓损伤,spinal cord injury,免疫/炎症,64.5660198807393,0.3581714,27,0.2748750169217469,转运体摄取/外排,低,PubMed pair审计未见明确报道,0,0,,,是,否
87,strict895_0329,第一轮优先,跨大领域老药新用,Dasabuvir Sodium,感染性疾病,Infectious Disease,IGF1R,肝细胞癌,hepatocellular carcinoma,实体瘤,64.07840827213725,0.23142639,5,0.2049708180209151,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,否,否
88,strict895_0214,第一轮候补,跨大领域老药新用,Etonogestrel,感染性疾病,Infectious Disease,BRAF,黑色素瘤,melanoma,实体瘤,75.85153466666667,0.4968186,29,0.819548256089721,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,,,否,否
89,strict895_0476,第一轮候补,同领域新靶点/新病种探索,Palbociclib,肿瘤,Oncology,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,70.07855926666667,0.45882627,51,0.8577261614555013,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,是,否
90,strict895_0002,第一轮候补,跨大领域老药新用,Doravirine,未知,,AR,前列腺癌,prostate cancer,实体瘤,70.0,0.52607393,8,0.8026045909519542,核受体/转录因子 reporter,medium,PubMed pair审计未见明确报道,0,0,,,否,否
91,strict895_0003,第一轮候补,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,AR,前列腺癌,prostate cancer,实体瘤,70.0,0.52607393,8,0.8026045909519542,核受体/转录因子 reporter,medium,PubMed pair审计未见明确报道,0,0,,,否,否
92,strict895_0501,第一轮候补,同领域新靶点/新病种探索,Larotrectinib Sulfate,肿瘤,Oncology,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,69.92731866666666,0.4555854,58,0.8577261614555013,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,是,否
93,strict895_0088,第一轮候补,跨大领域老药新用,Givinostat Hydrochloride,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,69.52306373333333,0.38263708,2,0.8245011238749937,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否
