panel,scope,direction,model,seed,ap,auroc,reciprocal_rank,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,queries,queries_at_20
AFFINITY_KD_KI,all,drug_to_target,all_inactive,20260923,0.5737108301143824,0.7635470428519701,0.7611388949162629,0.6666666666666666,0.12914270103050687,0.6666666666666666,0.5333333333333333,0.3912658757748413,0.6145319245619064,0.4462962962962963,0.5865573392259124,0.6328752305478466,0.215,0.45475939515350444,0.4371181027030745,54,30
AFFINITY_KD_KI,all,drug_to_target,kdki_inactive,20260921,0.6038730982235562,0.8304843121090579,0.7375701459034792,0.6481481481481481,0.10807468502551883,0.6481481481481481,0.5703703703703704,0.4227791005455384,0.6409305666536628,0.4611111111111111,0.6162721895906536,0.6506292499395441,0.2533333333333333,0.4892655994191442,0.45885795397069745,54,30
AFFINITY_KD_KI,all,drug_to_target,kdki_inactive,20260922,0.56188699905729,0.7692067432233893,0.6656784997158091,0.5925925925925926,0.08421690714610407,0.5925925925925926,0.5222222222222223,0.3731854013396355,0.5768391027389631,0.4425925925925926,0.5662320837427941,0.5999415959866731,0.22666666666666666,0.38320610180155157,0.39252555545121903,54,30
AFFINITY_KD_KI,all,drug_to_target,kdki_inactive,20260923,0.5623127133053158,0.7870403189554471,0.7259286299630214,0.6481481481481481,0.09048801124329511,0.6481481481481481,0.5518518518518518,0.39925979731487393,0.6130182180758147,0.4333333333333333,0.5600097396420938,0.6059224669985256,0.22666666666666666,0.4390228482342982,0.4104386304690543,54,30
AFFINITY_KD_KI,all,drug_to_target,old_production,0,0.5002472092459455,0.5760254373757955,0.7290303362420129,0.6296296296296297,0.09764690942414556,0.6296296296296297,0.4777777777777778,0.3345323066909813,0.5545453861466615,0.4314814814814815,0.5597888046076509,0.5860595303080537,0.24000000000000002,0.44964161878053915,0.4792828646521297,54,30
AFFINITY_KD_KI,all,target_to_drug,all_inactive,20260921,0.6560832841964288,0.7633069441189243,0.6759378569977335,0.5658914728682171,0.043264400244412415,0.5658914728682171,0.6077519379844961,0.27625764441154455,0.6424134484312131,0.5881782945736435,0.4889940609375236,0.685236764410007,0.5715346534653466,0.7047088150963042,0.7272240286136691,516,404
AFFINITY_KD_KI,all,target_to_drug,all_inactive,20260922,0.6527372028366643,0.7188168893027217,0.6947717139458355,0.6085271317829457,0.06465507013393221,0.6085271317829457,0.594186046511628,0.2473384689750149,0.6362345366323897,0.5713178294573643,0.4275167838596936,0.6663303819083115,0.5648514851485148,0.6885670522051892,0.7261511983938673,516,404
AFFINITY_KD_KI,all,target_to_drug,all_inactive,20260923,0.6663695035001742,0.7418700887553155,0.7126745373134151,0.6317829457364341,0.06764487571189587,0.6317829457364341,0.6038759689922482,0.26534171641436616,0.6553152690046112,0.57984496124031,0.45643643524608185,0.6881258173410157,0.5642326732673267,0.6909737989061394,0.7335587621907529,516,404
AFFINITY_KD_KI,all,target_to_drug,kdki_inactive,20260921,0.6966019171624845,0.7637564307737122,0.7488156412040109,0.6744186046511628,0.07640718193997952,0.6744186046511628,0.6368217054263566,0.2956042156485905,0.6992426849730653,0.6036821705426356,0.5051241141835897,0.7317261217654878,0.573019801980198,0.6797972494898454,0.7594812359485354,516,404
AFFINITY_KD_KI,all,target_to_drug,kdki_inactive,20260922,0.6713623736929007,0.7663586058186067,0.7118721817957724,0.622093023255814,0.0635981243446336,0.622093023255814,0.6170542635658914,0.2837176746401385,0.6677825045227459,0.5905038759689922,0.5038555908240995,0.7063206651337312,0.5706683168316832,0.6964994318266015,0.7367608647281311,516,404
AFFINITY_KD_KI,all,target_to_drug,kdki_inactive,20260923,0.6706894678558962,0.7669321656083994,0.7113960560010492,0.622093023255814,0.05470802589810312,0.622093023255814,0.6232558139534884,0.2762212837467378,0.6664396853902865,0.593217054263566,0.5075808844179568,0.7060855233407433,0.5700495049504951,0.6998572964413581,0.7399643694858573,516,404
AFFINITY_KD_KI,all,target_to_drug,old_production,0,0.8058570660595067,0.8038251617316484,0.848763411731042,0.7577519379844961,0.17820877538701926,0.7577519379844961,0.6542635658914729,0.44082293313387455,0.8136854434095439,0.5982558139534884,0.6094633389042406,0.8364560951583166,0.5600247524752475,0.7042947057020423,0.8591031155470806,516,404
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,all_inactive,20260921,0.41674672853079503,0.6946687482540618,0.5344512775163051,0.3695652173913043,0.06690766962506092,0.3695652173913043,0.36086956521739133,0.330580670566797,0.4133551650455524,0.3065217391304348,0.4972804856766516,0.463358956903752,0.15535714285714283,0.40926274015759595,0.31864360555819266,46,28
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,all_inactive,20260922,0.4918923795438989,0.7664150356822913,0.6438531756616579,0.5217391304347826,0.09879678244938683,0.5217391304347826,0.43913043478260866,0.4275740464235945,0.5201747903705052,0.33695652173913043,0.5896077672364894,0.5534076015152605,0.17857142857142858,0.500000426364503,0.4013367291746944,46,28
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,all_inactive,20260923,0.49360787895723396,0.7223834521276642,0.6408485011233797,0.5217391304347826,0.1412045558354211,0.5217391304347826,0.4043478260869566,0.37246588793641894,0.5110056297145055,0.3239130434782609,0.5158577991542065,0.5407448504895537,0.16428571428571428,0.42155294592606257,0.3643848749973408,46,28
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,kdki_inactive,20260921,0.5448473647506201,0.8127458113829193,0.6990781173399716,0.5652173913043478,0.11901147319389285,0.5652173913043478,0.491304347826087,0.4612562868242134,0.5894012907372731,0.3565217391304348,0.5902506155079664,0.6025594550331599,0.19999999999999998,0.5499485262668646,0.4495096861622475,46,28
