panel,scope,direction,model,metric,queries,delta_new_minus_old,ci95_low,ci95_high
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,kdki_inactive,precision_at_5,173,0.008092485549132932,-0.024682080924855503,0.0397013487475915
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,kdki_inactive,recall_at_20,116,0.009093442125928185,-0.010475473913976088,0.028387263564092807
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,kdki_inactive,ndcg_at_20,116,0.012386130839496908,-0.011781960554128395,0.03795163605679099
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,ap,173,0.09300841593365639,0.06606157197887917,0.11967584041330684
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,precision_at_5,173,0.1071290944123314,0.0774566473988439,0.13913294797687858
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,recall_at_20,116,0.05382439298726529,0.036943366182738656,0.07267357876734766
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,ndcg_at_20,116,0.10140524982457778,0.07645971745872386,0.1323764832156049
ACTIVITY_IC50,all,drug_to_target,kdki_inactive,ap,83,-0.1100251923175595,-0.1702306637101685,-0.05002402956301853
ACTIVITY_IC50,all,drug_to_target,kdki_inactive,precision_at_5,83,-0.07309236947791165,-0.11164658634538153,-0.036144578313253024
ACTIVITY_IC50,all,drug_to_target,kdki_inactive,recall_at_20,18,-0.1557789148797921,-0.31377921075837745,-0.03265549579968442
ACTIVITY_IC50,all,drug_to_target,kdki_inactive,ndcg_at_20,18,-0.12017034670289219,-0.21297037609090042,-0.03844761548421003
ACTIVITY_IC50,all,drug_to_target,all_inactive,ap,83,0.05336201661069079,-0.010130660399642423,0.11691252231499488
ACTIVITY_IC50,all,drug_to_target,all_inactive,precision_at_5,83,0.009638554216867478,-0.025722891566265053,0.04819277108433736
ACTIVITY_IC50,all,drug_to_target,all_inactive,recall_at_20,18,-0.04790680404715494,-0.1032215956558062,-0.0027865961199294935
ACTIVITY_IC50,all,drug_to_target,all_inactive,ndcg_at_20,18,-0.013061456416442997,-0.08911937180478843,0.08188430889033073
ACTIVITY_IC50,all,target_to_drug,kdki_inactive,ap,810,-0.03128100063666683,-0.042102599508743024,-0.02032884915251252
ACTIVITY_IC50,all,target_to_drug,kdki_inactive,precision_at_5,810,-0.02979423868312759,-0.04527160493827163,-0.012506172839506191
ACTIVITY_IC50,all,target_to_drug,kdki_inactive,recall_at_20,631,-0.006629299211355726,-0.015568987138331832,0.0028033904217607646
ACTIVITY_IC50,all,target_to_drug,kdki_inactive,ndcg_at_20,631,-0.024512524062502587,-0.03783578331486895,-0.010744836022457203
ACTIVITY_IC50,all,target_to_drug,all_inactive,ap,810,0.09068359587887899,0.0782411833021456,0.10247806491342759
ACTIVITY_IC50,all,target_to_drug,all_inactive,precision_at_5,810,0.10098765432098764,0.0865,0.11736831275720162
ACTIVITY_IC50,all,target_to_drug,all_inactive,recall_at_20,631,0.05420479943736785,0.044715292553004785,0.06404297815976122
ACTIVITY_IC50,all,target_to_drug,all_inactive,ndcg_at_20,631,0.10152320576321534,0.08853668392085048,0.11593779901419657
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,kdki_inactive,ap,38,-0.16157456369296483,-0.2820888872086445,-0.034467149007012934
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,kdki_inactive,precision_at_5,38,-0.08596491228070177,-0.1403947368421053,-0.029824561403508778
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,kdki_inactive,recall_at_20,6,-0.12116402116402115,-0.5211640211640212,0.17883597883597888
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,kdki_inactive,ndcg_at_20,6,-0.09691268256266351,-0.5450984285570245,0.2794667342750662
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,all_inactive,ap,38,0.06956530085995823,-0.05496952243471309,0.19852931667038048
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,all_inactive,precision_at_5,38,0.02456140350877195,-0.03157894736842105,0.0895175438596491
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,all_inactive,recall_at_20,6,-0.1375661375661376,-0.5264550264550265,0.14021164021164015
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,all_inactive,ndcg_at_20,6,-0.05928164180573372,-0.4793736714296395,0.25900582072843215
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,kdki_inactive,ap,748,-0.01145024069771643,-0.022031667554927116,-0.000607265236830331
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,kdki_inactive,precision_at_5,748,-0.011853832442067754,-0.028440285204991103,0.0057085561497326005
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,kdki_inactive,recall_at_20,565,-0.0007719420244079022,-0.012322413103311163,0.010326899450799773
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,kdki_inactive,ndcg_at_20,565,-0.00653630377130805,-0.021015607215031786,0.008596416357529535
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,all_inactive,ap,748,0.12424848162627197,0.11124764109972063,0.1371063583916591
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,all_inactive,precision_at_5,748,0.13618538324420676,0.11960338680926917,0.15339126559714794
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,all_inactive,recall_at_20,565,0.07745950748984089,0.06545478228466994,0.08949716557520603
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,all_inactive,ndcg_at_20,565,0.13960509790425707,0.12412461720519993,0.15477115509435685
AFFINITY_KD_KI,all,drug_to_target,kdki_inactive,ap,54,0.0757770609494418,0.012408257337581576,0.1374621643367971
AFFINITY_KD_KI,all,drug_to_target,kdki_inactive,precision_at_5,54,0.07037037037037036,-0.011111111111111117,0.15314814814814806
AFFINITY_KD_KI,all,drug_to_target,kdki_inactive,recall_at_20,30,-0.012476768962207825,-0.07916000119394379,0.04489538017593068
AFFINITY_KD_KI,all,drug_to_target,kdki_inactive,ndcg_at_20,30,-0.05867548468847275,-0.15300932000911105,0.020820943648784947
AFFINITY_KD_KI,all,drug_to_target,all_inactive,ap,54,0.06017602394510178,0.00789643589878449,0.1087028633431399
AFFINITY_KD_KI,all,drug_to_target,all_inactive,precision_at_5,54,0.044444444444444446,-0.030956790123456805,0.1259259259259259
AFFINITY_KD_KI,all,drug_to_target,all_inactive,recall_at_20,30,0.017893850919404635,-0.05394984310131661,0.09807536587294524
AFFINITY_KD_KI,all,drug_to_target,all_inactive,ndcg_at_20,30,-0.03827276847606805,-0.1326325103385313,0.04760601153376944
AFFINITY_KD_KI,all,target_to_drug,kdki_inactive,ap,516,-0.12630581315574615,-0.1568197713599013,-0.09802131437373224
AFFINITY_KD_KI,all,target_to_drug,kdki_inactive,precision_at_5,516,-0.028552971576227406,-0.047419250645994844,-0.009945090439276499
AFFINITY_KD_KI,all,target_to_drug,kdki_inactive,recall_at_20,404,-0.012243379782773976,-0.025211297801417277,0.0010735081936747116
AFFINITY_KD_KI,all,target_to_drug,kdki_inactive,ndcg_at_20,404,-0.11370095882623932,-0.13998179916343864,-0.08584639094326844
AFFINITY_KD_KI,all,target_to_drug,all_inactive,ap,516,-0.14746040254841755,-0.18044298301471723,-0.1170770398542613
AFFINITY_KD_KI,all,target_to_drug,all_inactive,precision_at_5,516,-0.052325581395348854,-0.07390180878552971,-0.03177971576227392
AFFINITY_KD_KI,all,target_to_drug,all_inactive,recall_at_20,404,-0.009544816966164743,-0.02211854366385684,0.005292159881224444
AFFINITY_KD_KI,all,target_to_drug,all_inactive,ndcg_at_20,404,-0.13012511914765082,-0.15688352768454183,-0.10019952759967198
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,kdki_inactive,ap,46,0.168551795676258,0.10833539269278207,0.22566887672744765
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,kdki_inactive,precision_at_5,46,0.1985507246376812,0.127536231884058,0.26670289855072465
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,kdki_inactive,recall_at_20,28,0.14028343217609968,0.05117944728658244,0.2265992113093562
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,kdki_inactive,ndcg_at_20,28,0.11104812228281137,0.003745585363736868,0.20157442869513964
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,all_inactive,ap,46,0.1200470959945354,0.07096280733508772,0.17166401085890912
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,all_inactive,precision_at_5,46,0.1405797101449275,0.07536231884057973,0.20434782608695654
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,all_inactive,recall_at_20,28,0.11388949132079422,0.043678169652282696,0.18429386805140138
AFFINITY_KD_KI,old_train_pair_unseen,drug_to_target,all_inactive,ndcg_at_20,28,0.07406140542746305,-0.029266707749892557,0.16648134092775516
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,kdki_inactive,ap,423,-0.09056824898421095,-0.1270026280341218,-0.057341572036106715
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,kdki_inactive,precision_at_5,423,0.012450748620961377,-0.009144996059889686,0.03247044917257681
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,kdki_inactive,recall_at_20,304,0.0035272186231311113,-0.012370593260839547,0.019515091255835046
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,kdki_inactive,ndcg_at_20,304,-0.08519948275649325,-0.11776406719384838,-0.050524456849356116
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,all_inactive,ap,423,-0.1126474305000876,-0.14857746711837425,-0.07903176323243129
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,all_inactive,precision_at_5,423,-0.009141055949566596,-0.03168242710795903,0.013081166272655619
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,all_inactive,recall_at_20,304,0.01592666715466767,0.0010811586474706028,0.030067343413507523
AFFINITY_KD_KI,old_train_pair_unseen,target_to_drug,all_inactive,ndcg_at_20,304,-0.10021575895725764,-0.13261791660566807,-0.06586435796050359
ALL_ENDPOINT_UNION,all,drug_to_target,kdki_inactive,ap,164,-0.022693044093861293,-0.06626431624466063,0.02257561348672093
ALL_ENDPOINT_UNION,all,drug_to_target,kdki_inactive,precision_at_5,164,-0.009349593495934963,-0.04636178861788619,0.029268292682926834
ALL_ENDPOINT_UNION,all,drug_to_target,kdki_inactive,recall_at_20,73,-0.0734924558850807,-0.14817590943898978,-0.005617004866033031
ALL_ENDPOINT_UNION,all,drug_to_target,kdki_inactive,ndcg_at_20,73,-0.05530456994398275,-0.12318357480859785,0.009132749695797363
ALL_ENDPOINT_UNION,all,drug_to_target,all_inactive,ap,164,0.060442791650349784,0.02017360171041803,0.10089845731266904
ALL_ENDPOINT_UNION,all,drug_to_target,all_inactive,precision_at_5,164,0.03577235772357724,-0.0036686991869918583,0.06752032520325199
ALL_ENDPOINT_UNION,all,drug_to_target,all_inactive,recall_at_20,73,-0.041312993261947796,-0.1041581561146439,0.029397130915436782
ALL_ENDPOINT_UNION,all,drug_to_target,all_inactive,ndcg_at_20,73,-0.021230093494700297,-0.07991749626478194,0.0394291223115817
ALL_ENDPOINT_UNION,all,target_to_drug,kdki_inactive,ap,1215,-0.09295480109432944,-0.10801056353681562,-0.07890016828486172
ALL_ENDPOINT_UNION,all,target_to_drug,kdki_inactive,precision_at_5,1215,-0.07072702331961593,-0.08582441700960221,-0.05596707818930043
ALL_ENDPOINT_UNION,all,target_to_drug,kdki_inactive,recall_at_20,966,-0.029023461820903592,-0.04031865593131554,-0.018425674198451054
ALL_ENDPOINT_UNION,all,target_to_drug,kdki_inactive,ndcg_at_20,966,-0.08108232855669957,-0.09665292136185957,-0.06680167541958651
ALL_ENDPOINT_UNION,all,target_to_drug,all_inactive,ap,1215,0.012779680724118026,-0.002945122621759778,0.028535945930575287
ALL_ENDPOINT_UNION,all,target_to_drug,all_inactive,precision_at_5,1215,0.04351165980795609,0.029683127572016445,0.05679972565157747
ALL_ENDPOINT_UNION,all,target_to_drug,all_inactive,recall_at_20,966,0.025599001556126134,0.015490276843738207,0.03583448285386488
ALL_ENDPOINT_UNION,all,target_to_drug,all_inactive,ndcg_at_20,966,0.02799925490936705,0.012118631130541771,0.04330874894963702
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,kdki_inactive,ap,116,0.03507292378424692,-0.024692042984052275,0.09371379352974518
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,kdki_inactive,precision_at_5,116,0.056896551724137934,0.014928160919540226,0.09772988505747124
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,kdki_inactive,recall_at_20,63,0.01514743368553429,-0.06280198204927127,0.0796964398114318
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,kdki_inactive,ndcg_at_20,63,0.05501313881254075,-0.019623961541236825,0.12543595479504216
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,all_inactive,ap,116,0.11411474735918926,0.06114529440012146,0.16868517779710035
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,all_inactive,precision_at_5,116,0.0908045977011494,0.04885057471264369,0.1281609195402299
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,all_inactive,recall_at_20,63,-0.023148642787564313,-0.10583554437134603,0.05005647863957966
ALL_ENDPOINT_UNION,old_train_pair_unseen,drug_to_target,all_inactive,ndcg_at_20,63,0.047670211044903786,-0.026029799055835197,0.11678981550109488
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,kdki_inactive,ap,1156,-0.07110068051645746,-0.08583512854174825,-0.056149428306053045
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,kdki_inactive,precision_at_5,1156,-0.04486735870818918,-0.059515570934256065,-0.030038927335640158
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,kdki_inactive,recall_at_20,897,-0.02224401692741674,-0.03322149330058813,-0.011876021594424805
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,kdki_inactive,ndcg_at_20,897,-0.05871761456463454,-0.0742099540381285,-0.043422488428812106
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,all_inactive,ap,1156,0.040105661200471286,0.02365061364285289,0.05676022690828831
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,all_inactive,precision_at_5,1156,0.07381776239907727,0.059628027681660895,0.08869953863898498
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,all_inactive,recall_at_20,897,0.0421389858345162,0.0315850256769194,0.053263587455610446
ALL_ENDPOINT_UNION,old_train_pair_unseen,target_to_drug,all_inactive,ndcg_at_20,897,0.0567017823939453,0.03906550964514065,0.07373785124366737
