model_id,operating_point,threshold,threshold_scale,explicit_inactive_rows,false_positive_count,explicit_inactive_fpr,kdki_positive_rows,kdki_true_positive_count,kdki_recall,kdki_precision,kdki_negative_fpr,diagnostic_validation_only
biomaster_activity,validation_KdKi_recall_ge_95%,-2.03125,raw_score,11719,6728,0.5741104189777285,24419,23202,0.950161759285802,0.8321796205301101,0.4557763491135788,True
DTIAM_B_20260921_native,frozen_maxF1,0.4986560235573662,calibrated_probability,11719,4325,0.3690587934124072,24419,22359,0.9156394610753921,0.8734325559592172,0.31560490940970193,True
DTIAM_B_20260921_native,validation_inactive_FPR_le_5%,0.9566846489906312,raw_score,11719,585,0.04991893506271866,24419,17101,0.7003153282280191,0.9665950712186299,0.05756867329047341,True
DTIAM_B_20260921_native,validation_inactive_FPR_le_1%,0.9889259934425355,raw_score,11719,117,0.009983787012543733,24419,11792,0.4829026577664933,0.9890128323408538,0.01276056886810832,True
DTIAM_B_20260921_native,validation_KdKi_recall_ge_90%,0.7433586120605469,raw_score,11719,3659,0.3122280058025429,24419,21978,0.9000368565461321,0.8862096774193549,0.2748879797389441,True
DTIAM_B_20260921_native,validation_KdKi_recall_ge_95%,0.5002607107162476,raw_score,11719,6482,0.5531188667975083,24419,23199,0.9500389041320283,0.8347966894566391,0.44720436391973506,True
DTIAM_B_20260921_query,frozen_maxF1,0.5048198190888741,calibrated_probability,11719,4139,0.3531871320078505,24419,22315,0.9138375854867111,0.8722930185286529,0.31823495032144944,True
DTIAM_B_20260921_query,validation_inactive_FPR_le_5%,0.9629885554313661,raw_score,11719,585,0.04991893506271866,24419,16950,0.6941316188214096,0.9666932816242728,0.0568868108318722,True
DTIAM_B_20260921_query,validation_inactive_FPR_le_1%,0.9893941283226014,raw_score,11719,117,0.009983787012543733,24419,11639,0.4766370449240346,0.9894584714783644,0.01207870640950711,True
DTIAM_B_20260921_query,validation_KdKi_recall_ge_90%,0.7629910111427307,raw_score,11719,3591,0.3064254629234576,24419,21978,0.9000368565461321,0.883076181292189,0.28345996493278786,True
DTIAM_B_20260921_query,validation_KdKi_recall_ge_95%,0.5241601467132568,raw_score,11719,6526,0.5568734533663282,24419,23199,0.9500389041320283,0.8315351804724184,0.4578219364893824,True
DTIAM_A_20260921_native,frozen_maxF1,0.5165016308787567,calibrated_probability,11719,2320,0.19796910999232017,24419,22456,0.9196117777140751,0.9093338732536951,0.2180985778297292,True
DTIAM_A_20260921_native,validation_inactive_FPR_le_5%,0.8787150382995607,raw_score,11719,585,0.04991893506271866,24419,20379,0.8345550595847496,0.9624994096254664,0.07734268458990844,True
DTIAM_A_20260921_native,validation_inactive_FPR_le_1%,0.9671363830566407,raw_score,11719,117,0.009983787012543733,24419,16855,0.6902412056185757,0.9867689245360342,0.022014416520553283,True
DTIAM_A_20260921_native,validation_KdKi_recall_ge_90%,0.7003522515296936,raw_score,11719,1664,0.14199163751173308,24419,21979,0.9000778082640567,0.9260554478806775,0.17095265926358855,True
DTIAM_A_20260921_native,validation_KdKi_recall_ge_95%,0.38031163811683655,raw_score,11719,4517,0.38544244389453025,24419,23200,0.9500798558499529,0.8661887694145759,0.34911357880381844,True
DTIAM_A_20260921_query,frozen_maxF1,0.36564435202287393,calibrated_probability,11719,1464,0.12492533492618824,24419,23190,0.9496703386707073,0.8884376676116773,0.28365478277810247,True
DTIAM_A_20260921_query,validation_inactive_FPR_le_5%,0.5733333230018617,raw_score,11719,583,0.04974827203686322,24419,21570,0.8833285556329088,0.9408531797958649,0.13208649912331968,True
DTIAM_A_20260921_query,validation_inactive_FPR_le_1%,0.8166666626930238,raw_score,11719,116,0.009898455499616009,24419,17723,0.7257872967770997,0.9833000443852641,0.029320085719851938,True
DTIAM_A_20260921_query,validation_KdKi_recall_ge_90%,0.5233333110809326,raw_score,11719,748,0.06382797166993771,24419,21994,0.9006920840329252,0.9297822870429084,0.16179622053380088,True
DTIAM_A_20260921_query,validation_KdKi_recall_ge_95%,0.36000001430511475,raw_score,11719,1494,0.12748528031401996,24419,23213,0.9506122281829723,0.8872792599954132,0.28725891291642314,True
DTIAM_A_20260922_native,frozen_maxF1,0.574616006835024,calibrated_probability,11719,1700,0.14506357197713116,24419,22270,0.9119947581801057,0.9269896769896769,0.17085525034093124,True
DTIAM_A_20260922_native,validation_inactive_FPR_le_5%,0.84176903963089,raw_score,11719,585,0.04991893506271866,24419,20750,0.8497481469347639,0.9614048093406848,0.08114163257354373,True
DTIAM_A_20260922_native,validation_inactive_FPR_le_1%,0.9509825706481935,raw_score,11719,117,0.009983787012543733,24419,17602,0.7208321389082272,0.9856094966123523,0.02503409312293006,True
DTIAM_A_20260922_native,validation_KdKi_recall_ge_90%,0.7048171162605286,raw_score,11719,1372,0.11707483573683762,24419,21978,0.9000368565461321,0.9362300319488818,0.14582115721800118,True
DTIAM_A_20260922_native,validation_KdKi_recall_ge_95%,0.41174429655075073,raw_score,11719,3862,0.3295503029268709,24419,23199,0.9500389041320283,0.8776197321631233,0.31511786479641535,True
DTIAM_A_20260922_query,frozen_maxF1,0.574616006835024,calibrated_probability,11719,1700,0.14506357197713116,24419,22270,0.9119947581801057,0.9269896769896769,0.17085525034093124,True
DTIAM_A_20260922_query,validation_inactive_FPR_le_5%,0.84176903963089,raw_score,11719,585,0.04991893506271866,24419,20750,0.8497481469347639,0.9614048093406848,0.08114163257354373,True
DTIAM_A_20260922_query,validation_inactive_FPR_le_1%,0.9509825706481935,raw_score,11719,117,0.009983787012543733,24419,17602,0.7208321389082272,0.9856094966123523,0.02503409312293006,True
DTIAM_A_20260922_query,validation_KdKi_recall_ge_90%,0.7048171162605286,raw_score,11719,1372,0.11707483573683762,24419,21978,0.9000368565461321,0.9362300319488818,0.14582115721800118,True
DTIAM_A_20260922_query,validation_KdKi_recall_ge_95%,0.41174429655075073,raw_score,11719,3862,0.3295503029268709,24419,23199,0.9500389041320283,0.8776197321631233,0.31511786479641535,True
