scope,model,direction,rows,positive_rows,all_queries,two_class_queries,candidate_scope,macro_ap,macro_auroc,macro_recall_5,macro_recall_10,macro_recall_20,macro_ndcg_20,median_candidates
single_construct_unseen_by_J,dtiam,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.3640231450888175,0.6489108607561693,0.23492069192349305,0.4066075718036502,0.590385973952734,0.45970170227852986,38.0
single_construct_unseen_by_J,dtiam,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.289741232158429,0.5944935188341255,0.18571033228567474,0.2901248295083912,0.5183023977544525,0.3775029148803317,42.0
single_construct_unseen_by_J,positive_nearest,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.4988698522374151,0.7641239347757608,0.3975869930118296,0.5693587216463034,0.7071788639482383,0.6088353352264627,38.0
single_construct_unseen_by_J,positive_nearest,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.44039456481277467,0.7180244396612663,0.3384243610271008,0.4878871889145862,0.6455326256696119,0.5507135757213573,42.0
single_construct_unseen_by_J,pn_logistic,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.4948808871803338,0.7001862452340331,0.32819652077355155,0.4846433350168177,0.6813840825979014,0.5887565043025863,38.0
single_construct_unseen_by_J,pn_logistic,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.4436389462974031,0.7280363464478354,0.3476165767261658,0.5113601771136018,0.6928625788214829,0.5688317916139909,42.0
single_construct_unseen_by_J,conplex,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.32177571149041534,0.600707586947405,0.21752115851088774,0.37093875536919424,0.5580496871113118,0.42374110886526545,38.0
single_construct_unseen_by_J,conplex,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.23447650934606054,0.5490810612586136,0.13748344501769158,0.26071823914289666,0.474679772282512,0.3320408679194675,42.0
all_mapped_8058,frozen_v3,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.6380314788106042,0.8466030681622079,0.38789925979000467,0.5087361059350943,0.6440441725879883,0.7134082989517471,103.0
all_mapped_8058,frozen_v3,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.47917960026714146,0.7758641543975691,0.2589947060075427,0.36338430947471523,0.5826705925810246,0.5530681820128076,79.0
all_mapped_8058,J_old_relation_pretrained,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.6716900251115429,0.858061520348089,0.40069018514886484,0.5147406674860334,0.6513298102865197,0.7369896853722187,103.0
all_mapped_8058,J_old_relation_pretrained,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.5693030868770707,0.819421953802858,0.3367276257747762,0.46207291474501994,0.6686363838908302,0.6572594503306288,79.0
all_mapped_8058,production_independent,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.6131016164480101,0.8215534675364773,0.3758464740306439,0.48908704305751866,0.6065023188786508,0.6898549828927536,103.0
all_mapped_8058,production_independent,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.47211311292560093,0.7513684926557053,0.28266913695138063,0.4113817392125665,0.5657670805286188,0.5574929156708275,79.0
all_mapped_8058,v6_directional_full_fit,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.639594792243325,0.8404697009731807,0.37695720994782644,0.490032650891325,0.6248626294096562,0.705880527382747,103.0
all_mapped_8058,v6_directional_full_fit,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.36240054719775044,0.7337170429639737,0.16889175825198255,0.26936708197390846,0.510866237663273,0.42960585091084363,79.0
all_mapped_8058,dtiam,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.4521584803799332,0.7392889449607549,0.251951500016533,0.3382632473786191,0.502355628712791,0.531472251293367,103.0
all_mapped_8058,dtiam,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.3000837065918821,0.61129059524768,0.13934567187726393,0.2298357400955342,0.35212798105185,0.3388816370562376,79.0
all_mapped_8058,positive_nearest,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.6193144122773062,0.8240946028617905,0.3757302754653855,0.4983140625854276,0.6332475642567,0.709664012821709,103.0
all_mapped_8058,positive_nearest,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.4981520966044076,0.7411989199460639,0.2982719497764157,0.43289395785733886,0.5890588537409783,0.5830426552636502,79.0
all_mapped_8058,pn_logistic,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.6419574251061432,0.8199984697227128,0.39133970569608095,0.5076850825671808,0.6270665994747182,0.7167098967334044,103.0
all_mapped_8058,pn_logistic,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.5298023684404689,0.7705607212645126,0.32424384371399595,0.45533578747478654,0.6079506946211559,0.6148389099678621,79.0
all_mapped_8058,conplex,d2t,8058,1041,79,72,"only observed candidates, unknown pairs excluded",0.32748748509213294,0.6422787189728547,0.17375214096238692,0.2668323931776697,0.39567554251315656,0.41233805072328106,103.0
all_mapped_8058,conplex,t2d,8058,1041,103,90,"only observed candidates, unknown pairs excluded",0.2718042185006253,0.5930601788181268,0.11924655336738756,0.2404579262248369,0.3842632199430687,0.34261179560998656,79.0
