model_id,stage,arm,variant,seed,status,checkpoint,checkpoint_sha256,optimizer_steps,best_step,train_pairs,validation_binding_ap,validation_balanced_query_ap,validation_activity_ap,pairs,positive,negative,ap,auroc,target_queries,target_macro_ap,target_p5,target_p20,drug_queries,drug_macro_ap,drug_p5,drug_p20,balanced_query_ap
multitask__all_inactive__joint__20260922,multitask,all_inactive,joint,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260922/model.pt,b1d1ab93cf22fcc58ff15ff5eb41457830616dc71e512ceaa766fcc565b48ee9,61068.0,34896.0,1116270,0.9408193908058426,0.6968119690694887,0.9714549867666513,34327,23190,11137,0.9208085888320201,0.8631268071654365,516,0.6776021576457814,0.6131782945736434,0.5688118811881188,54,0.5837334608882857,0.5185185185185185,0.2333333333333333,0.6306678092670335
multitask__all_inactive__joint__20260923,multitask,all_inactive,joint,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260923/model.pt,dd34a603446f5b26b3ae8a639310e25f959942377b71d93b5f0fac889065053f,41439.0,15267.0,1116270,0.9461828016441329,0.6748112476567242,0.9704598122756027,34327,23190,11137,0.9229149265018588,0.8729294172779236,516,0.6754230155624624,0.6189922480620155,0.5715346534653465,54,0.56536813620622,0.5481481481481482,0.2383333333333333,0.6203955758843411
multitask__all_inactive__rank__20260921,multitask,all_inactive,rank,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260921/model.pt,bbe1b5fbf9b4a1800dfbb211131d3e083fb5ce66c7e555c29a18762a408854a7,39258.0,13086.0,1116270,0.9358133064211935,0.6712628936204983,0.9690436813797649,34327,23190,11137,0.9089733976246677,0.8686496820751762,516,0.6709614708849416,0.6135658914728682,0.5707920792079207,54,0.5807823613299333,0.5222222222222221,0.26499999999999996,0.6258719161074375
multitask__all_inactive__rank__20260922,multitask,all_inactive,rank,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260922/model.pt,7506896beeb067be87b0d2c8d9337e3f3650d0ce85aacb7f4c6965458af9d670,32715.0,6543.0,1116270,0.9431275489256037,0.6719767478102159,0.9695411596146908,34327,23190,11137,0.9185031031822795,0.8640050977470877,516,0.6872360033859872,0.6209302325581395,0.5702970297029704,54,0.5289966022139228,0.5037037037037037,0.21833333333333332,0.608116302799955
multitask__all_inactive__rank__20260923,multitask,all_inactive,rank,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260923/model.pt,7327839688fb97e0c7ee3bc794de931064a592db7bf1fa4d8a0c994f541c0ce3,41439.0,15267.0,1116270,0.9471172781526336,0.6631744137944502,0.9701918598797269,34327,23190,11137,0.9183968072089658,0.8697894578336227,516,0.671802624972312,0.613953488372093,0.5727722772277227,54,0.6196258613317236,0.5555555555555556,0.25,0.6457142431520178
multitask__all_inactive__regression__20260921,multitask,all_inactive,regression,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260921/model.pt,b794013b77408da99ca71276481528a3a59f1988fd770cfdd395c69e697fc31d,47982.0,21810.0,1116270,0.9393337015433065,0.6800241185737286,0.9690516443120358,34327,23190,11137,0.9035272723084955,0.8458402685003966,516,0.6677573487064428,0.6023255813953489,0.568069306930693,54,0.5776117981766076,0.5481481481481482,0.24333333333333332,0.6226845734415252
multitask__all_inactive__regression__20260922,multitask,all_inactive,regression,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260922/model.pt,b793e88b06ecf076ca4c3d202a196f712b1a1a8716467c8a57c4639d5ada38cd,82878.0,56706.0,1116270,0.9432176296482572,0.693408971323747,0.9695427986204989,34327,23190,11137,0.9160196605557407,0.8611473365376912,516,0.6747886496462392,0.6139534883720931,0.5685643564356435,54,0.5932895010094038,0.5407407407407407,0.23999999999999996,0.6340390753278216
multitask__all_inactive__regression__20260923,multitask,all_inactive,regression,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260923/model.pt,f169fa95aada5a393f46f1168751f64359fcddfe9e31fe0009ff7d69d9c08fb6,32715.0,6543.0,1116270,0.944864755917011,0.675181900814008,0.9730656701030852,34327,23190,11137,0.9282695002289926,0.869279547606212,516,0.6700731353967055,0.6166666666666667,0.571039603960396,54,0.617731936949448,0.5555555555555556,0.23999999999999996,0.6439025361730768
multitask__kdki_inactive__binary__20260921,multitask,kdki_inactive,binary,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__binary__seed_20260921/model.pt,8102a6b9dc0ffdfb162e884965873d4ec099b6270851eac423446cd173a69e80,26000.0,14000.0,337570,0.9665339932336595,0.7114750985536051,0.8402208862980196,34327,23190,11137,0.9583505170384772,0.9166476204879888,516,0.6935429508144152,0.6395348837209303,0.5789603960396039,54,0.6229627227836807,0.5962962962962963,0.26833333333333337,0.6582528367990479
multitask__kdki_inactive__binary__20260922,multitask,kdki_inactive,binary,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__binary__seed_20260922/model.pt,1c4315005b8bc881aad08610fc0760a3ea7847b6a78b85927c1657c5e6176c29,16000.0,4000.0,337570,0.9619270379734537,0.7000014422597292,0.8381750941632131,34327,23190,11137,0.951666238486735,0.9114247470921859,516,0.69768790156934,0.6457364341085271,0.5761138613861386,54,0.6052977226773678,0.5518518518518518,0.24833333333333332,0.6514928121233539
multitask__kdki_inactive__binary__20260923,multitask,kdki_inactive,binary,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__binary__seed_20260923/model.pt,5e3a09363979205d1c0db3cdeac4e3f2495bcd3984085c7ea2bf7d4568ba6cfc,29000.0,17000.0,337570,0.9641689125336279,0.7021161733443959,0.8329415018680728,34327,23190,11137,0.9564924668081218,0.9172784017379221,516,0.7025296974939204,0.6375968992248062,0.5768564356435644,54,0.597088622237275,0.588888888888889,0.2733333333333334,0.6498091598655977
multitask__kdki_inactive__joint__20260921,multitask,kdki_inactive,joint,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__joint__seed_20260921/model.pt,6ceca6a0e48449a38b790929fb34b14d16b7e4277782ca644311a8a9d2a3911c,23000.0,11000.0,337570,0.9558272555798754,0.7070502492646704,0.8369354783222243,34327,23190,11137,0.9461557896134258,0.90596433660154,516,0.7014196020961839,0.6445736434108528,0.5789603960396039,54,0.6370477641940588,0.5814814814814815,0.26999999999999996,0.6692336831451213
multitask__kdki_inactive__joint__20260922,multitask,kdki_inactive,joint,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__joint__seed_20260922/model.pt,0fc8f842edf53552e32c5497a882259eebed518608c54f861ee3c2090f5d11cd,19000.0,7000.0,337570,0.9618796044710657,0.7017992970504584,0.8366673790603483,34327,23190,11137,0.9421064006703549,0.892850943846762,516,0.6806586647926048,0.6275193798449612,0.5709158415841583,54,0.6107852546165168,0.5666666666666667,0.24000000000000002,0.6457219597045608
multitask__kdki_inactive__joint__20260923,multitask,kdki_inactive,joint,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__joint__seed_20260923/model.pt,40261afc4a18e047a9343058d689dde781621945b2c31b6e6c4081ebd4b60e75,30000.0,18000.0,337570,0.9646028677227282,0.7145813800750571,0.8445563596069967,34327,23190,11137,0.9522049139010276,0.9117577880537056,516,0.7046662337999976,0.6468992248062014,0.5788366336633664,54,0.6343901823378855,0.5740740740740742,0.275,0.6695282080689415
multitask__kdki_inactive__rank__20260921,multitask,kdki_inactive,rank,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__rank__seed_20260921/model.pt,a62deed4e78dac6fb6074cda4f31972ca99bd8ff584c2d9fd27a19157770f246,19000.0,7000.0,337570,0.9614742954941273,0.7078732208473142,0.8398042982823763,34327,23190,11137,0.9405039737764417,0.895149074970971,516,0.6896181613316341,0.6368217054263565,0.5747524752475247,54,0.5999694490967932,0.5592592592592592,0.24333333333333332,0.6447938052142137
multitask__kdki_inactive__rank__20260922,multitask,kdki_inactive,rank,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__rank__seed_20260922/model.pt,9713caf50c3931af7b5921c16740ba9c694cbe327902c6bc00602e1cdeba354d,22000.0,10000.0,337570,0.9534944527789082,0.7017990453673377,0.8407628664701511,34327,23190,11137,0.9203284455195636,0.8810456081056881,516,0.6920847185140768,0.6352713178294572,0.5753712871287129,54,0.587858996281299,0.5555555555555556,0.245,0.6399718573976879
multitask__kdki_inactive__rank__20260923,multitask,kdki_inactive,rank,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__rank__seed_20260923/model.pt,ad960401e72ce5dbd851df41bbd7dd47e213c8043e0bad16968e4cd442efa2a1,30000.0,18000.0,337570,0.956921596031805,0.6995263924004964,0.8270830795111617,34327,23190,11137,0.9250287387884526,0.8782019330922728,516,0.6690653150904337,0.6116279069767442,0.5705445544554455,54,0.6024955244188016,0.5740740740740741,0.24833333333333335,0.6357804197546176
multitask__kdki_inactive__regression__20260921,multitask,kdki_inactive,regression,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__regression__seed_20260921/model.pt,fecdebd1b79261e4cdea603157a9408ffdb817d7267269edeb0ec4ca787a8e9e,17000.0,6000.0,337570,0.9590003424774003,0.7112822882395207,0.8406209138255536,34327,23190,11137,0.9435161088131551,0.898672358604968,516,0.6894171565608783,0.6302325581395349,0.5733910891089108,54,0.6131790170210419,0.5777777777777778,0.24833333333333332,0.6512980867909601
multitask__kdki_inactive__regression__20260922,multitask,kdki_inactive,regression,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__regression__seed_20260922/model.pt,532035bfe9eec403a04d26bcbcf66d1a59907eafcb267ed1e50bee1083c7dcfb,17000.0,5000.0,337570,0.9659200296738164,0.7034190123141097,0.8438338224344206,34327,23190,11137,0.9431795303605089,0.9014089196751129,516,0.6859092209753215,0.6325581395348837,0.5738861386138614,54,0.5953390002106367,0.5444444444444445,0.25333333333333335,0.6406241105929791
multitask__kdki_inactive__regression__20260923,multitask,kdki_inactive,regression,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/kdki_inactive__regression__seed_20260923/model.pt,594a0608aae9798ff55a33f17ed3545aa6522fbb94947931680f62e44f241935,15000.0,3000.0,337570,0.9629825561347315,0.7067263941211817,0.8393529388495247,34327,23190,11137,0.9500255645419012,0.9086075911431667,516,0.689610252903746,0.6282945736434108,0.5762376237623761,54,0.5860820642502919,0.562962962962963,0.24333333333333332,0.637846158577019
assay_aware__all_inactive__assay__20260921,assay_aware,all_inactive,assay,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__assay__seed_20260921/model.pt,ae72163feac3437035b612d76aab0dc0b242ec379c1a9f14d4b147fc6132d9f4,58887.0,32715.0,1116270,0.9259785494936542,0.6674862254304667,0.9661960976375963,34327,23190,11137,0.8972546543347302,0.8454855948899093,516,0.6722784818504844,0.6135658914728682,0.5702970297029702,54,0.5849115176025554,0.537037037037037,0.23666666666666666,0.6285949997265199
assay_aware__all_inactive__assay__20260922,assay_aware,all_inactive,assay,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__assay__seed_20260922/model.pt,dcf8c9e5e510c93ab77059eede16c3263d80b9245bef273bb02020392d62f802,39258.0,13086.0,1116270,0.920430145352256,0.6816783871195452,0.968006203227002,34327,23190,11137,0.9083378286015232,0.8541616655443786,516,0.712589870198242,0.6368217054263566,0.5694306930693069,54,0.5547464247384032,0.5222222222222223,0.22833333333333333,0.6336681474683226
assay_aware__all_inactive__assay__20260923,assay_aware,all_inactive,assay,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__assay__seed_20260923/model.pt,0cc97747fe2aef3f585d3216fc2b4b2a428d865b6b98a82096e5651732ec93f4,41439.0,15267.0,1116270,0.9300306005815405,0.6536398211577964,0.9683106669504602,34327,23190,11137,0.8813169999358709,0.826111445584053,516,0.656672418379438,0.5965116279069768,0.5652227722772277,54,0.560709755931205,0.4777777777777778,0.24333333333333335,0.6086910871553215
assay_aware__all_inactive__balanced__20260921,assay_aware,all_inactive,balanced,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__balanced__seed_20260921/model.pt,ebbc2d136061b673dc99a59e61f34bb5d596d7a2c53ed46f5b769d7ecef00427,30534.0,4362.0,1116270,0.9280644091715033,0.66866566388719,0.9659276510358317,34327,23190,11137,0.9001689207513429,0.8439894825135055,516,0.6679916594980602,0.6042635658914729,0.5649752475247525,54,0.5227846638470973,0.5037037037037038,0.22666666666666663,0.5953881616725787
assay_aware__all_inactive__balanced__20260922,assay_aware,all_inactive,balanced,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__balanced__seed_20260922/model.pt,0be13b1fe5e1263be1ac438e2ca746afb9e827cb3997d779e18f6fbe07c7cd9f,34896.0,8724.0,1116270,0.9394379761500498,0.6677344416401967,0.9690899907469299,34327,23190,11137,0.8994504718891545,0.8359072294283943,516,0.6649813834717603,0.596124031007752,0.5622524752475248,54,0.5101409760857245,0.5037037037037038,0.22333333333333333,0.5875611797787423
assay_aware__all_inactive__balanced__20260923,assay_aware,all_inactive,balanced,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__balanced__seed_20260923/model.pt,b863bb0bd9a9c662ecc55cb4164f35553c4b66161e16898cfd38df0a2fe72b37,30534.0,4362.0,1116270,0.9283331058093549,0.6563690900796528,0.9651305582526961,34327,23190,11137,0.8954490257923919,0.8339322386601185,516,0.6716701063416354,0.6124031007751938,0.5663366336633662,54,0.5160704822510609,0.47777777777777775,0.21666666666666665,0.5938702942963481
assay_aware__all_inactive__regression__20260921,assay_aware,all_inactive,regression,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__regression__seed_20260921/model.pt,a9857ff176f56ed1666e6c19916a234ff9f99633db17b94e34e2a4559331358d,37077.0,10905.0,1116270,0.9127083074323059,0.6398186475948315,0.9686443756986793,34327,23190,11137,0.8950272470274172,0.8410793220489662,516,0.6732777554520881,0.6155038759689923,0.570049504950495,54,0.5257099855313254,0.5037037037037038,0.22666666666666668,0.5994938704917068
assay_aware__all_inactive__regression__20260922,assay_aware,all_inactive,regression,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__regression__seed_20260922/model.pt,6ac2f8e727f0db3961a5e8a5ea655f00803114a16e0b1e4aafb31f0836b771c6,34896.0,8724.0,1116270,0.9301444529994468,0.6571221186370928,0.9687119429259043,34327,23190,11137,0.9177542976702142,0.8570092086473446,516,0.6862616973019695,0.6213178294573644,0.567079207920792,54,0.5239475402075788,0.5000000000000001,0.23666666666666664,0.6051046187547742
assay_aware__all_inactive__regression__20260923,assay_aware,all_inactive,regression,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__regression__seed_20260923/model.pt,a235a728e6a62febe53b8a9485977967e7cddc9b2002be92a872ef8af2e42000,43620.0,17448.0,1116270,0.9403037421835335,0.6753858770993633,0.9694627775995981,34327,23190,11137,0.9031439628662516,0.8423350630546996,516,0.6729089439719175,0.6124031007751938,0.5665841584158415,54,0.5680896723553724,0.5444444444444445,0.23333333333333334,0.620499308163645
assay_aware__all_inactive__rotate150__20260921,assay_aware,all_inactive,rotate150,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__rotate150__seed_20260921/model.pt,164b42626b7821f5fcc490ea1894a00059a2e899fe8f9a660a208343398ba219,65430.0,39258.0,1116270,0.9382064837109478,0.6654609144007896,0.9631533858083408,34327,23190,11137,0.8905757799460446,0.8335554387255703,516,0.6665749003314205,0.6131782945736435,0.5685643564356435,54,0.5060493989663152,0.5074074074074074,0.23333333333333334,0.5863121496488679
assay_aware__all_inactive__rotate150__20260922,assay_aware,all_inactive,rotate150,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__rotate150__seed_20260922/model.pt,a9afa2f69c72f662087d79ce3d11fe8e125e67fb010ede7745b5c68b61a44f03,61068.0,34896.0,1116270,0.901857837697348,0.6518354113172247,0.9585237598258368,34327,23190,11137,0.890103797013747,0.8407553414773847,516,0.6658758131164582,0.6042635658914729,0.565470297029703,54,0.5243291255982325,0.5,0.2333333333333333,0.5951024693573453
assay_aware__all_inactive__rotate150__20260923,assay_aware,all_inactive,rotate150,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/all_inactive__rotate150__seed_20260923/model.pt,a88a414abf33ffbc1ffc4cc033cb9b897f940a629f277baea9ea523648743501,32715.0,6543.0,1116270,0.9021832453246825,0.6429048129956869,0.9586733878312689,34327,23190,11137,0.8438084900281153,0.7820106654728634,516,0.6509232287361415,0.5922480620155038,0.5632425742574257,54,0.48567332237545074,0.4629629629629629,0.21166666666666664,0.5682982755557962
assay_aware__kdki_inactive__adapt_from_B__20260921,assay_aware,kdki_inactive,adapt_from_B,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__adapt_from_B__seed_20260921/model.pt,a6caf166d0ba88ffab6819b0648e5bf49733707ca563c46c2705e82d5215fa3b,14000.0,2000.0,337570,0.9369200759283999,0.666678482174041,0.9591372754243003,34327,23190,11137,0.9089328526783556,0.8530776963672058,516,0.6739028438664885,0.6127906976744186,0.5711633663366337,54,0.5952493427212903,0.5518518518518517,0.22999999999999995,0.6345760932938893
assay_aware__kdki_inactive__adapt_from_B__20260922,assay_aware,kdki_inactive,adapt_from_B,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__adapt_from_B__seed_20260922/model.pt,d9e08d56693755c1262b7ab22b618d556b3f5d32d2c20c43907bcb1f0b7f538f,20000.0,8000.0,337570,0.9336673359374621,0.6956593615088378,0.9578581982516765,34327,23190,11137,0.9153537620559218,0.8648177818128779,516,0.6955951482046504,0.6310077519379845,0.5707920792079207,54,0.5669457706796265,0.5185185185185185,0.24833333333333338,0.6312704594421384
assay_aware__kdki_inactive__adapt_from_B__20260923,assay_aware,kdki_inactive,adapt_from_B,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__adapt_from_B__seed_20260923/model.pt,d55b5689343a1affa0eb2827d6e439d51b56ac8a3330a7210cd3321956b9f1b4,25000.0,13000.0,337570,0.9387582921858706,0.6570574061246381,0.9594071938100281,34327,23190,11137,0.8990366453263503,0.8420428693511518,516,0.6563104561739717,0.5996124031007752,0.5678217821782178,54,0.5642580854267905,0.5444444444444444,0.24000000000000002,0.6102842708003811
assay_aware__kdki_inactive__assay__20260921,assay_aware,kdki_inactive,assay,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__assay__seed_20260921/model.pt,bbe2134d2a97adfbb45138b6b3530994d2b2a673a887c3827222bf630fdaa891,26000.0,14000.0,337570,0.9524944730928906,0.6914268357964637,0.8438636751477269,34327,23190,11137,0.9518077187710949,0.9052830649734889,516,0.7128339467831541,0.6527131782945735,0.5777227722772277,54,0.5875759003147301,0.5518518518518518,0.26166666666666666,0.6502049235489421
assay_aware__kdki_inactive__assay__20260922,assay_aware,kdki_inactive,assay,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__assay__seed_20260922/model.pt,f14e440529321d1f0b632abd479474de1cea5ce2d27469795f4d462b3d8e906f,16000.0,4000.0,337570,0.9492546301255635,0.6795534284090318,0.84076255456802,34327,23190,11137,0.9387869447992792,0.8875560887504689,516,0.6927791769564409,0.6391472868217054,0.5754950495049505,54,0.5389918913350333,0.5185185185185185,0.26,0.6158855341457371
assay_aware__kdki_inactive__assay__20260923,assay_aware,kdki_inactive,assay,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__assay__seed_20260923/model.pt,491f69fe1551aac038d59166457bd84791e2c53ca561e87c4bc0b12d8dd2df30,18000.0,6000.0,337570,0.9558483615262022,0.7024790093057586,0.8322687175630279,34327,23190,11137,0.9255331460833129,0.8776171081535262,516,0.696330900748856,0.6344961240310077,0.5764851485148514,54,0.5743040355272884,0.5518518518518518,0.24833333333333332,0.6353174681380722
assay_aware__kdki_inactive__balanced__20260921,assay_aware,kdki_inactive,balanced,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__balanced__seed_20260921/model.pt,a1b83e36f039791954e1d8b52771984b14e5ad428c7fcc0be005736005a1b7ec,31000.0,19000.0,337570,0.9632219596181186,0.7084360696904035,0.830516056193601,34327,23190,11137,0.9448339842209418,0.9058162786012601,516,0.7078582460180877,0.6453488372093024,0.5766089108910891,54,0.6137910051101869,0.5740740740740741,0.2633333333333333,0.6608246255641372
assay_aware__kdki_inactive__balanced__20260922,assay_aware,kdki_inactive,balanced,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_assay_aware_20260911/kdki_inactive__balanced__seed_20260922/model.pt,51235b77482b91ca2f9c9f5c0b8d73260db3760bf254de5e5ee0cd777145a2c0,26000.0,14000.0,337570,0.9567870766630261,0.7096973985252526,0.8330490408383109,34327,23190,11137,0.92984920097075,0.887281378889129,516,0.6855778736752789,0.6391472868217053,0.5761138613861386,54,0.5686544024708394,0.5296296296296297,0.23833333333333334,0.6271161380730592
