direction,query,pairs,positive,negative,random_ap,random_p5
target_to_drug,SEQ:73222727caca78716f176c28e03d892ac7e8de8ef38d6be781ec2aa87e170413,10,8,2,0.8428659611992946,0.8
target_to_drug,SEQ:734e24fcb31c081da34c2d28c9f4e61a406f7b4a96a486559dcb2326edb97185,22,1,21,0.16776423864623977,0.045454545454545456
target_to_drug,SEQ:73819fcc8127cd8b4525da980a57a1c7139167887058db9d95ca411408836a67,16,1,15,0.2112955620768121,0.0625
target_to_drug,SEQ:73fe68d1fe5d48b8452464bee663af0788bcce6806ae4c02155747ae82b57257,48,40,8,0.8455985715427806,0.8333333333333334
target_to_drug,SEQ:74716bef5c87821e4b00db1043b6b1f1b4e661f13f1fc7dc3e9b3ceb33ba71d9,16,8,8,0.5793576331076331,0.5
target_to_drug,SEQ:74850ff3a746768b63892fb357a9655aaf2e7ed5cd149ccbc0728915128a35ba,26,25,1,0.9659298764864848,0.9615384615384616
target_to_drug,SEQ:761da99e636939921184b716e7ba5e440765a070c13385f413f8172c5649afbc,20,1,19,0.17988698285718413,0.05
target_to_drug,SEQ:77171773a772e53d5bd11535bd2b1b71a79247509a3a39a72064b4a153274dd3,17,16,1,0.9501454136861792,0.9411764705882353
target_to_drug,SEQ:77613817c262475df09b26bd19ac646295aef2642cabffccaf9e23052414d525,23,2,21,0.20043502318739853,0.08695652173913043
target_to_drug,SEQ:77d5cd4e58da4830e0c5db0c133fa0a5b81c776cab4c6dce1c2992734cd33e9d,10,4,6,0.5285978835978836,0.4
target_to_drug,SEQ:77dd8ddd63a06cb1506cc5925b59a5813c1142a912ebf29cb6dca84559dbebaa,19,1,18,0.18672313984966749,0.05263157894736842
target_to_drug,SEQ:77ed25650e717b3f610e42ef8e5c1c88d50e7485725032f8535448a0ca8b61b1,49,37,12,0.7728530884608643,0.7551020408163265
target_to_drug,SEQ:7807e896342f7584ad6033dfdf0a6b0076732db9c708df5d0544de83fdf47511,25,2,23,0.1879450634805511,0.08
target_to_drug,SEQ:7936a5a915944e44b9feaf803400283988ea53c14d877e78053209f31b7c85e6,21,1,20,0.17358850975060613,0.047619047619047616
target_to_drug,SEQ:796377537c0eaf1bf6344dfe0ef3b287d84934267233f526f4e40eb6bf5a86e3,108,101,7,0.9377680672932317,0.9351851851851852
target_to_drug,SEQ:79b3c7fd58386fb1e95ff31b6f49a2a4c29b9af603090ba393343ee9aee4ea15,22,1,21,0.16776423864623977,0.045454545454545456
target_to_drug,SEQ:79c4fb50b32b27208d2466d10cdcab1cde6127125a76a5a1aecc5fcbb8e2148c,156,142,14,0.9129372964129542,0.9102564102564102
target_to_drug,SEQ:7a35c5b4006d9a7e80fc848a1691b4033874f87f578229f3fc6a0f98635b384b,10,1,9,0.2928968253968254,0.1
target_to_drug,SEQ:7a79f4548d327c1deb8e6cfaf41d42b9b7d7cc08b967f053dce0266984386a89,22,2,20,0.2073945129964188,0.09090909090909091
target_to_drug,SEQ:7ab1dfab2e9102945a1650384da8e67150b2fc4527be72df6505a068e0486545,19,2,17,0.23190518763579707,0.10526315789473684
target_to_drug,SEQ:7b430dd4888d7410e8d65d331b8bd4f5bd9abd4f3a9290f2a93f37b0ed495c5c,80,68,12,0.8575293910359725,0.85
