query,entity,head_a,head_b,n,spearman
drug_id,BTCRKOKVYTVOLU-SJSRKZJXSA-N,biomaster,biomaster_reverse,37,0.8736367946894261
drug_id,BUGYDGFZZOZRHP-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.16358463726884775
drug_id,BUGYDGFZZOZRHP-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.2425320056899004
drug_id,BYBLEWFAAKGYCD-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.6014698909435751
drug_id,BYBLEWFAAKGYCD-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9509246088193455
drug_id,BZZKEPGENYLQSC-FIBGUPNXSA-N,nesso,nesso_pic50,37,0.6043148411569464
drug_id,BZZKEPGENYLQSC-FIBGUPNXSA-N,biomaster,biomaster_reverse,37,0.21384542437174014
drug_id,BZZKEPGENYLQSC-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.44855381697486957
drug_id,BZZKEPGENYLQSC-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.06116642958748221
drug_id,CAVRKWRKTNINFF-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.46372688477951624
drug_id,CAVRKWRKTNINFF-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9295874822190611
drug_id,CBRJPFGIXUFMTM-WDEREUQCSA-N,nesso,nesso_pic50,37,0.5467045993361783
drug_id,CBRJPFGIXUFMTM-WDEREUQCSA-N,biomaster,biomaster_reverse,37,0.9295874822190611
drug_id,CEFJVGZHQAGLHS-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.7868658131816025
drug_id,CEFJVGZHQAGLHS-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,-0.03082029397818871
drug_id,CEUORZQYGODEFX-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.43741109530583216
drug_id,CEUORZQYGODEFX-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9329065908013274
drug_id,CGIGDMFJXJATDK-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.40042674253200566
drug_id,CGIGDMFJXJATDK-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9954954954954954
drug_id,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,nesso,nesso_pic50,37,-0.2757230915125652
drug_id,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,biomaster,biomaster_reverse,37,0.9601706970128023
drug_id,CJOFXWAVKWHTFT-XSFVSMFZSA-N,nesso,nesso_pic50,37,0.17946894262683732
drug_id,CJOFXWAVKWHTFT-XSFVSMFZSA-N,biomaster,biomaster_reverse,37,0.6474632527264105
drug_id,CMHHMUWAYWTMGS-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.07728781412991939
drug_id,CMHHMUWAYWTMGS-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9440493124703649
drug_id,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,nesso,nesso_pic50,37,0.41915599810336646
drug_id,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,biomaster,biomaster_reverse,37,0.9177335229966808
drug_id,CMWTZPSULFXXJA-VIFPVBQESA-N,nesso,nesso_pic50,37,-0.19724988146040778
drug_id,CMWTZPSULFXXJA-VIFPVBQESA-N,biomaster,biomaster_reverse,37,0.9824561403508771
drug_id,COUYJEVMBVSIHV-SFHVURJKSA-N,nesso,nesso_pic50,37,0.10478899952584161
drug_id,COUYJEVMBVSIHV-SFHVURJKSA-N,biomaster,biomaster_reverse,37,0.9639639639639639
