target_chembl_id,gene_symbol,ligand_inchikey,ligand_smiles,drug_names,control_chembl_id,pair_id,selection_role,reference_endpoint_tier,reference_endpoint_category,reference_standard_types,reference_assay_ids,reference_doc_ids,mean_pchembl_mixed_endpoints,reused_original_control,release_status
CHEMBL2008,RARB,SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,TRETINOIN,CHEMBL38,SHGAZHPCJJPHSC-YCNIQYBTSA-N__CHEMBL2008,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","195489,195491,195813,430405","13424,5830,4702,35322",7.6625,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL202,DHFR,AVRPDIOCAAWICH-UHFFFAOYSA-N,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,CHEMBL310759,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N__CHEMBL202,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,Kd,1458972,90243,6.92,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL2023,COMT,MWKSRKSEWLRPBL-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,CHEMBL5653589,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N__CHEMBL2023,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,Kd,2514335,130982,6.77,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL2034,NR3C1,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,PREDNISONE,CHEMBL635,XOFYZVNMUHMLCC-ZPOLXVRWSA-N__CHEMBL2034,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,Kd,2026431,117712,7.54,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL2039,MAOB,JZXRLKWWVNUZRB-UHFFFAOYSA-N,NCCNC(=O)c1ccc(Cl)cn1,LAZABEMIDE,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N__CHEMBL2039,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Ki,IC50,Kd","320782,885769,1464177,1464353,1464362,1650368,1715376,1753079,1787948,1868178,1921316,2058917,2238396,2284159","30041,67006,91071,103878,106422,107936,109499,112137,113965,118770,124318,125594",7.544285714285714,True,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL2041,RET,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,STAUROSPORINE,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2041,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","586489,586600,1586053,1730359,1828713,2054987,2054988,2054989,2054990,2065318,2583372","48311,99644,107047,110936,118641,119003,131258",8.54,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL205,CA2,IAVUPMFITXYVAF-XPUUQOCRSA-N,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,DORZOLAMIDE,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N__CHEMBL205,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Ki,Kd,IC50","939169,1471414,1471415,1501471","72117,91532,92644",8.76,True,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL206,ESR1,ANMCTAWGJSYPPA-LPYMAVHISA-N,CNc1c(/C=N/O)ccc(-c2ccc(O)cc2)c1-c1ccccc1,CHEMBL377849,CHEMBL377849,ANMCTAWGJSYPPA-LPYMAVHISA-N__CHEMBL206,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,Kd,381820,31522,8.43,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL2063,UGCG,FJZZPCZKBUKGGU-AUSIDOKSSA-N,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,ELIGLUSTAT,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N__CHEMBL2063,REFERENCE_CONTROL_EXTRA_TO_384,2,FUNCTIONAL_OR_OTHER_ONLY,IC50,"1507993,2585857","92898,131267",7.6,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL2073,YES1,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,STAUROSPORINE,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2073,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","325055,586494,1586061,1699218,1828782,2583433","30300,48311,99644,105824,110936,131258",8.156666666666666,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
