pair_id,drug_names,gene_symbol,raw_activity_rows,raw_high_confidence_direct_target_annotation,novelty_reaudit_status
WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL206,fluocinonide,ESR1,3,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1856,memantine,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,lasmiditan,FLT3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,imiquimod,FDPS,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,etravirine,SRC,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,zavegepant,PTK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
BFDBKMOZYNOTPK-UHFFFAOYSA-N__CHEMBL1250375,vonoprazan,NOX4,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,pregabalin,ACE,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,varenicline,PDE9A,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705,calcipotriene,EGLN3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL2041,raloxifene,RET,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,cabotegravir,PPARG,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL1824,atrasentan,ERBB2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
MQOBSOSZFYZQOK-UHFFFAOYSA-N__CHEMBL1978,choline fenofibrate;fenofibrate,CYP19A1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,zavegepant,INSR,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL206,desvenlafaxine,ESR1,1,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,sufentanil,PDGFRA,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,olmesartan,EGLN3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
