pair_id,drug_names,gene_symbol
RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,rasagiline,GBA1
GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2821,sufentanil,F12
WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL4282,ivosidenib,AKT1
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,pregabalin,ENPEP
XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,ozenoxacin,TYK2
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1974,glasdegib,FLT3
HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL4393,bempedoic acid,MMP12
DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,amantadine,GBA1
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,memantine,AR
VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,terazosin,PIK3CA
AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL206,brexanolone,ESR1
URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,quetiapine,ESRRG
LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,bupivacaine,MMP12
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL3045,ozanimod,PRKCB
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,pregabalin,REN
DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,naltrexone,PDE9A
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1978,etonogestrel,CYP19A1
HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,amlodipine,CA12
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,dasabuvir,AR
PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL5608,copanlisib,NTRK3
CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL3979,benoxinate,PPARD
HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,rucaparib,PIK3CB
MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,elexacaftor,PIK3CG
DUGOZIWVEXMGBE-CHWSQXEVSA-N__CHEMBL4816,dexmethylphenidate;serdexmethylphenidate,AKT3
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL3553,indacaterol,TYK2
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL2208,varenicline,MAPKAPK2
LXBIFEVIBLOUGU-DPYQTVNSSA-N__CHEMBL5216,migalastat,UMPS
FVTWTVQXNAJTQP-UHFFFAOYSA-N__CHEMBL5705,umeclidinium,EGLN3
XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4409,tedizolid,PDE10A
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,glasdegib,PDGFRA
OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,mebendazole,FGFR2
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,quinidine,ACVRL1
CYHWMBVXXDIZNZ-KRWDZBQOSA-N__CHEMBL3535,remimazolam,PDE9A
NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,avibactam,DPP4
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,labetalol,EGLN3
OYYDSUSKLWTMMQ-JKHIJQBDSA-N__CHEMBL5141,trospium,CYP26A1
XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL5608,tedizolid,NTRK3
ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,doravirine,NR3C1
IQPSEEYGBUAQFF-UHFFFAOYSA-N__CHEMBL4481,pantoprazole,NOS2
NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,nevirapine,AKT1
AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,relugolix,FLT1
XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,loxapine,NTRK3
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,dasabuvir,ALK
ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL3991,furosemide,F7
HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,levetiracetam,PDE9A
MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,brivaracetam,PDE9A
XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL2971,metformin,JAK2
YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,givinostat,FLT1
ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,tapinarof,ESR1
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,ozanimod,JAK2
DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,selinexor,ABL1
PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL4898,copanlisib,NTRK2
GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,vemurafenib,PIK3CA
DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,ketoprofen,PPARG
LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,belzutifan,AR
XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL402,tedizolid,HMGCR
STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,alpelisib,MMP12
GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2821,tetracaine,F12
FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,sapropterin,CHEK2
WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,lubiprostone,NR3C2
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,varenicline,NTRK3
XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,metformin,FLT3
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,dabrafenib,HDAC1
UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,pomalidomide,HDAC2
IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,piperacillin,CA1
RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,telmisartan,MME
IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,idelalisib,HDAC11
XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,betrixaban,F7
HGVDHZBSSITLCT-JLJPHGGASA-N__CHEMBL3991,edoxaban,F7
UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL1937,thalidomide,HDAC2
XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL325,baricitinib,HDAC1
RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,lisinopril,REN
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,nilotinib,GART
HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,ibuprofen,CA4
SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,duvelisib,HDAC11
GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,lenalidomide,HDAC2
XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL3310,baricitinib,HDAC11
AHOUBRCZNHFOSL-YOEHRIQHSA-N__CHEMBL2039,paroxetine,MAOB
HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL3310,ruxolitinib,HDAC11
WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,desonide,NR3C2
CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2039,aripiprazole;aripiprazole lauroxil,MAOB
NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL205,amisulpride,CA2
DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,tamsulosin,CA4
HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL2326,levamlodipine,CA7
AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL3729,esmolol,CA4
NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL3522,nevirapine,CYP17A1
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,labetalol,MME
SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,relebactam,MMP7
BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,arformoterol,CTSC
QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL2722,pilocarpine,CYP11B2
BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,morphine,CA7
SDUQYLNIPVEERB-QPPQHZFASA-N__CHEMBL1993,gemcitabine,DNMT1
GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL3522,clascoterone,CYP17A1
UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,macimorelin,ACE
RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL2085,acetaminophen,MIF
FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,solifenacin,CA7
UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,thalidomide,MIF
HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL202,levamlodipine,DHFR
IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,metoprolol,CA4
BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,oxycodone,CA7
WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,upadacitinib,PRKCB
QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL1908,pilocarpine,CYP11B1
HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,diltiazem,REN
JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,methylnaltrexone,FKBP1A
VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL1944,olmesartan,MME
GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,lenalidomide,AXL
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,etonogestrel,ESR2
BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL205,oxycodone,CA2
SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2189110,bictegravir,EZH2
IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1994,piperacillin,NR3C2
YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,esketamine,GSK3A
QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1944,articaine,MME
FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,ixabepilone,CSF1R
PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,etravirine,FLT3
OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,oxaprozin,FAAH
CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,darunavir,FKBP1A
UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,nimodipine,CA7
UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3310,thalidomide,HDAC11
SNICXCGAKADSCV-JTQLQIEISA-N__CHEMBL4523510,nicotine polacrilex,CYP46A1
LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,belzutifan,PGR
BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,cobimetinib,PARP2
LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,bupivacaine,CTSC
HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,lumateperone,COMT
XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL2252,hydroxychloroquine,CTSC
HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL3116,pemigatinib,CDK9
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,rilpivirine,FYN
UTNUDOFZCWSZMS-YFHOEESVSA-N__CHEMBL1929,teriflunomide,XDH
KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,rimegepant,REN
SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,bictegravir,MET
KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,tapentadol,ESR1
HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,pacritinib,CA7
NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,avibactam,MMP8
LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,calcipotriene,NR3C2
UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL3310,pomalidomide,HDAC11
CJOFXWAVKWHTFT-XSFVSMFZSA-N__CHEMBL2039,fluvoxamine,MAOB
LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,bupivacaine,FKBP1A
QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,sotagliflozin,REN
NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,avibactam,MMP7
SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL3310,mirdametinib,HDAC11
DMJNNHOOLUXYBV-PQTSNVLCSA-N__CHEMBL4073,meropenem,MMP7
MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL4523510,brivaracetam,CYP46A1
STZYTFJPGGDRJD-NHUWBDDWSA-N__CHEMBL1902,retapamulin,FKBP1A
WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,fluocinonide,PRKCB
AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL2326,esmolol,CA7
GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,methocarbamol,CA4
PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,etravirine,MAPK9
UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL2243,epinephrine,FAAH
WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,avanafil,FKBP1A
ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,furosemide,REN
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,ozanimod,PDE4D
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2722,ivabradine,CYP11B2
XDXWLKQMMKQXPV-QYQHSDTDSA-N__CHEMBL258,eltrombopag,LCK
ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL284,vorapaxar,DPP4
INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,guanfacine,GSK3A
PRMWGUBFXWROHD-UHFFFAOYSA-N__CHEMBL4523510,perampanel,CYP46A1
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,indacaterol,JAK3
VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,lacosamide,MAOB
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,dasabuvir,PGR
USZAGAREISWJDP-UHFFFAOYSA-N__CHEMBL2243,crisaborole,FAAH
ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL202,meloxicam,DHFR
NSQSAUGJQHDYNO-UHFFFAOYSA-N__CHEMBL202,tazemetostat,DHFR
INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,guanfacine,THRB
UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,tofacitinib,PARP2
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,indomethacin,CTSC
ZSKVGTPCRGIANV-ZXFLCMHBSA-N__CHEMBL2243,imipenem,FAAH
MKJIEFSOBYUXJB-WEZHFFAMSA-N__CHEMBL2063,deutetrabenazine,UGCG
IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,vaborbactam,CA1
ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL230,tapinarof,PTGS2
AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,brexanolone,ESR2
JBIMVDZLSHOPLA-LSCVHKIXSA-N__CHEMBL2034,olopatadine,NR3C1
IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,metoprolol,CA7
IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL1902,colchicine,FKBP1A
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,indacaterol,CA2
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,bumetanide,FAAH
MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,selegiline,ACE
JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,elvitegravir,MAPK8
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL1908,ivabradine,CYP11B1
JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL205,methylnaltrexone,CA2
XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,tizanidine,GSK3A
UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,nimodipine,CA12
UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,thalidomide,CDK9
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,glimepiride,CA4
WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL2815,enzalutamide,NTRK1
HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,lumateperone,ACHE
ASMXXROZKSBQIH-VITNCHFBSA-N__CHEMBL235,aclidinium,PPARG
VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,alprazolam,GSK3A
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,binimetinib,PARP2
IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,vaborbactam,MME
FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,ixabepilone,PRKCB
ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,aprepitant;fosaprepitant,HMGCR
OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,ticagrelor,PDE9A
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,memantine,NR3C2
XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,ranolazine,KDR
OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,carbinoxamine,FAAH
RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL2276,dolutegravir,MAPK8
HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL241,pemigatinib,PDE3A
IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,piperacillin,MME
HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,talazoparib,MET
JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,cyclobenzaprine,MAOB
PJDFLNIOAUIZSL-UHFFFAOYSA-N__CHEMBL4588,vigabatrin,MMP8
SECKRCOLJRRGGV-UHFFFAOYSA-N__CHEMBL2722,vardenafil,CYP11B2
GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,tetracaine,CTSC
SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,relebactam,MMP8
LIRYPHYGHXZJBZ-UHFFFAOYSA-N__CHEMBL202,trametinib,DHFR
ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,tapinarof,ALOX5
AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,palbociclib,REN
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,donepezil,PDE9A
DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,vibegron,NR3C2
CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,benoxinate,DHFR
WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,cabotegravir,PDE4D
WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,ivosidenib,GSK3B
IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,apremilast,JAK3
MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,dextromethorphan,CTSC
KGFYHTZWPPHNLQ-AWEZNQCLSA-N__CHEMBL258,rivaroxaban,LCK
FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,ondansetron,FAAH
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,glimepiride,REN
SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,mirdametinib,DHFR
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2063,selumetinib,UGCG
LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1871,calcipotriene,AR
HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL261,levamlodipine,CA1
UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,pomalidomide,NTRK2
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,vorinostat,ECE1
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,apixaban,CA4
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,donepezil,COMT
AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL1808,esmolol,ACE
ZKIAIYBUSXZPLP-UHFFFAOYSA-N__CHEMBL1827,brexpiprazole,PDE5A
WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,enzalutamide,BRAF
CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,palonosetron,FKBP1A
ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL2722,afatinib,CYP11B2
