排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,drugclip_common548x269_covered,A_consensus_drug_rank384,A_consensus_target_rank720,B_consensus_drug_rank384,B_consensus_target_rank720,dtiam_drug_rank384,dtiam_target_rank720,drugclip_drug_rank269,drugclip_target_rank548
127,C384-338,apremilast,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,False,13.0,192.0,168.0,317.0,252.0,182.0,,
128,C384-364,cabotegravir,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,True,51.0,221.0,202.0,266.0,166.0,209.0,46.0,22.0
129,C384-383,ivosidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,True,251.0,297.0,375.0,197.0,169.0,160.0,53.0,323.0
130,C384-049,pregabalin,ENPEP — Glutamyl aminopeptidase,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,True,38.0,257.0,216.0,369.0,222.0,700.0,213.0,374.0
131,C384-051,rasagiline,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,True,142.0,301.0,46.0,284.0,90.0,410.0,8.0,124.0
132,C384-145,vorinostat,ECE1 — Endothelin-converting enzyme 1,仍可探索,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,True,116.0,270.0,110.0,162.0,6.0,229.0,65.0,76.0
133,C384-234,palonosetron,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,True,134.0,112.0,100.0,102.0,183.0,443.0,2.0,29.0
134,C384-272,apixaban,CA4 — Carbonic anhydrase 4,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,True,138.0,271.0,223.0,209.0,240.0,228.0,91.0,210.0
135,C384-296,pomalidomide,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,True,150.0,469.0,71.0,182.0,233.0,564.0,213.0,344.0
136,C384-339,pramipexole,CA2 — Carbonic anhydrase 2,仍可探索,FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,True,20.0,221.0,1.0,100.0,279.0,679.0,160.0,218.0
137,C384-367,enzalutamide,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,True,29.0,233.0,62.0,230.0,259.0,400.0,103.0,320.0
138,C384-368,donepezil,COMT — Catechol O-methyltransferase,仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,True,140.0,422.0,66.0,412.0,18.0,527.0,182.0,426.0
139,C384-052,memantine,AR — Androgen receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,True,34.0,408.0,3.0,155.0,25.0,406.0,1.0,1.0
140,C384-053,amantadine,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,True,34.0,478.0,204.0,462.0,21.0,473.0,81.0,277.0
141,C384-146,labetalol,CA1 — Carbonic anhydrase 1,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,True,285.0,459.0,61.0,177.0,77.0,89.0,234.0,391.0
142,C384-236,xanomeline,CA4 — Carbonic anhydrase 4,仍可探索,JOLJIIDDOBNFHW-UHFFFAOYSA-N__CHEMBL3729,False,26.0,1.0,70.0,108.0,118.0,606.0,,
143,C384-237,glimepiride,MME — Neprilysin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,True,83.0,49.0,64.0,66.0,29.0,97.0,113.0,172.0
144,C384-238,pitavastatin,MME — Neprilysin,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1944,True,48.0,304.0,3.0,14.0,97.0,235.0,58.0,108.0
145,C384-240,afatinib,REN — Renin,仍可探索,ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL286,True,381.0,654.0,57.0,369.0,79.0,125.0,200.0,382.0
146,C384-273,metoclopramide,CA4 — Carbonic anhydrase 4,仍可探索,TTWJBBZEZQICBI-UHFFFAOYSA-N__CHEMBL3729,True,20.0,312.0,54.0,654.0,42.0,461.0,220.0,364.0
147,C384-369,rasagiline,ACE — Angiotensin-converting enzyme,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL1808,False,74.0,123.0,328.0,483.0,163.0,370.0,,
148,C384-370,lofexidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,KSMAGQUYOIHWFS-UHFFFAOYSA-N__CHEMBL2850,True,136.0,233.0,187.0,381.0,42.0,541.0,161.0,361.0
149,C384-371,lenalidomide,PRKCB — Protein kinase C beta type,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3045,True,129.0,362.0,227.0,153.0,199.0,522.0,70.0,114.0
150,C384-018,terazosin,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,False,91.0,259.0,227.0,522.0,107.0,422.0,,
151,C384-054,bupivacaine,MMP12 — Macrophage metalloelastase,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,False,26.0,442.0,236.0,664.0,120.0,463.0,,
152,C384-055,pregabalin,REN — Renin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,True,81.0,347.0,61.0,381.0,51.0,545.0,98.0,97.0
153,C384-147,rilpivirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,True,84.0,65.0,212.0,118.0,85.0,83.0,183.0,368.0
154,C384-149,guanfacine,ROCK2 — Rho-associated protein kinase 2,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,True,136.0,127.0,162.0,441.0,165.0,591.0,10.0,44.0
155,C384-241,larotrectinib,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL1902,True,272.0,231.0,162.0,10.0,121.0,27.0,60.0,333.0
156,C384-242,dolutegravir,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL4179,False,38.0,210.0,191.0,176.0,115.0,130.0,,
157,C384-243,ribociclib,REN — Renin,仍可探索,RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL286,True,222.0,590.0,14.0,517.0,343.0,325.0,247.0,506.0
158,C384-244,etravirine,TYMS — Thymidylate synthase,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1952,True,216.0,429.0,178.0,302.0,46.0,102.0,221.0,458.0
159,C384-245,etonogestrel,VDR — Vitamin D3 receptor,仍可探索,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,True,205.0,147.0,263.0,41.0,323.0,324.0,25.0,56.0
160,C384-173,quetiapine,ESRRG — Estrogen-related receptor gamma,仍可探索,URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,True,315.0,259.0,146.0,140.0,79.0,283.0,42.0,117.0
161,C384-174,naltrexone,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,True,195.0,438.0,306.0,519.0,63.0,407.0,146.0,321.0
162,C384-275,nicardipine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2243,True,133.0,191.0,164.0,231.0,141.0,395.0,156.0,327.0
163,C384-298,panobinostat,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,True,65.0,79.0,100.0,253.0,21.0,80.0,143.0,344.0
164,C384-348,enasidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,True,349.0,711.0,232.0,99.0,100.0,43.0,210.0,442.0
165,C384-350,tipiracil,TYMS — Thymidylate synthase,仍可探索,QQHMKNYGKVVGCZ-UHFFFAOYSA-N__CHEMBL1952,True,47.0,48.0,179.0,213.0,266.0,584.0,92.0,123.0
166,C384-019,dasabuvir,AR — Androgen receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,True,1.0,73.0,100.0,136.0,266.0,245.0,218.0,479.0
167,C384-077,elexacaftor,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",仍可探索,MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,False,327.0,392.0,191.0,56.0,51.0,2.0,,
168,C384-246,labetalol,ACE — Angiotensin-converting enzyme,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1808,False,331.0,537.0,303.0,416.0,293.0,401.0,,
169,C384-247,ubrogepant,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,False,113.0,51.0,94.0,29.0,310.0,54.0,,
170,C384-113,amlodipine,CA12 — Carbonic anhydrase 12,仍可探索,HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,True,8.0,191.0,1.0,25.0,72.0,322.0,19.0,80.0
171,C384-179,rucaparib,"PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",仍可探索,HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,False,105.0,34.0,373.0,294.0,225.0,215.0,,
172,C384-276,binimetinib,HDAC1 — Histone deacetylase 1,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL325,True,128.0,708.0,357.0,719.0,126.0,121.0,164.0,295.0
173,C384-351,albuterol,CTSC — Dipeptidyl peptidase 1,仍可探索,NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL2252,False,109.0,640.0,14.0,394.0,7.0,649.0,,
174,C384-373,mebendazole,HCK — Tyrosine-protein kinase HCK,仍可探索,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL3234,False,317.0,598.0,256.0,379.0,132.0,344.0,,
175,C384-057,quinidine,ACVRL1 — Activin receptor type-1-like,仍可探索,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,False,52.0,35.0,110.0,327.0,193.0,220.0,,
176,C384-059,avibactam,DPP4 — Dipeptidyl peptidase 4,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,False,35.0,356.0,3.0,93.0,119.0,362.0,,
177,C384-060,labetalol,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,True,10.0,119.0,157.0,420.0,8.0,353.0,57.0,76.0
178,C384-061,mebendazole,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,False,293.0,525.0,168.0,407.0,321.0,562.0,,
179,C384-150,methocarbamol,CA7 — Carbonic anhydrase 7,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,True,1.0,454.0,4.0,310.0,12.0,598.0,57.0,133.0
180,C384-249,bictegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276,True,1.0,49.0,111.0,17.0,149.0,155.0,143.0,284.0
181,C384-114,glasdegib,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,True,79.0,412.0,51.0,184.0,31.0,95.0,184.0,346.0
182,C384-299,asenapine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039,False,301.0,225.0,166.0,99.0,149.0,512.0,,
183,C384-354,binimetinib,DHFR — Dihydrofolate reductase,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202,True,141.0,631.0,116.0,714.0,189.0,252.0,253.0,536.0
184,C384-375,esketamine,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262,True,106.0,473.0,324.0,452.0,48.0,260.0,105.0,165.0
185,C384-062,nevirapine,AKT1 — RAC-alpha serine/threonine-protein kinase,仍可探索,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,True,223.0,365.0,274.0,420.0,233.0,191.0,139.0,399.0
186,C384-063,dasabuvir,ALK — ALK tyrosine kinase receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,False,125.0,236.0,46.0,129.0,294.0,191.0,,
187,C384-066,doravirine,NR3C1 — Glucocorticoid receptor,仍可探索,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,True,31.0,511.0,142.0,323.0,345.0,409.0,28.0,187.0
188,C384-078,relugolix,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,True,332.0,398.0,35.0,44.0,67.0,50.0,236.0,510.0
189,C384-193,roflumilast,ACHE — Acetylcholinesterase,仍可探索,MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,True,275.0,313.0,106.0,426.0,108.0,141.0,83.0,320.0
190,C384-251,glasdegib,FAAH — Fatty-acid amide hydrolase 1,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2243,True,220.0,536.0,171.0,258.0,133.0,196.0,9.0,29.0
191,C384-252,lubiprostone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1902,True,65.0,195.0,80.0,74.0,40.0,259.0,50.0,182.0
192,C384-253,vaborbactam,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1902,False,171.0,100.0,69.0,63.0,217.0,554.0,,
193,C384-254,ubrogepant,METAP2 — Methionine aminopeptidase 2,仍可探索,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,True,210.0,74.0,233.0,105.0,38.0,35.0,192.0,436.0
194,C384-255,mirabegron,MME — Neprilysin,仍可探索,PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1944,True,145.0,335.0,38.0,403.0,13.0,278.0,179.0,395.0
195,C384-280,silodosin,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,PNCPYILNMDWPEY-QGZVFWFLSA-N__CHEMBL1844,True,32.0,336.0,4.0,384.0,59.0,130.0,96.0,157.0
196,C384-185,loxapine,NTRK3 — NT-3 growth factor receptor,仍可探索,XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,False,153.0,224.0,64.0,178.0,76.0,325.0,,
197,C384-186,brivaracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,True,75.0,544.0,132.0,208.0,63.0,506.0,257.0,511.0
198,C384-187,levetiracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,True,31.0,410.0,45.0,253.0,92.0,650.0,195.0,466.0
199,C384-357,enasidenib,LCK — Tyrosine-protein kinase Lck,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,True,165.0,532.0,214.0,149.0,240.0,154.0,2.0,19.0
200,C384-358,duvelisib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL5366,False,66.0,385.0,52.0,82.0,119.0,164.0,,
201,C384-359,desoximetasone,RARB — Retinoic acid receptor beta,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL2008,True,241.0,356.0,154.0,219.0,332.0,230.0,64.0,186.0
202,C384-379,gepirone,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,QOIGKGMMAGJZNZ-UHFFFAOYSA-N__CHEMBL262,True,28.0,26.0,357.0,501.0,238.0,577.0,73.0,138.0
203,C384-023,tapinarof,ESR1 — Estrogen receptor,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,True,172.0,246.0,126.0,107.0,11.0,85.0,17.0,22.0
204,C384-024,givinostat,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,True,319.0,296.0,95.0,199.0,56.0,103.0,117.0,153.0
205,C384-025,ozanimod,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,True,170.0,204.0,235.0,97.0,315.0,75.0,254.0,436.0
206,C384-151,ranolazine,CA7 — Carbonic anhydrase 7,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,True,29.0,243.0,145.0,358.0,25.0,458.0,206.0,402.0
207,C384-152,rilpivirine,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,True,67.0,59.0,234.0,130.0,120.0,70.0,114.0,289.0
208,C384-153,dasabuvir,NR3C1 — Glucocorticoid receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,True,10.0,227.0,124.0,217.0,141.0,101.0,252.0,523.0
209,C384-257,indapamide,ACE — Angiotensin-converting enzyme,仍可探索,NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1808,False,157.0,304.0,70.0,229.0,156.0,109.0,,
210,C384-258,vibegron,ROCK2 — Rho-associated protein kinase 2,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,True,181.0,129.0,8.0,170.0,138.0,83.0,92.0,185.0
211,C384-259,nalmefene,VDR — Vitamin D3 receptor,仍可探索,WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1977,True,269.0,212.0,204.0,187.0,308.0,283.0,100.0,153.0
212,C384-188,selinexor,ABL1 — Tyrosine-protein kinase ABL1,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,True,85.0,122.0,53.0,120.0,320.0,377.0,171.0,329.0
213,C384-221,rosuvastatin,NR3C2 — Mineralocorticoid receptor,仍可探索,BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,True,10.0,270.0,219.0,534.0,82.0,288.0,267.0,507.0
214,C384-361,tasimelteon,NR3C1 — Glucocorticoid receptor,仍可探索,PTOIAAWZLUQTIO-GXFFZTMASA-N__CHEMBL2034,True,47.0,521.0,176.0,689.0,193.0,303.0,6.0,48.0
215,C384-067,sapropterin,CHEK2 — Serine/threonine-protein kinase Chk2,仍可探索,FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,False,181.0,171.0,179.0,305.0,148.0,466.0,,
216,C384-070,lubiprostone,NR3C2 — Mineralocorticoid receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,True,3.0,216.0,286.0,530.0,89.0,392.0,172.0,396.0
217,C384-071,varenicline,NTRK3 — NT-3 growth factor receptor,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,False,317.0,677.0,209.0,642.0,173.0,363.0,,
218,C384-086,belzutifan,AR — Androgen receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,True,3.0,54.0,48.0,70.0,58.0,33.0,207.0,461.0
219,C384-263,bictegravir,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL5366,True,199.0,201.0,201.0,96.0,30.0,105.0,6.0,26.0
220,C384-115,ketoprofen,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,True,180.0,525.0,186.0,568.0,371.0,711.0,106.0,115.0
221,C384-130,vemurafenib,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,False,379.0,669.0,174.0,685.0,228.0,27.0,,
222,C384-190,metformin,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,True,330.0,679.0,121.0,532.0,228.0,688.0,62.0,150.0
223,C384-191,alpelisib,MMP12 — Macrophage metalloelastase,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,False,66.0,598.0,275.0,716.0,119.0,113.0,,
224,C384-092,pomalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,False,121.0,589.0,20.0,81.0,289.0,563.0,,
225,C384-116,dabrafenib,HDAC1 — Histone deacetylase 1,先解决具体问题,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,True,357.0,679.0,379.0,656.0,293.0,55.0,267.0,525.0
226,C384-117,telmisartan,MME — Neprilysin,先解决具体问题,RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,False,318.0,486.0,101.0,343.0,106.0,435.0,,
227,C384-088,esmolol,CA4 — Carbonic anhydrase 4,先解决具体问题,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL3729,True,28.0,608.0,7.0,551.0,86.0,702.0,214.0,290.0
228,C384-090,levamlodipine,CA7 — Carbonic anhydrase 7,先解决具体问题,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL2326,True,9.0,234.0,7.0,69.0,23.0,339.0,7.0,28.0
229,C384-091,nevirapine,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL3522,True,307.0,558.0,273.0,463.0,42.0,127.0,167.0,386.0
230,C384-284,pilocarpine,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL2722,True,39.0,236.0,1.0,110.0,3.0,137.0,21.0,10.0
231,C384-079,idelalisib,HDAC11 — Histone deacetylase 11,先解决具体问题,IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,False,183.0,710.0,173.0,704.0,143.0,76.0,,
232,C384-097,betrixaban,F7 — Coagulation factor VII,先解决具体问题,XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,False,288.0,85.0,371.0,564.0,31.0,61.0,,
233,C384-002,tedizolid,NTRK2 — BDNF/NT-3 growth factors receptor,先解决具体问题,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,False,284.0,419.0,104.0,179.0,206.0,276.0,,
234,C384-095,clascoterone,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL3522,True,262.0,569.0,145.0,114.0,58.0,474.0,74.0,232.0
235,C384-096,levamlodipine,DHFR — Dihydrofolate reductase,先解决具体问题,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL202,True,69.0,287.0,159.0,376.0,45.0,209.0,140.0,329.0
236,C384-099,acetaminophen,MIF — Macrophage migration inhibitory factor,先解决具体问题,RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL2085,False,142.0,608.0,30.0,575.0,44.0,671.0,,
237,C384-195,gemcitabine,DNMT1 — DNA (cytosine-5)-methyltransferase 1,先解决具体问题,SDUQYLNIPVEERB-QPPQHZFASA-N__CHEMBL1993,False,99.0,635.0,228.0,216.0,36.0,99.0,,
238,C384-286,pilocarpine,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",先解决具体问题,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL1908,True,44.0,248.0,2.0,80.0,9.0,260.0,52.0,35.0
239,C384-101,thalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL1937,False,45.0,591.0,134.0,281.0,349.0,671.0,,
240,C384-100,etonogestrel,ESR2 — Estrogen receptor beta,先解决具体问题,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,True,127.0,117.0,73.0,29.0,9.0,73.0,10.0,54.0
241,C384-159,bictegravir,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2189110,True,69.0,206.0,216.0,91.0,302.0,256.0,62.0,102.0
242,C384-160,baricitinib,HDAC1 — Histone deacetylase 1,先解决具体问题,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL325,True,231.0,640.0,253.0,566.0,257.0,39.0,148.0,314.0
243,C384-161,articaine,MME — Neprilysin,先解决具体问题,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1944,True,165.0,346.0,273.0,550.0,17.0,496.0,45.0,50.0
244,C384-266,oxycodone,CA2 — Carbonic anhydrase 2,先解决具体问题,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL205,True,10.0,120.0,11.0,381.0,198.0,592.0,15.0,17.0
245,C384-154,bempedoic acid,MMP3 — Stromelysin-1,先解决具体问题,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,False,145.0,227.0,312.0,444.0,348.0,543.0,,
246,C384-223,olmesartan,MME — Neprilysin,先解决具体问题,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL1944,False,77.0,182.0,4.0,56.0,118.0,486.0,,
247,C384-081,duvelisib,HDAC11 — Histone deacetylase 11,先解决具体问题,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,False,313.0,675.0,335.0,482.0,143.0,91.0,,
248,C384-118,nilotinib,GART — Trifunctional purine biosynthetic protein adenosine-3,先解决具体问题,HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,True,321.0,672.0,315.0,635.0,151.0,3.0,131.0,190.0
249,C384-041,landiolol,CYP26A1 — Cytochrome P450 26A1,先解决具体问题,WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,True,173.0,408.0,126.0,484.0,254.0,382.0,224.0,309.0
250,C384-104,rilpivirine,YES1 — Tyrosine-protein kinase Yes,先解决具体问题,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2073,True,121.0,91.0,98.0,84.0,19.0,69.0,5.0,34.0
251,C384-075,capmatinib,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,True,302.0,719.0,362.0,720.0,277.0,163.0,34.0,124.0
