pair_id,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence
SECKRCOLJRRGGV-UHFFFAOYSA-N__CHEMBL2243,vardenafil,FAAH,CHEMBL2243,0.85668087,False,False,False
SECKRCOLJRRGGV-UHFFFAOYSA-N__CHEMBL2722,vardenafil,CYP11B2,CHEMBL2722,0.9171862,True,True,False
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1844,glasdegib,CSF1R,CHEMBL1844,0.8666049,False,False,False
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1862,glasdegib,ABL1,CHEMBL1862,0.8014868,False,False,False
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1974,glasdegib,FLT3,CHEMBL1974,0.8052073,True,True,False
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,glasdegib,PDGFRA,CHEMBL2007,0.836181,True,True,False
SGEGOXDYSFKCPT-UHFFFAOYSA-N__CHEMBL2039,vilazodone,MAOB,CHEMBL2039,0.865078,False,False,False
SGEGOXDYSFKCPT-UHFFFAOYSA-N__CHEMBL205,vilazodone,CA2,CHEMBL205,0.86616945,False,False,False
SGEGOXDYSFKCPT-UHFFFAOYSA-N__CHEMBL220,vilazodone,ACHE,CHEMBL220,0.93502325,False,False,False
SGEGOXDYSFKCPT-UHFFFAOYSA-N__CHEMBL3729,vilazodone,CA4,CHEMBL3729,0.9130943,False,False,False
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,labetalol,MME,CHEMBL1944,0.78055596,True,True,False
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,labetalol,CA1,CHEMBL261,0.571437,True,True,False
SHGAZHPCJJPHSC-YCNIQYBTSA-N__CHEMBL2292,tretinoin,DYRK1A,CHEMBL2292,0.6819878,False,False,False
SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,duvelisib,HDAC11,CHEMBL3310,0.78157306,True,True,False
SOYKEARSMXGVTM-UHFFFAOYSA-N__CHEMBL2252,chlorpheniramine,CTSC,CHEMBL2252,0.79563534,False,False,False
STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL1902,alpelisib,FKBP1A,CHEMBL1902,0.91389555,False,False,False
STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,alpelisib,MMP12,CHEMBL4393,0.8134723,True,True,False
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,bazedoxifene,THRB,CHEMBL1947,0.911058,True,True,False
