scope,direction,left,right,queries,candidates_per_query,valid_spearman_queries,mean_spearman,median_spearman,mean_top20_intersection,mean_top20_overlap_fraction,random_independent_top20_overlap_fraction
full720x384,target_to_drug,legacy_spr_ranker,dtiam,384,720,384,0.5901435564340962,0.595962256800663,3.6354166666666665,0.18177083333333333,0.027777777777777776
full720x384,target_to_drug,old_neural,A_consensus,384,720,384,0.05830073305742641,0.04639709631641522,1.3645833333333333,0.06822916666666666,0.027777777777777776
full720x384,target_to_drug,old_neural,B_consensus,384,720,384,0.06360690147070334,0.05226458448672419,1.90625,0.0953125,0.027777777777777776
full720x384,target_to_drug,old_neural,dtiam,384,720,384,0.05191234132484469,0.022352419387034445,2.2109375,0.110546875,0.027777777777777776
full720x384,target_to_drug,A_consensus,B_consensus,384,720,384,0.517166473485139,0.5236571476153824,4.971354166666667,0.24856770833333336,0.027777777777777776
full720x384,target_to_drug,A_consensus,dtiam,384,720,384,0.2582584988247099,0.268129037265211,1.4739583333333333,0.07369791666666667,0.027777777777777776
full720x384,target_to_drug,B_consensus,dtiam,384,720,384,0.31203326018877675,0.31767133435816197,4.138020833333333,0.20690104166666665,0.027777777777777776
drugclip_common548x269,drug_to_target,legacy_spr_ranker,old_neural,548,269,548,0.20225074468170945,0.2258607828268817,4.748175182481752,0.2374087591240876,0.07434944237918216
drugclip_common548x269,drug_to_target,legacy_spr_ranker,A_consensus,548,269,548,0.11500321746829599,0.12235230292157552,3.125912408759124,0.1562956204379562,0.07434944237918216
drugclip_common548x269,drug_to_target,legacy_spr_ranker,B_consensus,548,269,548,0.21655833444336178,0.22119483129581338,4.315693430656935,0.21578467153284672,0.07434944237918216
drugclip_common548x269,drug_to_target,legacy_spr_ranker,dtiam,548,269,548,0.3829361039032805,0.3830811863852978,6.677007299270073,0.3338503649635037,0.07434944237918216
drugclip_common548x269,drug_to_target,legacy_spr_ranker,drugclip,548,269,548,0.05360481862841853,0.04993865862755614,1.8667883211678833,0.09333941605839416,0.07434944237918216
drugclip_common548x269,drug_to_target,old_neural,A_consensus,548,269,548,0.22445103101401237,0.23602772999932187,4.883211678832117,0.24416058394160584,0.07434944237918216
drugclip_common548x269,drug_to_target,old_neural,B_consensus,548,269,548,0.2503784061633711,0.2681357771242918,5.645985401459854,0.2822992700729927,0.07434944237918216
drugclip_common548x269,drug_to_target,old_neural,dtiam,548,269,548,0.25028132207013665,0.2610164789435721,4.366788321167883,0.21833941605839416,0.07434944237918216
drugclip_common548x269,drug_to_target,old_neural,drugclip,548,269,548,0.05737275868810506,0.04953331237246235,2.2153284671532845,0.11076642335766422,0.07434944237918216
drugclip_common548x269,drug_to_target,A_consensus,B_consensus,548,269,548,0.33277123810996706,0.33659737249317234,5.406934306569343,0.27034671532846716,0.07434944237918216
drugclip_common548x269,drug_to_target,A_consensus,dtiam,548,269,548,0.15526841890255608,0.15747039276973251,2.990875912408759,0.14954379562043796,0.07434944237918216
drugclip_common548x269,drug_to_target,A_consensus,drugclip,548,269,548,0.03773315219312358,0.03686770607926908,1.9543795620437956,0.09771897810218978,0.07434944237918216
drugclip_common548x269,drug_to_target,B_consensus,dtiam,548,269,548,0.2790469612812057,0.2920996011269551,5.100364963503649,0.2550182481751825,0.07434944237918216
drugclip_common548x269,drug_to_target,B_consensus,drugclip,548,269,548,0.06572703709290882,0.0627633209417596,1.9635036496350364,0.09817518248175182,0.07434944237918216
drugclip_common548x269,drug_to_target,dtiam,drugclip,548,269,548,0.059304657423579835,0.05999956845265617,1.551094890510949,0.07755474452554745,0.07434944237918216
drugclip_common548x269,target_to_drug,legacy_spr_ranker,old_neural,269,548,269,0.13493263641175737,0.11540640626383517,4.115241635687732,0.2057620817843866,0.0364963503649635
drugclip_common548x269,target_to_drug,legacy_spr_ranker,A_consensus,269,548,269,0.18184561690571105,0.19074936784188998,1.4089219330855018,0.07044609665427509,0.0364963503649635
drugclip_common548x269,target_to_drug,legacy_spr_ranker,B_consensus,269,548,269,0.2057229548456338,0.20914670062312887,2.37546468401487,0.11877323420074351,0.0364963503649635
drugclip_common548x269,target_to_drug,legacy_spr_ranker,dtiam,269,548,269,0.61651816960942,0.623851228480262,4.026022304832714,0.2013011152416357,0.0364963503649635
drugclip_common548x269,target_to_drug,legacy_spr_ranker,drugclip,269,548,269,-0.02263099684523384,-0.033719304243526614,1.003717472118959,0.05018587360594795,0.0364963503649635
drugclip_common548x269,target_to_drug,old_neural,A_consensus,269,548,269,0.06754815147942099,0.05824350982150364,1.7472118959107807,0.08736059479553904,0.0364963503649635
drugclip_common548x269,target_to_drug,old_neural,B_consensus,269,548,269,0.06785586464346706,0.05980047743020425,2.3271375464684017,0.11635687732342008,0.0364963503649635
drugclip_common548x269,target_to_drug,old_neural,dtiam,269,548,269,0.06383584000191424,0.01369580352455372,2.5724907063197024,0.1286245353159851,0.0364963503649635
drugclip_common548x269,target_to_drug,old_neural,drugclip,269,548,269,0.06027693110521537,0.0673954342610314,1.204460966542751,0.060223048327137554,0.0364963503649635
drugclip_common548x269,target_to_drug,A_consensus,B_consensus,269,548,269,0.5162741055577779,0.5192093941323642,5.438661710037175,0.27193308550185874,0.0364963503649635
drugclip_common548x269,target_to_drug,A_consensus,dtiam,269,548,269,0.250575824869911,0.2617098210469682,2.029739776951673,0.10148698884758364,0.0364963503649635
drugclip_common548x269,target_to_drug,A_consensus,drugclip,269,548,269,0.0014901497410009514,0.005446688625510132,0.6394052044609665,0.03197026022304832,0.0364963503649635
drugclip_common548x269,target_to_drug,B_consensus,dtiam,269,548,269,0.30809218806175664,0.31511938590922806,4.5724907063197024,0.22862453531598512,0.0364963503649635
drugclip_common548x269,target_to_drug,B_consensus,drugclip,269,548,269,0.004248787821673275,0.011197522618943188,0.8513011152416357,0.042565055762081784,0.0364963503649635
drugclip_common548x269,target_to_drug,dtiam,drugclip,269,548,269,-0.05958204494992595,-0.08530592908698101,1.0148698884758365,0.05074349442379182,0.0364963503649635
