排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,药物完整InChIKey,新靶点ChEMBL编号,full720x384_covered,full720x384__legacy_spr_ranker__drug_to_target_rank,full720x384__old_neural__drug_to_target_rank,full720x384__A_consensus__drug_to_target_rank,full720x384__B_consensus__drug_to_target_rank,full720x384__dtiam__drug_to_target_rank,full720x384__legacy_spr_ranker__target_to_drug_rank,full720x384__old_neural__target_to_drug_rank,full720x384__A_consensus__target_to_drug_rank,full720x384__B_consensus__target_to_drug_rank,full720x384__dtiam__target_to_drug_rank,drugclip_common548x269_covered,drugclip_common548x269__legacy_spr_ranker__drug_to_target_rank,drugclip_common548x269__old_neural__drug_to_target_rank,drugclip_common548x269__A_consensus__drug_to_target_rank,drugclip_common548x269__B_consensus__drug_to_target_rank,drugclip_common548x269__dtiam__drug_to_target_rank,drugclip_common548x269__drugclip__drug_to_target_rank,drugclip_common548x269__legacy_spr_ranker__target_to_drug_rank,drugclip_common548x269__old_neural__target_to_drug_rank,drugclip_common548x269__A_consensus__target_to_drug_rank,drugclip_common548x269__B_consensus__target_to_drug_rank,drugclip_common548x269__dtiam__target_to_drug_rank,drugclip_common548x269__drugclip__target_to_drug_rank
30,C384-162,bupivacaine,CTSC — Dipeptidyl peptidase 1,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL2252,True,4.0,24.0,84.0,29.0,22.0,100.0,85.0,505.0,544.0,591.0,False,,,,,,,,,,,,
31,C384-163,belzutifan,PGR — Progesterone receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,LOMMPXLFBTZENJ-ZACQAIPSSA-N,CHEMBL208,True,4.0,7.0,5.0,29.0,32.0,19.0,34.0,87.0,87.0,22.0,True,2.0,5.0,4.0,19.0,22.0,45.0,13.0,22.0,64.0,67.0,17.0,170.0
32,C384-198,oxaprozin,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,OFPXSFXSNFPTHF-UHFFFAOYSA-N,CHEMBL2243,True,4.0,82.0,151.0,31.0,108.0,179.0,326.0,454.0,411.0,558.0,True,4.0,66.0,115.0,20.0,86.0,209.0,152.0,256.0,355.0,307.0,432.0,401.0
33,C384-290,cobimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,BSMCAPRUBJMWDF-KRWDZBQOSA-N,CHEMBL5366,True,4.0,269.0,257.0,263.0,41.0,93.0,544.0,716.0,714.0,132.0,True,4.0,184.0,183.0,179.0,32.0,29.0,80.0,423.0,544.0,542.0,115.0,187.0
34,C384-305,lumateperone,COMT — Catechol O-methyltransferase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL2023,True,4.0,205.0,329.0,289.0,21.0,105.0,623.0,167.0,140.0,373.0,True,4.0,165.0,232.0,199.0,13.0,114.0,90.0,486.0,122.0,108.0,299.0,244.0
35,C384-307,tafamidis,RARB — Retinoic acid receptor beta,仍可探索,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,TXEIIPDJKFWEEC-UHFFFAOYSA-N,CHEMBL2008,True,4.0,20.0,147.0,5.0,192.0,6.0,11.0,267.0,118.0,371.0,True,4.0,15.0,118.0,1.0,145.0,4.0,3.0,8.0,202.0,93.0,294.0,6.0
36,C384-006,pregabalin,MME — Neprilysin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL1944,True,5.0,19.0,55.0,38.0,39.0,268.0,145.0,320.0,328.0,697.0,True,3.0,15.0,35.0,24.0,28.0,97.0,211.0,110.0,239.0,239.0,533.0,157.0
37,C384-027,cabotegravir,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CHEMBL1935,True,5.0,78.0,115.0,100.0,75.0,3.0,210.0,120.0,76.0,147.0,True,3.0,57.0,83.0,72.0,56.0,157.0,3.0,157.0,95.0,62.0,115.0,273.0
38,C384-164,pacritinib,CA7 — Carbonic anhydrase 7,仍可探索,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2326,True,5.0,371.0,22.0,68.0,118.0,46.0,602.0,460.0,567.0,187.0,True,5.0,263.0,12.0,46.0,86.0,232.0,36.0,458.0,349.0,419.0,149.0,492.0
39,C384-166,bictegravir,MET — Hepatocyte growth factor receptor,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,SOLUWJRYJLAZCX-LYOVBCGYSA-N,CHEMBL3717,True,5.0,277.0,52.0,247.0,134.0,32.0,532.0,171.0,194.0,114.0,True,3.0,186.0,44.0,176.0,91.0,70.0,32.0,421.0,123.0,142.0,99.0,206.0
40,C384-167,rimegepant,REN — Renin,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL286,True,5.0,25.0,2.0,175.0,19.0,26.0,121.0,7.0,148.0,28.0,True,4.0,17.0,1.0,123.0,13.0,123.0,16.0,97.0,6.0,112.0,25.0,245.0
41,C384-217,calcipotriene,NR3C2 — Mineralocorticoid receptor,仍可探索,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL1994,True,5.0,16.0,1.0,104.0,16.0,170.0,411.0,10.0,26.0,107.0,True,5.0,15.0,1.0,69.0,10.0,10.0,138.0,313.0,6.0,19.0,87.0,85.0
42,C384-122,olanzapine,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,仍可探索,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,KVWDHTXUZHCGIO-UHFFFAOYSA-N,CHEMBL2292,True,5.0,217.0,259.0,172.0,113.0,47.0,384.0,563.0,263.0,505.0,False,,,,,,,,,,,,
43,C384-291,avibactam,MMP8 — Neutrophil collagenase,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,NDCUAPJVLWFHHB-UHNVWZDZSA-N,CHEMBL4588,True,5.0,100.0,20.0,45.0,44.0,201.0,143.0,229.0,88.0,231.0,True,3.0,76.0,8.0,28.0,36.0,84.0,161.0,112.0,166.0,62.0,186.0,132.0
44,C384-308,tapentadol,ESR1 — Estrogen receptor,仍可探索,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,KWTWDQCKEHXFFR-SMDDNHRTSA-N,CHEMBL206,True,5.0,9.0,316.0,98.0,194.0,66.0,19.0,573.0,275.0,623.0,True,5.0,9.0,224.0,67.0,132.0,3.0,46.0,8.0,434.0,210.0,475.0,1.0
45,C384-008,lubiprostone,AR — Androgen receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,WGFOBBZOWHGYQH-MXHNKVEKSA-N,CHEMBL1871,True,6.0,167.0,38.0,236.0,50.0,137.0,391.0,311.0,382.0,156.0,True,4.0,119.0,25.0,166.0,36.0,187.0,110.0,291.0,235.0,295.0,128.0,464.0
46,C384-199,bupivacaine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1902,True,6.0,147.0,121.0,238.0,310.0,16.0,166.0,425.0,667.0,616.0,True,3.0,97.0,78.0,166.0,220.0,1.0,11.0,125.0,323.0,504.0,466.0,5.0
47,C384-200,sotagliflozin,REN — Renin,仍可探索,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,QKDRXGFQVGOQKS-CRSSMBPESA-N,CHEMBL286,True,6.0,27.0,266.0,208.0,156.0,38.0,322.0,258.0,47.0,246.0,True,5.0,22.0,203.0,151.0,110.0,100.0,27.0,246.0,189.0,32.0,206.0,140.0
48,C384-084,glasdegib,KIT — Mast/stem cell growth factor receptor Kit,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,SFNSLLSYNZWZQG-VQIMIIECSA-N,CHEMBL1936,True,6.0,211.0,215.0,20.0,35.0,22.0,163.0,538.0,145.0,94.0,False,,,,,,,,,,,,
49,C384-131,selinexor,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,DEVSOMFAQLZNKR-RJRFIUFISA-N,CHEMBL5145,True,6.0,261.0,157.0,24.0,236.0,79.0,503.0,112.0,102.0,228.0,True,5.0,179.0,105.0,15.0,170.0,53.0,68.0,404.0,83.0,82.0,189.0,55.0
50,C384-310,avibactam,MMP7 — Matrilysin,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,NDCUAPJVLWFHHB-UHNVWZDZSA-N,CHEMBL4073,True,6.0,218.0,107.0,249.0,176.0,226.0,91.0,343.0,92.0,348.0,True,4.0,153.0,66.0,178.0,125.0,233.0,182.0,71.0,262.0,67.0,272.0,489.0
51,C384-321,fluocinonide,PRKCB — Protein kinase C beta type,仍可探索,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,WJOHZNCJWYWUJD-IUGZLZTKSA-N,CHEMBL3045,True,6.0,250.0,80.0,164.0,113.0,183.0,600.0,162.0,105.0,233.0,True,6.0,197.0,50.0,104.0,82.0,213.0,149.0,467.0,120.0,82.0,183.0,473.0
52,C384-032,desonide,NR3C2 — Mineralocorticoid receptor,仍可探索,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,WBGKWQHBNHJJPZ-LECWWXJVSA-N,CHEMBL1994,True,7.0,2.0,1.0,5.0,19.0,473.0,15.0,64.0,53.0,451.0,True,7.0,2.0,1.0,3.0,10.0,32.0,362.0,7.0,40.0,40.0,349.0,152.0
53,C384-009,alpelisib,DPP4 — Dipeptidyl peptidase 4,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,STUWGJZDJHPWGZ-LBPRGKRZSA-N,CHEMBL284,True,7.0,34.0,18.0,121.0,167.0,8.0,358.0,598.0,702.0,88.0,False,,,,,,,,,,,,
54,C384-031,atrasentan,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,MOTJMGVDPWRKOC-QPVYNBJUSA-N,CHEMBL5705,True,7.0,191.0,53.0,107.0,10.0,412.0,444.0,590.0,651.0,495.0,True,3.0,132.0,37.0,66.0,8.0,142.0,326.0,354.0,441.0,492.0,387.0,279.0
55,C384-201,methocarbamol,CA4 — Carbonic anhydrase 4,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,GNXFOGHNGIVQEH-UHFFFAOYSA-N,CHEMBL3729,True,7.0,2.0,14.0,5.0,39.0,262.0,20.0,616.0,313.0,668.0,True,4.0,2.0,10.0,5.0,29.0,100.0,211.0,16.0,471.0,222.0,510.0,148.0
56,C384-204,avanafil,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,WEAJZXNPAWBCOA-INIZCTEOSA-N,CHEMBL1902,True,7.0,312.0,233.0,250.0,30.0,3.0,464.0,379.0,489.0,99.0,True,7.0,227.0,162.0,178.0,19.0,102.0,3.0,356.0,286.0,363.0,90.0,412.0
57,C384-205,indacaterol,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL2148,True,7.0,297.0,347.0,363.0,248.0,74.0,567.0,598.0,570.0,113.0,False,,,,,,,,,,,,
58,C384-207,etravirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL4179,True,7.0,338.0,87.0,212.0,167.0,19.0,144.0,340.0,275.0,162.0,True,7.0,231.0,49.0,151.0,123.0,92.0,19.0,122.0,255.0,210.0,140.0,211.0
59,C384-132,diltiazem,MMP12 — Macrophage metalloelastase,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL4393,True,7.0,50.0,27.0,39.0,80.0,175.0,162.0,142.0,245.0,316.0,False,,,,,,,,,,,,
60,C384-313,ozanimod,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,XRVDGNKRPOAQTN-FQEVSTJZSA-N,CHEMBL288,True,7.0,17.0,237.0,13.0,179.0,7.0,56.0,297.0,37.0,56.0,True,5.0,13.0,161.0,7.0,139.0,154.0,6.0,49.0,234.0,29.0,51.0,283.0
61,C384-314,furosemide,REN — Renin,仍可探索,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,CHEMBL286,True,7.0,28.0,21.0,206.0,280.0,50.0,265.0,263.0,674.0,541.0,True,7.0,26.0,13.0,146.0,198.0,144.0,37.0,202.0,194.0,509.0,423.0,193.0
62,C384-322,guanfacine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,INJOMKTZOLKMBF-UHFFFAOYSA-N,CHEMBL2850,True,7.0,359.0,204.0,314.0,20.0,194.0,276.0,215.0,520.0,334.0,True,4.0,247.0,122.0,213.0,15.0,235.0,169.0,219.0,161.0,388.0,256.0,478.0
63,C384-010,lasmiditan,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,XEDHVZKDSYZQBF-UHFFFAOYSA-N,CHEMBL1974,True,8.0,352.0,65.0,125.0,125.0,64.0,170.0,454.0,479.0,138.0,True,3.0,242.0,46.0,87.0,80.0,146.0,59.0,133.0,344.0,366.0,121.0,318.0
64,C384-033,pregabalin,ACE — Angiotensin-converting enzyme,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL1808,True,8.0,40.0,100.0,187.0,91.0,114.0,106.0,340.0,370.0,631.0,False,,,,,,,,,,,,
65,C384-034,etravirine,SRC — Proto-oncogene tyrosine-protein kinase Src,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL267,True,8.0,45.0,145.0,199.0,29.0,35.0,46.0,404.0,226.0,90.0,True,8.0,37.0,85.0,142.0,20.0,266.0,32.0,41.0,307.0,173.0,80.0,529.0
