ligand_inchikey,drug_names,drug_feature_index,target_chembl_id,gene_symbol,target_feature_index,dtiam_probability,dtiam_validation_calibrated_probability,dtiam_model_version,dtiam_drug_rank,dtiam_target_rank
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL1919,CACNA2D1,59,0.9497023,0.9100715310170535,dtiam_a_kdki_inactive_20260917,4,250
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL205,CA2,107,0.9143249,0.86113916766265,dtiam_a_kdki_inactive_20260917,9,87
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL220,ACHE,127,0.97409815,0.9481370024148135,dtiam_a_kdki_inactive_20260917,2,3
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL228,SLC6A4,134,0.9364107,0.8910147825849242,dtiam_a_kdki_inactive_20260917,7,68
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL2326,CA7,141,0.9597386,0.9251564546120268,dtiam_a_kdki_inactive_20260917,3,125
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL3242,CA12,231,0.9458757,0.9044872138856204,dtiam_a_kdki_inactive_20260917,5,227
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL4296,SCN9A,311,0.94347155,0.9010209791042155,dtiam_a_kdki_inactive_20260917,6,202
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL4588,MMP8,329,0.8947057,0.8360579207364871,dtiam_a_kdki_inactive_20260917,10,168
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL1827,PDE5A,26,0.9437551,0.9014281445954614,dtiam_a_kdki_inactive_20260917,10,101
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL1944,MME,67,0.98694336,0.9708324797323297,dtiam_a_kdki_inactive_20260917,4,5
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL1962,GABRA1,72,0.9881071,0.9730443396213194,dtiam_a_kdki_inactive_20260917,3,155
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL280,MMP13,185,0.99184823,0.9804238245807758,dtiam_a_kdki_inactive_20260917,2,4
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL3026,GABRA3,210,0.98261535,0.9628737649187022,dtiam_a_kdki_inactive_20260917,5,211
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL3242,CA12,231,0.9631834,0.9305009067671787,dtiam_a_kdki_inactive_20260917,8,158
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL4393,MMP12,317,0.9733625,0.9469096098150733,dtiam_a_kdki_inactive_20260917,6,35
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL4409,PDE10A,318,0.97243977,0.9453788464140591,dtiam_a_kdki_inactive_20260917,7,146
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL4588,MMP8,329,0.9596904,0.9250822977955114,dtiam_a_kdki_inactive_20260917,9,62
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,2,CHEMBL4956,GABRA2,349,0.9951914,0.9875019012137128,dtiam_a_kdki_inactive_20260917,1,60
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL1919,CACNA2D1,59,0.45774466,0.41270365352954613,dtiam_a_kdki_inactive_20260917,6,651
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL1962,GABRA1,72,0.7448583,0.6708862653484904,dtiam_a_kdki_inactive_20260917,4,636
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL205,CA2,107,0.3654053,0.336004461048033,dtiam_a_kdki_inactive_20260917,8,516
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL2179,GBA1,123,0.3232168,0.3011774798035815,dtiam_a_kdki_inactive_20260917,10,633
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL2326,CA7,141,0.33724514,0.3127590171275255,dtiam_a_kdki_inactive_20260917,9,688
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL2964,MAP2K2,201,0.96602637,0.934985247403572,dtiam_a_kdki_inactive_20260917,1,2
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL3026,GABRA3,210,0.7647753,0.6909591272457414,dtiam_a_kdki_inactive_20260917,3,623
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL3587,MAP2K1,255,0.96387005,0.9315776545649809,dtiam_a_kdki_inactive_20260917,2,3
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL4409,PDE10A,318,0.44280708,0.4002075050336557,dtiam_a_kdki_inactive_20260917,7,596
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,3,CHEMBL4956,GABRA2,349,0.7100391,0.636754131103608,dtiam_a_kdki_inactive_20260917,5,687
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL1893,SLC18A2,46,0.9712412,0.9434045671764675,dtiam_a_kdki_inactive_20260917,1,97
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL1962,GABRA1,72,0.94640344,0.9052523634658,dtiam_a_kdki_inactive_20260917,2,413
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL220,ACHE,127,0.9377139,0.8928429741900311,dtiam_a_kdki_inactive_20260917,3,32
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL2326,CA7,141,0.91221577,0.8583834707428611,dtiam_a_kdki_inactive_20260917,5,254
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL2337,SLC6A9,146,0.895523,0.8370794950524095,dtiam_a_kdki_inactive_20260917,10,168
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL3026,GABRA3,210,0.91819185,0.8662322599798029,dtiam_a_kdki_inactive_20260917,4,455
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL3242,CA12,231,0.89979136,0.8424458635663323,dtiam_a_kdki_inactive_20260917,9,333
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL4296,SCN9A,311,0.9027996,0.8462603112499875,dtiam_a_kdki_inactive_20260917,8,277
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL4409,PDE10A,318,0.9063609,0.8508119582812695,dtiam_a_kdki_inactive_20260917,7,341
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,4,CHEMBL4956,GABRA2,349,0.9095707,0.8549488610019328,dtiam_a_kdki_inactive_20260917,6,557
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL1847,GABRB3,34,0.9024122,0.8457675145430438,dtiam_a_kdki_inactive_20260917,6,203
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL1962,GABRA1,72,0.9922877,0.9813231658583571,dtiam_a_kdki_inactive_20260917,2,75
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL1997,SLC29A1,87,0.8919724,0.8326550571556712,dtiam_a_kdki_inactive_20260917,8,273
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL228,SLC6A4,134,0.89962775,0.8422391781253001,dtiam_a_kdki_inactive_20260917,7,87
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL2337,SLC6A9,146,0.9230735,0.8727402727070674,dtiam_a_kdki_inactive_20260917,4,143
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL284,DPP4,192,0.8717009,0.8080237304471292,dtiam_a_kdki_inactive_20260917,10,145
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL3026,GABRA3,210,0.98927975,0.9753099320600698,dtiam_a_kdki_inactive_20260917,3,125
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL4296,SCN9A,311,0.88953,0.8296316703862248,dtiam_a_kdki_inactive_20260917,9,291
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL4409,PDE10A,318,0.91173965,0.8577634936219838,dtiam_a_kdki_inactive_20260917,5,332
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,5,CHEMBL4956,GABRA2,349,0.9946281,0.9862657342133401,dtiam_a_kdki_inactive_20260917,1,77
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL1782,FDPS,17,0.67305124,0.6016484306894382,dtiam_a_kdki_inactive_20260917,10,399
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL1900,AKR1B1,48,0.854164,0.7874814239561639,dtiam_a_kdki_inactive_20260917,2,122
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL1944,MME,67,0.94622946,0.9049999349849336,dtiam_a_kdki_inactive_20260917,1,100
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL2243,FAAH,131,0.70980936,0.6365326464407411,dtiam_a_kdki_inactive_20260917,7,288
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL2326,CA7,141,0.72679746,0.6530389000577226,dtiam_a_kdki_inactive_20260917,5,517
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL280,MMP13,185,0.7135743,0.6401684686293043,dtiam_a_kdki_inactive_20260917,6,496
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL2954,CTSS,199,0.7300764,0.6562554105423775,dtiam_a_kdki_inactive_20260917,4,315
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL3242,CA12,231,0.76734215,0.6935780911895938,dtiam_a_kdki_inactive_20260917,3,512
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL4235,HSD11B1,306,0.70516014,0.6320597887042613,dtiam_a_kdki_inactive_20260917,8,467
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,6,CHEMBL4791,ECE1,339,0.6967368,0.6240024019949835,dtiam_a_kdki_inactive_20260917,9,167
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL1919,CACNA2D1,59,0.909876,0.8553440916203414,dtiam_a_kdki_inactive_20260917,3,336
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL1962,GABRA1,72,0.83208233,0.7624782858658299,dtiam_a_kdki_inactive_20260917,9,570
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL1972,GRIN2A,76,0.83134866,0.7616625045275707,dtiam_a_kdki_inactive_20260917,10,308
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL1997,SLC29A1,87,0.8898446,0.8300201901104861,dtiam_a_kdki_inactive_20260917,5,281
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL244,F10,159,0.8420563,0.7736611904682824,dtiam_a_kdki_inactive_20260917,8,164
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL280,MMP13,185,0.8507864,0.7835978515279678,dtiam_a_kdki_inactive_20260917,7,357
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL284,DPP4,192,0.9179051,0.8658527307815531,dtiam_a_kdki_inactive_20260917,2,89
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL321,MMP9,228,0.87024295,0.8062904952130119,dtiam_a_kdki_inactive_20260917,6,136
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL3242,CA12,231,0.89609003,0.8377893483772016,dtiam_a_kdki_inactive_20260917,4,342
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,7,CHEMBL4409,PDE10A,318,0.9554218,0.918584839834875,dtiam_a_kdki_inactive_20260917,1,225
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL1903,SLC6A1,50,0.9868486,0.9706538393792911,dtiam_a_kdki_inactive_20260917,4,2
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL1962,GABRA1,72,0.98202634,0.9618188752610891,dtiam_a_kdki_inactive_20260917,8,233
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL1997,SLC29A1,87,0.98249096,0.9626504693503646,dtiam_a_kdki_inactive_20260917,7,24
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL222,SLC6A2,130,0.9983493,0.9949837371020331,dtiam_a_kdki_inactive_20260917,2,2
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL228,SLC6A4,134,0.99941885,0.9979482235389304,dtiam_a_kdki_inactive_20260917,1,2
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL2337,SLC6A9,146,0.9914262,0.979567514685199,dtiam_a_kdki_inactive_20260917,3,8
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL238,SLC6A3,150,0.97890836,0.9563304108239695,dtiam_a_kdki_inactive_20260917,10,10
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL3026,GABRA3,210,0.98342973,0.9643425742711599,dtiam_a_kdki_inactive_20260917,6,202
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL3242,CA12,231,0.9819862,0.9617472544861512,dtiam_a_kdki_inactive_20260917,9,57
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,8,CHEMBL4296,SCN9A,311,0.9848993,0.9670251886270909,dtiam_a_kdki_inactive_20260917,5,26
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL1287628,NOX1,8,0.7992294,0.7267842276401355,dtiam_a_kdki_inactive_20260917,4,273
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL1847,GABRB3,34,0.7117961,0.6384497143252864,dtiam_a_kdki_inactive_20260917,7,429
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL1919,CACNA2D1,59,0.7155217,0.6420539884307374,dtiam_a_kdki_inactive_20260917,6,529
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL1962,GABRA1,72,0.97951674,0.9573893843142636,dtiam_a_kdki_inactive_20260917,2,260
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL244,F10,159,0.6072197,0.5415381382119248,dtiam_a_kdki_inactive_20260917,9,365
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL280,MMP13,185,0.677778,0.6060753065762892,dtiam_a_kdki_inactive_20260917,8,526
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL3026,GABRA3,210,0.9646825,0.9328568533357376,dtiam_a_kdki_inactive_20260917,3,319
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL3896,CACNA2D2,275,0.59933054,0.5345058526786235,dtiam_a_kdki_inactive_20260917,10,501
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL4409,PDE10A,318,0.79224527,0.7193993644563926,dtiam_a_kdki_inactive_20260917,5,458
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,9,CHEMBL4956,GABRA2,349,0.9905548,0.9778202742680805,dtiam_a_kdki_inactive_20260917,1,191
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL1844,CSF1R,32,0.9799497,0.9581464220007668,dtiam_a_kdki_inactive_20260917,6,3
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL1974,FLT3,78,0.9771316,0.9532682537066042,dtiam_a_kdki_inactive_20260917,9,8
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL2000,KLKB1,89,0.9852215,0.9676192466815914,dtiam_a_kdki_inactive_20260917,2,21
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL2041,RET,103,0.97754556,0.9539777486661984,dtiam_a_kdki_inactive_20260917,8,3
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL2073,YES1,114,0.9801621,0.9585188054565652,dtiam_a_kdki_inactive_20260917,5,1
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL280,MMP13,185,0.98582125,0.9687308684677892,dtiam_a_kdki_inactive_20260917,1,49
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL2820,F11,188,0.983875,0.9651508707532441,dtiam_a_kdki_inactive_20260917,4,18
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL333,MMP2,239,0.97698706,0.9530210646400263,dtiam_a_kdki_inactive_20260917,10,19
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL4296,SCN9A,311,0.97830147,0.9552794420756379,dtiam_a_kdki_inactive_20260917,7,80
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,10,CHEMBL4822,BACE1,343,0.9849857,0.9671843132131437,dtiam_a_kdki_inactive_20260917,3,25
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL1871,AR,41,0.9795776,0.9574956179474886,dtiam_a_kdki_inactive_20260917,1,22
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL1893,SLC18A2,46,0.9472127,0.9064287247562509,dtiam_a_kdki_inactive_20260917,9,185
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL1962,GABRA1,72,0.9449379,0.9031313330472143,dtiam_a_kdki_inactive_20260917,10,419
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL1994,NR3C2,86,0.9734907,0.9471230695832955,dtiam_a_kdki_inactive_20260917,4,79
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL2034,NR3C1,100,0.97119325,0.9433259539206085,dtiam_a_kdki_inactive_20260917,5,76
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL206,ESR1,109,0.9780498,0.9548452021108929,dtiam_a_kdki_inactive_20260917,2,7
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL2061,RXRA,110,0.9539779,0.9164156663582778,dtiam_a_kdki_inactive_20260917,8,25
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL208,PGR,116,0.95581114,0.9191721423663429,dtiam_a_kdki_inactive_20260917,7,78
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL242,ESR2,155,0.9764073,0.9520323522499554,dtiam_a_kdki_inactive_20260917,3,8
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,11,CHEMBL4956,GABRA2,349,0.9686795,0.9392355510463508,dtiam_a_kdki_inactive_20260917,6,435
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL1829,HDAC3,27,0.706081,0.6329442213417942,dtiam_a_kdki_inactive_20260917,5,331
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL1937,HDAC2,65,0.7374083,0.6634852596204629,dtiam_a_kdki_inactive_20260917,3,303
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL1944,MME,67,0.61730224,0.5505743388377046,dtiam_a_kdki_inactive_20260917,10,495
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL1962,GABRA1,72,0.71104413,0.6377237088516162,dtiam_a_kdki_inactive_20260917,4,649
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL1997,SLC29A1,87,0.6305595,0.5625432594754194,dtiam_a_kdki_inactive_20260917,8,523
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL3026,GABRA3,210,0.6290232,0.5611509828863613,dtiam_a_kdki_inactive_20260917,9,677
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL325,HDAC1,232,0.66344535,0.5927018073080781,dtiam_a_kdki_inactive_20260917,7,339
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL4235,HSD11B1,306,0.66470724,0.593873359617095,dtiam_a_kdki_inactive_20260917,6,505
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL4956,GABRA2,349,0.7711602,0.6974877566642861,dtiam_a_kdki_inactive_20260917,2,659
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,12,CHEMBL5705,EGLN3,374,0.82347375,0.7529627641405813,dtiam_a_kdki_inactive_20260917,1,276
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL1962,GABRA1,72,0.8942852,0.8355330417962497,dtiam_a_kdki_inactive_20260917,4,511
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL1972,GRIN2A,76,0.9124908,0.858741931047656,dtiam_a_kdki_inactive_20260917,3,182
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL1994,NR3C2,86,0.8713054,0.807553096906417,dtiam_a_kdki_inactive_20260917,8,277
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL1997,SLC29A1,87,0.8912045,0.831702697954475,dtiam_a_kdki_inactive_20260917,6,274
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL2337,SLC6A9,146,0.89171535,0.8323360694409293,dtiam_a_kdki_inactive_20260917,5,170
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL3026,GABRA3,210,0.89056915,0.8309160201679263,dtiam_a_kdki_inactive_20260917,7,505
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL3105,PARP1,217,0.854217,0.7875425292626552,dtiam_a_kdki_inactive_20260917,10,215
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL3535,PDE9A,251,0.85546386,0.7889820112344443,dtiam_a_kdki_inactive_20260917,9,268
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL4296,SCN9A,311,0.9148473,0.8618241488626861,dtiam_a_kdki_inactive_20260917,2,259
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,13,CHEMBL4956,GABRA2,349,0.9455028,0.9039475183020352,dtiam_a_kdki_inactive_20260917,1,505
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL1287628,NOX1,8,0.9855221,0.9681754057722295,dtiam_a_kdki_inactive_20260917,8,8
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL1919,CACNA2D1,59,0.990927,0.978563160337583,dtiam_a_kdki_inactive_20260917,5,17
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL1962,GABRA1,72,0.992416,0.9815873113819117,dtiam_a_kdki_inactive_20260917,2,73
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL244,F10,159,0.98941976,0.9755830926507673,dtiam_a_kdki_inactive_20260917,6,9
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL280,MMP13,185,0.985433,0.9680103291837592,dtiam_a_kdki_inactive_20260917,9,54
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL3026,GABRA3,210,0.9918485,0.9804244317950347,dtiam_a_kdki_inactive_20260917,3,68
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL4296,SCN9A,311,0.98460215,0.9664793086980645,dtiam_a_kdki_inactive_20260917,10,31
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL4409,PDE10A,318,0.98634934,0.9697163052768775,dtiam_a_kdki_inactive_20260917,7,62
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL4822,BACE1,343,0.99115384,0.9790183963324912,dtiam_a_kdki_inactive_20260917,4,11
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,14,CHEMBL4956,GABRA2,349,0.994309,0.9855745948361533,dtiam_a_kdki_inactive_20260917,1,85
AQHHHDLHHXJYJD-UHFFFAOYSA-N,propranolol,15,CHEMBL1944,MME,67,0.33610982,0.3118219102858736,dtiam_a_kdki_inactive_20260917,9,658
AQHHHDLHHXJYJD-UHFFFAOYSA-N,propranolol,15,CHEMBL1962,GABRA1,72,0.35537022,0.32771917834364406,dtiam_a_kdki_inactive_20260917,8,711
AQHHHDLHHXJYJD-UHFFFAOYSA-N,propranolol,15,CHEMBL1978,CYP19A1,80,0.3679866,0.3381362986204903,dtiam_a_kdki_inactive_20260917,7,638
