drug_chembl_id,drug_name,base_chembl_id,model_ligand_smiles,therapeutic_area,route,scope_source,inclusion_reason
CHEMBL1199324,Fosaprepitant Dimeglumine,CHEMBL1199324,C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Oncology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL12,Diazepam,CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Neurology/Psychiatry,Nasal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200322,Escitalopram Oxalate,CHEMBL1200322,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200326,Nicardipine Hydrochloride,CHEMBL1200326,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,Cardiovascular,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200328,Duloxetine Hydrochloride,CHEMBL1200328,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200329,Tizanidine Hydrochloride,CHEMBL1200329,Clc1ccc2nsnc2c1NC1=NCCN1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200335,Testosterone Enanthate,CHEMBL1200335,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Oncology,Subcutaneous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200335__TESTOSTERONE,Testosterone,CHEMBL1200335,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Oncology,Transdermal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200339,Phenylephrine Hydrochloride,CHEMBL1200339,CNC[C@H](O)c1cccc(O)c1,Immunology/Inflammation,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200380,Acyclovir,CHEMBL1200380,Nc1nc(O)c2ncn(COCCO)c2n1,Infectious Disease,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200402,Amlodipine Besylate,CHEMBL1200402,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200411,Ropinirole Hydrochloride,CHEMBL1200411,CCCN(CCC)CCc1cccc2c1CC(=O)N2,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200485,Sorafenib Tosylate,CHEMBL1200485,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200517,Dihydroergotamine Mesylate,CHEMBL1200517,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,Neurology/Psychiatry,Nasal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200523,Cefazolin Sodium,CHEMBL1200523,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,Infectious Disease,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
