drug_chembl_id,drug_name,base_chembl_id,model_ligand_smiles,therapeutic_area,route,scope_source,inclusion_reason
CHEMBL1201167,Carvedilol Phosphate,CHEMBL1201167,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201174,Sitagliptin Phosphate,CHEMBL1201174,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201179,Lapatinib Ditosylate,CHEMBL1201179,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201180,Diclofenac Epolamine,CHEMBL1201180,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Immunology/Inflammation,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201182,Temsirolimus,CHEMBL1201182,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Oncology,Intravenous,v4_explicit_scope_extension,valid_small_or_macrocyclic_direct_action_boundary_restore
CHEMBL1201191,Levocetirizine Dihydrochloride,CHEMBL1201191,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,Immunology/Inflammation,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201192,Armodafinil,CHEMBL1201192,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201288,Dantrolene Sodium,CHEMBL1201288,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,Dermatology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201314,Valganciclovir Hydrochloride,CHEMBL1201314,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201335,Glycopyrrolate,CHEMBL1201335,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201336,Fosphenytoin Sodium,CHEMBL1201336,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,Neurology/Psychiatry,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201391,Simvastatin,CHEMBL1201391,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201396,Fluticasone Propionate,CHEMBL1201396,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF,Endocrinology/Metabolic,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201728,Desvenlafaxine Succinate,CHEMBL1201728,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201729,Dronedarone Hydrochloride,CHEMBL1201729,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201735,Bupropion Hydrochloride,CHEMBL1201735,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201735__BUPROPION_HYDROBROMIDE,Bupropion Hydrobromide,CHEMBL1201735,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201745,Choline Fenofibrate,CHEMBL1201745,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201745__FENOFIBRATE,Fenofibrate,CHEMBL1201745,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201746,Pralatrexate,CHEMBL1201746,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,Oncology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201748,Cabazitaxel,CHEMBL1201748,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,Oncology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201752,Ixabepilone,CHEMBL1201752,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,Oncology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201753,Pitavastatin Calcium,CHEMBL1201753,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201754,Rufinamide,CHEMBL1201754,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201759,Bepotastine Besilate,CHEMBL1201759,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,Immunology/Inflammation,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201760,Besifloxacin Hydrochloride,CHEMBL1201760,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,Infectious Disease,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201764,Fesoterodine Fumarate,CHEMBL1201764,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201772,Prasugrel Hydrochloride,CHEMBL1201772,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201774,Sapropterin Dihydrochloride,CHEMBL1201774,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201776,Tapentadol Hydrochloride,CHEMBL1201776,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201780,Carglumic Acid,CHEMBL1201780,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,Other,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201863,Dexlansoprazole,CHEMBL1201863,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,Gastroenterology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201891,Deflazacort,CHEMBL1201891,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1208155,Elagolix Sodium,CHEMBL1208155,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1213136,Pilocarpine Hydrochloride,CHEMBL1213136,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,Oncology,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1213250,Ceftolozane Sulfate,CHEMBL1213250,Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c3nsc(N)n3)[C@H]2SC1,Infectious Disease,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1213492,Givinostat Hydrochloride,CHEMBL1213492,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1214124,Perampanel,CHEMBL1214124,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1218,Ramelteon,CHEMBL1218,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1219,Rabeprazole Sodium,CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,Gastroenterology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1229517,Vemurafenib,CHEMBL1229517,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1231,Oxybutynin Chloride,CHEMBL1231,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,Neurology/Psychiatry,Transdermal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1237021,Lurasidone Hydrochloride,CHEMBL1237021,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1237055,Hydromorphone Hydrochloride,CHEMBL1237055,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1237065,Tramadol Hydrochloride,CHEMBL1237065,COc1cccc(C2(O)CCCCC2CN(C)C)c1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1237080,Granisetron,CHEMBL1237080,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,Oncology,Transdermal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1237119,Treprostinil,CHEMBL1237119,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,Cardiovascular,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1237132,Clevidipine,CHEMBL1237132,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,Oncology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1241951,Letermovir,CHEMBL1241951,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1255654,Tetracaine Hydrochloride,CHEMBL1255654,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,Anesthesia/Pain,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1255752,Bromocriptine Mesylate,CHEMBL1255752,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1256723,Doxycycline,CHEMBL1256723,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1256786,Formoterol Fumarate,CHEMBL1256786,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,Respiratory,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1256818,Dextromethorphan Hydrobromide,CHEMBL1256818,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1256958,Epinephrine Bitartrate,CHEMBL1256958,CNC[C@H](O)c1ccc(O)c(O)c1,Other,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1256958__EPINEPHRINE,Epinephrine,CHEMBL1256958,CNC[C@H](O)c1ccc(O)c(O)c1,Other,"Intramuscular, Subcutaneous",legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1259059,Sofosbuvir,CHEMBL1259059,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL126,Linezolid,CHEMBL126,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,Infectious Disease,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1265,Adapalene,CHEMBL1265,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,Dermatology,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1269025,Edoxaban Tosylate,CHEMBL1269025,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL127,Meropenem,CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,Infectious Disease,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1282,Imiquimod,CHEMBL1282,CC(C)Cn1cnc2c(N)nc3ccccc3c21,Oncology,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1286,Levetiracetam,CHEMBL1286,CC[C@@H](C(N)=O)N1CCCC1=O,Neurology/Psychiatry,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1287854,Ruxolitinib Phosphate,CHEMBL1287854,N#CC[C@@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,Immunology/Inflammation,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1289494,Tivozanib Hydrochloride,CHEMBL1289494,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1289601,Lenvatinib Mesylate,CHEMBL1289601,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1289926,Axitinib,CHEMBL1289926,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1337,Nitisinone,CHEMBL1337,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1339,Vardenafil Hydrochloride,CHEMBL1339,CCCc1nc(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,Urology/Nephrology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1358,Fulvestrant,CHEMBL1358,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,Oncology,Intramuscular,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1363,Arformoterol Tartrate,CHEMBL1363,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,Respiratory,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1370,Budesonide,CHEMBL1370,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Endocrinology/Metabolic,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1375743,Ziprasidone Hydrochloride,CHEMBL1375743,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1389,Levonorgestrel,CHEMBL1389,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,Endocrinology/Metabolic,Intrauterine,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL139,Diclofenac Sodium,CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Immunology/Inflammation,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1393,Spironolactone,CHEMBL1393,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1396281,Atropine,CHEMBL1396281,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Neurology/Psychiatry,Intramuscular,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1397,Posaconazole,CHEMBL1397,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1399,Anastrozole,CHEMBL1399,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1401,Nitazoxanide,CHEMBL1401,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1404,Ranolazine,CHEMBL1404,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL141,Lamivudine,CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1421,Dasatinib,CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1425,Mercaptopurine,CHEMBL1425,Sc1ncnc2nc[nH]c12,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1428,Nimodipine,CHEMBL1428,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1431,Metformin Hydrochloride,CHEMBL1431,CN(C)C(=N)NC(=N)N,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1434513,Norepinephrine Bitartrate,CHEMBL1434513,NC[C@H](O)c1ccc(O)c(O)c1,Infectious Disease,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL14376,Iloperidone,CHEMBL14376,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1441059,Albuterol Sulfate,CHEMBL1441059,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,Respiratory,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1444,Letrozole,CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1456,Mycophenolate Mofetil,CHEMBL1456,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,Urology/Nephrology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1467,Allopurinol,CHEMBL1467,Oc1ncnc2[nH]ncc12,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1481,Glimepiride,CHEMBL1481,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1486,Tenofovir Disoproxil Fumarate,CHEMBL1486,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1487,Atorvastatin Calcium,CHEMBL1487,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1489,Azacitidine,CHEMBL1489,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Oncology,"Intravenous, Subcutaneous",legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1501,Fluocinonide,CHEMBL1501,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,Oncology,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1502,Pantoprazole Sodium,CHEMBL1502,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,Gastroenterology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1503,Omeprazole,CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,Gastroenterology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1504,Triamcinolone Acetonide,CHEMBL1504,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Endocrinology/Metabolic,Suspension,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1511,Estradiol,CHEMBL1511,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,Endocrinology/Metabolic,Transdermal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1512,Flunisolide,CHEMBL1512,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Endocrinology/Metabolic,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1523964,Ephedrine Sulfate,CHEMBL1523964,CN[C@@H](C)[C@H](O)c1ccccc1,Respiratory,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1531,Etonogestrel,CHEMBL1531,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,Infectious Disease,Implantation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1535,Hydroxychloroquine Sulfate,CHEMBL1535,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1541,Cefixime,CHEMBL1541,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1555,Galantamine Hydrobromide,CHEMBL1555,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1559,Miconazole Nitrate,CHEMBL1559,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Infectious Disease,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
