directory,allocated_GiB,files,candidate_GiB,website_literal_reference,decision
outputs/proteintalks_relevance_20260910,0.2421035766601562,25,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_interval_rank_screen_v2,0.2351570129394531,40,0.23385238647460938,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/strict_dta_720x338_v1,0.2335472106933593,25,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/txgnn_biopathnet_comparison_20260909,0.2332000732421875,43,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_local_graph_screen_v1,0.2264366149902343,41,0.22479248046875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_odti_structure_interaction_screen_v1,0.2138290405273437,41,0.2122955322265625,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_odti_structure_interaction_screen_v2,0.2138290405273437,41,0.2122955322265625,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/no_experimental_pocket_prediction_ch37_v1,0.2044639587402343,14291,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/boltz2_calibration_chain_repair_v1,0.1868171691894531,17289,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_pretrained_features_v1,0.182342529296875,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_experimental_template_graph_features_v1,0.1795158386230468,11,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/final_1000_funnel_v1,0.1789741516113281,4572,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/gnina_discovery_7511_v1,0.1785430908203125,362,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_local_graph_features_v1,0.1590766906738281,10,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_full_training_subset_v1,0.1522254943847656,9,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_deployment_augmentation_v1,0.1384353637695312,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_affinity_feature_package_v1,0.1381912231445312,7,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/affinity_evidence_refresh_20260910,0.1341171264648437,38,0.0,True,KEEP_WEBSITE_SOURCE
outputs/unified_pair_compute_increment_384_v1,0.0964202880859375,1272,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/broad_mechanism_layer_v2,0.0961456298828125,87,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_esmc_formal_s5_20260819,0.0835762023925781,13,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/target_universe_ch37_v2,0.0830497741699218,1801,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_odti_e1_s5_screen_20260817,0.0821189880371093,12,0.08171844482421875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_deployment_augmented_full_fit_v1,0.0791854858398437,24,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_full_fit_v1,0.0791854858398437,24,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_balanced_full_fit_v2,0.0791778564453125,27,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_binary_selected_full_fit_v3,0.0791740417480468,27,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_comprehensive_v1,0.0779609680175781,8,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/joint384_comprehensive_20260909,0.0761375427246093,310,0.0,True,KEEP_WEBSITE_SOURCE
outputs/strict_affinity_main_queue_2005_2026_v2,0.0684547424316406,15,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_experimental_template_graph_pilot_v1,0.0678672790527343,20,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_v4_plan_20260905,0.0668258666992187,17,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/fda_drug_universe_2005_2026_v1,0.0552406311035156,69,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_bindingdb_interval_rank_multiseed_v2,0.0533294677734375,20,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/retargetmap_spr64_design_20260909,0.0509986877441406,33,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_bidirectional_v6_stage_a_dense,0.04608154296875,43,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/recovered_boltz2_loxl2_candidates_v1,0.0459442138671875,74,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bidirectional_v6_query_diverse_screen_v1,0.0451278686523437,39,0.039882659912109375,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/final_design_space_2005_2026_v1,0.0436782836914062,17,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/kirhub_functional_adaptation_v1,0.0431594848632812,35,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_cross_attention_smoke_v1,0.0426597595214843,4,0.04242706298828125,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bindingdb_cross_attention_speed_v1,0.0426597595214843,4,0.04242706298828125,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bindingdb_cross_attention_512_speed_v1,0.0426559448242187,4,0.04242706298828125,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/chembl37_known_pocket_atlas,0.0426445007324218,4437,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_odti_pretrained_residual_smoke_v1,0.0418205261230468,4,0.041599273681640625,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bidirectional_v6_720x384,0.0417976379394531,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/old_drug_target_sota_v2_token_fold0_5ep,0.0406074523925781,4,0.039493560791015625,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/old_drug_target_sota_v2_token_gate_fold0_5ep,0.0406074523925781,4,0.039493560791015625,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/old_drug_target_sota_v2_token_gate_fold0_20ep,0.0406074523925781,4,0.039493560791015625,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bidirectional_v6_full_fit,0.0398941040039062,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/old_drug_target_sota_v2_token_pocket_smoke,0.0397529602050781,4,0.039493560791015625,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bindingdb_full_fit_epoch_selection_2026_v1,0.0395584106445312,10,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_full_fit_2026_v1,0.0395278930664062,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_full_fit_early_stopped_2026_v1,0.0395278930664062,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_query_balanced_screen_v2,0.0391082763671875,4,0.03887176513671875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_odti_query_balanced_screen_v1,0.0391006469726562,4,0.03887176513671875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/recovered_dta_720x46_v1,0.0385398864746093,17,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr_access_retry_20260910,0.0372200012207031,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/joint_screen_720x384_20260909,0.0357894897460937,36,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/joint_screen_720x384_20260909_first_pass,0.035736083984375,35,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/drug_universe_rebuild_v1,0.0313453674316406,17,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_consensus_720x384_v5,0.0308914184570312,12,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/recovered_recall_sources,0.0307464599609375,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/target_catalog_quality_audit_v1,0.0303115844726562,18,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/puresnet_gpu_pocket_audit_v1,0.0285415649414062,860,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/p2rank26_pocket_audit_afcomplete_v1,0.0283355712890625,1387,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/unified_pair_program_720x384_v1,0.0270652770996093,5,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_comprehensive_coverage_balanced_full_fit_v3,0.0263900756835937,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_balanced_smoke_v2,0.0263824462890625,9,0.02632904052734375,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_comprehensive_balanced_full_fit_720x384_v2,0.02630615234375,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_deployment_augmented_720x384_v1,0.0262680053710937,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_full_fit_720x384_v1,0.0262565612792968,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_balanced_full_fit_720x384_v3,0.0251731872558593,7,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_binary_selected_720x384_v4,0.0251617431640625,7,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/ui_refresh_20260909,0.0227394104003906,51,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/retargetmap_experiment_20260901,0.0213356018066406,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_training_subset_v1,0.0199012756347656,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/p2rank_pocket_audit_v1,0.01934814453125,642,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/target_discovery_scope_ch37_v3,0.0191764831542968,13,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_local_graph_smoke_20260819,0.0173721313476562,4,0.01732635498046875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_comprehensive_binary_selected_720x384_seed16_v3,0.0162239074707031,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr_expanded_review_20260910,0.0150718688964843,30,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_bidirectional_joint_interaction_screen_v1,0.0150604248046875,13,0.013294219970703125,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_target_queries_20260908,0.0149803161621093,110,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bidirectional_v6_dense_smoke,0.0146369934082031,13,0.013294219970703125,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_odti_structure_interaction_v2_smoke_20260819,0.0142478942871093,4,0.014202117919921875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bidirectional_v6_smoke,0.0140647888183593,5,0.013294219970703125,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bidirectional_v6_stage_a,0.0140647888183593,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_davis_feature_store_v1,0.0135917663574218,7,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_interval_rank_smoke_v2,0.0133323669433593,5,0.013164520263671875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_bindingdb_full_fit_2026_smoke_v1,0.0131759643554687,3,0.013164520263671875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_local_failure_audit_20260906,0.0120849609375,140,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_davis_entity_cold_v1,0.0112113952636718,3,0.0,True,KEEP_WEBSITE_SOURCE
outputs/recent_affinity_sources_20260910,0.0103607177734375,10,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_local_external_candidates_v1,0.0102043151855468,3,0.0,True,KEEP_WEBSITE_SOURCE
outputs/spr512_integrated_disease_20260909,0.0098228454589843,60,0.0,True,KEEP_WEBSITE_SOURCE
outputs/current_results_classified_20260806_v1,0.0086593627929687,19,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr112_fda_control_audit_20260910,0.0084419250488281,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/loading_optimization_20260909,0.0060081481933593,23,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/affinity_predictor_audit_20260910,0.0058708190917968,31,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/disk_reclamation_audit_20260910,0.0051918029785156,7,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/best_candidate_synthesis_20260909,0.0050163269042968,31,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/evidence_routing_compute_plan_20260808_v1,0.0040245056152343,16,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr_visual_design_20260910,0.0036735534667968,42,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/joint384_design_20260909,0.003570556640625,15,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/pair_drawer_design_20260910,0.0035667419433593,50,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_full_fit_current_new_relations_v1,0.0030288696289062,37,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr_format_audit_20260910,0.0024375915527343,33,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/retargetmap_spr64_target_review_20260909,0.0021705627441406,5,0.0,True,KEEP_WEBSITE_SOURCE
outputs/spr384_llm_review_20260909,0.0019912719726562,15,0.0,True,KEEP_WEBSITE_SOURCE
outputs/browse_refresh_20260909,0.0018234252929687,25,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr384_final_experiment_table_20260910,0.0018043518066406,14,0.0,True,KEEP_WEBSITE_SOURCE
outputs/palinova_brand_20260910,0.0016365051269531,24,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr384_final_experiment_table_before_fda_v2_20260910,0.0015373229980468,13,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/palinova_interaction_20260910,0.0013771057128906,23,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/druggable_proteome_collapse_audit_v1,0.0013427734375,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/final_target_package_ch37,0.0013275146484375,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr_ui_polish_20260910,0.0013275146484375,19,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/physical_pocket_audit_v1,0.0013084411621093,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/retargetmap_spr512_ours_frozen_20260904,0.0012245178222656,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/retargetmap_spr512_20260903,0.0012054443359375,10,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/affinity_atlas_inventory_20260910,0.0011100769042968,8,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_e1_s3_paired_20260817,0.000762939453125,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/recovered_gnina_candidate_docking_v1,0.000732421875,27,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_source_heldout_current_20260817,0.0007171630859375,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr384_priority_export_20260910,0.0007171630859375,6,0.0,True,KEEP_WEBSITE_SOURCE
outputs/recovered_target_program_integrated_v1,0.00054931640625,12,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_deployment_augmented_current_new_relations_v1,0.0004539489746093,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_full_fit_current_new_relations_v1,0.0004539489746093,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_recent_quantitative_case_v3_structure_v1,0.0004463195800781,21,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_full_fit_early_stopped_current_new_relations_v1,0.0004463195800781,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/current_case_pair_specific_gnina_v1,0.0003890991210937,24,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/joint_cross_indication_20260909,0.0003776550292968,19,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/cloudflare_tunnel,0.0003623962402343,12,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr384_bindingdb_quality_review_20260910,0.0003547668457031,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/joint384_agent_review_20260909,0.0003128051757812,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr512_txgnn_ot_effect_20260909,0.0002937316894531,10,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_recent_novel_target_external_v1,0.0002784729003906,10,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/af3_protein_ligand_pilot_v1,0.000274658203125,53,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/puresnet_gpu_smoke,0.0002365112304687,41,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/puresnet_smoke,0.0002365112304687,41,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/recovered_no_experimental_pocket_targets_ch37_v1,0.000213623046875,12,0.0,True,KEEP_WEBSITE_SOURCE
outputs/p2rank_pocket_audit_afcomplete_v2,0.0002059936523437,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/joint384_cross_area_counts_20260909,0.0001869201660156,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/puresnet_gpu_upgrade_v1,0.0001602172851562,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_bindingdb_ligand_cold_v1,0.0001602172851562,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/puresnet_gpu_pocket_audit_smoke,0.0001564025878906,9,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/alphafold_completion_v1,0.0001487731933593,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/p2rank_pocket_audit_afcomplete_v1,0.0001487731933593,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/retargetmap_spr512_quality_review_20260908,0.0001487731933593,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_e1_s5_paired_20260817,0.0001296997070312,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_recent_quantitative_case_v3,0.0001220703125,8,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_bindingdb_ligand_cold_v2_exact,0.0001144409179687,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/p2rank_smoke,7.62939453125e-05,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/spr384_composition_20260910,7.62939453125e-05,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/evaluation_candidate_inventory_20260713,7.2479248046875e-05,7,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_gtopdb_ligand_cold_v1,6.4849853515625e-05,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_bindingdb_external_drug_features_v1,6.103515625e-05,12,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_bindingdb_external_drug_features_v2_exact,5.7220458984375e-05,12,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_balanced_fusion_calibration_v2,5.7220458984375e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_binary_selected_fusion_calibration_v4,5.7220458984375e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_consensus_fusion_calibration_v5,5.7220458984375e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/tool_inventory_and_next_filter_v1,4.9591064453125e-05,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_deployment_augmentation_evaluation_v1,3.4332275390625e-05,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/login_validation_20260910,3.0517578125e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_gtopdb_external_drug_features_v2_exact,2.6702880859375e-05,6,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_model_data_readiness_v1,2.288818359375e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_gtopdb_external_drug_features_v1,2.288818359375e-05,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/alphafold_completion_v1_test,1.9073486328125e-05,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_s5_calibration_audit_v1,1.9073486328125e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_w1_v3_semantic_adapter_v1,1.9073486328125e-05,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_unified_e0_summary_v1,1.52587890625e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
