directory,allocated_GiB,files
outputs/evidence_routing_compute_execution_20260808_v1/boltz_multiseed,1.8623123168945312,13414
outputs/retrain_20260901,1.3673210144042969,213
outputs/biomaster_explorer,1.36505126953125,123
outputs/evidence_routing_compute_execution_20260808_v1/c4_md_execution_v2,1.3388137817382812,2534
outputs/biomaster_explorer/cache,1.33050537109375,3
outputs/biomaster_v3_20260905,1.3269996643066406,274
outputs/biomaster_odti_v4_20260905,1.3124618530273438,104
outputs/biomaster_bindingdb_target_token_feature_package_v1,1.1542739868164062,4
outputs/odti_unified_champion_s1_20260817,1.0058441162109375,107
outputs/old_drug_target_sota_v1/biomaster_odti_v2_s2_esm2_full,1.0034599304199219,108
outputs/biomaster_odti_pretrained_residual_screen_v1,0.9967880249023438,132
outputs/odti_unified_champion_s3_20260817,0.979095458984375,107
outputs/biomaster_best_model_20260906/anchored,0.9537734985351562,168
outputs/biomaster_v3_20260905/experiments,0.9406013488769531,185
outputs/old_drug_target_sota_v1/biomaster_odti_v2_v21_s1_formal,0.930572509765625,106
outputs/old_drug_target_sota_v1/biomaster_odti_v2_v21_s2_formal,0.9302978515625,107
outputs/old_drug_target_sota_v1/biomaster_odti_v2_v21_s3_formal,0.9045791625976562,107
outputs/biomaster_odti_v4_20260905/features,0.8873062133789062,11
outputs/biomaster_odti_local_graph_formal_v1,0.72998046875,196
outputs/biomaster_old_drug_bidirectional_20260906,0.7144699096679688,195
outputs/evidence_routing_compute_execution_20260808_v1/c4_md_execution_v1,0.7030982971191406,1937
outputs/biomaster_pocket_precision_20260906/structural_pretraining,0.6270904541015625,8
outputs/biomaster_v3_incremental_20260906,0.6246604919433594,179
outputs/full_conplex_rebuild_v2,0.6215019226074219,8
outputs/full_conplex_active_moiety_v4,0.6174163818359375,8
outputs/old_drug_target_sota_v1/biomaster_odti_routed_ranker_v1,0.6048049926757812,474
outputs/retrain_20260901/comprehensive_training_v1,0.597991943359375,5
outputs/biomaster_comprehensive_training_v1,0.5957107543945312,5
outputs/current_production_package_v2/conplex_target_calibration_v5_official,0.574951171875,10
outputs/biomaster_old_drug_bidirectional_20260906/features,0.5697250366210938,4
outputs/biomaster_training_preparation_20260908,0.5617866516113281,59
outputs/biomaster_training_preparation_20260908/context_pocket,0.561248779296875,53
outputs/biomaster_best_model_20260906/representations,0.557281494140625,154
outputs/current_production_package_v2/conplex_target_calibration_v5,0.5542678833007812,10
outputs/gnina_calibration_338_v1,0.5538711547851562,2207
outputs/biomaster_pocket_precision_20260906/engineering,0.5138053894042969,5
outputs/biomaster_pocket_precision_20260906/training,0.5137748718261719,5
outputs/evidence_routing_compute_execution_20260808_v1/adaptive_no_stable_pair_pilot_v1,0.5073356628417969,5387
outputs/biomaster_pocket_precision_20260906/features,0.4495811462402344,1192
outputs/biomaster_context_full_20260908/training,0.4227561950683594,42
outputs/biomaster_odti_esmc_formal_s3_20260819,0.4188995361328125,45
outputs/old_drug_target_sota_v2_s2_token_2seed,0.4125862121582031,47
outputs/biomaster_odti_comprehensive_v1,0.41216278076171875,46
outputs/biomaster_odti_e1_s3_screen_20260817,0.4116668701171875,44
outputs/biomaster_context_full_20260908/engineering_resume,0.40735626220703125,31
outputs/biomaster_context_full_20260908/engineering_continuous,0.40735626220703125,31
outputs/biomaster_context_full_20260908/final_driver_check,0.4073486328125,31
outputs/affinity_first_remote_discovery_v1/experimental_holo_validation_v2,0.3967781066894531,1515
outputs/biomaster_odti_local_graph_formal_v1/FULL_LOCAL_WARMSTART,0.3962593078613281,88
outputs/biomaster_pocket_precision_20260906/downstream_diagnostics,0.3817787170410156,21
outputs/gnina_calibration_338_v1/execution_inputs_prepared_v1,0.37860107421875,1621
outputs/biomaster_pocket_precision_20260906/contact_diagnostics,0.37735748291015625,13
outputs/biomaster_odti_esmc_debug,0.3764228820800781,37
outputs/chembl_moa_enhanced_information_package_v1,0.3682746887207031,373
outputs/evidence_routing_compute_execution_20260808_v1/gnina_receptor_ensemble,0.3575019836425781,894
outputs/recovered_gnina_pocket_validation_23_v1,0.3374595642089844,316
outputs/recovered_gnina_pocket_validation_23_v1/targets,0.3370513916015625,297
outputs/current_production_package_v2/stage1_106k_reselection,0.33648681640625,1654
outputs/biomaster_odti_local_graph_formal_v1/GLOBAL_UPGRADE,0.3259735107421875,88
outputs/affinity_first_remote_discovery_v1/gnina_target_calibration_v2,0.3258934020996094,2938
outputs/biomaster_bindingdb_affinity_augmented_screen_v1,0.312713623046875,37
outputs/old_drug_target_sota_v1/biomaster_biroute_v2,0.30887603759765625,188
outputs/affinity_experiment_package_v8,0.30178070068359375,4428
outputs/old_drug_target_sota_v1/v3_label_blind_structure_audit_v1,0.291748046875,1706
outputs/evidence_routing_compute_execution_20260808_v1/drug_centric_cross_target_v1,0.2905731201171875,310
outputs/biomaster_best_model_20260906/optimization,0.28266143798828125,108
outputs/biomaster_recent_target_strengthening_v1,0.24808120727539062,40
outputs/biomaster_v3_20260905/smoke,0.24745941162109375,55
outputs/proteintalks_relevance_20260910,0.24210357666015625,25
outputs/biomaster_bindingdb_interval_rank_screen_v2,0.23515701293945312,40
outputs/strict_dta_720x338_v1,0.23354721069335938,25
outputs/txgnn_biopathnet_comparison_20260909,0.2332000732421875,43
outputs/current_production_package_v2/full_untruncated_universe_v3,0.232696533203125,1538
outputs/biomaster_odti_local_graph_screen_v1,0.22643661499023438,41
outputs/biomaster_odti_pretrained_residual_screen_v1/both_s3,0.21959686279296875,24
outputs/evidence_routing_compute_execution_20260808_v1/e4_receptor_protocol_rescue,0.214996337890625,277
outputs/biomaster_odti_structure_interaction_screen_v1,0.21382904052734375,41
outputs/biomaster_odti_structure_interaction_screen_v2,0.21382904052734375,41
outputs/biomaster_best_model_20260906/reproduction,0.21210098266601562,37
outputs/biomaster_odti_pretrained_residual_screen_v1/esmc_s3,0.209564208984375,24
outputs/boltz2_structure_affinity_v1/known_controls_all,0.207763671875,837
outputs/biomaster_odti_pretrained_residual_screen_v1/molformer_s3,0.20597076416015625,24
outputs/no_experimental_pocket_prediction_ch37_v1,0.20446395874023438,14291
outputs/biomaster_odti_v4_20260905/protocol,0.20407485961914062,18
outputs/old_drug_target_sota_v1/biomaster_odti_v2_s4_esm2_formal,0.19849777221679688,31
outputs/txgnn_biopathnet_comparison_20260909/shared_split,0.197662353515625,6
outputs/strict_dta_720x338_v1/inputs,0.19683074951171875,9
outputs/biomaster_recent_target_strengthening_v1/s6_legacy_bermol_affinity_v1,0.19676589965820312,20
outputs/biomaster_odti_pretrained_residual_screen_v1/e0_s3,0.19591522216796875,24
outputs/old_drug_target_sota_v1/biomaster_odti_v2_s5_esm2_formal,0.19538497924804688,28
outputs/boltz2_calibration_chain_repair_v1,0.18681716918945312,17289
outputs/biomaster_odti_pretrained_features_v1,0.182342529296875,6
outputs/biomaster_odti_pretrained_features_v1/molformer_xl_both_10pct,0.18049240112304688,3
outputs/biomaster_odti_v4_20260905/runs,0.17992401123046875,36
outputs/biomaster_odti_experimental_template_graph_features_v1,0.17951583862304688,11
outputs/final_1000_funnel_v1,0.17897415161132812,4572
outputs/gnina_discovery_7511_v1,0.1785430908203125,362
outputs/gnina_discovery_7511_v1/execution_inputs,0.17519378662109375,352
outputs/biomaster_best_model_20260906/rolling_original,0.17169189453125,35
outputs/biomaster_unified_interaction_20260906/development,0.1703643798828125,25
outputs/boltz2_structure_affinity_v1/discovery_top200,0.16016769409179688,830
outputs/evidence_routing_compute_execution_20260808_v1/gtopdb_release_delta_v12,0.16004562377929688,10
outputs/biomaster_odti_local_graph_features_v1,0.15907669067382812,10
outputs/strict_receptor_protocol_338_v1/archive,0.15750885009765625,146
outputs/evidence_routing_compute_execution_20260808_v1/e6_repanel4,0.15338134765625,1760
outputs/biomaster_bindingdb_full_training_subset_v1,0.15222549438476562,9
outputs/current_production_package_v2/boltz_target_calibration_smoke_v5,0.1434783935546875,390
outputs/biomaster_deployment_augmentation_v1,0.13843536376953125,9
outputs/biomaster_bindingdb_affinity_feature_package_v1,0.13819122314453125,7
outputs/biomaster_v3_20260905/data,0.13724517822265625,15
outputs/affinity_evidence_refresh_20260910,0.13411712646484375,38
outputs/old_drug_target_sota_v1/feature_store_v1,0.129547119140625,10
outputs/biomaster_best_model_20260906/package_smoke_anchored_v2,0.127349853515625,32
outputs/no_experimental_pocket_prediction_ch37_v1/inputs,0.1258697509765625,12246
outputs/proteintalks_relevance_20260910/tables,0.12298583984375,18
outputs/biomaster_best_model_20260906/package_smoke_geometry_v1,0.12036514282226562,30
outputs/boltz2_discovery_conditional_v1/target_templates,0.11530685424804688,338
outputs/chembl_moa_enhanced_information_package_v1/opentargets_final1000_full_disease_completion,0.10680770874023438,211
outputs/affinity_experiment_package_v8/expanded_control_docking,0.10081863403320312,673
outputs/strict_receptor_protocol_338_v1/mmcif_cache,0.09956741333007812,421
outputs/boltz2_calibration_338_v1/target_templates,0.097198486328125,290
outputs/boltz2_calibration_chain_repair_v1/target_templates,0.097198486328125,290
outputs/unified_pair_compute_increment_384_v1,0.0964202880859375,1272
outputs/unified_pair_compute_increment_384_v1/execution_v1,0.09624862670898438,1267
outputs/broad_mechanism_layer_v2,0.0961456298828125,87
outputs/affinity_experiment_package_v8/gnina_discovery,0.0957489013671875,290
outputs/biomaster_unified_interaction_20260906/final,0.09360122680664062,12
outputs/biomaster_best_model_20260906/final_fit,0.092376708984375,24
outputs/old_drug_target_sota_v1/first_event_dti_feature_store_v1,0.092010498046875,5
outputs/affinity_experiment_package_v8/nesso_control_benchmark_stratified20,0.09145736694335938,2371
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v18,0.09040069580078125,254
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v17,0.0891571044921875,202
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v16,0.08835983276367188,179
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v15,0.08758926391601562,163
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v14,0.0868377685546875,135
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v13,0.08510971069335938,54
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v12,0.08453750610351562,44
outputs/biomaster_odti_local_graph_screen_v1/LOCAL_PAIR_ONLY,0.08440017700195312,8
outputs/biomaster_v3_incremental_20260906/scores,0.08421707153320312,48
outputs/biomaster_odti_esmc_formal_s5_20260819,0.08357620239257812,13
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v11,0.08355712890625,28
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v10,0.08338546752929688,32
outputs/gnina_calibration_338_v1/archive,0.08319091796875,541
outputs/target_universe_ch37_v2,0.08304977416992188,1801
outputs/biomaster_odti_e1_s5_screen_20260817,0.08211898803710938,12
outputs/biomaster_deployment_augmented_full_fit_v1,0.07918548583984375,24
outputs/biomaster_comprehensive_full_fit_v1,0.07918548583984375,24
outputs/biomaster_comprehensive_balanced_full_fit_v2,0.0791778564453125,27
outputs/retrain_20260901/comprehensive_balanced_full_fit_v2,0.0791778564453125,27
outputs/biomaster_comprehensive_binary_selected_full_fit_v3,0.07917404174804688,27
outputs/biomaster_odti_structure_interaction_screen_v1/STRUCTURE_V2_ONLY,0.07857894897460938,8
outputs/biomaster_odti_structure_interaction_screen_v2/STRUCTURE_V2_ONLY,0.07857894897460938,8
outputs/biomaster_bindingdb_affinity_augmented_screen_v1/s3_aug,0.07811737060546875,8
outputs/biomaster_bindingdb_affinity_augmented_screen_v1/s3_base,0.07811737060546875,8
outputs/biomaster_odti_local_graph_screen_v1/E0_GLOBAL,0.07810211181640625,8
outputs/biomaster_odti_structure_interaction_screen_v1/E0_LEGACY,0.07809829711914062,8
outputs/biomaster_odti_structure_interaction_screen_v2/E0_LEGACY,0.07809829711914062,8
outputs/biomaster_bindingdb_comprehensive_v1,0.07796096801757812,8
outputs/no_experimental_pocket_prediction_ch37_v1/structure_first_models_v1,0.07700347900390625,2038
outputs/retrain_20260901/bidirectional_720x745_full_fit_rows4,0.0761566162109375,3
outputs/retrain_20260901/bidirectional_720x745_stage_a_rows4,0.07614898681640625,5
outputs/joint384_comprehensive_20260909,0.07613754272460938,310
outputs/retrain_20260901/bidirectional_720x745_stage_a,0.07582473754882812,5
outputs/retrain_20260901/bidirectional_720x745_full_fit,0.07576370239257812,3
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v9,0.07498931884765625,21
outputs/old_drug_target_sota_v1/biomaster_odti_v2_s5_dualrank_2seed_screen_v2,0.07497024536132812,10
outputs/biomaster_old_drug_bidirectional_20260906/support_cache,0.0741729736328125,4
outputs/evidence_routing_compute_execution_20260808_v1/old_drug_ranker_v7,0.07155990600585938,10
outputs/biomaster_best_model_20260906/data,0.06951522827148438,37
outputs/biomaster_best_model_20260906/anchored_smoke,0.06887435913085938,12
outputs/strict_affinity_main_queue_2005_2026_v2,0.06845474243164062,15
outputs/biomaster_odti_experimental_template_graph_pilot_v1,0.06786727905273438,20
outputs/biomaster_odti_v4_plan_20260905,0.06682586669921875,17
outputs/joint384_comprehensive_20260909/fda_label_cache,0.06528472900390625,266
outputs/boltz2_calibration_338_v1/inputs,0.06482696533203125,16994
outputs/boltz2_calibration_chain_repair_v1/inputs,0.0648193359375,16992
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v8,0.06339263916015625,18
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v7,0.056674957275390625,14
outputs/boltz2_discovery_conditional_v1/inputs,0.055267333984375,14488
outputs/fda_drug_universe_2005_2026_v1,0.055240631103515625,69
outputs/evidence_routing_compute_execution_20260808_v1/external_relation_audit_v7,0.05507659912109375,9
outputs/biomaster_best_model_20260906/smoke,0.054035186767578125,10
outputs/current_production_package_v2/final500_reviewed_v6,0.05389404296875,138
outputs/evidence_routing_compute_execution_20260808_v1/leakage_safe_ranker_v10,0.05340576171875,37
outputs/biomaster_bindingdb_interval_rank_multiseed_v2,0.0533294677734375,20
outputs/biomaster_odti_experimental_template_graph_pilot_v1/FULL_TEMPLATE_WARMSTART,0.05312347412109375,12
outputs/current_production_package_v2/chembl37_target_calibration_api_v5,0.05233001708984375,467
outputs/evidence_routing_compute_execution_20260808_v1/old_drug_new_target_ranker_v7,0.051982879638671875,10
outputs/retargetmap_spr64_design_20260909,0.050998687744140625,33
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v6,0.05095672607421875,10
outputs/broad_mechanism_layer_v2/strict895_opentargets_child_disease,0.050037384033203125,5
outputs/biomaster_bidirectional_v6_stage_a_dense,0.04608154296875,43
outputs/retrain_20260901/bidirectional_stage_a_rows4,0.04608154296875,43
outputs/retrain_20260901/bidirectional_stage_a,0.04607391357421875,43
outputs/recovered_boltz2_loxl2_candidates_v1,0.0459442138671875,74
outputs/recovered_boltz2_loxl2_candidates_v1/runs,0.045909881591796875,66
outputs/biomaster_bidirectional_v6_query_diverse_screen_v1,0.04512786865234375,39
outputs/biomaster_old_drug_bidirectional_20260906/scores,0.044734954833984375,44
outputs/evidence_routing_compute_execution_20260808_v1/quinidine_input_repair,0.044651031494140625,404
outputs/current_production_package_v2/formal_full_universe_v4,0.044647216796875,81
outputs/biomaster_odti_pretrained_residual_screen_v1/both_s5,0.043796539306640625,8
outputs/final_design_space_2005_2026_v1,0.04367828369140625,17
outputs/kirhub_functional_adaptation_v1,0.04315948486328125,35
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v5,0.04271697998046875,8
outputs/biomaster_bindingdb_cross_attention_smoke_v1,0.042659759521484375,4
outputs/biomaster_bindingdb_cross_attention_smoke_v1/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260816,0.042659759521484375,4
outputs/biomaster_bindingdb_cross_attention_speed_v1,0.042659759521484375,4
outputs/biomaster_bindingdb_cross_attention_speed_v1/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260816,0.042659759521484375,4
outputs/biomaster_odti_comprehensive_v1/s3_token_aug,0.042659759521484375,4
outputs/biomaster_odti_comprehensive_v1/s3_token_base_gate_m2,0.042659759521484375,4
outputs/biomaster_odti_comprehensive_v1/s3_token_aug_gate_m2,0.042659759521484375,4
outputs/biomaster_bindingdb_cross_attention_512_speed_v1,0.04265594482421875,4
outputs/biomaster_bindingdb_cross_attention_512_speed_v1/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260816,0.04265594482421875,4
outputs/biomaster_odti_comprehensive_v1/s3_token_base,0.04265594482421875,4
outputs/chembl37_known_pocket_atlas,0.042644500732421875,4437
outputs/biomaster_odti_comprehensive_v1/s5_token_base,0.04257965087890625,4
outputs/biomaster_odti_comprehensive_v1/s5_token_aug,0.042575836181640625,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_3__seed_20260816,0.041835784912109375,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_2__seed_20260817,0.04183197021484375,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_3__seed_20260817,0.04183197021484375,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_3__seed_20260816,0.04183197021484375,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_3__seed_20260817,0.04183197021484375,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_1__seed_20260816,0.041828155517578125,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_1__seed_20260817,0.041828155517578125,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_2__seed_20260816,0.041828155517578125,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_4__seed_20260816,0.041828155517578125,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_4__seed_20260817,0.041828155517578125,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260817,0.0418243408203125,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_1__seed_20260816,0.0418243408203125,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_1__seed_20260817,0.0418243408203125,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_2__seed_20260816,0.0418243408203125,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_2__seed_20260817,0.0418243408203125,4
outputs/biomaster_odti_pretrained_residual_smoke_v1,0.041820526123046875,4
outputs/biomaster_odti_pretrained_residual_smoke_v1/esmc,0.041820526123046875,4
outputs/biomaster_odti_esmc_formal_s3_20260819/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260816,0.041820526123046875,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260816,0.041820526123046875,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_4__seed_20260816,0.041820526123046875,4
outputs/biomaster_odti_esmc_debug/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260817,0.04181671142578125,4
outputs/biomaster_bidirectional_v6_720x384,0.041797637939453125,3
outputs/biomaster_odti_pretrained_residual_screen_v1/esmc_s5,0.0417938232421875,8
outputs/retrain_20260901/bidirectional_720x384_rows4,0.041759490966796875,3
outputs/biomaster_odti_esmc_formal_s5_20260819/S5_OLD_DRUG_ENTITY_COLD__fold_-1__seed_20260816,0.041748046875,4
outputs/biomaster_odti_esmc_formal_s5_20260819/S5_OLD_DRUG_ENTITY_COLD__fold_-1__seed_20260817,0.041748046875,4
outputs/retrain_20260901/bidirectional_720x384,0.04172515869140625,3
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_3__seed_20260816,0.041118621826171875,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_3__seed_20260817,0.041118621826171875,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_1__seed_20260816,0.041107177734375,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_1__seed_20260817,0.041107177734375,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_2__seed_20260817,0.041103363037109375,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_2__seed_20260816,0.04109954833984375,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_4__seed_20260817,0.04109954833984375,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260816,0.041095733642578125,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_0__seed_20260817,0.041095733642578125,4
outputs/biomaster_odti_e1_s3_screen_20260817/S3_STRICT_DOUBLE_COLD__fold_4__seed_20260816,0.041095733642578125,4
outputs/biomaster_odti_pretrained_residual_screen_v1/molformer_s5,0.041065216064453125,8
outputs/biomaster_odti_e1_s5_screen_20260817/S5_OLD_DRUG_ENTITY_COLD__fold_-1__seed_20260816,0.041019439697265625,4
outputs/biomaster_odti_e1_s5_screen_20260817/S5_OLD_DRUG_ENTITY_COLD__fold_-1__seed_20260817,0.041019439697265625,4
outputs/biomaster_odti_v4_20260905/evaluation,0.040981292724609375,20
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_3__seed_20260817,0.040706634521484375,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_3__seed_20260816,0.040699005126953125,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_1__seed_20260817,0.0406341552734375,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_1__seed_20260816,0.040630340576171875,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_2__seed_20260817,0.04062652587890625,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_4__seed_20260817,0.04062652587890625,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_2__seed_20260816,0.040622711181640625,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_4__seed_20260816,0.040622711181640625,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_0__seed_20260817,0.04061126708984375,4
outputs/old_drug_target_sota_v2_token_fold0_5ep,0.040607452392578125,4
outputs/old_drug_target_sota_v2_token_fold0_5ep/S2_HOMOLOGY_COLD_TARGET__fold_0__seed_20260816,0.040607452392578125,4
outputs/old_drug_target_sota_v2_s2_token_2seed/S2_HOMOLOGY_COLD_TARGET__fold_0__seed_20260816,0.040607452392578125,4
outputs/old_drug_target_sota_v2_token_gate_fold0_5ep,0.040607452392578125,4
outputs/old_drug_target_sota_v2_token_gate_fold0_5ep/S2_HOMOLOGY_COLD_TARGET__fold_0__seed_20260816,0.040607452392578125,4
outputs/old_drug_target_sota_v2_token_gate_fold0_20ep,0.040607452392578125,4
outputs/old_drug_target_sota_v2_token_gate_fold0_20ep/S2_HOMOLOGY_COLD_TARGET__fold_0__seed_20260816,0.040607452392578125,4
outputs/biomaster_unified_interaction_20260906/smoke,0.040592193603515625,4
outputs/evidence_routing_compute_execution_20260808_v1/final_evidence_routing_v4,0.04047393798828125,5
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_2__seed_20260816,0.03990936279296875,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_2__seed_20260817,0.03990936279296875,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_2__seed_20260818,0.03990936279296875,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_2__seed_20260819,0.03990936279296875,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_2__seed_20260820,0.03990936279296875,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_0__seed_20260816,0.039905548095703125,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_0__seed_20260817,0.039905548095703125,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_0__seed_20260818,0.039905548095703125,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_0__seed_20260819,0.039905548095703125,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_0__seed_20260820,0.039905548095703125,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_1__seed_20260816,0.039905548095703125,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_1__seed_20260817,0.039905548095703125,4
outputs/odti_unified_champion_s1_20260817/S1_SCAFFOLD_COLD_DRUG__fold_1__seed_20260818,0.039905548095703125,4
