drug_id,name,smiles,native_feature_index,gene_symbol,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank
KPWSJANDNDDRMB-QAQDUYKDSA-N,cariprazine,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,88340,HGF,1.5083933,0.2855958,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_3_complex_,0.110563196,292,223,265,519,409,110,0,235,330
NYNZQNWKBKUAII-KBXCAEBGSA-N,larotrectinib,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,280919,HGF,1.5080132,0.16250168,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_,0.07928775,471,283,493,421,566,203,0,501,331
VZZJRYRQSPEMTK-CALCHBBNSA-N,sonidegib,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,178854,HGF,1.5071607,0.21809824,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_0_complex_refined_,0.05120683,368,280,423,395,309,234,0,379,332
NBRBXGKOEOGLOI-UHFFFAOYSA-N,dasabuvir,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,122249,HGF,1.5001198,0.1754101,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_2_complex_refined_,0.1268231,617,145,578,162,537,368,0,466,333
VLCYCQAOQCDTCN-UHFFFAOYSA-N,eflornithine,NCCCC(N)(C(=O)O)C(F)F,247102,HGF,1.4973084,0.15732454,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_2_complex_,0.13770111,459,36,344,513,311,409,0,508,334
COUYJEVMBVSIHV-SFHVURJKSA-N,olodaterol,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,143183,HGF,1.4926276,0.28297845,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_3_complex_,0.060071394,388,411,277,594,272,362,0,239,335
YMTINGFKWWXKFG-UHFFFAOYSA-N,fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,34678,HGF,1.4912655,0.29086623,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_3_complex_refined_,0.15841585,501,50,375,291,103,296,0,222,336
JOOXLOJCABQBSG-UHFFFAOYSA-N,fedratinib,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,207269,HGF,1.4886769,0.21466607,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_0_complex_refined_,0.09367212,494,235,307,541,58,599,0,384,337
SUBDBMMJDZJVOS-DEOSSOPVSA-N,esomeprazole,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,148610,HGF,1.4852068,0.28971633,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_3_complex_refined_,0.06220324,294,546,387,200,389,340,0,227,338
VWVSBHGCDBMOOT-IIEHVVJPSA-N,desoximetasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,169112,HGF,1.4833143,0.15966246,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_,0.07241692,436,468,417,174,391,348,0,505,339
