drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,drugclip_dtwg_rank
LTXREWYXXSTFRX-QGZVFWFLSA-N,linagliptin,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,13607,HGF,-4.49676,-3.704857,16,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.88856983,19,0.8137315,0.1066265,HGF_P2RANK_1,0.158663,306,663,370,151,112,249,0,312,292,P2RANK,2,573
FDTZUTSGGSRHQF-UHFFFAOYSA-N,nitazoxanide,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccccc1O,281350,HGF,-4.003234,-3.8971176,17,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.08884015,686,2.463398,0.34399724,HGF_P2RANK_3,0.09701482,34,32,51,128,153,3,1,52,30,P2RANK,1,22
XEDHVZKDSYZQBF-UHFFFAOYSA-N,lasmiditan,CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1,97320,HGF,-3.984339,-3.9399412,18,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8118345,57,1.5156662,0.27629343,HGF_P2RANK_2,0.070250496,280,140,101,204,141,270,0,95,128,P2RANK,1,481
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,44134,HGF,-3.8145103,-4.0191236,19,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.33533496,356,3.044174,0.48798004,HGF_P2RANK_1,0.07924585,30,3,37,12,18,1,4,8,4,P2RANK,2,474
XXSMGPRMXLTPCZ-UHFFFAOYSA-N,hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,64656,HGF,-4.2717986,-4.2225475,20,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.16985433,552,2.4271407,0.43817165,HGF_P2RANK_2,0.02712826,70,93,53,40,36,63,0,19,32,P2RANK,1,128
IQFYYKKMVGJFEH-CSMHCCOUSA-N,telbivudine,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,206443,HGF,-4.1640716,-4.2451615,21,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10075545,671,1.2846017,0.17145912,HGF_P2RANK_3,0.13487893,169,188,187,83,113,247,0,204,171,P2RANK,0,545
PDWUPXJEEYOOTR-UHFFFAOYSA-N,3-iodobenzylguanidine,N=C(N)NCc1cccc(I)c1,240082,HGF,-4.453653,-4.37577,22,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.21741448,481,1.5098764,0.20443211,HGF_P2RANK_3,0.13141777,19,99,213,18,297,94,2,169,130,P2RANK,0,357
FTALBRSUTCGOEG-UHFFFAOYSA-N,riluzole,Nc1nc2ccc(OC(F)(F)F)cc2s1,257853,HGF,-4.375847,-4.4088755,23,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.06637771,713,1.8474867,0.2538475,HGF_P2RANK_3,0.1226715,15,275,18,84,413,85,2,115,82,P2RANK,0,73
MFFMDFFZMYYVKS-SECBINFHSA-N,sitagliptin,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,252066,HGF,-4.778818,-4.6892576,24,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.48786563,228,1.4443427,0.26362634,HGF_P2RANK_2,0.061599698,197,126,264,283,202,126,0,105,145,P2RANK,0,610
KTEIFNKAUNYNJU-GFCCVEGCSA-N,crizotinib,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,166835,HGF,-7.275449,-4.8080163,25,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.917321,10,-0.7914897,-0.13345845,HGF_P2RANK_2,0.09300641,589,631,630,706,647,604,0,666,670,P2RANK,1,677
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,aspirin,CC(=O)Oc1ccccc1C(=O)O,19617,HGF,-5.106361,-4.973641,26,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.046953294,719,0.21542928,0.014966478,HGF_P2RANK_3,0.13046567,125,510,276,591,551,593,0,461,462,P2RANK,0,24
NEMGRZFTLSKBAP-LBPRGKRZSA-N,safinamide,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,172080,HGF,-4.844977,-5.067683,27,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.26039347,431,2.82715,0.5092135,HGF_P2RANK_2,0.085229605,17,39,26,10,103,36,2,5,13,P2RANK,1,76
SNIOPGDIGTZGOP-UHFFFAOYSA-N,nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],298445,HGF,-5.1007237,-5.1165724,28,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1005838,672,2.184505,0.3031762,HGF_P2RANK_3,0.094067015,3,62,105,42,279,146,1,73,44,P2RANK,0,4
LRFKWQGGENFBFO-IBGZPJMESA-N,fingolimod,CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1,55060,HGF,-4.9714117,-5.1657434,29,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.36341363,335,1.5165888,0.27645728,HGF_P2RANK_2,0.12097396,186,28,234,194,259,70,0,94,127,P2RANK,0,258
NEQYWYXGTJDAKR-JTQLQIEISA-N,olutasidenib,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,172253,HGF,-5.0406575,-5.202653,30,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.39695618,315,1.1581798,0.21280366,HGF_P2RANK_2,0.06772342,440,195,225,252,247,220,0,158,203,P2RANK,0,257
XUFQPHANEAPEMJ-UHFFFAOYSA-N,famotidine,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,240144,HGF,-5.0566344,-5.2507825,31,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.39925265,309,3.4807343,0.5626217,HGF_P2RANK_1,0.086821854,24,1,7,3,1,9,5,2,1,P2RANK,1,171
HPHUVLMMVZITSG-LURJTMIESA-N,levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,76517,HGF,-4.944461,-5.258141,32,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1548863,573,-0.52939117,-0.12301608,HGF_P2RANK_1,0.09701328,536,588,650,532,713,619,0,659,636,P2RANK,0,418
LCQLHJZYVOQKHU-VKHMYHEASA-N,carglumic acid,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,241699,HGF,-4.8704495,-5.2662554,33,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.13593173,609,0.8006104,0.1043831,HGF_P2RANK_1,0.11280905,477,210,473,244,387,86,0,314,296,P2RANK,0,548
FKENQMMABCRJMK-RITPCOANSA-N,sulbactam,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,45088,HGF,-4.872807,-5.269841,34,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20439494,497,-0.48166633,-0.11485625,HGF_P2RANK_1,0.08151096,653,597,634,661,650,465,0,654,625,P2RANK,0,586
HUNGUWOZPQBXGX-UHFFFAOYSA-N,tirbanibulin,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,266351,HGF,-5.208995,-5.472135,35,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4680389,241,1.040124,0.14533435,HGF_P2RANK_1,0.10534005,135,326,119,504,173,343,0,255,236,P2RANK,0,47
KKGQTZUTZRNORY-UHFFFAOYSA-N,fingolimod,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,55053,HGF,-5.2665877,-5.476298,36,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.31654152,378,2.5439699,0.4589206,HGF_P2RANK_2,0.047237962,44,30,63,37,80,44,0,13,24,P2RANK,0,217
TYZROVQLWOKYKF-ZDUSSCGKSA-N,linezolid,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,16748,HGF,-5.348167,-5.5027595,37,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.59647036,149,1.6869326,0.3067104,HGF_P2RANK_2,0.084320396,83,114,58,175,209,31,0,70,100,P2RANK,0,133
FYDWDCIFZSGNBU-UHFFFAOYSA-N,revefenacin,CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,93523,HGF,-5.4012566,-5.713423,38,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.80249715,62,0.6070282,0.07128508,HGF_P2RANK_1,0.05931372,321,412,180,440,317,488,0,381,348,P2RANK,0,28
GYDJEQRTZSCIOI-LJGSYFOKSA-N,tranexamic acid,NC[C@H]1CC[C@H](C(=O)O)CC1,247775,HGF,-5.364846,-5.72203,39,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20178482,500,1.2827835,0.17742556,HGF_P2RANK_3,0.12418868,218,200,303,14,162,82,1,198,172,P2RANK,0,173
RLCLASQCAPXVLM-NSHDSACASA-N,mavacamten,CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O,38801,HGF,-5.0729694,-5.7726192,40,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20448342,496,0.6384174,0.0766519,HGF_P2RANK_1,0.033743776,446,355,173,366,313,369,0,368,340,P2RANK,0,617
OZOMQRBLCMDCEG-VIZOYTHASA-N,dantrolene,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,291001,HGF,-5.581849,-5.79562,41,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.095300004,678,2.2340844,0.3744222,HGF_P2RANK_3,0.11558962,54,8,24,64,52,5,2,37,42,P2RANK,0,10
PYNXFZCZUAOOQC-UTKZUKDTSA-N,sacubitril,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,69981,HGF,-5.1976037,-5.8505507,42,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4143924,292,0.42535907,0.07114017,HGF_P2RANK_1,0.07994048,224,370,544,162,310,366,0,382,406,P2RANK,0,35
RTGDFNSFWBGLEC-SYZQJQIISA-N,mycophenolate mofetil,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,122412,HGF,-5.6433454,-5.8562164,43,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.3508658,344,1.958568,0.3023668,HGF_P2RANK_1,0.030110244,133,41,133,62,83,101,0,76,69,P2RANK,0,365
PJDFLNIOAUIZSL-UHFFFAOYSA-N,vigabatrin,C=CC(N)CCC(=O)O,11011,HGF,-5.478692,-5.8602295,44,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.23762643,457,1.201685,0.17295748,HGF_P2RANK_1,0.08589779,181,109,323,89,281,119,0,203,191,P2RANK,0,91
DTGLZDAWLRGWQN-UHFFFAOYSA-N,prasugrel,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,19541,HGF,-5.496224,-5.9133825,45,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.29423815,398,-0.6107778,-0.10136392,HGF_P2RANK_2,0.061469343,659,572,639,606,584,701,0,635,655,P2RANK,0,541
JDUBGYFRJFOXQC-KRWDZBQOSA-N,capivasertib,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,245647,HGF,-5.7333,-5.9586983,46,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.789949,65,0.04272582,0.014698591,HGF_P2RANK_2,0.08002126,486,485,600,462,504,467,0,462,510,P2RANK,0,261
XWLUWCNOOVRFPX-UHFFFAOYSA-N,fosphenytoin,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,293078,HGF,-5.621934,-5.969056,47,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1174362,638,-0.025002396,0.0026700322,HGF_P2RANK_2,0.1186332,485,243,595,598,680,455,0,488,525,P2RANK,0,640
UTNUDOFZCWSZMS-YFHOEESVSA-N,teriflunomide,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,2942,HGF,-6.0062966,-5.9727135,48,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.103818335,667,1.5184526,0.20568742,HGF_P2RANK_3,0.12559764,6,219,131,395,369,166,1,164,125,P2RANK,0,12
UJVDJAPJQWZRFR-DHIUTWEWSA-N,macimorelin,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,26477,HGF,-5.8739543,-5.984101,49,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.5339498,184,0.21750532,0.0046857675,HGF_P2RANK_1,0.09144985,420,522,598,210,454,482,0,483,460,P2RANK,0,419
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,15628,HGF,-5.540092,-6.0105324,50,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4944184,219,-0.82552296,-0.13950276,HGF_P2RANK_2,0.10260543,669,691,588,651,609,650,0,671,674,P2RANK,0,599
HPNSFSBZBAHARI-RUDMXATFSA-N,mycophenolate mofetil,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,122411,HGF,-5.8295507,-6.106489,51,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.12018155,632,1.4955539,0.22320218,HGF_P2RANK_1,0.061064813,324,55,252,140,53,108,0,146,134,P2RANK,0,218
XAYGBKHKBBXDAK-UHFFFAOYSA-N,mitapivat,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1,287861,HGF,-5.8480873,-6.1580667,52,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.3055231,389,0.0013618342,-0.016683323,HGF_P2RANK_1,0.085478105,398,440,349,637,441,653,0,524,518,P2RANK,0,323
CSKDFZIMJXRJGH-VWLPUNTISA-N,tecovirimat,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,272865,HGF,-5.7443004,-6.1886945,53,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.37907982,326,1.9835176,0.27375808,HGF_P2RANK_3,0.04758331,79,71,141,51,294,42,0,97,64,P2RANK,0,134
HAYYBYPASCDWEQ-UHFFFAOYSA-N,entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,100411,HGF,-8.39949,-6.1998334,54,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.863233,28,-1.1549797,-0.19801442,HGF_P2RANK_2,0.09147982,672,702,589,719,684,702,0,705,706,P2RANK,0,166
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,45018,HGF,-5.6320925,-6.2387776,55,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.26155388,430,1.99249,0.36097753,HGF_P2RANK_2,0.0553473,139,100,43,76,109,74,0,44,63,P2RANK,0,154
WTDRDQBEARUVNC-LURJTMIESA-N,levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,252319,HGF,-6.227233,-6.433396,56,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.22006597,477,1.2765054,0.23381835,HGF_P2RANK_2,0.08784254,202,236,198,255,257,96,0,131,175,P2RANK,0,136
IKKXOSBHLYMWAE-QRPMWFLTSA-N,islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,1571,HGF,-6.167277,-6.5069046,57,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2655715,424,2.7377737,0.38415706,HGF_P2RANK_3,0.08171151,12,10,32,99,33,39,2,35,16,P2RANK,1,483
ZRVUJXDFFKFLMG-UHFFFAOYSA-N,meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,207081,HGF,-6.3308306,-6.624002,58,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14899279,584,1.0313417,0.13438995,HGF_P2RANK_3,0.1546773,386,330,134,452,56,430,0,273,238,P2RANK,0,94
CTRLABGOLIVAIY-UHFFFAOYSA-N,oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,241668,HGF,-5.7383704,-6.649194,59,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.09069326,684,-0.96848166,-0.16691642,HGF_P2RANK_1,0.08604489,717,620,690,627,611,616,0,688,692,P2RANK,0,694
RKEWSXXUOLRFBX-UHFFFAOYSA-N,pimavanserin,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,30983,HGF,-6.1144915,-6.6677136,60,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.26507536,426,0.56095093,0.10673559,HGF_P2RANK_2,0.09379999,528,361,393,238,537,248,0,311,365,P2RANK,0,224
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,156314,HGF,-6.113628,-6.6755395,61,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.25467938,439,0.35833767,0.070751384,HGF_P2RANK_2,0.06876999,357,304,217,546,608,394,0,384,424,P2RANK,0,230
SDUQYLNIPVEERB-QPPQHZFASA-N,gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,256365,HGF,-5.968857,-6.707403,62,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.18115287,531,1.7038459,0.23282307,HGF_P2RANK_3,0.09958824,307,54,269,38,128,177,0,132,94,P2RANK,0,659
GYQYAJJFPNQOOW-UHFFFAOYSA-N,gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,82459,HGF,-11.1090975,-6.7261257,63,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.64940697,120,0.80343974,0.10486686,HGF_P2RANK_1,0.15511307,254,672,326,213,246,156,0,313,295,P2RANK,0,596
IAKHMKGGTNLKSZ-INIZCTEOSA-N,colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,134420,HGF,-6.6307344,-6.7784724,64,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20794092,494,-0.2668333,-0.07812482,HGF_P2RANK_1,0.12058426,507,656,420,430,590,710,0,604,586,P2RANK,0,657
QCHFTSOMWOSFHM-WPRPVWTQSA-N,pilocarpine,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,77416,HGF,-6.438586,-6.9024024,65,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.120663054,630,1.4022061,0.18867266,HGF_P2RANK_3,0.116550416,43,297,96,501,292,116,0,183,148,P2RANK,0,562
DOUYETYNHWVLEO-UHFFFAOYSA-N,imiquimod,CC(C)Cn1cnc2c(N)nc3ccccc3c21,32549,HGF,-6.126777,-6.9729905,66,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1390883,602,1.0431482,0.1458514,HGF_P2RANK_1,0.08042206,354,302,135,196,312,157,0,252,234,P2RANK,0,713
