drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,model
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,LYVE1,-1.0234021,-1.0550354,13,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9224238,1,-0.026196817,0.03891482,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.09977891,574,446,260,476,686,213,0,495,495,DTWG,2,DTIAM
GBLBJPZSROAGMF-RWYJCYHVSA-N,pralsetinib,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,122187,LYVE1,-7.2011456,-5.932763,91,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9201988,2,-1.1323682,-0.17862593,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.06794207,700,656,676,692,713,649,0,704,699,DTWG,1,DTIAM
NXQKSXLFSAEQCZ-SFHVURJKSA-N,sotorasib,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,7009,LYVE1,-10.462406,-10.4209585,356,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.91303277,3,1.1251788,0.23091233,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.07943738,316,315,182,252,169,99,0,162,156,DTWG,1,DTIAM
VCSUIBJKYCVWNF-NRFANRHFSA-N,vanzacaftor,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,44136,LYVE1,-4.02707,-4.137981,30,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9126663,4,-0.85612965,-0.1269106,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.06367991,639,669,518,694,638,622,0,691,681,DTWG,1,DTIAM
HAYYBYPASCDWEQ-UHFFFAOYSA-N,entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,100411,LYVE1,-8.98577,-7.088628,143,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.91188526,5,-1.4417347,-0.20308042,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.07340687,693,707,615,716,691,717,0,711,712,DTWG,1,DTIAM
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,128985,LYVE1,-5.4829507,-3.7204204,24,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9118059,6,-0.3178177,0.0020656015,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.09654679,586,450,318,642,632,503,0,555,568,DTWG,1,DTIAM
VERWOWGGCGHDQE-UHFFFAOYSA-N,ceritinib,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,189245,LYVE1,-15.888744,-11.902899,470,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.90718603,7,-0.5152935,-0.029252345,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.08291556,645,536,479,697,668,461,0,606,622,DTWG,1,DTIAM
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,19716,LYVE1,-14.68492,-12.916761,551,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9015158,8,1.4085141,0.27584687,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.04766471,252,41,145,188,170,167,0,112,102,DTWG,1,DTIAM
DWYRIWUZIJHQKQ-SANMLTNESA-N,avapritinib,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,221024,LYVE1,-14.170615,-12.113485,484,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8977392,9,-0.6938193,-0.09652403,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.079759814,565,657,625,696,672,568,0,671,650,DTWG,1,DTIAM
PHXJVRSECIGDHY-UHFFFAOYSA-N,ponatinib,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,194505,LYVE1,-2.6176684,0.5121886,8,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8933027,10,-1.2110153,-0.19334967,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.16195805,602,720,664,617,706,705,0,710,704,DTWG,2,DTIAM
RRMJMHOQSALEJJ-UHFFFAOYSA-N,lazertinib,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,9200,LYVE1,-15.655329,-12.777003,539,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8929778,11,0.031477347,0.057460766,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.13314523,426,591,164,695,541,272,0,471,479,DTWG,1,DTIAM
AZSRSNUQCUDCGG-UHFFFAOYSA-N,mobocertinib,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,8955,LYVE1,-13.839957,-12.280095,501,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.88760346,12,0.8919887,0.1939304,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.1018471,217,230,58,493,474,181,0,224,220,DTWG,1,DTIAM
GHILNKWBALQPDP-UHFFFAOYSA-N,paltusotine,N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O,237681,LYVE1,-8.3312435,-8.7832155,231,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.88721097,13,-0.01947529,0.04938012,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.064300664,521,487,330,509,537,387,0,481,493,DTWG,1,DTIAM
