drug_id,name,smiles,native_feature_index,lmdb_key,geometry_source,source_record_sha256
ASUTZQLVASHGKV-JDFRZJQESA-N,galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,150306,000020,existing_independent_ETKDG,40fc01ddea21f0af9e61022cf285297bf1b903b9f56cf067ea5508bafad728fa
ATALOFNDEOCMKK-OITMNORJSA-N,aprepitant;fosaprepitant,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,166729,000021,existing_independent_ETKDG,c22c6dc3d08e755f6212485fc5961331ff0a3f786fba4ad7012460e4d921b437
AURFZBICLPNKBZ-SYBPFIFISA-N,brexanolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,19676,000022,existing_independent_ETKDG,b6546b6c6678fb6989a7aaf137a9969d138fcdefc5a11300f6e30f19439a1f05
AVAACINZEOAHHE-VFZPANTDSA-N,doripenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,166588,000023,existing_independent_ETKDG,7d2d62933b40813dafb229b0128242de638f012b21b3da3b40c114295070be5f
AXOIZCJOOAYSMI-UHFFFAOYSA-N,succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,177026,000024,existing_independent_ETKDG,27f75dc2c08d65cbb7ad9c62f1ca45f29b3dfdf60460d99ec2d0187143ca0c84
AXQACEQYCPKDMV-RZAWKFBISA-N,naldemedine,CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1)c1nc(-c2ccccc2)no1,26529,000025,existing_independent_ETKDG,f5255817b83bdfc8233c9dd31dde84c934f88aa77ef1556ef5b26333970da9c7
AYXYPKUFHZROOJ-ZETCQYMHSA-N,pregabalin,CC(C)C[C@H](CN)CC(=O)O,31637,000026,existing_independent_ETKDG,29075791bdc06e973d2714ea950cd638b7f6cf6265e8b048b77ddc4db40c4042
AZSRSNUQCUDCGG-UHFFFAOYSA-N,mobocertinib,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,8955,000027,existing_independent_ETKDG,0ca110cace354dda3d8cb14c8e1ed0ecd14dc10fe107bc4bb103e8ceb1206cb0
BALLNEJQLSTPIO-UHFFFAOYSA-N,fruquintinib,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,103868,000028,existing_independent_ETKDG,e42ecce0fa8f7507f386c0e2cecc0b69695e947e7b4a5eb223fa5669815eee04
BARDROPHSZEBKC-OITMNORJSA-N,fosaprepitant,C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,166730,000029,existing_independent_ETKDG,1de3af292172c84a49af45d491f2463e5280139fa4b4274b44c8b60983ea1fa4
BBAWEDCPNXPBQM-GDEBMMAJSA-N,telaprevir,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,61038,000030,existing_independent_ETKDG,a5455a22be825832526ae0f6e2775ed68ca295243097903a82d7c9659c9f1b8f
BCEHBSKCWLPMDN-MGPLVRAMSA-N,voriconazole,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,167414,000031,existing_independent_ETKDG,5ed6a78f26f288a790f7a7e368846fdefe2fd189530511192d283dbb494c450a
BCFGMOOMADDAQU-UHFFFAOYSA-N,lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,160902,000032,existing_independent_ETKDG,0a456195aaf8637770632bad26d2b8350ff5cde8fb233792aa9a7c4bbf5917c6
BFDBKMOZYNOTPK-UHFFFAOYSA-N,vonoprazan,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,107247,000033,existing_independent_ETKDG,dc044737c0a948e41716206360f3004ae77b534214a56ceae322111bf38aef3e
BFPYWIDHMRZLRN-SLHNCBLASA-N,ethinyl estradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1604,000034,existing_independent_ETKDG,09d32583aea9a0abf929eaf9e6322c4becc4b41359f0ed5f8a1d5cc85759f067
BFSMGDJOXZAERB-UHFFFAOYSA-N,dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,25534,000035,existing_independent_ETKDG,7a1b975af481a1f5ce09c674fa12f0a895b1ccab66e1747992a0ee2e3cfa7109
BGDKAVGWHJFAGW-UHFFFAOYSA-N,tropicamide,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,64824,000036,existing_independent_ETKDG,a4da2af09dc8afaf5da172737cc5e744ddc098477c0adf637ac12f2d6928b5fb
BISPBXFUKNXOQY-RITPCOANSA-N,durlobactam,CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,47333,000037,existing_independent_ETKDG,03ead70595ab85752455f6ff230f35a9611e1bd7a89f1389f371e2a11108cc34
BLIJXOOIHRSQRB-PXYINDEMSA-N,darolutamide,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,41330,000038,existing_independent_ETKDG,f9e6160df79ae941862c67cc52f6eca2ff56d83b1cb79bc3f551aef0fa7c2822
BLJRIMJGRPQVNF-JTQLQIEISA-N,timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,22722,000039,existing_independent_ETKDG,185d4db3029c1da2b57bc5dced7e312c67d7630aa2a16044d0cba7569f8d1765
BMEARIQHWSVDBS-SNVBAGLBSA-N,cipepofol,CC(C)c1cccc([C@H](C)C2CC2)c1O,38137,000040,existing_independent_ETKDG,937e69fa22f0d5a91bd44b40319e47960f56f49dced71eb8fdd7b8309f38cdca
BMGQWWVMWDBQGC-IIFHNQTCSA-N,midostaurin,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,121491,000041,existing_independent_ETKDG,d0bca187f8b68d9e5418b5a885e446f44cb48a335828517019c829d4c2b3fd29
BMKDZUISNHGIBY-ZETCQYMHSA-N,dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,165224,000042,existing_independent_ETKDG,834de5210812b3ed03f6ee48bf51974c45457f60b000cdd116859176b85baca2
