candidate_id,pair_id,modeled_entity_name,gene_symbol,binding_rank_384,rank_band,action_class,recommendation_band,recommended_disease_is_cross_area,recommended_disease,positive_max_tanimoto,usable_chemical_support_ge04
C384-014,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,lasmiditan,NTRK2,10,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,obesity disorder,0.3095238095238095,False
C384-015,KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,mesalamine,XDH,12,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,gout,0.3170731707317073,False
C384-016,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL5141,sotalol,CYP26A1,13,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.3,False
C384-017,XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,ozenoxacin,TYK2,14,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,arthritic joint disease,0.3333333333333333,False
C384-018,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,terazosin,PIK3CA,15,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,columnar cell hyperplasia of the breast,0.3924050632911392,False
C384-019,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,dasabuvir,AR,16,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,cancer,0.3012048192771084,False
C384-020,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1978,etonogestrel,CYP19A1,16,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,osteoporosis,0.3333333333333333,False
C384-021,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4409,tedizolid,PDE10A,17,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,cardiovascular disorder,0.3563218390804598,False
C384-022,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL5608,tedizolid,NTRK3,18,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,plasma cell myeloma,0.3043478260869565,False
C384-023,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,tapinarof,ESR1,19,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,HER2 positive breast carcinoma,0.3636363636363636,False
C384-024,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,givinostat,FLT1,19,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,coronary artery disorder,0.3717948717948718,False
C384-025,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,ozanimod,JAK2,19,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,gout,0.3137254901960784,False
C384-026,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,zavegepant,INSR,9,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,thyrotoxicosis,0.3008849557522124,False
C384-027,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,cabotegravir,ALDH2,5,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,gout,0.2839506172839506,False
C384-028,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,nimodipine,F7,5,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.25,False
C384-029,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,articaine,XDH,5,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,gout,0.2241379310344827,False
C384-030,UPNUIXSCZBYVBB-JVFUWBCBSA-N__CHEMBL5705,alvimopan,EGLN3,6,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.2727272727272727,False
C384-031,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,atrasentan,EGLN3,7,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.2717391304347826,False
C384-032,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,desonide,NR3C2,7,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,nephrotic syndrome,0.7391304347826086,True
C384-033,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,pregabalin,ACE,8,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,hypertensive disorder,0.2307692307692307,False
C384-034,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,etravirine,SRC,8,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,prostate carcinoma,0.2738095238095238,False
C384-035,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,olmesartan,EGLN3,9,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.247191011235955,False
C384-036,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL1824,atrasentan,ERBB2,9,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,HER2 positive breast carcinoma,0.3222222222222222,False
C384-037,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,terazosin,NTRK3,9,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,respiratory failure,0.2441860465116279,False
C384-038,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,sufentanil,PDGFRA,9,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,gastrointestinal polyp,0.2473118279569892,False
C384-039,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2189110,ozanimod,EZH2,10,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,lymphoma,0.2475247524752475,False
C384-040,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,piperacillin,CA1,1,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,congestive heart failure,0.5769230769230769,True
C384-041,WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,landiolol,CYP26A1,4,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.2342342342342342,False
C384-042,ANGKOCUUWGHLCE-HKUYNNGSSA-N__CHEMBL5141,glycopyrronium,CYP26A1,11,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.2205882352941176,False
C384-043,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,indacaterol,JAK1,11,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,rheumatoid arthritis,0.2178217821782178,False
C384-044,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,rimegepant,JAK2,11,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,cor pulmonale,0.2604166666666667,False
C384-045,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,arformoterol,MMP12,11,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,aortic aneurysm,0.2784810126582278,False
C384-046,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,elvitegravir,ERBB2,12,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,prostate carcinoma,0.2929292929292929,False
C384-047,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,ivabradine,FGFR2,12,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,benign prostatic hyperplasia,0.2584269662921348,False
C384-048,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,cilastatin,PPARG,12,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,chronic rhinosinusitis,0.1643835616438356,False
C384-049,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,pregabalin,ENPEP,13,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,hypertensive disorder,0.2264150943396226,False
C384-050,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2821,sufentanil,F12,13,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,peptic ulcer disease,0.2608695652173913,False
C384-051,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,rasagiline,GBA1,13,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,0.2711864406779661,False
C384-052,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,memantine,AR,14,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,alopecia,0.1372549019607843,False
C384-053,DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,amantadine,GBA1,14,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,0.2,False
C384-054,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,bupivacaine,MMP12,15,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,atopic eczema,0.265625,False
C384-055,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,pregabalin,REN,15,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,hypertensive disorder,0.208955223880597,False
C384-056,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL3553,indacaterol,TYK2,16,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,rheumatoid arthritis,0.2156862745098039,False
C384-057,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,quinidine,ACVRL1,17,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,gout,0.2375,False
C384-058,OYYDSUSKLWTMMQ-JKHIJQBDSA-N__CHEMBL5141,trospium,CYP26A1,17,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.1884057971014492,False
C384-059,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,avibactam,DPP4,17,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,rheumatoid arthritis,0.2258064516129032,False
C384-060,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,labetalol,EGLN3,17,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.2112676056338028,False
C384-061,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,mebendazole,FGFR2,17,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,squamous cell lung carcinoma,0.2987012987012987,False
C384-062,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,nevirapine,AKT1,18,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,female breast carcinoma,0.2666666666666666,False
C384-063,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,dasabuvir,ALK,18,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,cancer,0.2233009708737864,False
C384-064,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL3991,furosemide,F7,18,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.2087912087912088,False
C384-065,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL2971,metformin,JAK2,18,11–20,EVIDENCE_DEPRIORITIZE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,heart failure,0.1428571428571428,False
C384-066,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,doravirine,NR3C1,18,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,childhood brain meningioma,0.2823529411764706,False
C384-067,FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,sapropterin,CHEK2,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.2,False
C384-068,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2821,tetracaine,F12,20,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,peptic ulcer disease,0.2333333333333333,False
C384-069,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL402,tedizolid,HMGCR,20,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,cardiovascular disorder,0.2441860465116279,False
C384-070,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,lubiprostone,NR3C2,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,hypertensive disorder,0.2,False
C384-071,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,varenicline,NTRK3,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,respiratory failure,0.1641791044776119,False
C384-072,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705,calcipotriene,EGLN3,8,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,eye disorder,0.0967741935483871,False
C384-073,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,zavegepant,PTK2,8,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,atrial fibrillation,0.2545454545454545,False
C384-074,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,sotalol,NR3C2,1,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,stroke disorder,0.3777777777777777,False
C384-075,LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,capmatinib,EZH2,4,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,plasma cell myeloma,0.3333333333333333,False
C384-076,FVTWTVQXNAJTQP-UHFFFAOYSA-N__CHEMBL5705,umeclidinium,EGLN3,16,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,open-angle glaucoma,0.1525423728813559,False
C384-077,MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,elexacaftor,PIK3CG,16,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,coronary atherosclerosis,0.2549019607843137,False
C384-078,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,relugolix,FLT1,18,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,coronary artery disorder,0.2547169811320754,False
C384-079,IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,idelalisib,HDAC11,2,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,Hodgkins lymphoma,0.6625,True
C384-080,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,ibuprofen,CA4,4,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,migraine disorder,0.4883720930232558,True
C384-081,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,duvelisib,HDAC11,4,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,non-small cell lung carcinoma,0.4382022471910112,True
C384-082,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,lisinopril,REN,4,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,stroke disorder,0.6,True
C384-083,AHOUBRCZNHFOSL-YOEHRIQHSA-N__CHEMBL2039,paroxetine,MAOB,5,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,melancholia,0.4074074074074074,True
C384-084,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,glasdegib,KIT,6,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,"chronic myelogenous leukemia, BCR-ABL1 positive",0.3218390804597701,False
C384-085,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,imiquimod,FDPS,8,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,disseminated superficial actinic porokeratosis,0.3018867924528302,False
C384-086,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,belzutifan,AR,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,osteoporosis,0.2575757575757575,False
C384-087,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,dabrafenib,PIK3CA,5,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,squamous cell lung carcinoma,0.3658536585365853,False
C384-088,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL3729,esmolol,CA4,1,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,Tourette syndrome,0.3166666666666666,False
C384-089,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,tamsulosin,CA4,1,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,migraine disorder,0.359375,False
C384-090,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL2326,levamlodipine,CA7,1,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3285714285714285,False
C384-091,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL3522,nevirapine,CYP17A1,1,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,prostate neoplasm,0.3166666666666666,False
C384-092,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,pomalidomide,HDAC2,1,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,acute myeloid leukemia,0.5901639344262295,True
C384-093,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,metoprolol,CA4,2,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3103448275862069,False
C384-094,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,solifenacin,CA7,2,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3582089552238806,False
C384-095,GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL3522,clascoterone,CYP17A1,2,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,adrenal gland hyperfunction,0.3918918918918919,False
C384-096,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL202,levamlodipine,DHFR,2,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,rheumatoid arthritis,0.3538461538461538,False
C384-097,XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,betrixaban,F7,2,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,Glanzmann thrombasthenia,0.5263157894736842,True
C384-098,HGVDHZBSSITLCT-JLJPHGGASA-N__CHEMBL3991,edoxaban,F7,2,1–5,EVIDENCE_DEPRIORITIZE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,Glanzmann thrombasthenia,0.5056179775280899,True
C384-099,RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL2085,acetaminophen,MIF,2,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,rheumatoid arthritis,0.3846153846153846,False
C384-100,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,etonogestrel,ESR2,3,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,osteoporosis,0.313953488372093,False
C384-101,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL1937,thalidomide,HDAC2,3,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,acute myeloid leukemia,0.4590163934426229,True
C384-102,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,nimodipine,CA7,4,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3255813953488372,False
C384-103,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,etravirine,FLT3,4,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3692307692307692,False
C384-104,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2073,rilpivirine,YES1,4,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3380281690140845,False
C384-105,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL3116,pemigatinib,CDK9,5,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,HIV infectious disease,0.3522727272727273,False
C384-106,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,rilpivirine,FYN,5,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3380281690140845,False
C384-107,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,lenalidomide,HDAC2,5,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,mycosis fungoides,0.4142857142857143,True
C384-108,UTNUDOFZCWSZMS-YFHOEESVSA-N__CHEMBL1929,teriflunomide,XDH,5,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,lymphoma,0.3064516129032258,False
C384-109,HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL3310,ruxolitinib,HDAC11,6,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,myelodysplastic syndrome,0.4142857142857143,True
C384-110,NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL205,amisulpride,CA2,10,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,Tourette syndrome,0.5303030303030303,True
C384-111,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,lisinopril,NR3C2,11,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,stroke disorder,0.3720930232558139,False
