drug_id,molecular_weight,logp,tpsa,heavy_atoms
FRVSRBKUQZKTOW-YOCNBXQISA-N,630.831,4.678800000000004,107.97,44
FTALBRSUTCGOEG-UHFFFAOYSA-N,234.20199999999994,2.7771,48.14,15
FVTWTVQXNAJTQP-UHFFFAOYSA-N,428.5960000000003,5.140000000000005,29.46,32
FWLMVFUGMHIOAA-UHFFFAOYSA-N,510.5020000000002,2.3965000000000005,142.09999999999997,35
FWYSMLBETOMXAG-QHCPKHFHSA-N,572.559,5.707400000000006,77.84,41
FWZAWAUZXYCBKZ-NSHDSACASA-N,479.43400000000014,3.432200000000001,125.25999999999999,34
FYDWDCIFZSGNBU-UHFFFAOYSA-N,597.7600000000002,4.836000000000004,108.21000000000001,44
FYMHQCNFKNMJAV-HOTGVXAUSA-N,398.3940000000002,1.2223799999999996,107.59,29
GBLBJPZSROAGMF-RWYJCYHVSA-N,533.6120000000002,4.200140000000003,135.53,39
GBXSMTUPTTWBMN-XIRDDKMYSA-N,376.45300000000026,1.6046,95.94000000000001,27
GCKFUYQCUCGESZ-BPIQYHPVSA-N,324.4640000000001,4.048700000000004,37.3,24
GDLBFKVLRPITMI-UHFFFAOYSA-N,230.676,1.6818,58.53,14
GEJDGVNQKABXKG-CFKGEZKQSA-N,418.57800000000026,3.5641000000000025,74.02,30
GFHAXPJGXSQLPT-VIFPVBQESA-N,267.67600000000004,1.1630999999999994,95.92000000000002,18
GFNANZIMVAIWHM-OBYCQNJPSA-N,394.4390000000002,0.6204999999999998,115.06,28
GGCSSNBKKAUURC-UHFFFAOYSA-N,386.56100000000015,4.214800000000004,32.78,27
GGXICVAJURFBLW-CEYXHVGTSA-N,432.60100000000017,4.186400000000005,86.99000000000001,31
GHILNKWBALQPDP-UHFFFAOYSA-N,456.49600000000027,5.351780000000004,86.17,34
GJJFMKBJSRMPLA-DZGCQCFKSA-N,246.35399999999998,1.7713999999999999,46.33,18
GJPICJJJRGTNOD-UHFFFAOYSA-N,551.6250000000002,4.203900000000004,145.65,39
GJSURZIOUXUGAL-UHFFFAOYSA-N,230.09799999999998,2.3644999999999996,36.42,14
GKCBAIGFKIBETG-UHFFFAOYSA-N,264.3689999999999,2.617000000000001,41.57,19
GKHIVNAUVKXIIY-UHFFFAOYSA-N,452.51800000000014,4.820100000000003,104.82,34
GLYMPHUVMRFTFV-QLFBSQMISA-N,561.445,4.719400000000002,122.47,38
GMRQFYUYWCNGIN-NKMMMXOESA-N,416.6460000000002,5.704700000000008,60.69,30
GNXFOGHNGIVQEH-UHFFFAOYSA-N,241.24299999999994,0.5302000000000002,91.00999999999999,17
GOTYRUGSSMKFNF-UHFFFAOYSA-N,259.265,0.029799999999999882,92.5,19
GPNHMOZDMYNCPO-PDUMRIMRSA-N,402.5310000000003,3.7717000000000027,80.67000000000002,29
GPXBXXGIAQBQNI-UHFFFAOYSA-N,489.9310000000001,5.544200000000004,91.92,33
GXJABQQUPOEUTA-RDJZCZTQSA-N,384.24500000000006,0.36059999999999964,124.44000000000001,28
GXXLUDOKHXEFBQ-YJFSRANCSA-N,383.4950000000002,0.6602999999999999,93.44,25
GYDJEQRTZSCIOI-LJGSYFOKSA-N,157.21299999999997,0.8361000000000001,63.32000000000001,11
GYHCTFXIZSNGJT-UHFFFAOYSA-N,448.9500000000001,5.683140000000005,69.64,32
GYQYAJJFPNQOOW-UHFFFAOYSA-N,552.7240000000003,2.6972000000000014,121.10999999999999,40
GZOSMCIZMLWJML-VJLLXTKPSA-N,349.51800000000003,5.398600000000005,33.120000000000005,26
GZUITABIAKMVPG-UHFFFAOYSA-N,473.5940000000001,6.075200000000007,70.0,34
HARRKNSQXBRBGZ-GVKWWOCJSA-N,409.57400000000024,4.3436800000000035,78.91,30
HAYYBYPASCDWEQ-UHFFFAOYSA-N,560.6490000000001,5.026900000000005,85.52,41
HBOMLICNUCNMMY-XLPZGREQSA-N,267.245,-0.19628000000000012,133.07999999999998,19
HCDMJFOHIXMBOV-UHFFFAOYSA-N,487.5070000000004,3.6570000000000027,83.16,35
