matrix,view,direction,model_a,model_b,queries,valid_correlations,minimum_candidates,maximum_candidates,median_spearman,mean_spearman,mean_kendall_tau_b,mean_top10_overlap,random_top10_overlap,top10_overlap_ratio_to_random
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DrugCLIP,ProbeMatchDTI,119,119,338,719,0.08076393112790772,0.08490003624782182,0.05676528572870072,0.31856378915202443,0.14039950320228986,2.2689808858727414
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,Nesso-1,DTBind_occurrence,119,119,338,719,0.28209040602196966,0.25059771308890755,0.16943198433825182,0.7983193277310925,0.14039950320228986,5.6860552175947605
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,Nesso-1,ProbeMatchDTI,119,119,338,719,0.09038696967701194,0.05732657465764595,0.03844524256243784,0.4227145403615992,0.14039950320228986,3.0107979780565555
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,ProbeMatchDTI,DTBind_occurrence,119,119,338,719,0.22929417150822068,0.20992581692472825,0.1421068063467179,0.5286478227654698,0.14039950320228986,3.7653112062924152
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,DTBind_occurrence,720,720,303,303,0.052475410128179995,0.03947573303101055,0.026230708069091637,0.6527777777777778,0.33003300330033003,1.9779166666666668
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,DTIAM_A,720,720,384,384,0.13882396689104182,0.13245300914450173,0.09528173358052544,0.9666666666666667,0.2604166666666667,3.7119999999999997
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,DrugCLIP,720,720,382,382,0.06361652814034352,0.06564387406409022,0.0458039084589987,0.5993055555555555,0.2617801047120419,2.289347222222222
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,Nesso-1,719,719,142,177,0.18254702911390733,0.15881805262243828,0.11075762595963688,1.3684774856623203,0.6980371610518178,1.960465089853194
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,ProbeMatchDTI,720,720,384,384,-0.003426515390291147,-0.0008249786299069704,-0.0009364047678304495,0.5707005016380016,0.2604166666666667,2.191489926289926
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DTIAM_A,DTBind_occurrence,720,720,303,303,0.07820863342869665,0.06649112244716356,0.0451129303629761,0.8569444444444444,0.33003300330033003,2.5965416666666665
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DTIAM_A,Nesso-1,719,719,142,177,0.05315341935060245,0.03515839952519468,0.024041191590244756,1.3087621696801113,0.6980371610518178,1.8749176157155294
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DTIAM_A,ProbeMatchDTI,720,720,384,384,0.13261016072700146,0.12107455061324239,0.08101888327651711,0.6867482254982255,0.2604166666666667,2.6371131859131856
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,DTBind_occurrence,720,720,303,303,0.09657800696416799,0.10082894137268254,0.06760358027033797,0.8888888888888888,0.33003300330033003,2.6933333333333334
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,DTIAM_A,720,720,382,382,0.06529234219596486,0.06159797272418885,0.04136202046378264,0.8166666666666667,0.2617801047120419,3.119666666666667
