pair_id,biomaster,drugclip,dtiam,conplex
CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,-11.290316,-0.05078442,0.676041,0.13247105
CJOFXWAVKWHTFT-XSFVSMFZSA-N__CHEMBL2039,-7.505136,0.06439315,0.38828832,0.1570473
CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,-9.598777,-0.12042909,0.17063202,0.2771052
CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL3979,-11.024395,-0.17344552,0.097414725,0.082916826
CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,-13.414818,-0.016611494,0.37152895,0.091105886
CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL2722,-3.102545,-0.19720413,0.93635726,0.052824244
CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,-4.238635,-0.10069392,0.7442023,0.25269902
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL1163124,-1.3983324,-0.08915117,0.91172004,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL1824,-1.79277,-0.0031672332,0.89009863,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL1908389,-4.069628,0.2233069,0.9220188,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL1991,-12.803026,0.27919358,0.9319116,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2148,-3.6661112,0.17415898,0.85260963,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2527,-7.6367035,0.07968601,0.92957014,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2534,-10.552638,-0.068407364,0.8060191,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2842,-15.002821,-0.23896758,0.59583837,0.0044057188
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2959,-4.9023576,0.2882986,0.8815078,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2971,-4.6723647,0.23196428,0.8874742,0.08663666
