target_id,labeled_pair_tasks,unique_molecules,positive,accessions,chembl_ids,names,identity_tier
SEQ:04e69cd2f66153581190cf72fc27a709fec4d451072fde718c545ccc994353db,6,6,0,Q12913,CHEMBL3692,Receptor-type tyrosine-protein phosphatase eta,ChEMBL37_human_single_protein
SEQ:04e940a5ebf0b96fc9faa1d8b38ce5273808c79190ab719e40a85726aa6605c3,20,19,3,Q9Y5K5,CHEMBL3407316,Ubiquitin carboxyl-terminal hydrolase isozyme L5,ChEMBL37_human_single_protein
SEQ:0510ee24c4318b1296486bb65591844320d432a094ca72c3cce4dd794d7e826a,291,289,281,P28347,CHEMBL3334416,Transcriptional enhancer factor TEF-1,ChEMBL37_human_single_protein
SEQ:0519d21586302713cafdb06a73c6cb58c2b237abc823854e40cc95c77c684220,14,14,14,Q9NZK7,CHEMBL2154,Group IIE secretory phospholipase A2,ChEMBL37_human_single_protein
SEQ:051fc4732e4921492421cda1544c298561f4d5e41751c6e73886e38ed9280207,1132,1126,868,Q00534,CHEMBL2508,Cyclin-dependent kinase 6,ChEMBL37_human_single_protein
SEQ:052e47ca9b6bf71afee9b7d343dc6a30ec86fb03ec890b3c8d4d3a136f96f0c9,2,2,2,P62847,CHEMBL6067563,Small ribosomal subunit protein eS24,ChEMBL37_human_single_protein
SEQ:05581dae6f0579da869a0303a20bfc9b322659ea29e5b680f94f552ebd23456c,2,1,2,Q96GM5,CHEMBL5725090,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,ChEMBL37_human_single_protein
SEQ:0570c5d169e261bd58cef982a478372a4db9a32bab2b2e079eafc07bf05f0433,684,628,665,Q16602,CHEMBL3798,Calcitonin gene-related peptide type 1 receptor,ChEMBL37_human_single_protein
SEQ:057798c1089fc251ff563dc03e5373e0684e90960e1f34c27c071d8afcfbd9b9,422,414,359,P05089,CHEMBL1075097,Arginase-1,ChEMBL37_human_single_protein
SEQ:057c4ddaf3a55d5ef11ad6ac36ba1ed06730e5fdf6b90985d93fb9ea844eea85,2,2,1,Q9Y266,CHEMBL5725183,Nuclear migration protein nudC,ChEMBL37_human_single_protein
SEQ:058d29ba453bfb351cb680585c5dcecf4f9ebfa297008ad419cabaf906f6f124,1,1,0,Q8NA31,CHEMBL6066367,Telomere repeats-binding bouquet formation protein 1,ChEMBL37_human_single_protein
SEQ:059d7c2c8feb87a96ccef6fc7f4866895687212f5bb9393c910970133e134081,1,1,0,P51580,CHEMBL2500,Thiopurine S-methyltransferase,ChEMBL37_human_single_protein
SEQ:05a26bba040196ba3ae29d8c6db9a9403080a69e24af3d55437924b7e8b89e47,25,25,25,P41440,CHEMBL4833,Reduced folate transporter,ChEMBL37_human_single_protein
SEQ:05b9e4ad04d5730fd38440bc1685b6dfe8f1d88b5cef3708ced2ddaa50e534ff,1,1,0,Q14671,CHEMBL6067257,Pumilio homolog 1,ChEMBL37_human_single_protein
SEQ:05bc95bfe8ddeb197c181dd9c93d9626a992d470d0a022b7b32a71f711fad90e,1,1,0,Q96RE7,CHEMBL5724631,Nucleus accumbens-associated protein 1,ChEMBL37_human_single_protein
SEQ:05cd9853a80448ec5b8ef855fee47e814e1a210eb91ef7c45ca6d63f94bcb5ed,14,14,1,O95644,CHEMBL3876,"Nuclear factor of activated T-cells, cytoplasmic 1",ChEMBL37_human_single_protein
SEQ:05d2b6ddc4b9d17b8873e7cb92ebf8e337ab9caba8e3bfb6a63d1c102f14c663,1546,1509,1078,P35368,CHEMBL232,Alpha-1B adrenergic receptor,ChEMBL37_human_single_protein
SEQ:05d60a6f764021e918cb82ec1f692b68d8c8f288fcec0a06b353b54f82973e02,23,23,10,P16444,CHEMBL1989,Dipeptidase 1,ChEMBL37_human_single_protein
SEQ:05e2a7eb23bc32816463276f185e0f70f9c3d002e11f8f7fb468f19009544e8e,2,2,2,O76094,CHEMBL6066168,Signal recognition particle subunit SRP72,ChEMBL37_human_single_protein
SEQ:05e48104919442dd817734f3c0ba08847b06cd02c76a8f88d96aa712545ce773,906,882,709,Q15118,CHEMBL4766,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",ChEMBL37_human_single_protein
SEQ:05e6f445058d1b3e36c095d8aee115bf30847a8cbf14993c840bc1bda72c717d,1,1,0,Q9Y496,CHEMBL5544,Kinesin-like protein KIF3A,ChEMBL37_human_single_protein
SEQ:05eb8f1a36ba790f88e4aa24996d86f186f71f1a54d3cf3bee948e9304d0ef93,2,2,1,P54727,CHEMBL6066866,UV excision repair protein RAD23 homolog B,ChEMBL37_human_single_protein
SEQ:05ffe5aa5f41f7566eca5e7689a76c7096642bbb99dda345579654a166ea9737,10,10,7,Q96CP6,CHEMBL5725017,Protein Aster-A,ChEMBL37_human_single_protein
SEQ:06007df63a9d69726404d5a53d208a408bce1301a03e4710fb9693a4ed33ad08,1,1,0,Q13112,CHEMBL5724753,Chromatin assembly factor 1 subunit B,ChEMBL37_human_single_protein
SEQ:06019dbd1b426460fad60e448826f8b1b2f8746454701f98b358f16020013ff4,1,1,1,Q8TEA8,CHEMBL6067312,D-aminoacyl-tRNA deacylase 1,ChEMBL37_human_single_protein
SEQ:0611bfb309482e20df1914813626e5eff859b71953e696fbcd53414a9a76db9e,345,342,116,P53985,CHEMBL4360,Monocarboxylate transporter 1,ChEMBL37_human_single_protein
SEQ:062376c1fe9a8680bd8951737fc458bfd402da2a7822f51a7388bc14dea87068,605,604,515,Q13370,CHEMBL290,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B",ChEMBL37_human_single_protein
SEQ:06328137fc9825821b1a7a7d95bea792b72346b624c39624ac8359ae06ffe578,210,210,2,Q709F0,CHEMBL4105707,Acyl-CoA dehydrogenase family member 11,ChEMBL37_human_single_protein
SEQ:0632d425ca63a49d9bb1a592942716de7601d7d9a11afb83949548c534b779dd,1,1,0,Q7Z4V5,CHEMBL4523364,Hepatoma-derived growth factor-related protein 2,ChEMBL37_human_single_protein
SEQ:0646d6247e09f37514094be8bf425f8c46cfc1ae92b5554c4f0d898b3265d875,1,1,1,Q9NRM2,CHEMBL6067158,Zinc finger protein 277,ChEMBL37_human_single_protein
