target_id,labeled_pair_tasks,unique_molecules,positive,accessions,chembl_ids,names,identity_tier
SEQ:2050e121c40716b1679af0b304ba648e1f3f6d4bf32ac563318974ec64d5167a,12364,12216,11588,Q06187,CHEMBL5251,Tyrosine-protein kinase BTK,ChEMBL37_human_single_protein
SEQ:205c664a32cb41bcc5168344cf11527e899e6f0fb68cc6a8b6ead6a3755dc8b1,1,1,1,O60749,CHEMBL6067023,Sorting nexin-2,ChEMBL37_human_single_protein
SEQ:206f1c6daf801865972dc8203924fcc645fd8cee727bbff38d6bb6d952ee589a,8,8,0,P28070,CHEMBL4879435,Proteasome subunit beta type-4,ChEMBL37_human_single_protein
SEQ:20763196f05a193ee16b396cfbdbc211069e598b55cb1bb41f364b2d7bb977d6,15,15,0,O95363,CHEMBL2511,"Phenylalanine--tRNA ligase, mitochondrial",ChEMBL37_human_single_protein
SEQ:207a41d955f5a2ce668c341da3bab9bbc856212b56aec3a45803c7a070cbeb29,33,33,29,Q16798,CHEMBL6182,"NADP-dependent malic enzyme, mitochondrial",ChEMBL37_human_single_protein
SEQ:207e7ac1bf9cb7c57c94299c4b051ccc1885e96768d53501bd390bcfb6d87a91,4,4,0,Q6PCT2,CHEMBL5169165,F-box/LRR-repeat protein 19,ChEMBL37_human_single_protein
SEQ:20834b6dfdbb2aa765858eb49701db7467f05f784668b9b48e96defdf903ddc7,3,3,2,O14776,CHEMBL5724602,Transcription elongation regulator 1,ChEMBL37_human_single_protein
SEQ:208605b98a84bb5c3921bc304608f526b3b7060114944331beabe1dccc1a8a71,52,52,51,Q8WTV0,CHEMBL1914272,Scavenger receptor class B member 1,ChEMBL37_human_single_protein
SEQ:208f142f087984f226bfe4163d968c6711c14cbce298deb3d087d96020e05815,1,1,1,Q9BZ23,CHEMBL3407327,"Pantothenate kinase 2, mitochondrial",ChEMBL37_human_single_protein
SEQ:20a4b077942b8ef8d9a78de09f65a8332c41971ea69b9ca2d781f41f44939691,2,1,2,Q9HCK8,CHEMBL6066165,Chromodomain-helicase-DNA-binding protein 8,ChEMBL37_human_single_protein
SEQ:20a66d0cd8a39ed5afe619a3db7252585b808b6da99ba5297377bafd3375072b,509,496,297,P51813,CHEMBL3834,Cytoplasmic tyrosine-protein kinase BMX,ChEMBL37_human_single_protein
SEQ:20a6b94861f0cf314539c09f81e963061ffb85f749a47a103bb6de76c0fb62fc,355,348,139,P30536,CHEMBL5742,Translocator protein,ChEMBL37_human_single_protein
SEQ:20a936fb390bbdddffc7bb7ecd3374eded70f8049bd45d713e9fcaaa7c2c664b,6,6,6,Q9HB03,CHEMBL5791,Very long chain fatty acid elongase 3,ChEMBL37_human_single_protein
SEQ:20be7b508fb107029413e39d9d402c4647142792a55d0133dbbe98ac2da7b363,1,1,1,Q96RP8,CHEMBL2773,Potassium voltage-gated channel subfamily A member 7,ChEMBL37_human_single_protein
SEQ:20d1d3efb37716f4198ee1efade5dadb57d7a37631317d8f4eff334955d10637,121,121,107,Q8IWU9,CHEMBL5433,Tryptophan 5-hydroxylase 2,ChEMBL37_human_single_protein
SEQ:20d22876a581dc3e6efd3e3c71157d52c6d3d6b2fbda9cc9ff375812e93559a6,1,1,0,O60779,CHEMBL3079,Thiamine transporter 1,ChEMBL37_human_single_protein
SEQ:20d866e3d7cec39b64b8eb27a04126d89d23558bb6e4e4868413f772eb569ddb,33,33,27,Q9Y6K0,CHEMBL4105740,Choline/ethanolaminephosphotransferase 1,ChEMBL37_human_single_protein
SEQ:20d8937a8f2450b612ad8a1c68c7ea02159f8d228ec3804a4e0c0cfc867e8563,4,4,0,Q76LX8,CHEMBL2346492,A disintegrin and metalloproteinase with thrombospondin motifs 13,ChEMBL37_human_single_protein
SEQ:20d8b766c0a6b2c809342f00fcf4637ec6bbb82e04fb3dda9bdec095f7531262,3,3,3,P56937,CHEMBL5999,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,ChEMBL37_human_single_protein
SEQ:20d95bbd7219ed692991fc802f5ec153736cebcc544b1d5f94408f674165e914,338,306,248,P13631,CHEMBL2003,Retinoic acid receptor gamma,ChEMBL37_human_single_protein
SEQ:20e812de009739c943b0192b72bc464624aaa6e917cf7ea79c325b4e0e833852,1,1,0,P84085,CHEMBL5986,ADP-ribosylation factor 5,ChEMBL37_human_single_protein
SEQ:20ec3c6d5b01df63a7000bb567c59d7871b0f5b96b73b3d88361590ab432e0b0,3,3,1,P35268,CHEMBL6066913,Large ribosomal subunit protein eL22,ChEMBL37_human_single_protein
SEQ:20f26ad0aa244f4037a6786fa832e8e481f393c0e76c00ef77e0cab779a43ebb,1,1,0,Q9BY42,CHEMBL5725112,Replication termination factor 2,ChEMBL37_human_single_protein
SEQ:21017319c2c8714bf0b97157e13f2184664d2d13b899b37276195af86ca0720a,12929,12827,11826,O60674,CHEMBL2971,Tyrosine-protein kinase JAK2,ChEMBL37_human_single_protein
SEQ:2113760e4ec69f17cb2c8c2ef47b17a368de16bbb782344f284ede2e49756fcc,2,2,2,Q04837,CHEMBL6066314,"Single-stranded DNA-binding protein, mitochondrial",ChEMBL37_human_single_protein
SEQ:212bb58911e1cdef1d6335a67929a6d91d31ac4895bf9f80086b7cb46b4f2afc,17,17,15,Q15393,CHEMBL1250378,Splicing factor 3B subunit 3,ChEMBL37_human_single_protein
SEQ:21471feef18750c0f3f1aac6eb2829d19938db78c1b6a0620c4ac79ceee962d6,1,1,1,Q08378,CHEMBL6067099,Golgin subfamily A member 3,ChEMBL37_human_single_protein
SEQ:2169abeeb70453ed10e42d4a07d524fd87b25e55e74879736b8c185ed0b75b39,44,44,0,Q14242,CHEMBL4183,P-selectin glycoprotein ligand 1,ChEMBL37_human_single_protein
SEQ:217455657e32ce7ad8e0713275f172d99864a617b6c6b0ab2faaff41af1c10cb,1,1,0,Q15573,CHEMBL4105882,TATA box-binding protein-associated factor RNA polymerase I subunit A,ChEMBL37_human_single_protein
SEQ:2174c461817c35101eddf5c5ded44c7993684802e2ae40eb8566d574eccf79c1,637,615,620,Q99835,CHEMBL5971,Protein smoothened,ChEMBL37_human_single_protein
SEQ:218f1f1232da1231e7f69f37fd5ae82dcdabc81042c7c84ce35e483486b33197,1,1,1,Q9BRY0,CHEMBL6066510,Zinc transporter ZIP3,ChEMBL37_human_single_protein
SEQ:2199b2d7de4b600d7c6c3cadba4adbefb5180d05d94a106464add8241033c50c,1,1,0,P52739,CHEMBL5069380,Zinc finger protein 131,ChEMBL37_human_single_protein
SEQ:21da042eb93ff0876417f6bff4376e43fa3facd5e887aa2ac17b5be2baa67163,1,1,0,Q8TCD5,CHEMBL3751653,"5'(3')-deoxyribonucleotidase, cytosolic type",ChEMBL37_human_single_protein
SEQ:21e4a468605657df0c26aa9cb24f8b8b94056e0d6442a0cb7456673c9aeb6da1,6,6,3,P52655,CHEMBL4832,Transcription initiation factor IIA subunit 1,ChEMBL37_human_single_protein
SEQ:21e6f9932749a3926a5db0a174aa4178db3fb293caf32642ab13f97e4503b1cf,2,2,1,P14317,CHEMBL6066407,Hematopoietic lineage cell-specific protein,ChEMBL37_human_single_protein
SEQ:21ea1d5dffe60545d7d0fb7d8dd481b169aaa005d4d6674148d3748e8c01d39a,687,679,311,P42680,CHEMBL4246,Tyrosine-protein kinase Tec,ChEMBL37_human_single_protein
SEQ:21eb33d401310021e874dbf346702ee8ad24484808470de51a9987e9bc8ccff0,2,2,2,O75934,CHEMBL6067001,Pre-mRNA-splicing factor SPF27,ChEMBL37_human_single_protein
SEQ:21f0be5abe73a7101c4688d544ddbf8dcf7fb74a97920ceff890b0701eedecb5,1,1,1,Q5JTV8,CHEMBL6067329,Torsin-1A-interacting protein 1,ChEMBL37_human_single_protein
SEQ:21f49444b989615a6ae5543a20781583b30314e4302cbf9c793c6749bfac673a,8,8,1,Q15645,CHEMBL5465278,Pachytene checkpoint protein 2 homolog,ChEMBL37_human_single_protein
SEQ:21f695016a1a4a4b98108873eb17422ea23faa732e72c6710392aef06e77efca,122,122,1,Q00532,CHEMBL5789,Cyclin-dependent kinase-like 1,ChEMBL37_human_single_protein
SEQ:21f80c531548da527b9c9985963e968ed738e4abd3d13a77e9e253b5eb5e3368,240,240,1,P54819,CHEMBL4938,"Adenylate kinase 2, mitochondrial",ChEMBL37_human_single_protein
SEQ:22093c00de41583d7f83fa6270f4affb602588f5a7e67074e2477e67c4a448d4,26,26,2,P08754,CHEMBL4221,Guanine nucleotide-binding protein G(i) subunit alpha-3,ChEMBL37_human_single_protein
SEQ:2217216aa2f83359a0dbae70c3ab138e4f03b64cfd6a0b079049ecf160f72e3a,202,200,23,Q02779,CHEMBL2873,Mitogen-activated protein kinase kinase kinase 10,ChEMBL37_human_single_protein
SEQ:222a9960cf85935bce6e7f986912eaed6d69230a47a3118ff19298fef1c39d92,1,1,0,P16989,CHEMBL4295720,Y-box-binding protein 3,ChEMBL37_human_single_protein
SEQ:223384aa416b5e9b85eba0bd82b798c35b38f8ae4325c35ff46c78dbac5325ed,524,508,132,Q04912,CHEMBL2689,Macrophage-stimulating protein receptor,ChEMBL37_human_single_protein
SEQ:22346d98b5064074ee969402d2f39701db9f0863a11012fe68ccb67f8f538d10,41,38,13,P11021,CHEMBL1781865,Endoplasmic reticulum chaperone BiP,ChEMBL37_human_single_protein
SEQ:2235c5a38ead9a3bd9ab75e2d19f5c0467507a6b7bc760d76c26464026a21ecc,1,1,1,P27635,CHEMBL6066928,Large ribosomal subunit protein uL16,ChEMBL37_human_single_protein
SEQ:223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124,2352,2338,2321,P19099,CHEMBL2722,"Cytochrome P450 11B2, mitochondrial",ChEMBL37_human_single_protein
SEQ:22411a1d0f872144e817dfea8f53b7876a81053385c8738124fd6286f352d74f,4,4,0,Q9HBK9,CHEMBL4295950,Arsenite methyltransferase,ChEMBL37_human_single_protein
SEQ:2246e027ea031edb3b93e1ea9ac0b693e9fcc25fe5a5d1b2ee7381119fad1162,13,13,1,P30101,CHEMBL4296001,Protein disulfide-isomerase A3,ChEMBL37_human_single_protein
SEQ:226d68e88fa35258c330efca383724ad9e5e631b5c836e136a55c57a02a78b91,59,58,55,Q6W5P4,CHEMBL5162,Neuropeptide S receptor,ChEMBL37_human_single_protein
SEQ:22705f55903aa2007eb23dc3b4909f6525a7ab6303fb968f9a8f156a8b5d15f3,1610,1605,1096,O14920,CHEMBL1991,Inhibitor of nuclear factor kappa-B kinase subunit beta,ChEMBL37_human_single_protein
SEQ:22862e50ee7a8ac69689607e402b36464ea555e6e1ee886b38a7d0386716d0c5,551,547,137,Q13285,CHEMBL4666,Steroidogenic factor 1,ChEMBL37_human_single_protein
SEQ:22945fe005739421cb0b068f9da09d7246af3d4611118823ef9b59f06eb4b219,1,1,1,P30281,CHEMBL2422,G1/S-specific cyclin-D3,ChEMBL37_human_single_protein
SEQ:22a38bb8f4fc27818893dde3d4139e644d15a12e979f158580c9c4ed11e3cce2,12,12,7,Q13564,CHEMBL2016431,NEDD8-activating enzyme E1 regulatory subunit,ChEMBL37_human_single_protein
SEQ:22bd7110002e52ef523dbcc619ec5ea36fca42dea18f94cae1b10eca69a71c23,2,2,1,P23528,CHEMBL1075129,Cofilin-1,ChEMBL37_human_single_protein
SEQ:22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,1415,1227,682,O75460,CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,ChEMBL37_human_single_protein
SEQ:22d0d0fd43ee46226bc35ee4e99d27ae5d7061bd55a6123cc515efb47c6979db,2,2,0,P30044,CHEMBL3627586,"Peroxiredoxin-5, mitochondrial",ChEMBL37_human_single_protein
SEQ:22ff35928f9ef01c1afb8d1038b96192cf89fe6e0a4bbfd0a877a54446dbe9d6,4,4,0,Q9NXB9,CHEMBL5911,Very long chain fatty acid elongase 2,ChEMBL37_human_single_protein
SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,2358,2293,1688,O00519,CHEMBL2243,Fatty-acid amide hydrolase 1,ChEMBL37_human_single_protein
SEQ:2308567df4dde1e639accce652b1cbc9aa98ae4abb78d96d6d3eb7c794d28e00,2,2,1,O94822,CHEMBL6066997,E3 ubiquitin-protein ligase listerin,ChEMBL37_human_single_protein
SEQ:230f88e6fa570ee731bd17f60fb64e96b35126086ea3863f3035bf6302591201,6,6,3,Q9H160,CHEMBL3784904,Inhibitor of growth protein 2,ChEMBL37_human_single_protein
SEQ:233d66c3cb3260eb6d8fdb97a71af4b51ef44eff48b0ee9d8c0f0a0c52b9bae9,1,1,0,O94905,CHEMBL4739672,Erlin-2,ChEMBL37_human_single_protein
SEQ:2340eb6dc096887eb40c2461607173c47f620240ff85cd6105309cc869766b9d,2,2,1,P15924,CHEMBL6066953,Desmoplakin,ChEMBL37_human_single_protein
SEQ:23444bf380e520bfc839fafd2bf5d943b7f249feb18ea7a264c2144d9a152d1c,2,2,2,P27348,CHEMBL3710408,14-3-3 protein theta,ChEMBL37_human_single_protein
SEQ:234ac46bbcc5d87282b0d046a68324d2da478fff76e2a24c0c2757823aae1298,1,1,1,Q8N5G2,CHEMBL6067170,Macoilin,ChEMBL37_human_single_protein
SEQ:234be25b76656b0f2368c984e27cf9754012c2f41edd012e5682daf2aba8c205,7,7,0,Q14642,CHEMBL4243,Inositol polyphosphate-5-phosphatase A,ChEMBL37_human_single_protein
SEQ:2357a72fbe2395cf0ece6f4d903b528ba0fe918807ff5c598ed54414e27839a4,108,108,6,P05181,CHEMBL5281,Cytochrome P450 2E1,ChEMBL37_human_single_protein
SEQ:235809418d7d3cef7abccc00fcd104e63b3d4dbeb831a48bc93d353237931b5f,210,205,152,P14618,CHEMBL1075189,Pyruvate kinase PKM,ChEMBL37_human_single_protein
SEQ:2360f2a15601a5cc38328c092006a1e6f03db93252c1168c538315f5c6fdfd7f,15,15,3,Q16611,CHEMBL5609,Bcl-2 homologous antagonist/killer,ChEMBL37_human_single_protein
SEQ:23614e5b0071e80e643d95e7442a5951c9e37c7104bba22334d651d1da0ebc2e,238,238,3,Q96S44,CHEMBL1938223,EKC/KEOPS complex subunit TP53RK,ChEMBL37_human_single_protein
SEQ:23674ebc2851b0036e981a7fc04b6aff6f91a9131ebc2c2191bd222411454562,1,1,1,Q9BQY4,CHEMBL5725135,Rhox homeobox family member 2,ChEMBL37_human_single_protein
SEQ:236cf7141c9841a95e870c79da10f6152bc44c00ee3be8d650a63df3be2aa75c,18,18,1,Q9Y6E7,CHEMBL2163185,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial",ChEMBL37_human_single_protein
SEQ:237bcd43f0b8ebac79e54027eb8c1e999146aa48070c04253e5d83c0059c24c3,119,119,54,P09936,CHEMBL6159,Ubiquitin carboxyl-terminal hydrolase isozyme L1,ChEMBL37_human_single_protein
SEQ:238f8042f2face3239770d83dc1a4a35d5e6439580bee19d4a763ccfcd85ffe1,9,9,0,Q13118,CHEMBL3407312,Krueppel-like factor 10,ChEMBL37_human_single_protein
SEQ:23a8189aa6c894bf084bb5a77cfe47f841cd710a6176af3d98a469eee6b963ef,284,284,248,P10619,CHEMBL6115,Lysosomal protective protein,ChEMBL37_human_single_protein
SEQ:23c58767c4b97efd7058eeb685b6a590dadd2709b33c3a945acc9e582484bd0e,2,2,2,Q9Y6G9,CHEMBL6066283,Cytoplasmic dynein 1 light intermediate chain 1,ChEMBL37_human_single_protein
SEQ:23ccafd90d85af5d46f333fff8a2804008baa19f65978cec82e3dcf12ee2081a,2,2,1,P50395,CHEMBL6066507,Rab GDP dissociation inhibitor beta,ChEMBL37_human_single_protein
SEQ:23e8c418d4bf540d98256c1c0e43f820991372d1a4ad23447f954b77ede098e8,2,2,2,Q5JUX0,CHEMBL4523325,Spindlin-3,ChEMBL37_human_single_protein
SEQ:23eb357969b92d356b555e3857d9cec7c21bbcf071041674f431047b62aab9f3,1,1,1,Q92542,CHEMBL3418,Nicastrin,ChEMBL37_human_single_protein
SEQ:2418f2e64d6a4d2148802c8eae64d9da6757e8ad157a03f55a047249148b1756,89,89,2,P00156,,Cytochrome b,BindingDB_source_reported_human_sequence
SEQ:2421c600f44b5abebb21901c9ebead4006f18ea43019b92ef9e38eb5f89a9170,187,187,2,P30086,CHEMBL4105856,Phosphatidylethanolamine-binding protein 1,ChEMBL37_human_single_protein
SEQ:244259c93b9bda18ca7c8388e8f6b14d3c10e54c724e7bcf0c5b45172affcd70,1,1,0,Q8WWX8,CHEMBL1744524,Sodium/myo-inositol cotransporter 2,ChEMBL37_human_single_protein
SEQ:2456d9741e1cf308c3e1c2744fa00073346f69367753f7ab7f7f2aba28979ce3,1,1,0,P50452,CHEMBL5725085,Serpin B8,ChEMBL37_human_single_protein
SEQ:24705929b6a38a40b0ae70d4d147c59956feaac43ac9dc760f5a08f88617ec43,1,1,1,P24534,CHEMBL4295731,Elongation factor 1-beta,ChEMBL37_human_single_protein
SEQ:247d2ae354a8e0ec0ea1d65d001d5d2aa23090ea9ad47842ca44bce9dceb0d32,1,1,0,P17096,CHEMBL5724678,High mobility group protein HMG-I/HMG-Y,ChEMBL37_human_single_protein
SEQ:2499595259fe846326edcec2c21b7dc3585c72e3573f1ed320bcc4a9af0c8bad,2,2,0,Q86V81,CHEMBL4296014,THO complex subunit 4,ChEMBL37_human_single_protein
SEQ:24a13b297fc642cdef2aa62b22417a2c76fa68fcc13dac81c12372019c7051da,2,2,2,Q9NVU7,CHEMBL6067199,Protein SDA1 homolog,ChEMBL37_human_single_protein
SEQ:24aa5eac55fa0a1b09238b9c412de51166493037de00dc4abc7701004b25edc2,3,3,0,Q96Q89,CHEMBL2021752,Kinesin-like protein KIF20B,ChEMBL37_human_single_protein
SEQ:24b32b230026371590c5e36127c36ad399bb195b71891e9dd86cafff6439cda2,1287,1262,1055,Q99558,CHEMBL5888,Mitogen-activated protein kinase kinase kinase 14,ChEMBL37_human_single_protein
SEQ:24b4d40cf97ab74e272f224309963945d1923a6683f4a319e03c1ec7367b4caa,1,1,1,P14314,CHEMBL5242,Glucosidase 2 subunit beta,ChEMBL37_human_single_protein
SEQ:24bdbbca62f284f83045f3f6b68c55094fbeff919bf80fd83ae2e894f07c2193,7,7,2,Q5MAI5,CHEMBL4523326,Cyclin-dependent kinase-like 4,ChEMBL37_human_single_protein
SEQ:24d7cbbb415a002f4cca3e77f769c4ffffcbe3412b200eeccb254d5129112756,51,51,46,O15527,CHEMBL3396944,N-glycosylase/DNA lyase,ChEMBL37_human_single_protein
SEQ:24e490bd333849136ccffdcf1d11a14db44596f6982316aeb40ec5a5d9a822bc,84,79,57,O00482,CHEMBL3544,Nuclear receptor subfamily 5 group A member 2,ChEMBL37_human_single_protein
SEQ:24f0eb74931b9c84a430b42185d7d44ee2b7410bb4f68a0f2b0a5f54105b6927,324,321,139,Q8IU85,CHEMBL5073,Calcium/calmodulin-dependent protein kinase type 1D,ChEMBL37_human_single_protein
SEQ:24f33626cf6a957d7cbc7b2978ddd3d4d724c9ff67f153b807e965e6887f1334,2,2,2,P56134,CHEMBL6067082,"ATP synthase F(0) complex subunit f, mitochondrial",ChEMBL37_human_single_protein
SEQ:2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,412,411,338,P24557,CHEMBL1835,Thromboxane-A synthase,ChEMBL37_human_single_protein
SEQ:2529136861c05610aeb8bcbf90f1169f9c89636a47b2144f01929d5c355d3dfe,1,1,1,Q5XG87,CHEMBL4680033,Terminal nucleotidyltransferase 4A,ChEMBL37_human_single_protein
SEQ:252a2ed0d306920080ad61072cec745123f2b793dcc7e3cba04bf2a279865c74,1,1,1,O94919,CHEMBL6066995,Endonuclease domain-containing 1 protein,ChEMBL37_human_single_protein
SEQ:252ec3542ff6a4e3a3e7de068de40348b708e227d3cc0ced2b3bc3cca0c543ba,1,1,0,Q96ER3,CHEMBL6067380,Protein SAAL1,ChEMBL37_human_single_protein
SEQ:254060791ffa6526862c91fa6e5c67bc5bc8becdc15df4fc0ddb05ae1a3fecec,1,1,0,Q8WWI5,CHEMBL6066446,Choline transporter-like protein 1,ChEMBL37_human_single_protein
SEQ:2546fc8eb85f6ddb0c86a8118b17e473bd385a8c6e3d14c60d4193d21d098fc1,1951,1939,1265,P49674,CHEMBL4937,Casein kinase I isoform epsilon,ChEMBL37_human_single_protein
SEQ:255f10faab444adf97a1fbf27c84d198c005d06d385da0ce28b73bdb4667af07,192,192,4,P10809,CHEMBL4721,"60 kDa heat shock protein, mitochondrial",ChEMBL37_human_single_protein
SEQ:25715e57a8459e6a001356f718570b3e77178214de5c62f668f54763838cfae5,1,1,1,O43427,CHEMBL6066519,Acidic fibroblast growth factor intracellular-binding protein,ChEMBL37_human_single_protein
SEQ:2583d4d71362e25168ff56f615acdfdc473e0b4240c2a524151eed4fa84529a4,34,34,34,Q13094,CHEMBL6196086,Lymphocyte cytosolic protein 2,ChEMBL37_human_single_protein
SEQ:259d0b20f3f05397560e4d384b7c03cc5f0a48bab8c829af036912d779efd29a,50,49,29,Q9BYW2,CHEMBL3108647,Histone-lysine N-methyltransferase SETD2,ChEMBL37_human_single_protein
SEQ:25a6a2ec53c25ab799f6a995390446f3bcce3dfb1e6a830ea5dc99f86c83780a,56,56,51,Q99732,CHEMBL6066581,Lipopolysaccharide-induced tumor necrosis factor-alpha factor,ChEMBL37_human_single_protein
SEQ:25ab3cca557905b9537c10956ad577436826675e2f7f7734f2264d5cbb5b953b,12,12,12,P52429,CHEMBL1075187,Diacylglycerol kinase epsilon,ChEMBL37_human_single_protein
SEQ:25b1dff52f51dbb2e8b6dea423ed80669d661c78d41cb407f23bfcae8719a043,14,14,5,P19835,CHEMBL3219,Bile salt-activated lipase,ChEMBL37_human_single_protein
SEQ:25c30a5c1a74e65251e97a3f45f023bdd42eb71516379b015bb7520ea2918205,40,40,18,P52789,CHEMBL2640,Hexokinase-2,ChEMBL37_human_single_protein
SEQ:25d5733fb68d65a6d73aa3e1f1bf81e9563c33027b29067e00729cdb45dc45aa,1,1,1,P85037,CHEMBL6066443,Forkhead box protein K1,ChEMBL37_human_single_protein
SEQ:25d7e9ae5fd4915f3d49b417f6e8d928d3840a74eacf8094f64cd21b93001807,3236,3198,2757,Q92793,CHEMBL5747,CREB-binding protein,ChEMBL37_human_single_protein
SEQ:25e89cad540873cd6cf4ffdd43faf734e041a17e6bf52d40772e797b24860a74,1,1,1,Q96KR1,CHEMBL6067338,Zinc finger RNA-binding protein,ChEMBL37_human_single_protein
SEQ:25f7d8e7e246997737bee0f5b25bbcf4bf23606694c5fecb9c49470da42d8396,10,8,5,Q10471,CHEMBL3713355,Polypeptide N-acetylgalactosaminyltransferase 2,ChEMBL37_human_single_protein
SEQ:25f8c590d55128ad3258b833575080784ef71ee26c3b488d1248c7f8335a0e89,1,1,0,Q86T24,CHEMBL5069376,Transcriptional regulator Kaiso,ChEMBL37_human_single_protein
SEQ:25f9412a206a384da9baea3a4b27cd80095b74f186e623b6e1c2aaf5d0b8372c,2,1,2,Q9UBB9,CHEMBL5724604,Tuftelin-interacting protein 11,ChEMBL37_human_single_protein
SEQ:25fd33ff81df33c9fddc2060d55474c1b6196bc12a34847b482a6b3f8da18afe,92,91,67,P09038,CHEMBL3107,Fibroblast growth factor 2,ChEMBL37_human_single_protein
SEQ:2600a5e9a712fc9ed4c845f5c071937e93cbe8eb513747d9f327233a3bf88098,2,2,1,Q14566,CHEMBL4296011,DNA replication licensing factor MCM6,ChEMBL37_human_single_protein
SEQ:260833ed3427baf541605ba9aedecb5dbe60c59859b7c84f78cc780e69e19b12,1,1,1,Q16401,CHEMBL6067067,26S proteasome non-ATPase regulatory subunit 5,ChEMBL37_human_single_protein
SEQ:261576b205bc71405fa4471edb45562ef71ebff6622bd3e09190cfbdcf36e640,2,1,2,P17480,CHEMBL5725047,Nucleolar transcription factor 1,ChEMBL37_human_single_protein
SEQ:261a58d7e60edfc0e5856fbe4a7731d73aecba5005d564fad9d5dafb5bfe869e,853,782,363,O96013,CHEMBL4482,Serine/threonine-protein kinase PAK 4,ChEMBL37_human_single_protein
SEQ:262c7bcde1c365985448d0e69a77135df1680783066e7f72dfb907bead316982,8452,7611,7941,P51449,CHEMBL1741186,Nuclear receptor ROR-gamma,ChEMBL37_human_single_protein
SEQ:262e20d9ce444a3c564f51cdc05ff049260a16257614d2c654aace1e9cfaeafd,3,3,3,P23560,CHEMBL4523205,Neurotrophic factor BDNF precursor form,ChEMBL37_human_single_protein
SEQ:26466ea37823d997802e82e1745c81d8eafc359776e80bfe8483b82692476bc2,2,2,1,P25789,CHEMBL6066933,Proteasome subunit alpha type-4,ChEMBL37_human_single_protein
SEQ:264eeebf4608fe7702db8719c0d03a6cf47fd3be054ee22649d55b595a31b215,16,16,15,Q99677,CHEMBL5968,Lysophosphatidic acid receptor 4,ChEMBL37_human_single_protein
SEQ:2658949f15efafac1e0a4f0837507a8472e6c2329c6b2181a4e1d5d8d23b1431,3,2,3,Q9Y262,CHEMBL5725121,Eukaryotic translation initiation factor 3 subunit L,ChEMBL37_human_single_protein
SEQ:265d3e283924e8ac4ea8bc436c687772d97f9703fd677b466a605ac7f1a560d7,435,380,275,P14324,CHEMBL1782,Farnesyl pyrophosphate synthase,ChEMBL37_human_single_protein
SEQ:26609ead5948182ab7db59542853a0a1d88afd779de2e29919cf8ca312cfc55b,330,322,39,P27695,CHEMBL5619,DNA repair nuclease/redox regulator APEX1,ChEMBL37_human_single_protein
SEQ:2661f9cb020dfb0cf36f2e3802f70f83ee1bfbc8c6cdd44155a90fe3c33a1fb1,17,17,10,P36956,CHEMBL4630818,Sterol regulatory element-binding protein 1,ChEMBL37_human_single_protein
SEQ:266e943682a0ddcb4cd4532fc9a4d6b6bf941ce7d8c2bd9f5011cf7fd02d13bd,423,413,90,P42685,CHEMBL4223,Tyrosine-protein kinase FRK,ChEMBL37_human_single_protein
SEQ:2674aa9015e37da743be74d67bce80b3cb35df6161e9182af9b87d25cb645d52,5782,5737,4957,O75116,CHEMBL2973,Rho-associated protein kinase 2,ChEMBL37_human_single_protein
SEQ:2675a6cc946076d70342977845afe793269c5987a998382100bede64d1e61b42,1,1,0,P60484,CHEMBL2052032,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",ChEMBL37_human_single_protein
SEQ:267b33979bfb5ca263d131678bce8f2d9d962079ce118d4b59fc0d4af11f9364,2236,2219,366,P23219,CHEMBL221,Prostaglandin G/H synthase 1,ChEMBL37_human_single_protein
SEQ:26869a7fa856d719c193b67a32ea0b6e3508c17ae6b4a22b7ec5e3fcce984a5f,307,279,247,P00491,CHEMBL4338,Purine nucleoside phosphorylase,ChEMBL37_human_single_protein
SEQ:2696d47a532da3fd931fd59dd495a530f1e979d021acf1c0b166d541c331bd08,1,1,1,Q92844,CHEMBL4523420,TRAF family member-associated NF-kappa-B activator,ChEMBL37_human_single_protein
SEQ:26c37f9f101caf7be2977ca82d6af3bc5b63ff9a1c3235034cdf03f2c7498cd4,649,623,584,Q9H8M2,CHEMBL3108640,Bromodomain-containing protein 9,ChEMBL37_human_single_protein
SEQ:26cfdcc5ce629ad4a8471ff05634a3303cc1b96b18d1ec4718789f41b71ea7b2,6,6,6,P78348,CHEMBL1628477,Acid-sensing ion channel 1,ChEMBL37_human_single_protein
SEQ:26eaa8e3a85a2b5a32863c8eb2c92c16676ca56dec725df66cf016c2bba7ac97,1,1,1,O75489,CHEMBL6067008,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",ChEMBL37_human_single_protein
SEQ:26f21374ba442b06d09bb36300a19828cef707ee7cd8d3caa3176a1e046f0370,13,12,8,Q16827,CHEMBL4105749,Receptor-type tyrosine-protein phosphatase O,ChEMBL37_human_single_protein
