model,target_id,status,reason
probematch,CHEMBL4116,completed,
probematch,CHEMBL3192,completed,
probematch,CHEMBL3385,completed,
dtbind,CHEMBL4040,completed,
dtbind,CHEMBL1910,pending,feature_download_pending
probematch,CHEMBL2331042,completed,
probematch,CHEMBL1886,completed,
probematch,CHEMBL3629,completed,
probematch,CHEMBL1861,completed,
probematch,CHEMBL3587,completed,
probematch,CHEMBL4096,completed,
dtbind,CHEMBL3961,completed,
probematch,CHEMBL2063,completed,
probematch,CHEMBL2321613,completed,
probematch,CHEMBL1966,completed,
probematch,CHEMBL2998,completed,
probematch,CHEMBL2208,completed,
probematch,CHEMBL2964,completed,
dtbind,CHEMBL3116,completed,
dtbind,CHEMBL3670,pending,feature_download_pending
probematch,CHEMBL4685,completed,
probematch,CHEMBL4722,completed,
probematch,CHEMBL4801,completed,
probematch,CHEMBL286,completed,
dtbind,CHEMBL2321614,completed,
dtbind,CHEMBL4116,pending,feature_download_pending
dtbind,CHEMBL3192,pending,feature_download_pending
probematch,CHEMBL3028,completed,
probematch,CHEMBL1989,completed,
probematch,CHEMBL2007625,completed,
probematch,CHEMBL4937,completed,
probematch,CHEMBL3338,completed,
probematch,CHEMBL1782,completed,
dtbind,CHEMBL3385,completed,
dtbind,CHEMBL2331042,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1886,unavailable,publisher_sequence_mismatch
probematch,CHEMBL262,completed,
probematch,CHEMBL4179,completed,
probematch,CHEMBL4770,completed,
probematch,CHEMBL2321615,completed,
probematch,CHEMBL5697,completed,
probematch,CHEMBL1914276,completed,
dtbind,CHEMBL3629,completed,
dtbind,CHEMBL1861,unavailable,publisher_sequence_mismatch
probematch,CHEMBL1977,completed,
probematch,CHEMBL2276,completed,
probematch,CHEMBL1829,completed,
probematch,CHEMBL2524,completed,
probematch,CHEMBL3514,completed,
probematch,CHEMBL3979,completed,
probematch,CHEMBL5689,completed,
dtbind,CHEMBL3587,completed,
dtbind,CHEMBL4096,pending,feature_download_pending
probematch,CHEMBL2808,completed,
probematch,CHEMBL4601,completed,
probematch,CHEMBL4956,completed,
probematch,CHEMBL3076,completed,
probematch,CHEMBL3991501,completed,
probematch,CHEMBL2003,completed,
probematch,CHEMBL2008,completed,
dtbind,CHEMBL2063,completed,
dtbind,CHEMBL2321613,pending,feature_download_pending
dtbind,CHEMBL1966,pending,feature_download_pending
dtbind,CHEMBL2998,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL1962,completed,
probematch,CHEMBL1997,completed,
probematch,CHEMBL3117,completed,
probematch,CHEMBL4245,completed,
probematch,CHEMBL3778,completed,
dtbind,CHEMBL2208,completed,
dtbind,CHEMBL2964,pending,feature_download_pending
probematch,CHEMBL4093,completed,
probematch,CHEMBL1255163,completed,
probematch,CHEMBL1947,completed,
probematch,CHEMBL2055,completed,
probematch,CHEMBL2061,completed,
probematch,CHEMBL2252,completed,
probematch,CHEMBL2637,completed,
probematch,CHEMBL1812,completed,
dtbind,CHEMBL4685,completed,
dtbind,CHEMBL4722,unavailable,publisher_sequence_mismatch
dtbind,CHEMBL4801,pending,feature_download_pending
dtbind,CHEMBL286,pending,feature_download_pending
probematch,CHEMBL3820,completed,
probematch,CHEMBL3991,completed,
probematch,CHEMBL4588,completed,
probematch,CHEMBL4899,completed,
probematch,CHEMBL239,completed,
dtbind,CHEMBL3028,completed,
dtbind,CHEMBL1989,pending,feature_download_pending
probematch,CHEMBL332,completed,
probematch,CHEMBL4393,completed,
probematch,CHEMBL280,completed,
probematch,CHEMBL1847,completed,
probematch,CHEMBL3094,completed,
probematch,CHEMBL4630,completed,
probematch,CHEMBL283,completed,
dtbind,CHEMBL2007625,completed,
dtbind,CHEMBL4937,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3338,pending,feature_download_pending
probematch,CHEMBL1899,completed,
probematch,CHEMBL3922,completed,
probematch,CHEMBL3776,completed,
probematch,CHEMBL4816,completed,
probematch,CHEMBL1843,completed,
probematch,CHEMBL4282,completed,
dtbind,CHEMBL1782,completed,
probematch,CHEMBL5216,completed,
probematch,CHEMBL2431,completed,
probematch,CHEMBL3106,completed,
probematch,CHEMBL325,completed,
probematch,CHEMBL2850,completed,
probematch,CHEMBL2047,completed,
probematch,CHEMBL1937,completed,
dtbind,CHEMBL262,completed,
probematch,CHEMBL244,completed,
probematch,CHEMBL6009,completed,
probematch,CHEMBL1744525,completed,
probematch,CHEMBL3026,completed,
probematch,CHEMBL3572,completed,
probematch,CHEMBL5141,completed,
dtbind,CHEMBL4179,completed,
dtbind,CHEMBL4770,pending,feature_download_pending
dtbind,CHEMBL2321615,pending,feature_download_pending
dtbind,CHEMBL5697,pending,feature_download_pending
dtbind,CHEMBL1914276,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL3425389,completed,
probematch,CHEMBL4225,completed,
probematch,CHEMBL2044,completed,
probematch,CHEMBL4523510,completed,
probematch,CHEMBL4822,completed,
probematch,CHEMBL2492,completed,
dtbind,CHEMBL1977,completed,
dtbind,CHEMBL2276,pending,feature_download_pending
probematch,CHEMBL1908,completed,
probematch,CHEMBL1978,completed,
probematch,CHEMBL2722,completed,
probematch,CHEMBL340,completed,
probematch,CHEMBL4439,completed,
probematch,CHEMBL5311,completed,
probematch,CHEMBL2331065,completed,
probematch,CHEMBL235,completed,
dtbind,CHEMBL1829,completed,
dtbind,CHEMBL2524,pending,feature_download_pending
dtbind,CHEMBL3514,pending,feature_download_pending
probematch,CHEMBL4223,completed,
probematch,CHEMBL3522,completed,
probematch,CHEMBL258,completed,
probematch,CHEMBL5903,completed,
probematch,CHEMBL3905,completed,
probematch,CHEMBL1822,completed,
dtbind,CHEMBL3979,completed,
dtbind,CHEMBL5689,pending,feature_download_pending
dtbind,CHEMBL2808,pending,feature_download_pending
dtbind,CHEMBL4601,pending,feature_download_pending
probematch,CHEMBL1893,completed,
probematch,CHEMBL2331059,completed,
probematch,CHEMBL1935,completed,
probematch,CHEMBL2039,completed,
probematch,CHEMBL2033,completed,
probematch,CHEMBL2755,completed,
dtbind,CHEMBL4956,completed,
dtbind,CHEMBL3076,pending,feature_download_pending
dtbind,CHEMBL3991501,pending,feature_download_pending
dtbind,CHEMBL2003,pending,feature_download_pending
probematch,CHEMBL4465,completed,
probematch,CHEMBL4501,completed,
probematch,CHEMBL3234,completed,
probematch,CHEMBL1951,completed,
probematch,CHEMBL1969,completed,
probematch,CHEMBL1973,completed,
dtbind,CHEMBL2008,completed,
dtbind,CHEMBL1962,pending,feature_download_pending
probematch,CHEMBL242,completed,
probematch,CHEMBL1835,completed,
probematch,CHEMBL3831182,completed,
probematch,CHEMBL1911,completed,
probematch,CHEMBL2179,completed,
probematch,CHEMBL267,completed,
probematch,CHEMBL1841,completed,
probematch,CHEMBL2331041,completed,
dtbind,CHEMBL1997,completed,
probematch,CHEMBL1641348,completed,
probematch,CHEMBL2073,completed,
probematch,CHEMBL2527,completed,
probematch,CHEMBL2782,completed,
probematch,CHEMBL6120,completed,
probematch,CHEMBL2409,completed,
probematch,CHEMBL2534,completed,
dtbind,CHEMBL3117,completed,
probematch,CHEMBL1873,completed,
probematch,CHEMBL1641347,completed,
probematch,CHEMBL1287628,completed,
probematch,CHEMBL1075126,completed,
probematch,CHEMBL4523586,completed,
dtbind,CHEMBL4245,completed,
probematch,CHEMBL5443,completed,
probematch,CHEMBL1250375,completed,
probematch,CHEMBL2243,completed,
probematch,CHEMBL5366,completed,
probematch,CHEMBL4482,completed,
probematch,CHEMBL3535,completed,
probematch,CHEMBL3864,completed,
probematch,CHEMBL206,completed,
dtbind,CHEMBL3778,completed,
dtbind,CHEMBL4093,pending,feature_download_pending
dtbind,CHEMBL1255163,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1947,pending,feature_download_pending
probematch,CHEMBL1903,completed,
probematch,CHEMBL1914,completed,
probematch,CHEMBL3024,completed,
probematch,CHEMBL230,completed,
probematch,CHEMBL1075094,completed,
dtbind,CHEMBL2055,completed,
dtbind,CHEMBL2061,pending,feature_download_pending
dtbind,CHEMBL2252,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL1169596,completed,
probematch,CHEMBL4618,completed,
probematch,CHEMBL4306,completed,
probematch,CHEMBL220,completed,
probematch,CHEMBL2821,completed,
probematch,CHEMBL222,completed,
probematch,CHEMBL238,completed,
dtbind,CHEMBL2637,completed,
dtbind,CHEMBL1812,pending,feature_download_pending
dtbind,CHEMBL3820,pending,feature_download_pending
probematch,CHEMBL2959,completed,
probematch,CHEMBL204,completed,
probematch,CHEMBL2820,completed,
probematch,CHEMBL228,completed,
probematch,CHEMBL2599,completed,
probematch,CHEMBL1795116,completed,
probematch,CHEMBL2000,completed,
dtbind,CHEMBL3991,completed,
probematch,CHEMBL5491,completed,
probematch,CHEMBL1906,completed,
probematch,CHEMBL1927,completed,
probematch,CHEMBL3023,completed,
probematch,CHEMBL1964,completed,
probematch,CHEMBL3238,completed,
probematch,CHEMBL5251,completed,
probematch,CHEMBL333,completed,
dtbind,CHEMBL4588,completed,
dtbind,CHEMBL4899,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL239,pending,feature_download_pending
probematch,CHEMBL3687,completed,
probematch,CHEMBL4979,completed,
probematch,CHEMBL2146302,completed,
probematch,CHEMBL3045,completed,
probematch,CHEMBL5464,completed,
probematch,CHEMBL3884,completed,
probematch,CHEMBL215,completed,
probematch,CHEMBL5721,completed,
dtbind,CHEMBL332,completed,
probematch,CHEMBL3576,completed,
probematch,CHEMBL2337,completed,
probematch,CHEMBL321,completed,
probematch,CHEMBL3357,completed,
probematch,CHEMBL3391681,completed,
probematch,CHEMBL1998,completed,
probematch,CHEMBL2439,completed,
dtbind,CHEMBL4393,completed,
dtbind,CHEMBL280,pending,feature_download_pending
dtbind,CHEMBL1847,pending,feature_download_pending
dtbind,CHEMBL3094,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4630,pending,feature_download_pending
probematch,CHEMBL2189110,completed,
probematch,CHEMBL4506,completed,
probematch,CHEMBL1944,completed,
probematch,CHEMBL2118,completed,
probematch,CHEMBL1991,completed,
probematch,CHEMBL2012,completed,
probematch,CHEMBL2292,completed,
probematch,CHEMBL5731,completed,
dtbind,CHEMBL283,completed,
probematch,CHEMBL1781,completed,
probematch,CHEMBL284,completed,
probematch,CHEMBL5145,completed,
probematch,CHEMBL4791,completed,
probematch,CHEMBL2216739,completed,
probematch,CHEMBL3714029,completed,
probematch,CHEMBL2034,completed,
dtbind,CHEMBL1899,completed,
probematch,CHEMBL2815,completed,
probematch,CHEMBL3973,completed,
probematch,CHEMBL2742,completed,
probematch,CHEMBL288,completed,
probematch,CHEMBL1801,completed,
probematch,CHEMBL4142,completed,
probematch,CHEMBL3650,completed,
dtbind,CHEMBL3922,completed,
dtbind,CHEMBL3776,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4816,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1843,pending,feature_download_pending
probematch,CHEMBL4898,completed,
probematch,CHEMBL3632452,completed,
probematch,CHEMBL3706,completed,
probematch,CHEMBL3273,completed,
probematch,CHEMBL4794,completed,
probematch,CHEMBL5608,completed,
probematch,CHEMBL3201,completed,
probematch,CHEMBL6136,completed,
dtbind,CHEMBL4282,completed,
dtbind,CHEMBL5216,pending,feature_download_pending
dtbind,CHEMBL2431,pending,feature_download_pending
dtbind,CHEMBL3106,pending,feature_download_pending
probematch,CHEMBL5122,completed,
probematch,CHEMBL3983,completed,
probematch,CHEMBL1908389,completed,
probematch,CHEMBL3691,completed,
probematch,CHEMBL1744522,completed,
probematch,CHEMBL3119,completed,
probematch,CHEMBL2476,completed,
probematch,CHEMBL1827,completed,
dtbind,CHEMBL325,completed,
dtbind,CHEMBL2850,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2047,pending,feature_download_pending
probematch,CHEMBL4016,completed,
probematch,CHEMBL402,completed,
probematch,CHEMBL4895,completed,
probematch,CHEMBL1628478,completed,
probematch,CHEMBL1918,completed,
probematch,CHEMBL2285,completed,
probematch,CHEMBL1839,completed,
probematch,CHEMBL208,completed,
dtbind,CHEMBL1937,completed,
dtbind,CHEMBL244,pending,feature_download_pending
dtbind,CHEMBL6009,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL2608,completed,
probematch,CHEMBL2873,completed,
probematch,CHEMBL3439,completed,
probematch,CHEMBL1163124,completed,
probematch,CHEMBL3788,completed,
probematch,CHEMBL1844,completed,
probematch,CHEMBL1936,completed,
probematch,CHEMBL2068,completed,
probematch,CHEMBL1994,completed,
dtbind,CHEMBL1744525,completed,
dtbind,CHEMBL3026,pending,feature_download_pending
dtbind,CHEMBL3572,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL2046267,completed,
probematch,CHEMBL5147,completed,
probematch,CHEMBL1974,completed,
probematch,CHEMBL5331,completed,
probematch,CHEMBL5469,completed,
probematch,CHEMBL3972,completed,
probematch,CHEMBL3105,completed,
probematch,CHEMBL1876,completed,
dtbind,CHEMBL5141,completed,
dtbind,CHEMBL3425389,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4225,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL3172,completed,
probematch,CHEMBL3901,completed,
probematch,CHEMBL3130,completed,
probematch,CHEMBL2695,completed,
probematch,CHEMBL4409,completed,
probematch,CHEMBL4005,completed,
probematch,CHEMBL3145,completed,
probematch,CHEMBL2007,completed,
probematch,CHEMBL1874,completed,
dtbind,CHEMBL2044,completed,
dtbind,CHEMBL4523510,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4822,pending,feature_download_pending
dtbind,CHEMBL2492,pending,feature_download_pending
probematch,CHEMBL3720,completed,
probematch,CHEMBL3267,completed,
probematch,CHEMBL1919,completed,
probematch,CHEMBL1075319,completed,
probematch,CHEMBL2872,completed,
probematch,CHEMBL2041,completed,
probematch,CHEMBL6007,completed,
probematch,CHEMBL2148,completed,
dtbind,CHEMBL1908,completed,
probematch,CHEMBL4128,completed,
probematch,CHEMBL1862,completed,
probematch,CHEMBL2971,completed,
probematch,CHEMBL241,completed,
probematch,CHEMBL3896,completed,
probematch,CHEMBL4481,completed,
probematch,CHEMBL2835,completed,
probematch,CHEMBL240,completed,
probematch,CHEMBL3553,completed,
dtbind,CHEMBL1978,completed,
dtbind,CHEMBL2722,pending,feature_download_pending
probematch,CHEMBL1781870,completed,
probematch,CHEMBL1250417,completed,
probematch,CHEMBL203,completed,
probematch,CHEMBL1865,completed,
probematch,CHEMBL4304,completed,
probematch,CHEMBL1824,completed,
probematch,CHEMBL4302,completed,
probematch,CHEMBL1808,completed,
probematch,CHEMBL3009,completed,
dtbind,CHEMBL340,completed,
probematch,CHEMBL1929,completed,
probematch,CHEMBL1868,completed,
probematch,CHEMBL5838,completed,
probematch,CHEMBL279,completed,
probematch,CHEMBL1957,completed,
probematch,CHEMBL5285,completed,
probematch,CHEMBL1981,completed,
dtbind,CHEMBL4439,completed,
probematch,CHEMBL2973,completed,
probematch,CHEMBL3717,completed,
probematch,CHEMBL4665582,completed,
probematch,CHEMBL2689,completed,
probematch,CHEMBL1972,completed,
probematch,CHEMBL4051,completed,
probematch,CHEMBL2362990,completed,
probematch,CHEMBL1806,completed,
dtbind,CHEMBL5311,completed,
dtbind,CHEMBL2331065,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL3004,completed,
probematch,CHEMBL1993,completed,
probematch,CHEMBL4247,completed,
probematch,CHEMBL3286067,completed,
probematch,CHEMBL5167,completed,
probematch,CHEMBL2072,completed,
dtbind,CHEMBL235,completed,
dtbind,CHEMBL4223,pending,feature_download_pending
dtbind,CHEMBL3522,pending,feature_download_pending
probematch,CHEMBL5451,completed,
probematch,CHEMBL1641353,completed,
probematch,CHEMBL5202,completed,
probematch,CHEMBL4296,completed,
probematch,CHEMBL2706,completed,
probematch,CHEMBL5163,completed,
probematch,CHEMBL4187,completed,
probematch,CHEMBL1980,completed,
dtbind,CHEMBL258,completed,
probematch,CHEMBL1938222,completed,
probematch,CHEMBL2362986,completed,
probematch,CHEMBL4478,completed,
probematch,CHEMBL5568,completed,
probematch,CHEMBL1859,completed,
probematch,CHEMBL4266,completed,
probematch,CHEMBL2842,completed,
dtbind,CHEMBL5903,completed,
probematch,CHEMBL2074,completed,
probematch,CHEMBL3142,completed,
probematch,CHEMBL1846,completed,
dtbind,CHEMBL3905,completed,
dtbind,CHEMBL1822,completed,
dtbind,CHEMBL1893,completed,
dtbind,CHEMBL2331059,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1935,completed,
dtbind,CHEMBL2039,pending,feature_download_pending
dtbind,CHEMBL2033,completed,
dtbind,CHEMBL2755,completed,
dtbind,CHEMBL4465,completed,
dtbind,CHEMBL4501,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3234,completed,
dtbind,CHEMBL1951,completed,
dtbind,CHEMBL1969,completed,
dtbind,CHEMBL1973,completed,
dtbind,CHEMBL242,completed,
dtbind,CHEMBL1835,completed,
dtbind,CHEMBL3831182,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1911,completed,
dtbind,CHEMBL2179,completed,
dtbind,CHEMBL267,completed,
dtbind,CHEMBL1841,completed,
dtbind,CHEMBL2331041,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1641348,completed,
dtbind,CHEMBL2073,completed,
dtbind,CHEMBL2527,completed,
dtbind,CHEMBL2782,completed,
dtbind,CHEMBL6120,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2409,completed,
dtbind,CHEMBL2534,completed,
dtbind,CHEMBL1873,completed,
dtbind,CHEMBL1641347,completed,
dtbind,CHEMBL1287628,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1075126,completed,
dtbind,CHEMBL4523586,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL5443,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1250375,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2243,completed,
dtbind,CHEMBL5366,completed,
dtbind,CHEMBL4482,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3535,completed,
dtbind,CHEMBL3864,unavailable,publisher_sequence_mismatch
dtbind,CHEMBL206,completed,
dtbind,CHEMBL1903,completed,
dtbind,CHEMBL1914,completed,
dtbind,CHEMBL3024,completed,
dtbind,CHEMBL230,completed,
dtbind,CHEMBL1075094,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1169596,completed,
dtbind,CHEMBL4618,completed,
dtbind,CHEMBL4306,completed,
dtbind,CHEMBL220,completed,
dtbind,CHEMBL2821,completed,
dtbind,CHEMBL222,completed,
dtbind,CHEMBL238,completed,
dtbind,CHEMBL2959,completed,
dtbind,CHEMBL204,completed,
dtbind,CHEMBL2820,completed,
dtbind,CHEMBL228,completed,
dtbind,CHEMBL2599,completed,
dtbind,CHEMBL1795116,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2000,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL5491,completed,
dtbind,CHEMBL1906,completed,
dtbind,CHEMBL1927,pending,feature_download_pending
dtbind,CHEMBL3023,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1964,completed,
dtbind,CHEMBL3238,completed,
dtbind,CHEMBL5251,completed,
dtbind,CHEMBL333,completed,
dtbind,CHEMBL3687,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4979,completed,
dtbind,CHEMBL2146302,completed,
dtbind,CHEMBL3045,completed,
dtbind,CHEMBL5464,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3884,completed,
dtbind,CHEMBL215,completed,
dtbind,CHEMBL5721,completed,
dtbind,CHEMBL3576,completed,
dtbind,CHEMBL2337,completed,
dtbind,CHEMBL321,completed,
dtbind,CHEMBL3357,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3391681,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1998,completed,
dtbind,CHEMBL2439,completed,
dtbind,CHEMBL2189110,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4506,completed,
dtbind,CHEMBL1944,completed,
dtbind,CHEMBL2118,completed,
dtbind,CHEMBL1991,completed,
dtbind,CHEMBL2012,completed,
dtbind,CHEMBL2292,completed,
dtbind,CHEMBL5731,completed,
dtbind,CHEMBL1781,completed,
dtbind,CHEMBL284,completed,
dtbind,CHEMBL5145,completed,
dtbind,CHEMBL4791,completed,
dtbind,CHEMBL2216739,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3714029,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2034,completed,
dtbind,CHEMBL2815,completed,
dtbind,CHEMBL3973,completed,
dtbind,CHEMBL2742,completed,
dtbind,CHEMBL288,completed,
dtbind,CHEMBL1801,completed,
dtbind,CHEMBL4142,completed,
dtbind,CHEMBL3650,completed,
dtbind,CHEMBL4898,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3632452,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3706,completed,
dtbind,CHEMBL3273,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4794,completed,
dtbind,CHEMBL5608,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3201,completed,
dtbind,CHEMBL6136,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL5122,completed,
dtbind,CHEMBL3983,completed,
dtbind,CHEMBL1908389,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3691,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1744522,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3119,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2476,completed,
dtbind,CHEMBL1827,completed,
dtbind,CHEMBL4016,completed,
dtbind,CHEMBL402,completed,
dtbind,CHEMBL4895,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1628478,completed,
dtbind,CHEMBL1918,completed,
dtbind,CHEMBL2285,completed,
dtbind,CHEMBL1839,completed,
dtbind,CHEMBL208,completed,
dtbind,CHEMBL2608,completed,
dtbind,CHEMBL2873,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3439,completed,
dtbind,CHEMBL1163124,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3788,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL1844,completed,
dtbind,CHEMBL1936,completed,
dtbind,CHEMBL2068,completed,
dtbind,CHEMBL1994,completed,
dtbind,CHEMBL2046267,completed,
dtbind,CHEMBL5147,completed,
dtbind,CHEMBL1974,completed,
dtbind,CHEMBL5331,completed,
dtbind,CHEMBL5469,completed,
dtbind,CHEMBL3972,completed,
dtbind,CHEMBL3105,completed,
dtbind,CHEMBL1876,completed,
dtbind,CHEMBL3172,completed,
dtbind,CHEMBL3901,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3130,completed,
dtbind,CHEMBL2695,completed,
dtbind,CHEMBL4409,unavailable,publisher_sequence_mismatch
dtbind,CHEMBL4005,completed,
dtbind,CHEMBL3145,completed,
dtbind,CHEMBL2007,completed,
dtbind,CHEMBL1874,completed,
dtbind,CHEMBL3720,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3267,completed,
dtbind,CHEMBL1919,completed,
dtbind,CHEMBL1075319,completed,
dtbind,CHEMBL2872,completed,
dtbind,CHEMBL2041,completed,
dtbind,CHEMBL6007,completed,
dtbind,CHEMBL2148,completed,
dtbind,CHEMBL4128,completed,
