scope,query,entity,model_a,model_b,n,spearman,top10_overlap,top10_tie_expected,top10_chance
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,conplex,dtbind,719,0.15992775906153245,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,nesso,probematch,719,0.3378738072454392,3,3.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,nesso,dtbind,719,0.4624399730378381,4,4.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,probematch,dtbind,719,0.3760785821416405,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,biomaster,drugclip,719,-0.134790143640644,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,biomaster,dtiam,719,0.044691721547331156,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,biomaster,conplex,719,0.17068142043692033,3,3.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,biomaster,nesso,719,0.36347158890597825,6,6.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,biomaster,probematch,719,0.018389437511864594,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,biomaster,dtbind,719,0.3718460708275421,4,4.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,drugclip,dtiam,719,-0.02083367417130617,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,drugclip,conplex,719,0.04478735734890607,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,drugclip,nesso,719,0.05757170732589239,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,drugclip,probematch,719,-0.09253027972669149,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,drugclip,dtbind,719,-0.08586767862105761,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,dtiam,conplex,719,0.0756743524088811,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,dtiam,nesso,719,-0.2180486606292476,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,dtiam,probematch,719,0.02719550052067408,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,dtiam,dtbind,719,-0.039872923598490824,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,conplex,nesso,719,0.27339732138372375,3,3.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,conplex,probematch,719,-0.23613822086494193,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,conplex,dtbind,719,0.2124724025050707,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,nesso,probematch,719,-0.12741178878639606,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,nesso,dtbind,719,0.4424798726088354,4,4.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL261,probematch,dtbind,719,-0.07725787569546894,1,1.0,0.13908205841446453
