scope,query,entity,model,n,prevalence,ap
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,biomaster,25,0.72,0.9652812035745473
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,drugclip,25,0.72,0.7338776479320854
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,dtiam,25,0.72,1.0
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,conplex,25,0.72,0.8133333333333334
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,nesso,25,0.72,0.9872494075602951
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,probematch,25,0.72,0.8114698802341822
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,dtbind,25,0.72,0.925892483180925
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,dtiam_historical,25,0.72,0.8349594332412793
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,nesso_pic50,25,0.72,0.991358024691358
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,biomaster,2,0.5,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,drugclip,2,0.5,0.5
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,dtiam,2,0.5,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,conplex,2,0.5,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,nesso,2,0.5,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,probematch,2,0.5,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,dtbind,2,0.5,1.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,dtiam_historical,2,0.5,0.5
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,nesso_pic50,2,0.5,1.0
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,biomaster,23,0.34782608695652173,0.5497790404040404
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,drugclip,23,0.34782608695652173,0.3537218092365151
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,dtiam,23,0.34782608695652173,0.6079342532467532
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,conplex,23,0.34782608695652173,0.7484148550724637
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,nesso,23,0.34782608695652173,0.9472222222222222
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,probematch,23,0.34782608695652173,0.47697749554367197
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,dtbind,23,0.34782608695652173,0.5082886241174285
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,dtiam_historical,23,0.34782608695652173,0.5519459900264854
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,nesso_pic50,23,0.34782608695652173,0.9338235294117647
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,biomaster,16,0.25,0.95
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,drugclip,16,0.25,0.2576048951048951
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,dtiam,16,0.25,1.0
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,conplex,16,0.25,0.625
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,nesso,16,0.25,0.8928571428571428
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,probematch,16,0.25,0.3547619047619047
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,dtbind,16,0.25,0.95
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,dtiam_historical,16,0.25,0.95
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,nesso_pic50,16,0.25,0.8611111111111112
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,biomaster,2,0.5,1.0
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,drugclip,2,0.5,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,dtiam,2,0.5,1.0
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,conplex,2,0.5,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,nesso,2,0.5,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,probematch,2,0.5,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,dtbind,2,0.5,1.0
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,dtiam_historical,2,0.5,0.5
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,nesso_pic50,2,0.5,1.0
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,biomaster,20,0.1,0.5625
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,drugclip,20,0.1,0.13247863247863248
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,dtiam,20,0.1,0.5588235294117647
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,conplex,20,0.1,0.55
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,nesso,20,0.1,0.75
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,probematch,20,0.1,0.15476190476190477
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,dtbind,20,0.1,0.55
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,dtiam_historical,20,0.1,0.5526315789473684
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,nesso_pic50,20,0.1,0.5833333333333334
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,biomaster,2,0.5,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,drugclip,2,0.5,0.5
