model,asset_id,role,source_path,collection_link,bytes,sha256,official_source,status,inference_qualification
ScopeDTI_light,scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_49_20241006_132052,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Kinase_DrugBAN_3D/best_model_epoch_49_20241006_132052.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_49_20241006_132052,9020433,330c8af16feb7ef0c8ef701063888710ac4000b89d251e07e6cb4c8c9795744d,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_55_20241006_130303,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Kinase_DrugBAN_3D/best_model_epoch_55_20241006_130303.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_55_20241006_130303,9020433,7b623dac3ec73fe2fd599cf8fd6da91e39e2f5c2296db564416bc24367b46eaf,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_71_20241006_132201,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Kinase_DrugBAN_3D/best_model_epoch_71_20241006_132201.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_71_20241006_132201,9020433,7d437e3b9a841f25ca1119128574f6b5a108b54b330354bdaef0684d7f333c9e,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_79_20241006_131415,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Kinase_DrugBAN_3D/best_model_epoch_79_20241006_131415.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_79_20241006_131415,9020433,d5c574de3b1aa50aeb7bd71e55fc8544a9ee1bf7e6d33d123abfe0a0669f3cdf,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_86_20241006_130750,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Kinase_DrugBAN_3D/best_model_epoch_86_20241006_130750.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Kinase_DrugBAN_3D_best_model_epoch_86_20241006_130750,9020433,111a4aded63f8eed2a942aa6abe09a5d3a92385981982092b7b2a0e23e87f30d,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_79_20241006_131415,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_NHR_DrugBAN_3D/best_model_epoch_79_20241006_131415.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_79_20241006_131415,9020433,61ffcd3cfc0b531c80681b052746eeb0820e135bf77a74e73bca0875b693d116,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_81_20241006_132052,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_NHR_DrugBAN_3D/best_model_epoch_81_20241006_132052.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_81_20241006_132052,9020433,330797d01f83606adc37195655646a0c9bf9c03517b1d9a80b92981f2fcd9f2a,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_82_20241006_130303,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_NHR_DrugBAN_3D/best_model_epoch_82_20241006_130303.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_82_20241006_130303,9020433,f6f7951d7d82102e3771bc2f4e7ab1f432824fe9ab81e70dd81347c29246e585,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_84_20241006_130750,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_NHR_DrugBAN_3D/best_model_epoch_84_20241006_130750.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_84_20241006_130750,9020433,2c79a1c64d79f948acf6010a457704a1167f4a9c963d18ed725625cf1a8de712,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_90_20241006_132201,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_NHR_DrugBAN_3D/best_model_epoch_90_20241006_132201.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_NHR_DrugBAN_3D_best_model_epoch_90_20241006_132201,9020433,fa660f267e83043cbd092f16d3fdeb6a1f450ce758f8190867a9b26a9c6e9591,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Total_DrugBAN_3D_best_model_epoch_65,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Total_DrugBAN_3D/best_model_epoch_65.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Total_DrugBAN_3D_best_model_epoch_65,9020433,8eff8afdbabf65e30530ade80f4e3e65643b92bb9043767f8aa6ce6e276ed085,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Total_DrugBAN_3D_best_model_epoch_72,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Total_DrugBAN_3D/best_model_epoch_72.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Total_DrugBAN_3D_best_model_epoch_72,9020433,14f1ae31b582794560ad7ed1a71841624fd78f63e285d0a571695656ded22005,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Total_DrugBAN_3D_best_model_epoch_86,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Total_DrugBAN_3D/best_model_epoch_86.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Total_DrugBAN_3D_best_model_epoch_86,9020433,9f8a4e7191d45ff23e3c29b436c9c0404813b9ad2c1bbae6555a002514035b0f,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Total_DrugBAN_3D_best_model_epoch_87,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Total_DrugBAN_3D/best_model_epoch_87.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Total_DrugBAN_3D_best_model_epoch_87,9020433,5fca2923b311824cf5d76af9685f9edc0426c6b0948d6bf2ab69ee67fdd68576,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_Total_DrugBAN_3D_best_model_epoch_95,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_Total_DrugBAN_3D/best_model_epoch_95.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_Total_DrugBAN_3D_best_model_epoch_95,9020433,66fa69f0c9e6ccfe0edcd50401268a1297711e6fc4020b1fd79cf98ec2f09772,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ProbeMatchDTI,protbert_bfd,预训练编码器,.cache/frontier_dti/prot_bert_bfd/pytorch_model.bin,data/research/dti_official_weights_20260921/existing/ProbeMatchDTI/protbert_bfd,1684058277,89a5b439bde4df5e6b09a7e568066a66eabacb69cbca6cbae59e98f9756db804,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ProbeMatchDTI,smiles_roberta,预训练编码器,.cache/frontier_dti/PubChem10M_SMILES_BPE_450k/pytorch_model.bin,data/research/dti_official_weights_20260921/existing/ProbeMatchDTI/smiles_roberta,336422980,f471de1ad73de11d47e1bbdfddb93aeace0b8aeab31ec03bcde0eabb17a97264,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ConPLex,protbert_ebb451a407f24e5c29515ae3393608a087567880,预训练编码器,third_party/ConPLex/models/huggingface/transformers/models--Rostlab--prot_bert/snapshots/ebb451a407f24e5c29515ae3393608a087567880/model.safetensors,data/research/dti_official_weights_20260921/existing/ConPLex/protbert_ebb451a407f24e5c29515ae3393608a087567880,1683998896,05ab2c05bc8beb7b59f3b798933cbacd98a1582ad30c66f6eaec80b806d7aead,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
