drug_feature_index,A_global_pair,B_support_pair,C_global_rank,D_support_rank,E_local_rank,F_local_support_rank,positive_max_tanimoto,positive_negative_logistic
271947,0.035250000000000004,0.6666666666666666,0.027851458885941646,0.23809523809523808,0.016176470588235296,0.07686335403726707,1.0,1.0
254703,0.13692702429378817,0.4434999539467624,0.2746171199286723,0.3184224664224664,0.08595940092735656,0.34097381342062194,0.9666666666666666,0.727027027027027
6259,0.525,1.0,0.08012820512820512,1.0,0.047839506172839504,0.5833333333333334,1.0,1.0
230024,0.140625,0.75,0.049107142857142856,0.75,0.01026138452113539,0.125,1.0,1.0
8247,0.022702991452991456,0.10084033613445378,0.017613636363636366,0.10084033613445378,0.035897435897435895,0.06227106227106227,1.0,1.0
7768,0.06996268656716417,0.41666666666666663,0.06659836065573771,0.23809523809523808,0.008050314465408805,0.22916666666666666,1.0,1.0
279053,0.3333333333333333,1.0,0.5045045045045045,0.75,0.02390625,0.225,1.0,1.0
185790,0.08881578947368421,1.0,0.3214285714285714,1.0,0.11923076923076924,0.25,1.0,1.0
226197,0.02557544757033248,0.05322128851540616,0.0044660619081721975,0.058823529411764705,0.011148066026114806,0.035759897828863345,1.0,1.0
247405,0.003606359416601871,0.00838283670376549,0.0037212542961139647,0.007691067317615305,0.013932100174112953,0.005763594109856675,0.7,0.009516074657513255
127204,0.18333333333333335,1.0,0.05708245243128964,1.0,0.057291666666666664,0.5555555555555556,1.0,1.0
74658,0.027046783625730993,0.27941176470588236,0.5125,0.27941176470588236,0.006932532875929103,0.12698412698412698,1.0,1.0
75981,0.004199890956178014,0.007250216783890548,0.007133838383838385,0.006595974119338605,0.002689943693855037,0.009667807784962597,0.00980392156862745,0.006993006993006993
75238,0.010787394886604944,1.0,0.006874029414451448,1.0,0.015231333027943198,0.225,1.0,1.0
163727,0.03631578947368421,1.0,0.03736413043478261,1.0,0.024624624624624628,0.75,1.0,1.0
281684,0.475,0.6125,0.5616666666666666,0.7916666666666666,0.25297619047619047,0.85,0.41666666666666663,0.75
29348,0.021178387184360575,0.07222222222222222,0.009974747474747475,0.5166666666666667,0.006461294760098378,0.11136363636363637,1.0,1.0
12432,0.16346153846153846,0.625,0.20833333333333331,0.625,0.04887820512820513,0.625,1.0,1.0
76963,0.040257648953301126,0.04464285714285714,0.07417582417582418,0.029605263157894735,0.008956755050505052,0.07230392156862744,1.0,0.5
57860,0.007729029324846556,0.6666666666666666,0.006046379285815906,0.6,0.0072846283783783786,0.1875,1.0,1.0
76438,0.5333333333333333,1.0,0.6,0.75,0.01493460586779781,0.2,1.0,0.5
80030,0.04583333333333334,1.0,0.020995670995670995,0.625,0.008604336043360434,0.41666666666666663,1.0,1.0
120522,0.3333333333333333,1.0,0.15555555555555556,1.0,0.016534391534391533,0.1875,1.0,1.0
236642,0.8214285714285714,1.0,0.4776785714285714,1.0,0.14054783950617283,0.17678571428571427,1.0,1.0
264479,0.04365079365079365,1.0,0.00873134328358209,1.0,0.017078071182548796,0.75,1.0,1.0
51579,0.25,0.35,0.225,0.35,0.5625,0.41666666666666663,1.0,0.5
173704,0.008195159138555366,0.35,0.01068763863682194,0.26666666666666666,0.006767743353109207,0.1875,1.0,1.0
178891,0.006226219301279834,0.375,0.017227564102564104,0.375,0.008496376811594203,0.023144654088050314,1.0,1.0
197512,0.05698005698005698,0.2916666666666667,0.033482142857142856,0.05482456140350877,0.0034013998958755134,0.03393425238600212,1.0,1.0
173383,0.2717391304347826,1.0,0.14166666666666666,1.0,0.015467171717171716,1.0,1.0,1.0
108927,1.0,1.0,0.75,1.0,0.11309523809523808,0.75,1.0,1.0
63827,0.09803921568627451,1.0,0.225,0.625,0.017692307692307695,0.17730496453900707,1.0,1.0
209067,0.08424908424908424,0.625,0.03398617511520737,0.53125,0.008706185176773412,0.1,1.0,1.0
81634,0.06775067750677506,1.0,0.037698412698412696,1.0,0.030158730158730156,0.23809523809523808,1.0,1.0
283746,0.08881578947368421,0.75,0.125,1.0,0.03732303732303732,1.0,1.0,1.0
199174,0.08333333333333333,1.0,0.05929487179487179,1.0,0.008023049645390072,0.15833333333333333,1.0,1.0
