排序,小分子药物名称,新靶点名称,pair_id,neural_score,positive_neighbor,target_prior,nearest_training_positive,A_neural_rank384,A_plus_neighbor_rank384,A_plus_prior_rank384,A_joint_blend_rank384
26,apixaban,FLT3 — Receptor-type tyrosine-protein kinase FLT3,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,-8.5625,0.27710843,0.5001876453308749,VSRWUZNNQHJCFE-UHFFFAOYSA-N,337,148,320,134
27,nimodipine,CA7 — Carbonic anhydrase 7,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,9.71875,0.3255814,0.9191719901016979,MJRBIOBGLNVVED-UHFFFAOYSA-N,30,4,17,4
28,etravirine,FLT3 — Receptor-type tyrosine-protein kinase FLT3,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,-10.53125,0.36923078,0.5001876453308749,BMTGHPXGBMXSDX-UHFFFAOYSA-N,251,11,258,9
29,darunavir,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,8.71875,0.2371134,0.6853861741588732,KGSWUZXARXMPMI-UHFFFAOYSA-N,113,17,84,21
30,bupivacaine,CTSC — Dipeptidyl peptidase 1,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,-6.515625,0.0,0.5084440398893697,,93,324,112,328
31,belzutifan,PGR — Progesterone receptor,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,8.0625,0.23287672,0.8782918205987442,POQODJWQWWICOY-UHFFFAOYSA-N,56,7,35,7
32,oxaprozin,FAAH — Fatty-acid amide hydrolase 1,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,7.078125,0.3275862,0.9197828775980786,VGYASWDHSIVABN-UHFFFAOYSA-N,15,1,12,1
33,cobimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,-11.28125,0.21978022,0.7016888079778739,FDLYAMZZIXQODN-UHFFFAOYSA-N,263,56,201,55
34,lumateperone,COMT — Catechol O-methyltransferase,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,-4.78125,0.097826086,0.651588312547521,FQYXHZIHZXSYMT-UHFFFAOYSA-N,349,358,346,349
35,tafamidis,RARB — Retinoic acid receptor beta,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,-6.390625,0.2777778,0.7896173653482791,UHFICAKXFHFOCN-UHFFFAOYSA-N,218,97,195,66
36,pregabalin,MME — Neprilysin,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,0.50390625,0.2244898,0.9316856232889728,GNCWXHHRBZYERE-OALUTQOASA-N,108,31,81,19
37,cabotegravir,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,-1.1875,0.14117648,0.1753649885465932,NPTOZJLCWXEGKK-UHFFFAOYSA-N,356,318,361,322
38,pacritinib,CA7 — Carbonic anhydrase 7,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,6.40625,0.16842106,0.9191719901016979,KNZBJGVIIFMHFD-UHFFFAOYSA-N,11,17,10,16
39,bictegravir,MET — Hepatocyte growth factor receptor,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,11.375,0.19444445,0.5061312021139643,XYASHXPUZJDWIO-UHFFFAOYSA-N,78,22,95,44
40,rimegepant,REN — Renin,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,4.859375,0.14285715,0.734718242762397,GNGBFOBTYAQKJQ-JQWIXIFHSA-N,242,222,217,198
41,calcipotriene,NR3C2 — Mineralocorticoid receptor,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,11.125,0.1827957,0.8542348888484506,WKVYZSVMKCPHFE-RXCYGMCJSA-N,125,4,32,2
42,olanzapine,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,-7.671875,0.24050634,0.2568730765306291,FAJIIOCNEPZQTR-UHFFFAOYSA-N,333,215,353,212
