scope,model,pairs,positive,negative,random_ap_reference,ap,auroc,drug_queries_ge2,drug_macro_ap_ge2,drug_queries_ge10,drug_macro_ap_ge10,drug_p5_ge10,drug_p20_ge20,target_queries_ge2,target_macro_ap_ge2,target_queries_ge10,target_macro_ap_ge10,target_p5_ge10,target_p20_ge20,recall,false_positive_rate,precision,threshold
S5__all,prior_only,2556,354,2202,0.13849765258215962,0.18937380630367046,0.5822422605027786,75,0.3879126203393392,48,0.23574309890984715,0.1416666666666667,0.14347826086956522,102,0.28906291534149225,58,0.14521573453323183,0.017241379310344827,0.017857142857142856,,,,
S5__AB_pair_unseen,original_SPR_ranker,620,95,525,0.1532258064516129,0.5779502189782965,0.8163408521303257,21,0.8049836846992988,8,0.7792280056689926,0.6,0.25625,38,0.745344980097302,2,0.6484593837535013,0.4,0.175,,,,
S5__AB_pair_unseen,A_neural,620,95,525,0.1532258064516129,0.3228151009384061,0.7579348370927317,21,0.7549349309793569,8,0.7067041938208121,0.475,0.26874999999999993,38,0.685472147391652,2,0.14202635599694424,0.0,0.125,,,,
S5__AB_pair_unseen,A_plus_neighbor,620,95,525,0.1532258064516129,0.43440416567011014,0.7264962406015038,21,0.7603350588690914,8,0.7625461961980315,0.525,0.28125,38,0.7182391138273491,2,0.161225702402173,0.0,0.125,,,,
S5__AB_pair_unseen,A_plus_prior,620,95,525,0.1532258064516129,0.31263791301315386,0.7544060150375939,21,0.7353237277441597,8,0.7177247853284192,0.475,0.27499999999999997,38,0.685472147391652,2,0.14202635599694424,0.0,0.125,,,,
S5__AB_pair_unseen,A_joint_blend,620,95,525,0.1532258064516129,0.41344353701167047,0.7064060150375938,21,0.7684175239872615,8,0.7837626671332278,0.55,0.28125,38,0.7016163068098052,2,0.1820590357355063,0.1,0.125,,,,
S5__AB_pair_unseen,neighbor_only,620,95,525,0.1532258064516129,0.2899414503232042,0.6150175438596491,21,0.632609577287919,8,0.5454959737141206,0.47500000000000003,0.2625,38,0.6405372405372404,2,0.344017094017094,0.1,0.05,,,,
S5__AB_pair_unseen,prior_only,620,95,525,0.1532258064516129,0.15896223712219737,0.4892230576441103,21,0.5239766371880028,8,0.2879386726185077,0.125,0.21875,38,0.3900907571960204,2,0.10101010101010101,0.0,0.0,,,,
S5__AB_group_unseen,original_SPR_ranker,392,73,319,0.18622448979591838,0.6030653831661922,0.7812083995362219,13,0.7170249265655338,8,0.7792280056689926,0.6,0.25625,25,0.8266666666666665,0,,,,,,,
S5__AB_group_unseen,A_neural,392,73,319,0.18622448979591838,0.5105179205460435,0.8266200025765448,13,0.7451512987615254,8,0.7067041938208121,0.475,0.26874999999999993,25,0.723111111111111,0,,,,,,,
S5__AB_group_unseen,A_plus_neighbor,392,73,319,0.18622448979591838,0.4820991951208232,0.733757031820329,13,0.7282335566346861,8,0.7625461961980315,0.525,0.28125,25,0.7751111111111111,0,,,,,,,
S5__AB_group_unseen,A_plus_prior,392,73,319,0.18622448979591838,0.5274490635126506,0.8336840297161506,13,0.751933201227745,8,0.7177247853284192,0.475,0.27499999999999997,25,0.723111111111111,0,,,,,,,
S5__AB_group_unseen,A_joint_blend,392,73,319,0.18622448979591838,0.4607453391734353,0.7178683385579937,13,0.7412898464409607,8,0.7837626671332278,0.55,0.28125,25,0.7481777777777778,0,,,,,,,
S5__AB_group_unseen,neighbor_only,392,73,319,0.18622448979591838,0.31085678095948643,0.556898698844849,13,0.5860103427984332,8,0.5454959737141206,0.47500000000000003,0.2625,25,0.6519047619047619,0,,,,,,,
S5__AB_group_unseen,prior_only,392,73,319,0.18622448979591838,0.24051283433716308,0.592626787477992,13,0.4297571318677995,8,0.2879386726185077,0.125,0.21875,25,0.437047619047619,0,,,,,,,
MERGED488__all,original_SPR_ranker,488,133,355,0.2725409836065574,0.6224866858899505,0.7470295456952241,19,0.8240958938448375,12,0.7631518319209928,0.48333333333333334,0.24583333333333335,45,0.6523222764889431,14,0.4527167277167278,0.3142857142857144,,,,,
MERGED488__all,A_neural,488,133,355,0.2725409836065574,0.8096782650919181,0.9374774965582972,19,0.7965445143828603,12,0.8445288144395287,0.5499999999999999,0.30416666666666675,45,0.8664197530864198,14,0.7508928571428573,0.3857142857142858,,,,,
MERGED488__all,A_plus_neighbor,488,133,355,0.2725409836065574,0.8058153999078521,0.9219315895372233,19,0.7885406498702897,12,0.8318560289612921,0.5333333333333333,0.31250000000000006,45,0.8096296296296299,14,0.6985119047619047,0.4000000000000001,,,,,
MERGED488__all,A_plus_prior,488,133,355,0.2725409836065574,0.8191951388453858,0.9360796357089907,19,0.7900198485724801,12,0.8341980935730935,0.5499999999999999,0.3083333333333334,45,0.8664197530864198,14,0.7508928571428573,0.3857142857142858,,,,,
MERGED488__all,A_joint_blend,488,133,355,0.2725409836065574,0.7687822095721804,0.9007095202795722,19,0.7859836078049375,12,0.8278073790244842,0.5499999999999999,0.32083333333333336,45,0.7779938271604938,14,0.6479166666666668,0.4000000000000001,,,,,
MERGED488__all,neighbor_only,488,133,355,0.2725409836065574,0.5764610368922791,0.7214974054855449,19,0.7189392612419475,12,0.72165383029975,0.41666666666666674,0.26666666666666666,45,0.6299162257495591,14,0.4186507936507936,0.2,,,,,
MERGED488__all,prior_only,488,133,355,0.2725409836065574,0.3404988552386029,0.5381658371280313,19,0.4431610102118023,12,0.24333826616868703,0.11666666666666665,0.2125,45,0.34818915652248983,14,0.17969530469530468,0.14285714285714285,,,,,
MERGED488__AB_pair_unseen,original_SPR_ranker,180,45,135,0.25,0.6578591379230636,0.7568724279835392,8,0.6152206150970974,4,0.5429412301941946,0.35000000000000003,0.175,16,0.8229166666666666,0,,,,,,,
MERGED488__AB_pair_unseen,A_neural,180,45,135,0.25,0.5735577439330243,0.79440329218107,8,0.5949182216592931,4,0.6273364433185862,0.45000000000000007,0.2125,16,0.8385416666666666,0,,,,,,,
MERGED488__AB_pair_unseen,A_plus_neighbor,180,45,135,0.25,0.6863801618909078,0.823045267489712,8,0.5776451545530492,4,0.5927903091060985,0.39999999999999997,0.23750000000000002,16,0.8020833333333333,0,,,,,,,
MERGED488__AB_pair_unseen,A_plus_prior,180,45,135,0.25,0.5874493058714487,0.7995061728395062,8,0.5861185689310688,4,0.6097371378621378,0.45000000000000007,0.225,16,0.8385416666666666,0,,,,,,,
MERGED488__AB_pair_unseen,A_joint_blend,180,45,135,0.25,0.667954842266202,0.8044444444444444,8,0.5759372590129169,4,0.5893745180258337,0.45,0.2625,16,0.7864583333333333,0,,,,,,,
MERGED488__AB_pair_unseen,neighbor_only,180,45,135,0.25,0.5894399813272356,0.705761316872428,8,0.5610674976228281,4,0.5596349952456563,0.35,0.225,16,0.7729166666666667,0,,,,,,,
MERGED488__AB_pair_unseen,prior_only,180,45,135,0.25,0.3222427118493371,0.5330864197530863,8,0.46208908925892445,4,0.23667817851784884,0.15000000000000002,0.1375,16,0.46770833333333334,0,,,,,,,
MERGED488__AB_group_unseen,original_SPR_ranker,161,37,124,0.22981366459627328,0.6104603748276269,0.743025283347864,7,0.6673949886823969,4,0.5429412301941946,0.35000000000000003,0.175,15,0.788888888888889,0,,,,,,,
MERGED488__AB_group_unseen,A_neural,161,37,124,0.22981366459627328,0.5535563692156059,0.8041630340017437,7,0.6441922533249063,4,0.6273364433185862,0.45000000000000007,0.2125,15,0.8722222222222222,0,,,,,,,
MERGED488__AB_group_unseen,A_plus_neighbor,161,37,124,0.22981366459627328,0.6624375910983925,0.8369659982563209,7,0.6244516052034849,4,0.5927903091060985,0.39999999999999997,0.23750000000000002,15,0.8055555555555556,0,,,,,,,
MERGED488__AB_group_unseen,A_plus_prior,161,37,124,0.22981366459627328,0.5610946859233055,0.8105928509154315,7,0.634135507349793,4,0.6097371378621378,0.45000000000000007,0.225,15,0.8722222222222222,0,,,,,,,
MERGED488__AB_group_unseen,A_joint_blend,161,37,124,0.22981366459627328,0.6342149125618464,0.8138622493461203,7,0.6224997245861907,4,0.5893745180258337,0.45,0.2625,15,0.788888888888889,0,,,,,,,
MERGED488__AB_group_unseen,neighbor_only,161,37,124,0.22981366459627328,0.540975888801007,0.696490845684394,7,0.6055057115689465,4,0.5596349952456563,0.35,0.225,15,0.7388888888888888,0,,,,,,,
