model,cutoff,seed,selection,d2t_ap,t2d_ap,coverage_rows,exposure_sha256
bermol_morgan,2020,20260922,0.38350186900450967,0.3747392409362658,0.2039581912981229,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
bermol_morgan,2020,20260923,0.3589578243285855,0.35901033318073994,0.1698262862109953,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
morgan,2018,20260921,0.3542491550610468,0.3425064134894826,0.22343736905970504,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
morgan,2018,20260922,0.3931928612772926,0.3727415309186328,0.27200245120943883,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
morgan,2018,20260923,0.38147633694346816,0.3186068827318157,0.2854720762532325,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
morgan,2020,20260921,0.3493107589431588,0.3353863416329173,0.21913006939623295,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
morgan,2020,20260922,0.32377958268673546,0.3316195227228912,0.1846845639881868,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
morgan,2020,20260923,0.36506551942982907,0.38417984601112337,0.23447320023742949,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
drugclip_morgan,2018,20260921,0.450563734536916,0.4025858041249244,0.3567552308537722,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
drugclip_morgan,2018,20260922,0.455497719748129,0.407624483638264,0.3601704855864461,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
drugclip_morgan,2018,20260923,0.4000061741468749,0.3400848245942626,0.2929723952935309,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
drugclip_morgan,2020,20260921,0.4325562709966362,0.4754371309946648,0.20534204448807514,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
drugclip_morgan,2020,20260922,0.4034884243605824,0.40417046028114645,0.22698802000786947,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
drugclip_morgan,2020,20260923,0.41629535556711583,0.42334053110231573,0.20050700495024962,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
