arm,panel,scope,pairs,positive,negative,auroc_mean,auroc_sd,ap_mean,ap_sd,brier_mean,brier_sd,top1pct_precision_mean,top1pct_precision_sd,top5pct_precision_mean,top5pct_precision_sd,false_positive_rate_mean,false_positive_rate_sd,precision_mean,precision_sd,recall_mean,recall_sd
all_inactive,AFFINITY_KD_KI,all,34327,23190,11137,0.8494039082985804,0.00985083700095446,0.9087139780524981,0.0030791330177694747,0.14265967719232062,0.005582491005133763,0.9699612403100776,0.04205917522133852,0.9625315472723742,0.016517630185521864,0.47271856574182153,0.012542565670692242,0.8027859594498031,0.0018542381799217548,0.9240189736955585,0.015167926919131401
all_inactive,AFFINITY_KD_KI,document_disjoint,503,331,172,0.8626665729876577,0.016761090657208454,0.9081374321721419,0.01411458418812908,0.14093488989929304,0.009807207635551965,1.0,0.0,0.923076923076923,0.06661733875264915,0.30620155038759683,0.06216672454397459,0.8451319789939192,0.022312894783210687,0.8630412890231621,0.03230415897753362
all_inactive,AFFINITY_KD_KI,targets_both_arms,33205,22416,10789,0.8601483319692709,0.008210826983360918,0.9130552489065393,0.002543594501930055,0.13616920123343867,0.004523337359160595,0.968968968968969,0.04344851734576713,0.9614689945815772,0.01672780733226951,0.4743411499366639,0.007403558138826667,0.804691931766565,0.0013771829006997529,0.9406078991196765,0.009233110364263972
all_inactive,AFFINITY_KD_KI,targets_neither,870,599,271,0.49305936298094205,0.012102405291084745,0.6870324602301507,0.004624801132331384,0.3392269334592362,0.038236122744540496,0.7777777777777777,0.1111111111111111,0.6590909090909091,0.060130711615104346,0.4391143911439115,0.18490730356262067,0.6879475258541728,0.004134451936548859,0.4396215915414579,0.19217043778060605
all_inactive,AFFINITY_KD_KI,targets_only_all,252,175,77,0.567891156462585,0.02818880568754818,0.7597284602426488,0.03284809280562227,0.3192578568052488,0.038334349462017775,0.8888888888888888,0.1924500897298753,0.8461538461538461,0.13323467750529822,0.3636363636363636,0.1718020331860124,0.7416833464558215,0.0358569116490871,0.45714285714285713,0.18061120719176127
all_inactive,ALL_ENDPOINT_UNION,all,132331,93249,39082,0.9162671936367137,0.0012443317419248065,0.9579541101735174,0.0011484091820635385,0.10023602743348868,0.0007033621574994151,0.9957200402819737,0.006769551691716427,0.9922422044229511,0.003542067569643188,0.3232946113300241,0.02271529032033441,0.8742383912716226,0.006779553558230238,0.9412969576081246,0.007771952997823598
all_inactive,ALL_ENDPOINT_UNION,document_disjoint,4371,942,3429,0.7998655157489601,0.05308679828992829,0.5683100545308825,0.10364335705786386,0.22259942097468657,0.046477103178931875,0.9090909090909092,0.03936479108111088,0.7884322678843226,0.1050559143180359,0.3953533586079518,0.08031346399033795,0.3670131823639486,0.04059490393645383,0.821302193913659,0.015100204029265296
all_inactive,ALL_ENDPOINT_UNION,targets_both_arms,124429,88447,35982,0.9161328671826484,0.0016771345653338468,0.9586665425854792,0.001300549808825407,0.09903833468234431,0.0009276415132259524,0.9954484605087015,0.0071991055741626704,0.9920175720561448,0.0037359484349322788,0.3359735423267189,0.02215127147057241,0.8739061654020713,0.006488630532518355,0.9467515385861965,0.006397857525612635
all_inactive,ALL_ENDPOINT_UNION,targets_neither,895,608,287,0.4945404670212115,0.007911403527448934,0.6790578179956729,0.0023031266468347654,0.33809382293709583,0.03556814245835537,0.7777777777777777,0.1111111111111111,0.6592592592592593,0.03394500514782103,0.44018583042973286,0.17991829394580192,0.6789326309055284,0.004009234738845425,0.44133771929824556,0.18825113089927747
all_inactive,ALL_ENDPOINT_UNION,targets_only_all,7007,4194,2813,0.9460855239681017,0.0017247014028586127,0.9620840390979737,0.002101008956781716,0.09112299537360746,0.0012621548166472027,1.0,0.0,0.9981006647673315,0.0016448725617937785,0.14918829245171228,0.014965904535965314,0.8999205190153434,0.007999623138615485,0.8987442378000318,0.010589165381100784
