pair_id,ligand_inchikey,target_chembl_id,gene_symbol,label,binary_label,source_rows,sources,endpoints,relations,min_nM,max_nM,has_grey,has_unresolved,positive_record_ids,negative_record_ids,endpoint_group,refresh_covered,existing_ChEMBL37_numeric_pair,local_training_exact_pair,local_training_connectivity_pair,local_training_drug_seen,local_training_target_seen,drug_names,known_relation_excluded,known_training,known_chembl37,novelty_pass,identity_scope_pass,chemistry_policy_pass,independent_validation_rank_score,biomaster_independent_borda_score,ensemble_drug_to_target_logit,old_drug_leakage_safe_score_v10,dtiam_probability,rank_SPR_current,rank_contract_primary,rank_neural_full_fit,rank_graph_ranker,rank_DTIAM_comparator,scored,refresh_endpoint_covered
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CHEMBL222,SLC6A2,POSITIVE,1.0,18,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,240.0,2186.0,True,False,4416;4542;5750;5751;5752;5753;37369;40918;153448,,Kd_Ki,True,True,False,False,True,True,fluoxetine,True,False,True,False,True,True,1.0540267195529829,1.0,7.78919,0.8656974701625453,0.86616206,2.0,1.0,2.0,1.0,4.0,True,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3935,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL3935,AURKC,POSITIVE,1.0,5,BindingDB_202609;ChEMBL37_existing,Kd,=,210.0,210.0,False,False,1046;26815;35701;44360;143089,,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-0.9506863504657352,0.7845953002610966,-1.9036049,0.5039225945188535,0.8049142,52.0,42.0,41.0,30.0,143.0,True,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL5147,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL5147,EPHB4,WEAK_NEGATIVE,0.0,8,BindingDB_202609;ChEMBL37_existing,Kd,=;>,1800.0,30000.0,True,False,,143737,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-1.3201526708377431,0.4804177545691906,-4.1187587,0.0733017422703461,0.85187495,68.0,203.0,132.0,322.0,67.0,True,True
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL2007,KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL2007,PDGFRA,POSITIVE,1.0,5,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,2.0,31.0,False,False,1440;6365;28729;43509;139254,,Kd_Ki,True,True,False,False,True,True,imatinib,True,False,True,False,True,True,2.240786260952104,0.9960835509138382,0.5661598,0.944149275568001,0.9423376,4.0,1.0,9.0,2.0,2.0,True,True
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL4128,UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL4128,TEK,POSITIVE,1.0,6,BindingDB_202609;ChEMBL37_existing,Kd,=,1000.0,3600.0,True,False,1510;34404;45083;158603,,Kd_Ki,True,True,False,False,True,True,vandetanib,True,False,True,False,True,True,-3.549392495496039,0.5143603133159269,2.6846638,0.3155279358650187,0.48824075,121.0,184.0,14.0,179.0,63.0,True,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL2815,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL2815,NTRK1,WEAK_NEGATIVE,0.0,8,BindingDB_202609;ChEMBL37_existing,Kd,=;>,3600.0,30000.0,True,False,,143768,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-1.1116736645259448,0.9046997389033944,1.4684588,0.7067118980626278,0.84932,58.0,21.0,13.0,16.0,70.0,True,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL279,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL279,KDR,POSITIVE,1.0,18,BindingDB_202609;ChEMBL37_existing;HiQBind_v3,Kd;Ki,=,0.021,93.0,False,False,1529;17573;19557;20042;26356;28233;28236;28237;32247;43975;83549;83982;142924;143000;143340;143341;143342;143649,,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,2.0112272414221497,0.9986945169712792,2.292957,0.9902061073768572,0.7821761,2.0,1.0,9.0,1.0,168.0,True,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5145,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL5145,BRAF,POSITIVE,1.0,9,BindingDB_202609;ChEMBL37_existing,Kd,=,500.0,3235.94,True,False,1549;1552;15295;18562;30975;42461,,Kd_Ki,True,True,False,False,True,True,dasatinib,True,False,True,False,True,True,-1.9189121888119427,0.6409921671018277,2.2797108,0.6508617707045952,0.8388847,151.0,100.0,37.0,80.0,194.0,True,True
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL203,EGFR,POSITIVE,1.0,39,BindingDB_202609;ChEMBL37_existing,Kd,=,4.8,3741.0,True,False,1566;1572;1579;1585;1591;1597;1746;1968;14234;15126;15333;15728;15953;15996;16185;16607;16681;16723;17000;17920;17966;18268;18303;18564;18676;18719;18868;18922;20088;35425;44102;55051;158538;158653;158654;158659;158694;159062,,Kd_Ki,True,True,False,False,True,True,vandetanib,True,False,True,False,True,True,0.1749289441547876,0.9856396866840732,0.13985704,0.8942339113665212,0.47991654,3.0,4.0,35.0,9.0,66.0,True,True
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL203,KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL203,EGFR,WEAK_NEGATIVE,0.0,28,BindingDB_202609;ChEMBL37_existing,Kd,=;>,7600.0,30000.0,True,False,,14781;15132;15284;15372;15540;15786;15977;16355;16569;16955;17156;18244;18270;18288;18339;18483;18678;18712;18864;44100;139245;139246;139251;139285;139802,Kd_Ki,True,True,False,False,True,True,imatinib,True,False,True,False,True,True,-1.6261561837691594,0.9203655352480418,-3.069994,0.602621345301249,0.67394185,63.0,15.0,51.0,16.0,165.0,True,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3650,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL3650,FGFR1,WEAK_NEGATIVE,0.0,8,BindingDB_202609;ChEMBL37_existing,Kd,=;>,2500.0,30000.0,True,False,,143738,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-0.697715902030673,0.9190600522193212,-4.4686317,0.6033580654780469,0.6963146,43.0,17.0,157.0,19.0,256.0,True,True
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2148,CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL2148,JAK3,WEAK_NEGATIVE,0.0,2,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,6900.0,6900000.0,True,False,,1814,Kd_Ki,True,True,False,False,True,True,pazopanib,True,False,True,False,True,True,-1.021423431818464,0.8694516971279374,-2.597383,0.6413921308578424,0.85260963,13.0,18.0,178.0,70.0,261.0,True,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3961,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL3961,MAPK11,POSITIVE,1.0,3,BindingDB_202609,Kd,=,410.0,410.0,False,False,1959;35642;44724,,Kd_Ki,True,False,False,False,True,True,dasatinib,True,False,True,False,True,True,-1.1200015342137055,0.4321148825065274,3.16539,0.3022380763208404,0.7877058,37.0,237.0,28.0,353.0,233.0,True,True
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL1824,BCFGMOOMADDAQU-UHFFFAOYSA-N,CHEMBL1824,ERBB2,POSITIVE,1.0,8,BindingDB_202609;ChEMBL37_existing,Kd,=,7.0,11.0,False,False,1971;24070;34956;44530;118001;118123;118690;118691,,Kd_Ki,True,True,False,False,True,True,lapatinib,True,False,True,False,True,False,3.4267517983939064,0.9986945169712792,4.884724,0.9307897261913513,0.97526586,2.0,1.0,1.0,1.0,1.0,True,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3009,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL3009,ERBB4,POSITIVE,1.0,2,BindingDB_202609,Kd,=,55.0,55.0,False,False,1973;33002,,Kd_Ki,True,False,False,False,True,True,dasatinib,True,False,False,False,True,True,-1.3714874928334235,0.8093994778067886,4.393002,0.6671853430679837,0.9106748,52.0,38.0,15.0,70.0,53.0,True,True
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL3009,UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL3009,ERBB4,POSITIVE,1.0,2,BindingDB_202609,Kd,=,480.0,480.0,False,False,1977;34417,,Kd_Ki,True,False,False,False,True,True,vandetanib,True,False,False,False,True,True,-1.1850436419690755,0.968668407310705,-0.17717218,0.7235572003901216,0.71663094,10.0,6.0,38.0,20.0,18.0,True,True
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL2742,UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL2742,FGFR3,POSITIVE,1.0,9,BindingDB_202609;ChEMBL37_existing,Kd,=,240.0,6900.0,True,False,20005;158551,,Kd_Ki,True,True,False,False,True,True,vandetanib,True,False,True,False,True,True,-3.017802343531724,0.5861618798955613,3.0723724,0.2918918782466291,0.281514,48.0,129.0,10.0,200.0,171.0,True,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3587,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL3587,MAP2K1,POSITIVE,1.0,3,BindingDB_202609,Kd,=,1000.0,1000.0,False,False,2104;35645;42468,,Kd_Ki,True,False,False,False,True,True,dasatinib,True,False,True,False,True,True,-1.7088677184713998,0.7715404699738904,2.2995055,0.8086235906908411,0.9090774,109.0,51.0,36.0,24.0,58.0,True,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5903,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL5903,ACVR1,POSITIVE,1.0,3,BindingDB_202609,Kd,=,620.0,620.0,False,False,2187;33005;43393,,Kd_Ki,True,False,False,False,True,True,dasatinib,True,False,True,False,True,True,-2.0795107513495257,0.4373368146214099,2.945268,0.4631452835397814,0.8621834,178.0,235.0,30.0,244.0,155.0,True,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5251,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL5251,BTK,POSITIVE,1.0,3,BindingDB_202609,Kd,=,1.4,1.4,False,False,2195;32656;44562,,Kd_Ki,True,False,False,False,True,True,dasatinib,True,False,True,False,True,True,1.0462023429990897,0.9830287206266318,2.913544,0.8785567103181825,0.84055346,9.0,2.0,31.0,5.0,192.0,True,True
VYFYYTLLBUKUHU-UHFFFAOYSA-N__CHEMBL238,VYFYYTLLBUKUHU-UHFFFAOYSA-N,CHEMBL238,SLC6A3,POSITIVE,1.0,9,BindingDB_202609;ChEMBL37_existing,Ki,=,67.0,6400.0,True,False,3736,,Kd_Ki,True,True,False,False,True,True,levodopa,True,False,True,False,False,True,-4.087246831720264,0.3159268929503916,-1.4762926,0.4800775377215179,0.106467575,74.0,300.0,10.0,383.0,88.0,True,True
ZAFYATHCZYHLPB-UHFFFAOYSA-N__CHEMBL4956,ZAFYATHCZYHLPB-UHFFFAOYSA-N,CHEMBL4956,GABRA2,POSITIVE,1.0,1,BindingDB_202609,Ki,=,760.6,760.6,False,False,3755,,Kd_Ki,True,False,False,False,True,True,zolpidem,True,False,False,False,True,True,-2.732687021751364,0.9464751958224544,5.689375,0.9068812924284122,0.88876027,33.0,4.0,1.0,1.0,3.0,True,True
RAPZEAPATHNIPO-UHFFFAOYSA-N__CHEMBL228,RAPZEAPATHNIPO-UHFFFAOYSA-N,CHEMBL228,SLC6A4,POSITIVE,1.0,5,BindingDB_202609;ChEMBL37_existing,Ki,=,1000.0,1400.0,True,False,3961;6693;151882,,Kd_Ki,True,True,False,False,True,True,risperidone,True,False,True,False,True,True,-2.531865668744099,0.3067885117493473,-0.51379853,0.7327278554683557,0.34642655,152.0,323.0,14.0,308.0,308.0,True,True
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL228,PHLBKPHSAVXXEF-UHFFFAOYSA-N,CHEMBL228,SLC6A4,POSITIVE,1.0,3,BindingDB_202609,Ki,=,160.0,690.0,False,False,4374;4375;4527,,Kd_Ki,True,False,False,False,True,True,trazodone,True,False,False,False,True,True,-1.9857916369086257,0.8185378590078329,3.0637407,0.5507790409459403,0.22854032,11.0,29.0,1.0,68.0,303.0,True,True
KYYIDSXMWOZKMP-UHFFFAOYSA-N__CHEMBL222,KYYIDSXMWOZKMP-UHFFFAOYSA-N,CHEMBL222,SLC6A2,POSITIVE,1.0,8,BindingDB_202609;ChEMBL37_existing,Ki,=;>,531.3,3385.1,True,True,6403;6405;8487;140360,,Kd_Ki,True,True,False,False,True,True,desvenlafaxine,True,False,True,False,True,True,-1.483098545685829,0.9973890339425588,2.471178,0.7644468755109867,0.2513736,1.0,1.0,14.0,2.0,32.0,True,True
PHLBKPHSAVXXEF-UHFFFAOYSA-N__CHEMBL222,PHLBKPHSAVXXEF-UHFFFAOYSA-N,CHEMBL222,SLC6A2,WEAK_NEGATIVE,0.0,3,BindingDB_202609,Ki,=;>,8500.0,10000.0,True,False,,4431;4433,Kd_Ki,True,False,False,False,True,True,trazodone,True,False,False,False,True,True,-3.5068847836910364,0.6879895561357703,2.5181143,0.8289160655642965,0.25259736,172.0,64.0,7.0,2.0,282.0,True,True
YWPHCCPCQOJSGZ-UHFFFAOYSA-N__CHEMBL228,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,CHEMBL228,SLC6A4,WEAK_NEGATIVE,0.0,2,BindingDB_202609,Kd;Ki,=;>,10000.0,17300.0,False,False,,4529;37360,Kd_Ki,True,False,False,False,False,True,viloxazine,True,False,False,False,True,True,-0.5523256421225279,0.9986945169712792,3.9026878,0.9029088492843558,0.72971267,2.0,1.0,2.0,1.0,7.0,True,True
PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL238,PNVNVHUZROJLTJ-UHFFFAOYSA-N,CHEMBL238,SLC6A3,WEAK_NEGATIVE,0.0,11,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=;>,890.0,10000.0,True,True,,5440,Kd_Ki,True,True,False,False,True,True,venlafaxine,True,False,True,False,True,True,-2.1769439674348394,0.902088772845953,5.7835345,0.2048446143003943,0.437215,4.0,8.0,2.0,58.0,18.0,True,True
SNPPWIUOZRMYNY-UHFFFAOYSA-N__CHEMBL222,SNPPWIUOZRMYNY-UHFFFAOYSA-N,CHEMBL222,SLC6A2,WEAK_NEGATIVE,0.0,6,BindingDB_202609;ChEMBL37_existing,Ki,=;>,3642.0,10000.0,True,False,,4540;5911,Kd_Ki,True,True,False,False,True,True,bupropion,True,False,True,False,True,True,-3.070321731598033,0.8838120104438643,-0.024986425,0.6797036985242032,0.83905387,58.0,12.0,36.0,6.0,5.0,True,True
YWPHCCPCQOJSGZ-UHFFFAOYSA-N__CHEMBL222,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,CHEMBL222,SLC6A2,POSITIVE,1.0,2,BindingDB_202609,Kd;Ki,=,155.0,155.0,False,False,4549;37365,,Kd_Ki,True,False,False,False,False,True,viloxazine,True,False,False,False,True,True,-0.4123193404220376,0.9608355091383812,4.054132,0.574120825273062,0.67621815,1.0,3.0,1.0,31.0,10.0,True,True
RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL230,RZVAJINKPMORJF-UHFFFAOYSA-N,CHEMBL230,PTGS2,WEAK_NEGATIVE,0.0,3,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,4621;4907;4908,Kd_Ki,True,False,False,False,True,True,acetaminophen,True,False,False,False,True,True,-3.858137782849491,0.7819843342036554,-0.9801863,0.8996302940303148,0.14192557,114.0,33.0,13.0,1.0,24.0,True,True
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,CGIGDMFJXJATDK-UHFFFAOYSA-N,CHEMBL230,PTGS2,POSITIVE,1.0,14,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,92.0,1500.0,True,False,4626;4897;4898;5003;5004;5005;5316;5317;5318;51624;121663,,Kd_Ki,True,True,False,False,True,True,indomethacin,True,False,True,False,True,True,-0.667871867530575,0.9921671018276764,4.119873,0.8804355051247507,0.6492098,4.0,1.0,1.0,2.0,62.0,True,True
OZWKMVRBQXNZKK-UHFFFAOYSA-N__CHEMBL230,OZWKMVRBQXNZKK-UHFFFAOYSA-N,CHEMBL230,PTGS2,POSITIVE,1.0,3,BindingDB_202609,Ki,=,75.0,180.0,False,False,4628;4901;4902,,Kd_Ki,True,True,False,False,True,True,ketorolac,True,False,True,False,True,True,-3.9256363893244304,0.7532637075718016,4.6925273,0.711567958284849,0.1930281,117.0,46.0,1.0,14.0,70.0,True,True
OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL230,OFPXSFXSNFPTHF-UHFFFAOYSA-N,CHEMBL230,PTGS2,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,4630,Kd_Ki,True,True,False,False,True,True,oxaprozin,True,False,True,False,True,True,-3.5378854703800164,0.7284595300261096,-0.6412666,0.5563606991876465,0.18735704,64.0,50.0,9.0,102.0,88.0,True,True
KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL230,KBOPZPXVLCULAV-UHFFFAOYSA-N,CHEMBL230,PTGS2,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,4888,Kd_Ki,True,True,False,False,True,True,balsalazide;mesalamine,True,False,True,False,True,True,-4.121215151813015,0.8054830287206267,-0.4921281,0.8307481282277103,0.13760723,69.0,17.0,2.0,6.0,17.0,True,True
ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL230,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,CHEMBL230,PTGS2,POSITIVE,1.0,4,BindingDB_202609,Ki,=,230.0,2100.0,True,False,4904;5006;5319,,Kd_Ki,True,True,False,False,True,True,meloxicam,True,False,True,False,True,True,-3.178071419935896,0.8028720626631853,-2.6154416,0.6507570515033404,0.1578669,86.0,23.0,171.0,18.0,261.0,True,True
XMXHEBAFVSFQEX-UHFFFAOYSA-N__CHEMBL1899,XMXHEBAFVSFQEX-UHFFFAOYSA-N,CHEMBL1899,HTR3A,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,5593,Kd_Ki,True,False,False,False,False,True,iloperidone,False,False,False,True,True,True,-2.1622963263975183,0.391644908616188,-1.9531261,0.5220586279239904,0.29068115,98.0,257.0,147.0,373.0,259.0,True,True
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL4247,KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL4247,ALK,WEAK_NEGATIVE,0.0,4,BindingDB_202609;ChEMBL37_existing,Kd;Ki,>,10000.0,10000.0,False,False,,6331;29704;43566;139236,Kd_Ki,True,True,False,False,True,True,imatinib,True,False,False,False,True,True,-1.6477245304315318,0.7558746736292428,-5.0261245,0.365769831318025,0.8104168,64.0,56.0,201.0,82.0,77.0,True,True
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL4142,HHZIURLSWUIHRB-UHFFFAOYSA-N,CHEMBL4142,FGFR2,WEAK_NEGATIVE,0.0,2,BindingDB_202609,Kd;Ki,=;>,7220.0,10000.0,True,False,,28922,Kd_Ki,True,False,False,False,True,True,nilotinib,True,False,False,False,True,True,-1.267936695199096,0.7036553524804178,-3.50641,0.4625434587513838,0.87146723,92.0,62.0,170.0,120.0,238.0,True,True
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL1974,KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL1974,FLT3,WEAK_NEGATIVE,0.0,17,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=;>,6300.0,30000.0,True,False,,6347;14747;14767;15376;16124;16621;16936;18008;18380;18579;18789;44182;58584;139307;139806;139883,Kd_Ki,True,True,False,False,True,True,imatinib,True,False,True,False,True,True,-0.4573939350645611,0.9778067885117494,-0.92589444,0.853340123601572,0.8963421,14.0,7.0,20.0,5.0,23.0,True,True
