scope,model,direction,known_ap,known_mrr,known_recall_5,known_recall_10,known_recall_20,known_ndcg_20,known_queries,known_pairs,candidate_count,observed_ap,observed_auroc,observed_two_class_queries
drugclip_common,morgan_ensemble,target_to_drug,0.10525115848765874,0.20219503178362744,0.09263320712900544,0.12591934209581268,0.1796008146848483,0.13750695212569686,119,424,548,0.584545515722475,0.8555663280608333,100
drugclip_common,bermol_ensemble,drug_to_target,0.24813565284612044,0.262612710484492,0.2942104192104192,0.41980056980056984,0.5605514855514856,0.3177620488012894,234,424,269,0.8886500882377087,0.9494715947411563,89
drugclip_common,bermol_ensemble,target_to_drug,0.08134438248556801,0.1360697095051628,0.07765106042416967,0.14566390658827633,0.2139278788438452,0.12098722506183918,119,424,548,0.5922790309216274,0.8462818414399328,100
drugclip_common,signed_ensemble,drug_to_target,0.3165662937801394,0.33967614546538644,0.38602971102971095,0.5075905575905576,0.6342083842083842,0.3915818046309807,234,424,269,0.9079790122910641,0.9596604087104883,89
drugclip_common,signed_ensemble,target_to_drug,0.14569990283238723,0.2622629818993793,0.13865110146622753,0.21839530684068498,0.2997740121689702,0.20566075816590507,119,424,548,0.6250854625542448,0.866710450538665,100
drugclip_common,dtiam,drug_to_target,0.24462298895134954,0.2788139383483192,0.289936914936915,0.35892348392348394,0.4658119658119658,0.29691037970584044,234,424,269,0.6765638880641369,0.7935467118648555,89
drugclip_common,dtiam,target_to_drug,0.16363113482454167,0.2765059769292537,0.14255702280912366,0.18201280512204882,0.23749166333199942,0.20063087720658376,119,424,548,0.5263618317064813,0.7260993605987522,100
drugclip_common,conplex,drug_to_target,0.17539586380318245,0.19626601316257983,0.2060948310948311,0.28096255596255587,0.3712454212454212,0.22161137432374903,234,424,269,0.566071082053477,0.6692645122260804,89
drugclip_common,conplex,target_to_drug,0.13209523448788849,0.2019079009220544,0.11871748699479792,0.15198079231692674,0.2004501800720288,0.16153404753934,119,424,548,0.4903800268745473,0.6068818625358233,100
drugclip_common,positive_nearest,drug_to_target,0.6843256634708527,0.7342835502173727,0.7623049789716456,0.799969474969475,0.833954008954009,0.732873126943332,234,424,269,0.7629014951103069,0.8538985577861387,89
drugclip_common,positive_nearest,target_to_drug,0.558485642164666,0.6948478568735549,0.5491976277690563,0.6376819958752732,0.7074327166764142,0.6284794125230644,119,424,548,0.6261735991192083,0.7432419815932912,100
drugclip_common,pn_logistic,drug_to_target,0.5952107467149256,0.6403347235199515,0.6644010310676977,0.7457197123863791,0.7634242300908968,0.6460924369749398,234,424,269,0.8362603593341877,0.888016104695672,89
drugclip_common,pn_logistic,target_to_drug,0.5140806390273213,0.6625305171701821,0.512270036219616,0.6124829418947065,0.693951954839251,0.5952705302555815,119,424,548,0.6726421761901547,0.8012881013850611,100
drugclip_common,drugclip,drug_to_target,0.07110590594987473,0.08096624062292468,0.058167141500474834,0.08797992131325465,0.12669583502916837,0.07628115310520674,234,424,269,0.4173259366550484,0.5439354726040632,89
drugclip_common,drugclip,target_to_drug,0.047997356875963786,0.06617014799025442,0.051400560224089634,0.07200291881458465,0.10135465951086316,0.05615647573204196,119,424,548,0.36222280930688855,0.4996703570268333,100
original_test_old_drugs,v3_support_ensemble,drug_to_target,0.4192787210994678,0.4513600356739574,0.5019607843137255,0.5553921568627451,0.6642156862745098,0.4860981722461885,34,71,384,0.8896399951280296,0.8962771401985112,20
original_test_old_drugs,v3_support_ensemble,target_to_drug,0.48544661951889817,0.519903375443798,0.5350877192982456,0.5818713450292398,0.6140350877192983,0.5175856350888326,57,71,54,0.7645833333333333,0.8077227120705381,26
original_test_old_drugs,morgan_ensemble,drug_to_target,0.18502806675223177,0.22239655054743046,0.25441176470588234,0.3338235294117647,0.47282913165266105,0.25458929929589713,34,71,384,0.8008131686317412,0.8468808896077039,20
original_test_old_drugs,morgan_ensemble,target_to_drug,0.26160670138598624,0.2802844717945669,0.37134502923976603,0.5204678362573099,0.5964912280701754,0.3381025031745019,57,71,54,0.6890391659622429,0.72587159217594,26
original_test_old_drugs,bermol_ensemble,drug_to_target,0.26119787280500034,0.28915114572534867,0.3122549019607843,0.3509803921568628,0.4509803921568627,0.3062778653228943,34,71,384,0.7308081704804437,0.8495366534227422,20
original_test_old_drugs,bermol_ensemble,target_to_drug,0.2740751472214445,0.29526492356548245,0.41812865497076024,0.5467836257309941,0.6578947368421053,0.3641338285696977,57,71,54,0.6435794597559302,0.7059465896422419,26
original_test_old_drugs,signed_ensemble,drug_to_target,0.3365348831615707,0.3846091284198353,0.3524509803921569,0.43039215686274507,0.5754901960784313,0.3991231011407031,34,71,384,0.7949927481059434,0.8819068174209305,20
