drug_id,target_id,drug_name,gene,biomaster,biomaster_reverse,drugclip,dtiam,conplex,dtbind,nesso,probematch,biomaster_forward,nesso_pic50,biomaster_rank,drugclip_rank,dtiam_rank,conplex_rank,nesso_rank,probematch_rank,dtbind_rank,nesso_pic50_rank
BNRNXUUZRGQAQC-UHFFFAOYSA-N,CHEMBL1871,sildenafil,AR,-9.038006,-9.038006,0.095460266,0.6574098,0.0,0.4464688301086426,0.0157099347561597,0.931467056274414,-8.502374,5.424792170524597,430.0,321.0,154.0,620.0,655.0,355.0,374.0,495.0
BPKAHTKRCLCHEA-UBFJEZKGSA-N,CHEMBL1871,paricalcitol,AR,-6.1063585,-6.1063585,0.49323514,0.7095206,0.31101096,0.9998695850372314,0.6241548657417297,0.9956210255622864,-6.6122637,6.608855247497559,263.0,31.0,115.0,51.0,118.0,210.0,61.0,84.0
BPQMGSKTAYIVFO-UHFFFAOYSA-N,CHEMBL1871,vismodegib,AR,-1.5064727,-1.5064727,0.16126223,0.35993415,0.0,0.7105262875556946,0.3907321393489837,0.8813127279281616,-1.5049309,5.645591586828232,76.0,254.0,426.0,620.0,172.0,386.0,332.0,377.0
BPRHUIZQVSMCRT-VEUZHWNKSA-N,CHEMBL1871,rosuvastatin,AR,-10.27648,-10.27648,0.35858694,0.4046434,0.0014482865,0.9992269277572632,0.1315613389015197,0.995116114616394,-8.921616,5.617751061916351,505.0,83.0,379.0,483.0,335.0,216.0,136.0,397.0
BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL1871,arformoterol,AR,-5.3265367,-5.3265367,0.16821045,0.20061466,0.105277464,0.9173002243041992,0.1288614571094513,0.9952585101127625,-5.2376523,5.542601615190506,225.0,245.0,615.0,192.0,341.0,212.0,279.0,437.0
BQEJAAIPKDQEPV-MXHGPKCJSA-N,CHEMBL1871,difluprednate,AR,0.53121847,0.53121847,0.5898938,0.89252824,0.43033367,0.9998961687088012,0.962687611579895,0.9999991655349731,0.5167356,7.89905571937561,44.0,9.0,9.0,30.0,3.0,22.5,40.0,5.0
BQJCRHHNABKAKU-KBQPJGBKSA-N,CHEMBL1871,morphine,AR,-3.4521067,-3.4521067,0.2805628,0.20068602,0.2987259,0.9766594171524048,0.044668111950159,0.975219190120697,-3.9247737,5.3930752873420715,131.0,139.0,614.0,56.0,554.0,294.0,230.0,514.0
BQSJTQLCZDPROO-UHFFFAOYSA-N,CHEMBL1871,febuxostat,AR,-3.9582243,-3.9582243,0.008728377,0.62783283,0.010244966,0.8798540830612183,0.8608812093734741,0.0543461628258228,-3.9650233,6.06443602591753,154.0,438.0,183.0,427.0,58.0,594.0,296.0,198.0
BRUQQQPBMZOVGD-XFKAJCMBSA-N,CHEMBL1871,oxycodone,AR,-9.951571,-9.951571,0.23730387,0.19499123,0.12294091,0.5471810102462769,0.0335570760071277,0.9715348482131958,-10.129348,5.229406833648682,482.0,180.0,622.0,156.0,589.0,304.0,354.0,590.0
BSMCAPRUBJMWDF-KRWDZBQOSA-N,CHEMBL1871,cobimetinib,AR,-12.689288,-12.689288,-0.009631918,0.7868765,0.0,0.9994596838951112,0.1602454334497451,0.9996570348739624,-11.87686,6.241309076547623,635.0,466.0,70.0,620.0,291.0,102.0,127.0,144.0
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,CHEMBL1871,aspirin,AR,-5.124629,-5.124629,-0.022885127,0.08026058,0.0,0.1842837333679199,0.0112516414374113,1.0545018085394986e-05,-5.1666994,4.271289706230164,217.0,487.0,719.0,620.0,678.0,707.0,433.0,717.0
BTBHLEZXCOBLCY-QGZVFWFLSA-N,CHEMBL1871,finerenone,AR,-0.07009723,-0.07009723,0.27718338,0.900121,0.0,0.9889649152755736,0.211253136396408,0.9995817542076112,-0.17078924,6.423935770988464,49.0,142.0,8.0,620.0,246.0,106.0,207.0,112.0
