arm,view,baseline_variant,direction,metric,queries,seeds,baseline,dtiam,delta,ci95_low,ci95_high,scope
kdki_inactive,native,binary,target,ap,516,3,0.6979201832925586,0.6995231182207802,0.0016029349282216524,-0.01027146198168512,0.012569461848548576,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,joint,drug,ap,54,3,0.6274077337161534,0.6682117450968553,0.040804011380701805,-0.00020010131801361382,0.08496107050620352,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,joint,drug,p5,54,3,0.5740740740740742,0.6296296296296297,0.055555555555555566,0.0234567901234568,0.08765432098765434,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,joint,drug,p20,30,3,0.26166666666666666,0.27055555555555555,0.008888888888888901,-0.006111111111111106,0.023888888888888907,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,binary,drug,ap,54,3,0.5431991032119644,0.6636380158927089,0.12043891268074464,0.08154233330942677,0.15913945534198007,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,binary,drug,p5,54,3,0.519753086419753,0.6296296296296297,0.10987654320987658,0.07530864197530865,0.14814814814814814,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,binary,drug,p20,30,3,0.23722222222222217,0.2833333333333333,0.04611111111111113,0.017763888888888905,0.07556944444444438,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,binary,drug,ap,54,3,0.5431991032119644,0.6578315732213773,0.11463247000941296,0.07500761842818762,0.15362051541184027,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,binary,drug,p5,54,3,0.519753086419753,0.6160493827160494,0.09629629629629631,0.05925925925925927,0.13333333333333336,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,binary,drug,p20,30,3,0.23722222222222217,0.2783333333333333,0.04111111111111111,0.01500000000000002,0.06666666666666668,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,joint,drug,ap,54,3,0.565865975327892,0.6636380158927089,0.09777204056481704,0.06468035826178684,0.1297042787352597,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,joint,drug,p5,54,3,0.525925925925926,0.6296296296296297,0.10370370370370371,0.06543209876543211,0.14077160493827148,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,joint,drug,p20,30,3,0.235,0.2833333333333333,0.04833333333333334,0.023333333333333355,0.07777777777777778,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,joint,drug,ap,54,3,0.565865975327892,0.6578315732213773,0.09196559789348539,0.0589007107239888,0.12423759043069622,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,joint,drug,p5,54,3,0.525925925925926,0.6160493827160494,0.09012345679012347,0.05185185185185186,0.13086419753086423,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,joint,drug,p20,30,3,0.235,0.2783333333333333,0.04333333333333334,0.020000000000000018,0.07166666666666668,paired query bootstrap conditional on three seeds; no multiple-comparison correction
