arm,view,panel,scope,pairs_mean,pairs_std,positive_mean,positive_std,negative_mean,negative_std,ap_mean,ap_std,auroc_mean,auroc_std,false_positive_rate_mean,false_positive_rate_std,top1pct_precision_mean,top1pct_precision_std,top5pct_precision_mean,top5pct_precision_std
all_inactive,native,ALL_ENDPOINT_UNION,targets_both_arms,124429.0,0.0,88447.0,0.0,35982.0,0.0,0.9776326039238147,0.00043750268322465566,0.9483597696646923,0.0007784427925766361,0.22054545791414226,0.010583386537567503,1.0,0.0,0.999249973213329,0.0001855835002216891
all_inactive,native,ALL_ENDPOINT_UNION,targets_neither,895.0,0.0,608.0,0.0,287.0,0.0,0.6957245900029685,0.0037272035400221083,0.5230759826395257,0.006084043985596638,0.26713124274099886,0.047562358256546505,0.7777777777777777,0.11111111111111108,0.6962962962962963,0.012830005981991702
all_inactive,native,ALL_ENDPOINT_UNION,targets_only_all,7007.0,0.0,4194.0,0.0,2813.0,0.0,0.9775293200849052,0.00021467781167785075,0.9676545748973121,0.0002518725415757306,0.07761583125962791,0.005888023817421423,1.0,0.0,1.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,all,10649.0,0.0,0.0,0.0,10649.0,0.0,,,,,0.305005164804207,0.01431343332050132,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,document_disjoint,2788.0,0.0,0.0,0.0,2788.0,0.0,,,,,0.24270683883309419,0.015457959214628381,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,old_parent_pair_unseen,8057.0,0.0,0.0,0.0,8057.0,0.0,,,,,0.2652351992056597,0.012193694020916107,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,0.0,0.0,362.0,0.0,,,,,0.7044198895027624,0.03526835727846322,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,raw_source_assay_disjoint,494.0,0.0,0.0,0.0,494.0,0.0,,,,,0.7071524966261808,0.027483686713112392,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,spr112_targets,1008.0,0.0,0.0,0.0,1008.0,0.0,,,,,0.46064814814814814,0.01843566119678089,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,targets_both_arms,10634.0,0.0,0.0,0.0,10634.0,0.0,,,,,0.30487116795185254,0.014391499968200418,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,targets_neither,7.0,0.0,0.0,0.0,7.0,0.0,,,,,0.23809523809523805,0.1649572197684645,0.0,0.0,0.0,0.0
all_inactive,native,EXPLICIT_INACTIVE,targets_only_all,8.0,0.0,0.0,0.0,8.0,0.0,,,,,0.5416666666666666,0.07216878364870323,0.0,0.0,0.0,0.0
all_inactive,query,ACTIVITY_EC50,all,11957.0,0.0,8543.0,0.0,3414.0,0.0,0.9702601622647306,0.0009338337894410845,0.9388462499105402,0.001985952997112779,0.170962702597149,0.0088084755409268,1.0,0.0,1.0,0.0
