molregno,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls
674863,CHEMBL1200912,PHENTERMINE HYDROCHLORIDE,NCAIGTHBQTXTLR-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040190; ANDA040377; ANDA040526; ANDA040875; ANDA040876; ANDA040886; ANDA040887; ANDA085128; ANDA086945; ANDA087190; ANDA200272; ANDA202248; ANDA203068; ANDA203436; ANDA203495; ANDA204318; ANDA204663; ANDA204982; ANDA205008; ANDA205017; ANDA205019; ANDA206342; ANDA208175; NDA022580,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040190; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040377; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040526
674865,CHEMBL1200914,TAMSULOSIN HYDROCHLORIDE,ZZIZZTHXZRDOFM-XFULWGLBSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA077630; ANDA078225; ANDA078801; ANDA078938; ANDA090377; ANDA202433; ANDA202509; ANDA204645; ANDA207405; ANDA207769; ANDA211885; ANDA213300; ANDA214730; ANDA219767; NDA022460,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077630; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078225; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078801
674876,CHEMBL1200925,"POTASSIUM PHOSPHATE, MONOBASIC",GNSKLFRGEWLPPA-UHFFFAOYSA-M,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA216274; ANDA216344; ANDA217459; ANDA217726; ANDA217892; ANDA220373; NDA017484; NDA018336; NDA018508; NDA019513; NDA019696; NDA212832; NDA218343,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216274; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216344; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217459
674878,CHEMBL1200927,DEXCHLORPHENIRAMINE MALEATE,DBAKFASWICGISY-DASCVMRKSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA202520,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202520
674880,CHEMBL1200929,ZINC SULFATE,NWONKYPBYAMBJT-UHFFFAOYSA-L,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA214597; ANDA216135; ANDA216145; ANDA216249; ANDA217074; ANDA217624; ANDA218059; ANDA219585; NDA209376; NDA209377,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214597; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216135; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216145
674881,CHEMBL1200930,RABEPRAZOLE SODIUM,KRCQSTCYZUOBHN-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076824; ANDA078964; ANDA090678; ANDA202376; ANDA204179; ANDA204237; ANDA205761; ANDA208644; NDA020973; NDA021456,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076824; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078964; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090678
674883,CHEMBL1200932,IOPAMIDOL,XQZXYNRDCRIARQ-LURJTMIESA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA215382; ANDA217134; NDA018735; NDA020327,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215382; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217134; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018735
674885,CHEMBL1200934,NORGESTIMATE,KIQQMECNKUGGKA-NMYWJIRASA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA075804; ANDA075808; ANDA076784; ANDA090479; ANDA090523; ANDA090524; ANDA090541; ANDA090793; ANDA090794; ANDA091232; ANDA200383; ANDA200384; ANDA200494; ANDA200538; ANDA200541; ANDA203873; ANDA204057; ANDA205441; ANDA205449; ANDA205588; ANDA205630; ANDA205762; NDA021690,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075804; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075808; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076784
674886,CHEMBL1200935,DARIFENACIN HYDROBROMIDE,UQAVIASOPREUIT-VQIWEWKSSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA205209; ANDA206743; ANDA207302; ANDA207664; ANDA207681; ANDA211045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205209; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206743; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207302
674887,CHEMBL1200936,PENICILLIN G PROCAINE,KZDCMKVLEYCGQX-UDPGNSCCSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA060101; NDA050138,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=060101; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050138
674888,CHEMBL1200937,DALFOPRISTIN,SUYRLXYYZQTJHF-VMBLUXKRSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA050747,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050747
674890,CHEMBL1200939,AMMONIUM CHLORIDE,NLXLAEXVIDQMFP-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA088366,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088366
674891,CHEMBL1200940,METOCLOPRAMIDE HYDROCHLORIDE,KJBLQGHJOCAOJP-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA070184; ANDA071402; ANDA072215; ANDA072744; ANDA072801; ANDA073118; ANDA073135; ANDA077878; ANDA078807; ANDA091392; ANDA202191; ANDA204756; NDA017854; NDA209388,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070184; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071402; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=072215
