cohort,scope,model,input,pairs,positive,negative,random_ap_reference,ap,auroc,drug_queries_both_classes,drug_macro_ap,drug_macro_auroc,drug_p5,drug_p5_queries,target_queries_both_classes,target_macro_ap,target_macro_auroc,target_p5,target_p5_queries
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_B_binary,original_catalog,180,45,135,0.25,0.5338032600219205,0.7837860082304527,8,0.6381074921987646,0.7063627344877345,0.44000000000000006,5,16,0.8333333333333333,0.8020833333333334,0.4,1
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,original_catalog,180,45,135,0.25,0.498156214448142,0.8213168724279836,8,0.6944868069605464,0.7252435064935066,0.4,5,16,0.8333333333333333,0.796875,0.4,1
BINDINGDB_479,all_original_members,Palinova_A_binary,original_catalog,479,125,354,0.2609603340292276,0.7952657221958812,0.9319096045197739,18,0.8098446064517494,0.7978140286181222,0.5333333333333333,12,45,0.8653086419753087,0.9325196408529742,0.4451612903225808,31
BINDINGDB_479,all_original_members,Palinova_B_binary,original_catalog,479,125,354,0.2609603340292276,0.6284259956953694,0.8680564971751413,18,0.7978438215237633,0.8130592685417247,0.5,12,45,0.7074074074074075,0.8132273128106462,0.42580645161290326,31
BINDINGDB_479,all_original_members,Palinova_A_joint_reference,original_catalog,479,125,354,0.2609603340292276,0.7027505891597615,0.9243050847457627,18,0.8364385808713539,0.8223304473304474,0.5666666666666668,12,45,0.8287037037037038,0.9045590828924162,0.4451612903225808,31
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_binary,original_catalog,175,41,134,0.2342857142857143,0.5673926648960511,0.8005096468875137,8,0.5949182216592931,0.6372017797017797,0.4,5,16,0.8385416666666666,0.7760416666666667,0.4,1
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_B_binary,original_catalog,175,41,134,0.2342857142857143,0.529293489385506,0.7837641062977794,8,0.6381074921987646,0.7063627344877345,0.44000000000000006,5,16,0.8333333333333333,0.8020833333333334,0.4,1
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,original_catalog,175,41,134,0.2342857142857143,0.48473057375721795,0.8235347651983982,8,0.6944868069605464,0.7252435064935066,0.4,5,16,0.8333333333333333,0.796875,0.4,1
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_binary,original_catalog,382,94,288,0.24607329842931938,0.7491455845960653,0.9147273936170213,14,0.7912287797236777,0.8114751796518715,0.5555555555555556,9,36,0.8468749999999999,0.9159336419753087,0.4,23
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_B_binary,original_catalog,382,94,288,0.24607329842931938,0.5710899419436806,0.843251329787234,14,0.77736746108691,0.8355404881250745,0.5111111111111111,9,36,0.6790123456790123,0.7546020723104057,0.40869565217391307,23
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_joint_reference,original_catalog,382,94,288,0.24607329842931938,0.6512740919162175,0.9074689716312057,14,0.8254210325488837,0.8429962894248607,0.6,9,36,0.8197916666666667,0.8896219135802469,0.4,23
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_binary,original_catalog,168,38,130,0.2261904761904762,0.5708789032120026,0.808502024291498,7,0.6084779676106206,0.7282306053734625,0.4,5,14,0.8154761904761905,0.755952380952381,,0
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_B_binary,original_catalog,168,38,130,0.2261904761904762,0.5335025997021788,0.791497975708502,7,0.6578371339414453,0.8072716965574108,0.44000000000000006,5,14,0.8035714285714286,0.7738095238095238,,0
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,original_catalog,168,38,130,0.2261904761904762,0.4847097221257206,0.8318825910931174,7,0.7222706365263389,0.8288497217068647,0.4,5,14,0.8273809523809523,0.7916666666666667,,0
