drug_id,name,smiles,native_feature_index,training_feature_index,split_group,feature_source
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,128985,13451.0,SG:9b2aaf89f954ea1e2a673bb16045c8c58691d3f6d6b06c738e5659b9784d6d70,prepared_A_B_cache
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,176555,14859.0,SG:366ecf429785aeacea771d266f85e4c82bf82dd051c513bcd349ec6e71e2f81d,prepared_A_B_cache
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,88387,18793.0,SG:13cad05ca8f49c509e5b7be8c67668484344ebf2b2d12b03b295f14d4b1c32d1,preserved_catalog_cache
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1,177083,,,preserved_catalog_cache
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,121069,22965.0,SG:cd93361c2c434a3bb2f54d8cc3b9e125617b572b7f093f966ab106d8d2821652,prepared_A_B_cache
AQHHHDLHHXJYJD-UHFFFAOYSA-N,propranolol,CC(C)NCC(O)COc1cccc2ccccc12,33762,25734.0,SG:a896d495b04a450b732a5bf6a5896266647c948af5d97014906f7afe145b9022,prepared_A_B_cache
AQNDDEOPVVGCPG-UHFFFAOYSA-N,esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,110689,,,preserved_catalog_cache
AQOKCDNYWBIDND-FTOWTWDKSA-N,bimatoprost,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,66474,,,preserved_catalog_cache
ASMXXROZKSBQIH-VITNCHFBSA-N,aclidinium,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,286609,29211.0,SG:c7ee2b27ad27c20dde2e1769ffb346cc2a2b0927bab8721948b9f41fee4886b1,prepared_A_B_cache
ASOADIZOVZTJSR-UHFFFAOYSA-N,opicapone,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,179763,29276.0,SG:d8af5baac48b79e94f8873ac1407f2bc99f1c85d779666cc14bebe04059860cd,preserved_catalog_cache
ASUTZQLVASHGKV-JDFRZJQESA-N,galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,150306,29671.0,SG:4ba7571b48ff77ef5c13643561b11debb9eae7c5752670a69fbe0963eba99495,prepared_A_B_cache
ATALOFNDEOCMKK-OITMNORJSA-N,aprepitant;fosaprepitant,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,166729,30002.0,SG:74f0e56e72d0e2334f3f5120192b1a216c417c30455aa81220004bba095f743f,prepared_A_B_cache
AURFZBICLPNKBZ-SYBPFIFISA-N,brexanolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,19676,32538.0,SG:1fd900140004786074c44026654375b48b9b362b59f313af980054ef9f25e78d,prepared_A_B_cache
AVAACINZEOAHHE-VFZPANTDSA-N,doripenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,166588,,,preserved_catalog_cache
AXOIZCJOOAYSMI-UHFFFAOYSA-N,succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,177026,37103.0,SG:e69327ef268576159d614b0df9987dd14647c0420ae27ba838ee40b9014edeb4,preserved_catalog_cache
AXQACEQYCPKDMV-RZAWKFBISA-N,naldemedine,CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1)c1nc(-c2ccccc2)no1,26529,37199.0,SG:9f9a9101a5982677372b6bfe1950c1b8ff83e18a0f75848daca125fca9002578,prepared_A_B_cache
AYXYPKUFHZROOJ-ZETCQYMHSA-N,pregabalin,CC(C)C[C@H](CN)CC(=O)O,31637,39285.0,SG:2a10d3ac11e03ea9c334ec1ce72dcecaec1d58da91756674a9964406f3427fb2,prepared_A_B_cache
AZSRSNUQCUDCGG-UHFFFAOYSA-N,mobocertinib,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,8955,40548.0,SG:4aa52b59441139be8cf5c69c47ddcdfd634288f8dbfb8d35d75fc3b025e13f32,prepared_A_B_cache
BALLNEJQLSTPIO-UHFFFAOYSA-N,fruquintinib,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,103868,41757.0,SG:db3bff0434236a05c720a0ec26bd41493789ed1215f99d1495ee9290d3c10849,prepared_A_B_cache
BARDROPHSZEBKC-OITMNORJSA-N,fosaprepitant,C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,166730,,,preserved_catalog_cache
BBAWEDCPNXPBQM-GDEBMMAJSA-N,telaprevir,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,61038,42654.0,SG:34574dce0b73c4b3755b924cc267ae1979870b62f459670652fa21e32e580df3,prepared_A_B_cache
BCEHBSKCWLPMDN-MGPLVRAMSA-N,voriconazole,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,167414,44429.0,SG:20be935c99d2243fe31c4749d70ba57d29111ae3d254d5b86dba953ebe5172f4,prepared_A_B_cache
BCFGMOOMADDAQU-UHFFFAOYSA-N,lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,160902,44477.0,SG:7b4235358c66ec6a303bd33ec982fc7dbafd27fb146baf95bd20de7418e9f462,prepared_A_B_cache
BFDBKMOZYNOTPK-UHFFFAOYSA-N,vonoprazan,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,107247,,,preserved_catalog_cache
BFPYWIDHMRZLRN-SLHNCBLASA-N,ethinyl estradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1604,49764.0,SG:366ecf429785aeacea771d266f85e4c82bf82dd051c513bcd349ec6e71e2f81d,prepared_A_B_cache
BFSMGDJOXZAERB-UHFFFAOYSA-N,dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,25534,49908.0,SG:b9e535791786327c61f66babc2915c3b738cbe32b55289bcbcb182ae1b442c1b,prepared_A_B_cache
BGDKAVGWHJFAGW-UHFFFAOYSA-N,tropicamide,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,64824,50573.0,SG:8b72d78f85c096b764c0834ddd405f6d2218ba91a5b593632f9798a6ba87a15e,preserved_catalog_cache
BISPBXFUKNXOQY-RITPCOANSA-N,durlobactam,CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,47333,,,preserved_catalog_cache
BLIJXOOIHRSQRB-PXYINDEMSA-N,darolutamide,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,41330,58840.0,SG:f6b125bcf60d5e39787a513fb039cee2f2ca4676116f46a3c851b9ae39dbbf13,prepared_A_B_cache
BLJRIMJGRPQVNF-JTQLQIEISA-N,timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,22722,58920.0,SG:24ef2b351b666e7d166090ad4dd59a54067de499b85fdd1ba87abb9c973f5525,prepared_A_B_cache
BMEARIQHWSVDBS-SNVBAGLBSA-N,cipepofol,CC(C)c1cccc([C@H](C)C2CC2)c1O,38137,,,preserved_catalog_cache
BMGQWWVMWDBQGC-IIFHNQTCSA-N,midostaurin,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,121491,60348.0,SG:67cab29be8202a41710860f18be1eb61db13ea934559723c9202c152b1a918c3,prepared_A_B_cache
BMKDZUISNHGIBY-ZETCQYMHSA-N,dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,165224,60537.0,SG:1c4e2a6b010cab56901d41c587b85caa502f90376ea9e34e9c265c168a4eb5f1,prepared_A_B_cache
BMPDWHIDQYTSHX-AWEZNQCLSA-N,eslicarbazepine,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,241671,,,preserved_catalog_cache
BMPDWHIDQYTSHX-UHFFFAOYSA-N,oxcarbazepine,NC(=O)N1c2ccccc2CC(O)c2ccccc21,241669,60819.0,SG:b45882b9927c27a6e9f282a8fb35cecabee335bfd40a435264e937f7dcfe9942,prepared_A_B_cache
BNRNXUUZRGQAQC-UHFFFAOYSA-N,sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,62138,62534.0,SG:f6348edf4a1c58b05af5faa401456496bb39a555effb6432facd4e87979dd803,prepared_A_B_cache
BPKAHTKRCLCHEA-UBFJEZKGSA-N,paricalcitol,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,170731,,,preserved_catalog_cache
BPQMGSKTAYIVFO-UHFFFAOYSA-N,vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,163010,65576.0,SG:c0e62497bfb9120dbfb485f3639cd1f91c37b37764a03f3b1f8bb3981d1ab473,prepared_A_B_cache
BPRHUIZQVSMCRT-VEUZHWNKSA-N,rosuvastatin,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,38441,65626.0,SG:e4abaea873792828e444e148ccf7a93be41bd649fa29878a51a8a3a0f2d7eae9,preserved_catalog_cache
BPZSYCZIITTYBL-YJYMSZOUSA-N,arformoterol,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,144521,66134.0,SG:b0e2019266823ffb66d0265d777f86d38d12fc2d017b2fb17e634e8ba7bbcd20,prepared_A_B_cache
BQEJAAIPKDQEPV-MXHGPKCJSA-N,difluprednate,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,52784,,,preserved_catalog_cache
BQJCRHHNABKAKU-KBQPJGBKSA-N,morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,101451,66706.0,SG:36ec7cb38b01a5c87284ac0a3b772d49ab628e36e54669c6d6d2e247323def2d,prepared_A_B_cache
BQSJTQLCZDPROO-UHFFFAOYSA-N,febuxostat,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,208834,67274.0,SG:3b44f2628fa93b2838139e26cf8295a4360dc8652662fac3ad359def5d61c490,preserved_catalog_cache
BRUQQQPBMZOVGD-XFKAJCMBSA-N,oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,150301,68997.0,SG:379576b05a4411c44414ccfba8a8c8058db917f24e72aa5621e4e12854e68a00,prepared_A_B_cache
BSMCAPRUBJMWDF-KRWDZBQOSA-N,cobimetinib,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,287748,70028.0,SG:63926383938090f987460ae9498a4dbdb2a73fda38bd7d6f6fcf682527851102,prepared_A_B_cache
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,aspirin,CC(=O)Oc1ccccc1C(=O)O,19617,70777.0,SG:13cad05ca8f49c509e5b7be8c67668484344ebf2b2d12b03b295f14d4b1c32d1,preserved_catalog_cache
BTBHLEZXCOBLCY-QGZVFWFLSA-N,finerenone,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,75572,70937.0,SG:dd70ad17da74c7e4713348b3fb287b16bbc0cdb8bb9898bde51dcd4bbabe525e,prepared_A_B_cache
BTCRKOKVYTVOLU-SJSRKZJXSA-N,bexagliflozin,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,303979,71014.0,SG:344fbec384b709d89111e3d6d5ec91b509a3f16ea0f64bc6a7eee2c280c4776d,prepared_A_B_cache
BUGYDGFZZOZRHP-UHFFFAOYSA-N,memantine,CC12CC3CC(C)(C1)CC(N)(C3)C2,46497,72892.0,SG:397fac64c7aa83aba1b9b33edc8cf4901ef6236d9a7c23d0640ec0d07328c7dc,prepared_A_B_cache
BYBLEWFAAKGYCD-UHFFFAOYSA-N,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,218130,78997.0,SG:718cc7bd988799d18360429348f0e637ef3174faba9946d2da6ad52ea8bd537d,preserved_catalog_cache
BZZKEPGENYLQSC-FIBGUPNXSA-N,deucravacitinib,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,306546,82141.0,SG:cd8c526164c96b1c518a09302c0938a8539f389274d9dfbe1ef90ea708e43357,prepared_A_B_cache
BZZKEPGENYLQSC-UHFFFAOYSA-N,deucravacitinib,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,105870,82142.0,SG:cd8c526164c96b1c518a09302c0938a8539f389274d9dfbe1ef90ea708e43357,prepared_A_B_cache
CAVRKWRKTNINFF-UHFFFAOYSA-N,tradipitant,O=C(c1ccccc1Cl)c1cccnc1-c1nnn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1ccncc1,288812,,,preserved_catalog_cache
CBRJPFGIXUFMTM-WDEREUQCSA-N,ritlecitinib,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,8016,84830.0,SG:edcc45e1f8fd36ba78d8d8879c92b9d676d3d125f85199fd1a554089fdeea9f2,prepared_A_B_cache
CEFJVGZHQAGLHS-UHFFFAOYSA-N,ripretinib,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,85299,88922.0,SG:0cc4e5f753f98b5395bf5d513247e55f22d7b6b23778b5439ba4854495365696,preserved_catalog_cache
CEUORZQYGODEFX-UHFFFAOYSA-N,aripiprazole;aripiprazole lauroxil,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,290964,89889.0,SG:c7b0e946226865dc9a21da46720ebf898b17a444914b3527bcbf11ed3c13029a,prepared_A_B_cache
CGIGDMFJXJATDK-UHFFFAOYSA-N,indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,150070,92274.0,SG:eb20f9381a291c0864979edda457a8648b2371084ac128a8908008e1b4337cc5,prepared_A_B_cache
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,darunavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,30517,96588.0,SG:83aaa63ed5d0cae66154fd70ae60eb270bc3e2771f2155ef7328ddaf14cdc0c1,prepared_A_B_cache
CJOFXWAVKWHTFT-XSFVSMFZSA-N,fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,116655,97400.0,SG:13cad05ca8f49c509e5b7be8c67668484344ebf2b2d12b03b295f14d4b1c32d1,preserved_catalog_cache
CMHHMUWAYWTMGS-UHFFFAOYSA-N,benoxinate,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,57476,101753.0,SG:13cad05ca8f49c509e5b7be8c67668484344ebf2b2d12b03b295f14d4b1c32d1,preserved_catalog_cache
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,encorafenib,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,111403,101860.0,SG:fe62d844f1261d7b431abcac87d07bee4e1beaa0998667d197b47f1845718ba9,prepared_A_B_cache
CMWTZPSULFXXJA-VIFPVBQESA-N,naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,150580,102749.0,SG:a896d495b04a450b732a5bf6a5896266647c948af5d97014906f7afe145b9022,prepared_A_B_cache
COUYJEVMBVSIHV-SFHVURJKSA-N,olodaterol,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,143183,105829.0,SG:e869591bfb8fe21c21e5dfae088d1710e4f9451b0131b93fd6e2dada9664bb2d,prepared_A_B_cache
CPZBLNMUGSZIPR-NVXWUHKLSA-N,palonosetron,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,295129,107650.0,SG:bedb1941cf2cdb090b6fdc804659a41f1eddc0a87f473f1cc341daa2a50bf653,prepared_A_B_cache
CSKDFZIMJXRJGH-VWLPUNTISA-N,tecovirimat,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,272865,,,preserved_catalog_cache
CSOBIBXVIYAXFM-BYNJWEBRSA-N,ensifentrine,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(CCNC(N)=O)c(=O)n1CC2,134700,,,preserved_catalog_cache
CTRLABGOLIVAIY-UHFFFAOYSA-N,oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,241668,113503.0,SG:d05293816ff5de77bd09f067c03332e5b5d059c67f636feedbd28884d864078e,prepared_A_B_cache
CUHVIMMYOGQXCV-NSHDSACASA-N,dexmedetomidine,Cc1cccc([C@H](C)c2cnc[nH]2)c1C,203929,114507.0,SG:b2ea3c6e5030170d37706b58334092bc0654502cdd7c40b2ad8ebdc0aaf61ab1,prepared_A_B_cache
CUIHSIWYWATEQL-UHFFFAOYSA-N,pazopanib,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,198610,114547.0,SG:6e079a61f0a7b25e786d712639c845213e555c1c409d07221fd8ff873b27e22b,prepared_A_B_cache
CVWXJKQAOSCOAB-UHFFFAOYSA-N,quizartinib,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,24501,116962.0,SG:acbfc9229beaba293d4594c452479133ab68cb4b4a2f9924b664d2696eab871e,prepared_A_B_cache
CXOFVDLJLONNDW-UHFFFAOYSA-N,fosphenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,292516,119586.0,SG:67d8cc040782f31694ae5b12adf3eb7df7f318a82bc96193b9872d508e47df1c,prepared_A_B_cache
CXOXHMZGEKVPMT-UHFFFAOYSA-N,clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,95920,119615.0,SG:4a4d2e8ed73a9c42af658a65e25fd7bc10654d2c81253e14f868e6dcbbf84f0f,prepared_A_B_cache
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,remimazolam,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,110674,,,preserved_catalog_cache
CYOHGALHFOKKQC-UHFFFAOYSA-N,selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,224947,121141.0,SG:8180ddc8a86eae764d07e45c70d2abbddcd367c76c25d91d591ef4c11596f871,prepared_A_B_cache
CYQFCXCEBYINGO-IAGOWNOFSA-N,dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,56090,121256.0,SG:83684e5fd6e449649cc0ef8b1329b4aa6c1bda102a2bebce56c4b5b223c0826a,prepared_A_B_cache
CZFFBEXEKNGXKS-UHFFFAOYSA-N,raltegravir,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,215817,122171.0,SG:91f17463a73746117769c14a89204d7fde2b00030b69aedffc86cfc8418cb82a,prepared_A_B_cache
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1,58206,122285.0,SG:4784fbc3c48a968ed8a1a9d079c49c56f943492a2069aa3ae2e05edebf816c75,prepared_A_B_cache
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,58926,125018.0,SG:13cad05ca8f49c509e5b7be8c67668484344ebf2b2d12b03b295f14d4b1c32d1,preserved_catalog_cache
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,22632,125290.0,SG:b8d257432e36b78a7a3e019bc3c77399f440679f178931d5d55ae29c6753a77a,prepared_A_B_cache
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,67193,125383.0,SG:13cad05ca8f49c509e5b7be8c67668484344ebf2b2d12b03b295f14d4b1c32d1,preserved_catalog_cache
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,29506,,,preserved_catalog_cache
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,283764,127479.0,SG:66594b79d38dcf0e9b76f97ea0b663d2201a9726e63e7d60e676d1d53a8a4bca,prepared_A_B_cache
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,167398,128540.0,SG:9bb1ccffa20769cc758188aaa28a5b9f5bed6a1250e5a20f0f8331552b789e07,prepared_A_B_cache
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,213968,128886.0,SG:a70f91a7b71957a2aa9e419c6ef9ebb0094dbc5219e87b0f8638f16b848be93a,prepared_A_B_cache
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,169906,129070.0,SG:5cb3651ec44613552f6053c5a5495cc49b699a4b45fca13ebc4037e07cdf903b,prepared_A_B_cache
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,262075,131037.0,SG:c1f58e6f7b97127f40b7fbc3f2402e7bf9e459e9fcf7fef793aaf1aac1fde20b,prepared_A_B_cache
