cohort,scope,model,rank_band,measured_pairs,positive,negative,measured_positive_fraction
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_joint_reference,21-384,331,57,274,0.17220543806646527
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,original_SPR_ranker,1-10,21,17,4,0.8095238095238095
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,original_SPR_ranker,11-20,9,1,8,0.1111111111111111
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,original_SPR_ranker,21-384,138,20,118,0.14492753623188406
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_binary,1-10,13,10,3,0.7692307692307693
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_binary,11-20,11,5,6,0.45454545454545453
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_binary,21-384,144,23,121,0.1597222222222222
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_B_binary,1-10,10,7,3,0.7
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_B_binary,11-20,12,8,4,0.6666666666666666
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_B_binary,21-384,146,23,123,0.15753424657534246
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,1-10,15,8,7,0.5333333333333333
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,11-20,7,2,5,0.2857142857142857
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,21-384,146,28,118,0.1917808219178082
