cohort,scope,model,pairs,positive,negative,random_ap_reference,ap,auroc,drug_queries_both_classes,drug_macro_ap,drug_macro_auroc,drug_p5,drug_p5_queries,target_queries_both_classes,target_macro_ap,target_macro_auroc,target_p5,target_p5_queries
MERGED_REFRESH_488,both_AB_train_validation_group_unseen,Palinova_A_joint_reference,161,37,124,0.22981366459627328,0.4796951917035435,0.8246512641673932,7,0.6508420650977674,0.6859925788497218,0.44999999999999996,4,15,0.8722222222222221,0.8388888888888889,,0
BINDINGDB_479,all_original_members,original_SPR_ranker,479,125,354,0.2609603340292276,0.5846354235729991,0.7340790960451977,18,0.814323443502884,0.835185846209238,0.48333333333333334,12,45,0.652322276488943,0.7001601330767997,0.37419354838709684,31
BINDINGDB_479,all_original_members,Palinova_A_binary,479,125,354,0.2609603340292276,0.8019549524935635,0.9381694915254237,18,0.8130192096263525,0.798983619261397,0.5499999999999999,12,45,0.8664197530864197,0.9340011223344558,0.4451612903225808,31
BINDINGDB_479,all_original_members,Palinova_B_binary,479,125,354,0.2609603340292276,0.6285923404947963,0.8690508474576271,18,0.8019178955978373,0.8136440638633622,0.48333333333333334,12,45,0.7147222222222223,0.8216235770402438,0.4387096774193549,31
BINDINGDB_479,all_original_members,Palinova_A_joint_reference,479,125,354,0.2609603340292276,0.7092654942509697,0.9285762711864406,18,0.8364385808713539,0.8223304473304474,0.5666666666666668,12,45,0.8285016835016835,0.9035489818823151,0.4451612903225808,31
BINDINGDB_479,both_AB_train_validation_pair_unseen,original_SPR_ranker,175,41,134,0.2342857142857143,0.623814712480143,0.7428103385511468,8,0.6152206150970974,0.7132263107263107,0.31999999999999995,5,16,0.8229166666666666,0.6979166666666667,0.4,1
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_binary,175,41,134,0.2342857142857143,0.5710334526114443,0.8010556971241354,8,0.5949182216592931,0.6372017797017797,0.4,5,16,0.8385416666666666,0.7760416666666667,0.4,1
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_B_binary,175,41,134,0.2342857142857143,0.5288381429276741,0.7832180560611577,8,0.6381074921987646,0.7063627344877345,0.44000000000000006,5,16,0.8333333333333333,0.8020833333333334,0.4,1
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,175,41,134,0.2342857142857143,0.489651697164211,0.8262650163815071,8,0.6944868069605464,0.7252435064935066,0.4,5,16,0.8333333333333333,0.796875,0.4,1
BINDINGDB_479,both_AB_train_validation_group_unseen,original_SPR_ranker,160,36,124,0.225,0.5956608359634432,0.736111111111111,7,0.6673949886823969,0.725830069401498,0.35000000000000003,4,15,0.7888888888888889,0.6444444444444445,,0
BINDINGDB_479,both_AB_train_validation_group_unseen,Palinova_A_binary,160,36,124,0.225,0.5438547079604421,0.8002912186379927,7,0.6441922533249063,0.6389448910877482,0.45000000000000007,4,15,0.8722222222222221,0.8388888888888889,,0
BINDINGDB_479,both_AB_train_validation_group_unseen,Palinova_B_binary,160,36,124,0.225,0.5169730492753024,0.7758736559139785,7,0.693551419655731,0.7179859822716965,0.5,4,15,0.861111111111111,0.8555555555555556,,0
BINDINGDB_479,both_AB_train_validation_group_unseen,Palinova_A_joint_reference,160,36,124,0.225,0.4694965417455527,0.8217965949820789,7,0.6508420650977674,0.6859925788497218,0.44999999999999996,4,15,0.8722222222222221,0.8388888888888889,,0
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,original_SPR_ranker,382,94,288,0.24607329842931938,0.619825908028944,0.7811761229314421,14,0.7747447838419493,0.8190484689356871,0.48888888888888893,9,36,0.7532738095238094,0.7577987213403881,0.37391304347826093,23
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_binary,382,94,288,0.24607329842931938,0.7567165294986131,0.9230016252955082,14,0.7953104123767388,0.8129789390503677,0.5777777777777777,9,36,0.8491898148148147,0.9194058641975309,0.4,23
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_B_binary,382,94,288,0.24607329842931938,0.5700314164494638,0.8438054078014185,14,0.7826055563250052,0.8362923678243226,0.4888888888888888,9,36,0.6841049382716049,0.765459656084656,0.40869565217391307,23
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_joint_reference,382,94,288,0.24607329842931938,0.6575144007556105,0.9125664893617021,14,0.8254210325488837,0.8429962894248607,0.6,9,36,0.8194058641975308,0.8878858024691358,0.4,23
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,original_SPR_ranker,168,38,130,0.2261904761904762,0.6287211016426716,0.7676113360323886,7,0.5602521315395398,0.6722586408300694,0.31999999999999995,5,14,0.8452380952380951,0.761904761904762,,0
