standard_inchi_key,chembl_id,first_approval,max_phase
BGDKAVGWHJFAGW-UHFFFAOYSA-N,CHEMBL1200604,1960.0,4
BISPBXFUKNXOQY-RITPCOANSA-N,CHEMBL4298137,2023.0,4
BLIJXOOIHRSQRB-PXYINDEMSA-N,CHEMBL4297185,2019.0,4
BLJRIMJGRPQVNF-JTQLQIEISA-N,CHEMBL499,1978.0,4
BMEARIQHWSVDBS-SNVBAGLBSA-N,CHEMBL4094894,,3
BMGQWWVMWDBQGC-IIFHNQTCSA-N,CHEMBL608533,2017.0,4
BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1738,1995.0,4
BMPDWHIDQYTSHX-AWEZNQCLSA-N,CHEMBL315985,,4
BMPDWHIDQYTSHX-UHFFFAOYSA-N,CHEMBL1067,,3
BNRNXUUZRGQAQC-UHFFFAOYSA-N,CHEMBL192,1998.0,4
BPKAHTKRCLCHEA-UBFJEZKGSA-N,CHEMBL1200622,1998.0,4
BPQMGSKTAYIVFO-UHFFFAOYSA-N,CHEMBL473417,2012.0,4
BPRHUIZQVSMCRT-VEUZHWNKSA-N,CHEMBL1496,2003.0,4
BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL1363,2006.0,4
BQEJAAIPKDQEPV-MXHGPKCJSA-N,CHEMBL5315129,,-1
BQJCRHHNABKAKU-KBQPJGBKSA-N,CHEMBL70,1984.0,4
BQSJTQLCZDPROO-UHFFFAOYSA-N,CHEMBL1164729,2008.0,4
BRUQQQPBMZOVGD-XFKAJCMBSA-N,CHEMBL656,1950.0,4
BSMCAPRUBJMWDF-KRWDZBQOSA-N,CHEMBL2146883,2015.0,4
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,CHEMBL25,1950.0,4
BTBHLEZXCOBLCY-QGZVFWFLSA-N,CHEMBL2181927,2021.0,4
BTCRKOKVYTVOLU-SJSRKZJXSA-N,CHEMBL1808388,2023.0,4
BUGYDGFZZOZRHP-UHFFFAOYSA-N,CHEMBL807,2002.0,4
BYBLEWFAAKGYCD-UHFFFAOYSA-N,CHEMBL91,1974.0,4
BZZKEPGENYLQSC-FIBGUPNXSA-N,CHEMBL4435170,2022.0,4
BZZKEPGENYLQSC-UHFFFAOYSA-N,CHEMBL4596392,2022.0,4
CAVRKWRKTNINFF-UHFFFAOYSA-N,CHEMBL3544984,,3
CBRJPFGIXUFMTM-WDEREUQCSA-N,CHEMBL4085457,2023.0,4
CEFJVGZHQAGLHS-UHFFFAOYSA-N,CHEMBL4216467,2020.0,4
CEUORZQYGODEFX-UHFFFAOYSA-N,CHEMBL1112,2002.0,4
CGIGDMFJXJATDK-UHFFFAOYSA-N,CHEMBL6,1965.0,4
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1323,2006.0,4
CJOFXWAVKWHTFT-XSFVSMFZSA-N,CHEMBL814,1994.0,4
CMHHMUWAYWTMGS-UHFFFAOYSA-N,CHEMBL1200,1982.0,4
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,CHEMBL3301612,2018.0,4
CMWTZPSULFXXJA-VIFPVBQESA-N,CHEMBL154,1976.0,4
COUYJEVMBVSIHV-SFHVURJKSA-N,CHEMBL605846,2014.0,4
CPZBLNMUGSZIPR-NVXWUHKLSA-N,CHEMBL1189679,2003.0,4
CSKDFZIMJXRJGH-VWLPUNTISA-N,CHEMBL1257073,2018.0,4
CSOBIBXVIYAXFM-BYNJWEBRSA-N,CHEMBL4594287,2024.0,4
CTRLABGOLIVAIY-UHFFFAOYSA-N,CHEMBL1068,2000.0,4
CUHVIMMYOGQXCV-NSHDSACASA-N,CHEMBL778,1999.0,4
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL477772,2009.0,4
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL576982,2023.0,4
CXOFVDLJLONNDW-UHFFFAOYSA-N,CHEMBL16,1953.0,4
CXOXHMZGEKVPMT-UHFFFAOYSA-N,CHEMBL70418,2005.0,4
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,CHEMBL4297526,2020.0,4
CYOHGALHFOKKQC-UHFFFAOYSA-N,CHEMBL1614701,2020.0,4
CYQFCXCEBYINGO-IAGOWNOFSA-N,CHEMBL465,1985.0,4
CZFFBEXEKNGXKS-UHFFFAOYSA-N,CHEMBL254316,2007.0,4
CZGVOBIGEBDYTP-VSGBNLITSA-N,CHEMBL2387408,,3
DBABZHXKTCFAPX-UHFFFAOYSA-N,CHEMBL897,1951.0,4
DBEPLOCGEIEOCV-WSBQPABSSA-N,CHEMBL710,1992.0,4
DBGIVFWFUFKIQN-UHFFFAOYSA-N,CHEMBL87493,1963.0,4
DCCSDBARQIPTGU-HSZRJFAPSA-N,CHEMBL1201764,2007.0,4
DCOPUUMXTXDBNB-UHFFFAOYSA-N,CHEMBL139,1988.0,4
DDFOUSQFMYRUQK-RCDICMHDSA-N,CHEMBL409153,,3
DDLIGBOFAVUZHB-UHFFFAOYSA-N,CHEMBL655,1985.0,4
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,CHEMBL2364638,2019.0,4
DEVSOMFAQLZNKR-RJRFIUFISA-N,CHEMBL3545185,2019.0,4
DHHVAGZRUROJKS-UHFFFAOYSA-N,CHEMBL1574,1959.0,4
DHMTURDWPRKSOA-RUZDIDTESA-N,CHEMBL298734,2020.0,4
DHSUYTOATWAVLW-WFVMDLQDSA-N,CHEMBL766,1985.0,4
DIWRORZWFLOCLC-UHFFFAOYSA-N,CHEMBL580,1977.0,4
DJXRIQMCROIRCZ-XOEOCAAJSA-N,CHEMBL2107826,,4
DKNWSYNQZKUICI-UHFFFAOYSA-N,CHEMBL660,1968.0,4
DKULOVKANLVDEA-UHFFFAOYSA-N,CHEMBL2165326,2024.0,4
DKYWVDODHFEZIM-UHFFFAOYSA-N,CHEMBL571,1986.0,4
DMJNNHOOLUXYBV-PQTSNVLCSA-N,CHEMBL127,1996.0,4
DMKSVUSAATWOCU-HROMYWEYSA-N,CHEMBL1200865,1998.0,4
DMNOVGJWPASQDL-OAQYLSRUSA-N,CHEMBL2443262,2020.0,4
DOBNVUFHFMVMDB-BEFAXECRSA-N,CHEMBL417007,,-1
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,CHEMBL822,1992.0,4
DOUYETYNHWVLEO-UHFFFAOYSA-N,CHEMBL1282,1997.0,4
DQCKKXVULJGBQN-XFWGSAIBSA-N,CHEMBL19019,1984.0,4
DRHKJLXJIQTDTD-OAHLLOKOSA-N,CHEMBL836,1997.0,4
DTGLZDAWLRGWQN-UHFFFAOYSA-N,CHEMBL1201772,2009.0,4
DUGOZIWVEXMGBE-CHWSQXEVSA-N,CHEMBL827,2001.0,4
DUXZAXCGJSBGDW-HXUWFJFHSA-N,CHEMBL3348932,,-1
DUYJMQONPNNFPI-UHFFFAOYSA-N,CHEMBL3353410,2015.0,4
DWRIJNIPBUFCQS-DQEYMECFSA-N,CHEMBL4802157,,3
DWYRIWUZIJHQKQ-SANMLTNESA-N,CHEMBL4204794,2020.0,4
DWZAEMINVBZMHQ-UHFFFAOYSA-N,CHEMBL592445,,3
DYDCPNMLZGFQTM-UHFFFAOYSA-N,CHEMBL2105637,2017.0,4
DYKFCLLONBREIL-KVUCHLLUSA-N,CHEMBL1434,1971.0,4
DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL3989908,2017.0,4
FABPRXSRWADJSP-MEDUHNTESA-N,CHEMBL32,1999.0,4
FABUFPQFXZVHFB-PVYNADRNSA-N,CHEMBL1201752,2007.0,4
FAEKWTJYAYMJKF-QHCPKHFHSA-N,CHEMBL1272,1997.0,4
FASDKYOPVNHBLU-ZETCQYMHSA-N,CHEMBL301265,1997.0,4
FBHSPRKOSMHSIF-GRMWVWQJSA-N,CHEMBL1201891,2017.0,4
FBOUYBDGKBSUES-VXKWHMMOSA-N,CHEMBL1734,2004.0,4
FDBYIYFVSAHJLY-UHFFFAOYSA-N,CHEMBL3261331,2024.0,4
FDLYAMZZIXQODN-UHFFFAOYSA-N,CHEMBL521686,2014.0,4
FDTZUTSGGSRHQF-UHFFFAOYSA-N,CHEMBL1545,,-1
FELGMEQIXOGIFQ-UHFFFAOYSA-N,CHEMBL46,1991.0,4
FFGPTBGBLSHEPO-UHFFFAOYSA-N,CHEMBL108,1968.0,4
FGQFOYHRJSUHMR-UHFFFAOYSA-N,CHEMBL2105720,2015.0,4
FIDLLEYNNRGVFR-CTNGQTDRSA-N,CHEMBL4297215,,2
FIKPXCOQUIZNHB-WDEREUQCSA-N,CHEMBL4298138,2023.0,4
FIVSJYGQAIEMOC-ZGNKEGEESA-N,CHEMBL3707331,2015.0,4
FJHBVJOVLFPMQE-QFIPXVFZSA-N,CHEMBL837,,2
FJZZPCZKBUKGGU-AUSIDOKSSA-N,CHEMBL2110588,2014.0,4
FKENQMMABCRJMK-RITPCOANSA-N,CHEMBL403,1986.0,4
FLSUCZWOEMTFAQ-PRBGKLEPSA-N,CHEMBL1908305,,3
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1946170,2012.0,4
FNKQXYHWGSIFBK-RPDRRWSUSA-N,CHEMBL1201774,2007.0,4
FPOHNWQLNRZRFC-ZHACJKMWSA-N,CHEMBL483254,2015.0,4
FRVSRBKUQZKTOW-YOCNBXQISA-N,CHEMBL4650827,2024.0,4
FTALBRSUTCGOEG-UHFFFAOYSA-N,CHEMBL744,1995.0,4
FVTWTVQXNAJTQP-UHFFFAOYSA-N,CHEMBL1187833,2013.0,4
FWLMVFUGMHIOAA-UHFFFAOYSA-N,CHEMBL3137331,,3
FWYSMLBETOMXAG-QHCPKHFHSA-N,CHEMBL1241951,2017.0,4
FWZAWAUZXYCBKZ-NSHDSACASA-N,CHEMBL4650485,2023.0,4
FYDWDCIFZSGNBU-UHFFFAOYSA-N,CHEMBL3833319,2018.0,4
FYMHQCNFKNMJAV-HOTGVXAUSA-N,CHEMBL1908370,2014.0,4
GBLBJPZSROAGMF-RWYJCYHVSA-N,CHEMBL4582651,2020.0,4
GBXSMTUPTTWBMN-XIRDDKMYSA-N,CHEMBL578,1985.0,4
GCKFUYQCUCGESZ-BPIQYHPVSA-N,CHEMBL1531,2001.0,4
GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL181,1973.0,4
GEJDGVNQKABXKG-CFKGEZKQSA-N,CHEMBL2364639,2017.0,4
GFHAXPJGXSQLPT-VIFPVBQESA-N,CHEMBL3989949,2020.0,4
GFNANZIMVAIWHM-OBYCQNJPSA-N,CHEMBL1451,1957.0,4
GGCSSNBKKAUURC-UHFFFAOYSA-N,CHEMBL658,1984.0,4
GGXICVAJURFBLW-CEYXHVGTSA-N,CHEMBL1051,1996.0,4
GHILNKWBALQPDP-UHFFFAOYSA-N,CHEMBL5267842,,3
GJJFMKBJSRMPLA-DZGCQCFKSA-N,CHEMBL99946,2013.0,4
GJPICJJJRGTNOD-UHFFFAOYSA-N,CHEMBL957,2001.0,4
GJSURZIOUXUGAL-UHFFFAOYSA-N,CHEMBL134,1974.0,4
GKCBAIGFKIBETG-UHFFFAOYSA-N,CHEMBL698,2005.0,4
GKHIVNAUVKXIIY-UHFFFAOYSA-N,CHEMBL2005186,2021.0,4
GLYMPHUVMRFTFV-QLFBSQMISA-N,CHEMBL4113131,2024.0,4
GMRQFYUYWCNGIN-NKMMMXOESA-N,CHEMBL846,1978.0,4
GNXFOGHNGIVQEH-UHFFFAOYSA-N,CHEMBL1201117,1957.0,4
GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL848,2005.0,4
GPNHMOZDMYNCPO-PDUMRIMRSA-N,CHEMBL3590187,2020.0,4
GPXBXXGIAQBQNI-UHFFFAOYSA-N,CHEMBL1229517,2011.0,4
GXJABQQUPOEUTA-RDJZCZTQSA-N,CHEMBL325041,,4
GXXLUDOKHXEFBQ-YJFSRANCSA-N,CHEMBL576981,,1
GYDJEQRTZSCIOI-LJGSYFOKSA-N,CHEMBL877,1986.0,4
GYHCTFXIZSNGJT-UHFFFAOYSA-N,CHEMBL344159,2009.0,4
GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL3301622,2018.0,4
GZOSMCIZMLWJML-VJLLXTKPSA-N,CHEMBL254328,,4
GZUITABIAKMVPG-UHFFFAOYSA-N,CHEMBL81,1997.0,4
HARRKNSQXBRBGZ-GVKWWOCJSA-N,CHEMBL4105630,2023.0,4
HAYYBYPASCDWEQ-UHFFFAOYSA-N,CHEMBL1983268,2019.0,4
HBOMLICNUCNMMY-XLPZGREQSA-N,CHEMBL129,1987.0,4
HCDMJFOHIXMBOV-UHFFFAOYSA-N,CHEMBL4297522,2020.0,4
HCFDWZZGGLSKEP-UHFFFAOYSA-N,CHEMBL1004,1948.0,4
HCRKCZRJWPKOAR-JTQLQIEISA-N,CHEMBL220491,1998.0,4
HDACQVRGBOVJII-JBDAPHQKSA-N,CHEMBL1168,1991.0,4
HEAUOKZIVMZVQL-VWLOTQADSA-N,CHEMBL1208155,2018.0,4
HEFNNWSXXWATRW-UHFFFAOYSA-N,CHEMBL521,1974.0,4
HEVHTYMYEMEBPX-HZPDHXFCSA-N,CHEMBL4650989,,2
HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL1789941,2011.0,4
HFZITXBUTWITPT-YWVKMMECSA-N,CHEMBL4458276,2024.0,4
HGVDHZBSSITLCT-JLJPHGGASA-N,CHEMBL1269025,2015.0,4
HHZIURLSWUIHRB-UHFFFAOYSA-N,CHEMBL255863,2007.0,4
HIFJCPQKFCZDDL-ACWOEMLNSA-N,CHEMBL494,2003.0,4
HJBWBFZLDZWPHF-UHFFFAOYSA-N,CHEMBL3183409,2018.0,4
HKDLNTKNLJPAIY-WKWWZUSTSA-N,CHEMBL2103846,,4
HKHCSWPSUSWGLI-CABCVRRESA-N,CHEMBL3301621,,3
HKXBNHCUPKIYDM-CGMHZMFXSA-N,CHEMBL1200810,1999.0,4
HMABYWSNWIZPAG-UHFFFAOYSA-N,CHEMBL1173055,2016.0,4
HNPFPERDNWXAGS-NFVOFSAMSA-N,CHEMBL1050,,-1
HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL3306803,2019.0,4
HPHUVLMMVZITSG-LURJTMIESA-N,CHEMBL1286,1999.0,4
HPJKCIUCZWXJDR-UHFFFAOYSA-N,CHEMBL1444,1997.0,4
HPNSFSBZBAHARI-RUDMXATFSA-N,CHEMBL866,2004.0,4
HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL23,1982.0,4
HTIQEAQVCYTUBX-KRWDZBQOSA-N,CHEMBL2111097,2019.0,4
HTIQEAQVCYTUBX-UHFFFAOYSA-N,CHEMBL1491,1992.0,4
HUNGUWOZPQBXGX-UHFFFAOYSA-N,CHEMBL571546,2020.0,4
HVFLCNVBZFFHBT-ZKDACBOMSA-N,CHEMBL186,1996.0,4
HWGQMRYQVZSGDQ-HZPDHXFCSA-N,CHEMBL3137320,2018.0,4
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2035187,2022.0,4
HYAFETHFCAUJAY-UHFFFAOYSA-N,CHEMBL595,1999.0,4
HYHMLYSLQUKXKP-UHFFFAOYSA-N,CHEMBL3545313,2020.0,4
HZIYEEMJNBKMJH-UHFFFAOYSA-N,CHEMBL3989917,2018.0,4
IAKHMKGGTNLKSZ-INIZCTEOSA-N,CHEMBL107,1961.0,4
IAVUPMFITXYVAF-XPUUQOCRSA-N,CHEMBL218490,1994.0,4
IDUYJRXRDSPPRC-NRFANRHFSA-N,CHEMBL3311228,2022.0,4
IEAKXXNRGSLYTQ-DEOSSOPVSA-N,CHEMBL291657,2024.0,4
IFSDAJWBUCMOAH-HNNXBMFYSA-N,CHEMBL2216870,2014.0,4
IIXWYSCJSQVBQM-LLVKDONJSA-N,CHEMBL3286830,2018.0,4
IKENVDNFQMCRTR-UHFFFAOYSA-N,CHEMBL1755,2005.0,4
IKKXOSBHLYMWAE-QRPMWFLTSA-N,CHEMBL517231,,3
IMOZEMNVLZVGJZ-QGZVFWFLSA-N,CHEMBL514800,2014.0,4
INJOMKTZOLKMBF-UHFFFAOYSA-N,CHEMBL862,1986.0,4
IOOWNWLVCOUUEX-WPRPVWTQSA-N,CHEMBL3317857,2017.0,4
IPOKCKJONYRRHP-FMQUCBEESA-N,CHEMBL1201346,2000.0,4
IPVQLZZIHOAWMC-QXKUPLGCSA-N,CHEMBL1581,1993.0,4
IQFYYKKMVGJFEH-CSMHCCOUSA-N,CHEMBL374731,2006.0,4
IQIBKLWBVJPOQO-UHFFFAOYSA-N,CHEMBL1201375,,-1
IQPSEEYGBUAQFF-UHFFFAOYSA-N,CHEMBL1502,2000.0,4
IQVRBWUUXZMOPW-PKNBQFBNSA-N,CHEMBL431770,,4
IRSCQMHQWWYFCW-UHFFFAOYSA-N,CHEMBL182,1989.0,4
IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL13,1978.0,4
IUEWXNHSKRWHDY-PHIMTYICSA-N,CHEMBL3655081,2021.0,4
IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL702,1981.0,4
IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CHEMBL633,1985.0,4
IYSYPCSSDZBWHN-UHFFFAOYSA-N,CHEMBL1197564,,2
JAUOIFJMECXRGI-UHFFFAOYSA-N,CHEMBL1172,2001.0,4
JBIMVDZLSHOPLA-LSCVHKIXSA-N,CHEMBL1189432,1996.0,4
JBKPUQTUERUYQE-UHFFFAOYSA-O,CHEMBL1420,1964.0,4
JCCNYMKQOSZNPW-UHFFFAOYSA-N,CHEMBL998,1993.0,4
JDUBGYFRJFOXQC-KRWDZBQOSA-N,CHEMBL2325741,2023.0,4
JEECQCWWSTZDCK-IQZGDKDPSA-N,CHEMBL1689772,2018.0,4
JFOZKMSJYSPYLN-QHCPKHFHSA-N,CHEMBL2048028,2016.0,4
JGCMEBMXRHSZKX-UHFFFAOYSA-N,CHEMBL2103873,2010.0,4
JGRXMPYUTJLTKT-UHFFFAOYSA-N,CHEMBL3646221,2023.0,4
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3813873,2019.0,4
JIVPVXMEBJLZRO-UHFFFAOYSA-N,CHEMBL1055,1960.0,4
JJVAPHYEOZSKJZ-JGCGQSQUSA-N,CHEMBL2397415,2023.0,4
JKVNJTYHRABHIY-WXVUKLJWSA-N,CHEMBL5095056,2024.0,4
JOLJIIDDOBNFHW-UHFFFAOYSA-N,CHEMBL21536,2024.0,4
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL1287853,2019.0,4
JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL1076903,2006.0,4
JURKNVYFZMSNLP-UHFFFAOYSA-N,CHEMBL669,1977.0,4
JUZYLCPPVHEVSV-LJQANCHMSA-N,CHEMBL204656,2012.0,4
JVHXJTBJCFBINQ-ADAARDCZSA-N,CHEMBL429910,2012.0,4
JWHYSEDOYMYMNM-QGZVFWFLSA-N,CHEMBL230158,2024.0,4
JWJOTENAMICLJG-QWBYCMEYSA-N,CHEMBL1200969,2001.0,4
JWNPDZNEKVCWMY-VQHVLOKHSA-N,CHEMBL180022,2017.0,4
JWUBBDSIWDLEOM-DTOXIADCSA-N,CHEMBL1040,1980.0,4
JYGXADMDTFJGBT-VWUMJDOOSA-N,CHEMBL389621,1952.0,4
JYTNQNCOQXFQPK-MRXNPFEDSA-N,CHEMBL1083659,2014.0,4
JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL435,1959.0,4
KAQKFAOMNZTLHT-OZUDYXHBSA-N,CHEMBL1139,1995.0,4
KBOPZPXVLCULAV-UHFFFAOYSA-N,CHEMBL704,1987.0,4
KDGFLJKFZUIJMX-UHFFFAOYSA-N,CHEMBL1738797,2015.0,4
KDLRVYVGXIQJDK-AWPVFWJPSA-N,CHEMBL1753,1970.0,4
KEDYTOTWMPBSLG-HILJTLORSA-N,CHEMBL1201365,,2
KEIPNCCJPRMIAX-HNNXBMFYSA-N,CHEMBL3701238,2022.0,4
KENSGCYKTRNIST-RVUAFKSESA-N,CHEMBL5315131,,-1
KFQYTPMOWPVWEJ-INIZCTEOSA-N,CHEMBL1303,2006.0,4
KGFYHTZWPPHNLQ-AWEZNQCLSA-N,CHEMBL198362,2008.0,4
KGSXMPPBFPAXLY-UHFFFAOYSA-N,CHEMBL57242,,3
KIHYPELVXPAIDH-HNSNBQBZSA-N,CHEMBL2336071,2019.0,4
KIQXRQVVYTYYAZ-VKVYFNERSA-N,CHEMBL5315132,,-1
KJADKKWYZYXHBB-XBWDGYHZSA-N,CHEMBL220492,1996.0,4
KJFBVJALEQWJBS-XUXIUFHCSA-N,CHEMBL515408,2021.0,4
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CHEMBL729,2000.0,4
KKGQTZUTZRNORY-UHFFFAOYSA-N,CHEMBL314854,2010.0,4
KPBZROQVTHLCDU-UHFFFAOYSA-N,CHEMBL1237132,2008.0,4
KPWSJANDNDDRMB-QAQDUYKDSA-N,CHEMBL2028019,2015.0,4
KPYSYYIEGFHWSV-UHFFFAOYSA-N,CHEMBL701,1977.0,4
KQKPFRSPSRPDEB-UHFFFAOYSA-N,CHEMBL128,1992.0,4
KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL2178422,2020.0,4
KSGXQBZTULBEEQ-UHFFFAOYSA-N,CHEMBL539697,2008.0,4
KSMAGQUYOIHWFS-UHFFFAOYSA-N,CHEMBL17860,2018.0,4
KTEIFNKAUNYNJU-GFCCVEGCSA-N,CHEMBL601719,2011.0,4
KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL941,2001.0,4
KVWDHTXUZHCGIO-UHFFFAOYSA-N,CHEMBL715,1996.0,4
KWGRBVOPPLSCSI-WCBMZHEXSA-N,CHEMBL1590,1963.0,4
KWGRBVOPPLSCSI-WPRPVWTQSA-N,CHEMBL211456,2016.0,4
KWTSXDURSIMDCE-QMMMGPOBSA-N,CHEMBL612,1955.0,4
KWTSXDURSIMDCE-UHFFFAOYSA-N,CHEMBL405,1955.0,4
KWTWDQCKEHXFFR-SMDDNHRTSA-N,CHEMBL1201776,2008.0,4
KXNPVXPOPUZYGB-IOVMHBDKSA-N,CHEMBL1166,2000.0,4
KYYIDSXMWOZKMP-UHFFFAOYSA-N,CHEMBL1118,2008.0,4
LCQLHJZYVOQKHU-VKHMYHEASA-N,CHEMBL1201780,2003.0,4
LDCRTTXIJACKKU-ONEGZZNKSA-N,CHEMBL2107333,2013.0,4
LDEKQSIMHVQZJK-CAQYMETFSA-N,CHEMBL2107825,2015.0,4
LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1098,1972.0,4
LERNTVKEWCAPOY-DZZGSBJMSA-N,CHEMBL1900528,2004.0,4
LEZWWPYKPKIXLL-UHFFFAOYSA-N,CHEMBL808,1982.0,4
LFQDNHWZDQTITF-UHFFFAOYSA-N,CHEMBL443052,2014.0,4
LHHCSNFAOIFYRV-DOVBMPENSA-N,CHEMBL218394,2011.0,4
LIENCHBZNNMNKG-OJFNHCPVSA-N,CHEMBL4802135,2023.0,4
LIOLIMKSCNQPLV-UHFFFAOYSA-N,CHEMBL3188267,2020.0,4
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CHEMBL2103875,2013.0,4
LKJPYSCBVHEWIU-UHFFFAOYSA-N,CHEMBL409,1995.0,4
LLPOLZWFYMWNKH-CMKMFDCUSA-N,CHEMBL1457,1943.0,4
LMMJFBMMJUMSJS-UHFFFAOYSA-N,CHEMBL3264002,,3
LOMMPXLFBTZENJ-ZACQAIPSSA-N,CHEMBL4585668,2021.0,4
LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1294,1950.0,4
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,CHEMBL4297507,,3
LPAUOXUZGSBGDU-STDDISTJSA-N,CHEMBL1096146,2021.0,4
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,CHEMBL404,1993.0,4
LRFKWQGGENFBFO-IBGZPJMESA-N,CHEMBL366208,,-1
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,CHEMBL1082,1974.0,4
LTXBFJFJUIJOQE-GOSISDBHSA-N,CHEMBL4753043,,-1
LTXREWYXXSTFRX-QGZVFWFLSA-N,CHEMBL237500,2011.0,4
LUKZNWIVRBCLON-GXOBDPJESA-N,CHEMBL2040682,2006.0,4
LUMKNAVTFCDUIE-VHXPQNKSSA-N,CHEMBL2105395,2013.0,4
LUZRJRNZXALNLM-JGRZULCMSA-N,CHEMBL1732,1946.0,4
LVXJQMNHJWSHET-AATRIKPKSA-N,CHEMBL2110732,2018.0,4
