pair_id,ligand_inchikey,drug_names,target_chembl_id,gene_symbol,sequence_target_id,in_frozen384,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive,排序,A药内排名_384,B药内排名_384
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,DYLUUSLLRIQKOE-UHFFFAOYSA-N,enasidenib,CHEMBL5145,BRAF,SEQ:1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,True,True,3,593,301,292,276,3382,2846,536,276,92,67,234
VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,VWVSBHGCDBMOOT-IIEHVVJPSA-N,desoximetasone,CHEMBL3045,PRKCB,SEQ:16ffa90895441e3c32abb8702ebfe89e4438f590980615be67ff8928f20bd1c9,True,True,6,401,191,210,208,607,351,256,208,93,39,244
UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,nimodipine,CHEMBL3242,CA12,SEQ:d89aa1703772ab0d843c4b6d2d4fdb768a09306cfd03519f41314fa57166024c,True,True,2,3871,3584,287,0,3922,3633,289,0,94,9,1
UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,UEJJHQNACJXSKW-UHFFFAOYSA-N,thalidomide,CHEMBL3116,CDK9,SEQ:2709b182438598d2b9f146586fb2c8549857ef08c97505fddab5a0a8782aaee7,True,True,2,322,36,286,266,1536,1163,373,266,95,312,36
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,CHEMBL5366,PARP2,SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,True,True,6,45,33,12,1,787,481,306,1,96,259,247
OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,OEKWJQXRCDYSHL-FNOIDJSQSA-N,ticagrelor,CHEMBL3535,PDE9A,SEQ:bc510befd27fd42cb2f578bf430c05cecbde0e650ff593efb7c1af6450c7421c,True,True,9,70,55,15,3,775,638,137,3,97,47,12
FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,FABUFPQFXZVHFB-PVYNADRNSA-N,ixabepilone,CHEMBL3045,PRKCB,SEQ:16ffa90895441e3c32abb8702ebfe89e4438f590980615be67ff8928f20bd1c9,True,True,6,401,191,210,208,607,351,256,208,98,99,77
HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,HOIIHACBCFLJET-SFTDATJTSA-N,lumateperone,CHEMBL220,ACHE,SEQ:b5e7ca71ef5af9ce9e3ffc10eebc77b2bb95d592400670484ee596f06be68e78,True,True,5,701,381,320,92,4305,2396,1909,92,99,66,278
VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,VREFGVBLTWBCJP-UHFFFAOYSA-N,alprazolam,CHEMBL2850,GSK3A,SEQ:67ced0ee45a5604018657739b01b5cc9768f680f2dd9cde0fd1b2564d2c7a677,True,True,5,322,32,290,267,1628,1122,506,267,100,165,119
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,QZZUEBNBZAPZLX-QFIPXVFZSA-N,indacaterol,CHEMBL2835,JAK1,SEQ:1c6644344a12e467bac221d095a23fc2da3d2eb868d6085259979d4b76029cba,True,True,1,2458,2161,297,271,9069,8412,657,271,101,209,109
KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,KRNAOFGYEFKHPB-ANJVHQHFSA-N,rimegepant,CHEMBL2971,JAK2,SEQ:21017319c2c8714bf0b97157e13f2184664d2d13b899b37276195af86ca0720a,True,True,3,2554,2302,252,142,10094,9220,874,142,102,94,58
BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,BPZSYCZIITTYBL-YJYMSZOUSA-N,arformoterol,CHEMBL4393,MMP12,SEQ:d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,True,True,7,151,138,13,9,588,470,118,9,103,199,330
OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,OJFSXZCBGQGRNV-UHFFFAOYSA-N,carbinoxamine,CHEMBL2243,FAAH,SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,True,True,10,207,194,13,1,1893,1369,524,1,104,129,283
XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,ranolazine,CHEMBL279,KDR,SEQ:fc7e217443f8e66fc4af3971109e40c570f998fb293d1bf4f799cffcc127e76b,True,True,2,529,292,237,134,8277,6692,1585,134,105,182,13
GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,GKCBAIGFKIBETG-UHFFFAOYSA-N,tetracaine,CHEMBL2252,CTSC,SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,True,True,8,1,0,1,0,298,267,31,0,106,227,97
JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,JURKNVYFZMSNLP-UHFFFAOYSA-N,cyclobenzaprine,CHEMBL2039,MAOB,SEQ:5c619dcb6235f38247072eacd7fa6ad3aa7e69d3d4f661ebfdc4251e2b2752b4,True,True,7,406,203,203,31,4096,2083,2013,31,107,322,102
IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,IVBHGBMCVLDMKU-GXNBUGAJSA-N,piperacillin,CHEMBL1944,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,True,True,10,318,300,18,8,462,423,39,8,108,30,19
RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,RLAWWYSOJDYHDC-BZSNNMDCSA-N,lisinopril,CHEMBL1994,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,True,10,130,114,16,2,584,496,88,2,109,4,20
