scope,direction,model,queries,ap,auroc,precision_at_5,prevalence
catalog720_drugs_old_pair_unseen,drug_to_target,A_target_prior,5.0,0.21378897583884027,0.7700700274016878,,0.09366218625723115
catalog720_drugs_old_pair_unseen,drug_to_target,B,5.0,0.26026610042758075,0.7451475467465635,0.3333333333333333,0.09366218625723115
catalog720_drugs_old_pair_unseen,drug_to_target,B_target_prior,5.0,0.1964523317495023,0.7217299987602362,,0.09366218625723115
catalog720_drugs_old_pair_unseen,drug_to_target,old_neural,5.0,0.21717869939411374,0.6499522049947599,0.28,0.09366218625723115
catalog720x384_old_pair_unseen,drug_to_target,A,2.0,0.6739485964863019,0.7426580621025064,0.5333333333333333,0.23965517241379308
catalog720x384_old_pair_unseen,drug_to_target,A_target_prior,2.0,0.2133799699565112,0.29461279461279455,,0.23965517241379308
catalog720x384_old_pair_unseen,drug_to_target,B,2.0,0.5468041205825364,0.5686962214739992,0.3666666666666667,0.23965517241379308
catalog720x384_old_pair_unseen,drug_to_target,B_target_prior,2.0,0.2579316161604563,0.3167789001122335,,0.23965517241379308
catalog720x384_old_pair_unseen,drug_to_target,old_neural,2.0,0.6065430047951861,0.6773288439955107,0.4,0.23965517241379308
document_disjoint_old_pair_unseen,target_to_drug,A,1.0,1.0,1.0,1.0,0.9090909090909091
document_disjoint_old_pair_unseen,target_to_drug,A_target_prior,1.0,0.9090909090909091,0.5,,0.9090909090909091
document_disjoint_old_pair_unseen,target_to_drug,B,1.0,0.9999999999999999,1.0,1.0,0.9090909090909091
document_disjoint_old_pair_unseen,target_to_drug,B_target_prior,1.0,0.9090909090909091,0.5,,0.9090909090909091
document_disjoint_old_pair_unseen,target_to_drug,old_neural,1.0,0.9999999999999999,1.0,1.0,0.9090909090909091
old_pair_unseen,drug_to_target,A,46.0,0.5159203620256986,0.7743865871440868,0.4594202898550725,0.25817109090142304
old_pair_unseen,drug_to_target,A_target_prior,46.0,0.38802195389588673,0.7024686645332107,,0.25817109090142304
old_pair_unseen,drug_to_target,B,46.0,0.46741566234397597,0.7278224120213391,0.40144927536231884,0.25817109090142304
old_pair_unseen,drug_to_target,B_target_prior,46.0,0.3718413482681034,0.7021340483734072,,0.25817109090142304
old_pair_unseen,drug_to_target,old_neural,46.0,0.3473685663494405,0.5313569201646279,0.2608695652173913,0.25817109090142304
old_pair_unseen,target_to_drug,A,423.0,0.676538324271513,0.7669507583279472,0.6162332545311269,0.46822331220493113
old_pair_unseen,target_to_drug,A_target_prior,423.0,0.4682233122049312,0.5,,0.4682233122049312
old_pair_unseen,target_to_drug,B,423.0,0.6544591427556362,0.7416787397946596,0.5946414499605989,0.46822331220493113
old_pair_unseen,target_to_drug,B_target_prior,423.0,0.4682233122049312,0.5,,0.4682233122049312
old_pair_unseen,target_to_drug,old_neural,423.0,0.7671065732557237,0.7595381778704772,0.6037825059101655,0.4682233122049312
wetlab112_targets_old_pair_unseen,drug_to_target,A,3.0,0.3595145903479236,0.6462962962962963,0.2888888888888889,0.17265999583072755
wetlab112_targets_old_pair_unseen,drug_to_target,A_target_prior,3.0,0.18175805675805676,0.3265873015873016,,0.17265999583072755
wetlab112_targets_old_pair_unseen,drug_to_target,B,3.0,0.36901160567827235,0.5350529100529101,0.22222222222222224,0.17265999583072755
wetlab112_targets_old_pair_unseen,drug_to_target,B_target_prior,3.0,0.3762818662818663,0.5146825396825397,,0.17265999583072755
wetlab112_targets_old_pair_unseen,drug_to_target,old_neural,3.0,0.5581481481481482,0.5611111111111112,0.20000000000000004,0.17265999583072755
wetlab112_targets_old_pair_unseen,target_to_drug,A,31.0,0.8904865956190049,0.8805255704437577,0.8516129032258064,0.6266750527215336
wetlab112_targets_old_pair_unseen,target_to_drug,A_target_prior,31.0,0.6266750527215336,0.5,,0.6266750527215336
wetlab112_targets_old_pair_unseen,target_to_drug,B,31.0,0.8911205820252422,0.8894682757491044,0.8537634408602149,0.6266750527215336
wetlab112_targets_old_pair_unseen,target_to_drug,B_target_prior,31.0,0.6266750527215336,0.5,,0.6266750527215336
wetlab112_targets_old_pair_unseen,target_to_drug,old_neural,31.0,0.8040844184203594,0.7816520528587213,0.7354838709677419,0.6266750527215336
