target_chembl_id,gene_symbol,sequence_target_id,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive
CHEMBL4899,MAP3K8,SEQ:85be618bbf0bc60ffeab00ec3415cc19dfeb475b3da875a80c6c34f2c9af80bf,False,0,6,0,6,6,227,135,92,6
CHEMBL4937,CSNK1E,SEQ:2546fc8eb85f6ddb0c86a8118b17e473bd385a8c6e3d14c60d4193d21d098fc1,False,0,310,24,286,278,1572,1017,555,278
CHEMBL4956,GABRA2,SEQ:53fa4ae6a617800609887f91e4486400c41053d4ecf0df681c3dd225675c2938,False,0,245,244,1,0,273,272,1,0
CHEMBL4979,SLC5A1,SEQ:e8bea1dfd0a8c2ec4d98cd0838eacf112aef4b3cf82ace51b15a0ba957e1b4ae,False,0,14,4,10,2,1084,960,124,2
CHEMBL5122,DDR2,SEQ:39060bb69c4e8f76b5ea4babc2f97724fa4e7d5c79be4dc83ef5cc192a840c31,False,0,391,128,263,249,639,344,295,249
CHEMBL5141,CYP26A1,SEQ:90595514e8943fb2a0668dc14ea9841297ca49846d9007639f566f839f2e667d,True,4,0,0,0,0,104,72,32,0
CHEMBL5145,BRAF,SEQ:1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,True,3,593,301,292,276,3382,2846,536,276
CHEMBL5147,EPHB4,SEQ:37003eca217f6b25fc4ae29a2d6ffc1e7b18df0a7f2e9f9ea509a636a68f8260,False,0,295,17,278,268,974,554,420,268
CHEMBL5163,SCN3A,SEQ:92527863dc4b011caad9cf573b20b6c8616efaf0581b30b1aea9ec850f141aa3,False,0,2,2,0,0,140,25,115,0
CHEMBL5167,SCN11A,SEQ:31f3d057dcbc2abdd4120b7c760ca6af6ae43dd23ee21bbb6f2b25d42fe0fcc2,False,0,0,0,0,0,1,0,1,0
CHEMBL5202,SCN8A,SEQ:48b7226dc34e609ce66665fa7364fb3124108ada1effd7c7ef61ca7ca51b1974,False,0,5,2,3,0,550,493,57,0
CHEMBL5216,UMPS,SEQ:c303d7e7724c7beedc8089712b3939a89de9ef2ec912b0e488240d9c7393bb88,True,1,11,8,3,0,12,8,4,0
CHEMBL5251,BTK,SEQ:2050e121c40716b1679af0b304ba648e1f3f6d4bf32ac563318974ec64d5167a,False,0,551,266,285,271,9724,9122,602,271
CHEMBL5285,MAP3K5,SEQ:acb6bfceb028a3ae5829248426f3ea5eb5863b320d20d32d78a5fa3bcb55f7fe,False,0,464,145,319,303,1712,1298,414,303
CHEMBL5311,ACVRL1,SEQ:41225f390d79410ec5e7bfef7e5f05341e7142207310e2a3d53bb09826db1795,True,1,161,6,155,113,324,148,176,113
CHEMBL5331,MERTK,SEQ:aa54247704f55ea2a11e5e339c873318fa24bfd23de6d43aa67e2f416e2b8e82,False,0,207,25,182,157,3053,2758,295,157
CHEMBL5366,PARP2,SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,True,6,45,33,12,1,787,481,306,1
CHEMBL5443,CDC7,SEQ:6a25cf3375cffdb55b1ac9fcd0bfd67323d01427cd5e8efd34cb623c84d72b48,False,0,187,78,109,109,471,344,127,109
CHEMBL5451,SCN10A,SEQ:c345e66ed21d45f9acfe03a6e99ca5b9744199478b48087e17cb99e2ac0364f4,False,0,0,0,0,0,825,770,55,0
CHEMBL5464,RIPK1,SEQ:a5738db82a0d8d4b3b1be01d61879e9adcd8fef0377366ac0d930a850c227edc,False,0,730,603,127,86,2866,2044,822,86
CHEMBL5469,PTK2B,SEQ:87744367b800f3cc95c3a6d293b833f1eb880275dbff337dd1b2025d071efdaf,False,0,314,33,281,263,627,247,380,263
CHEMBL5491,WEE1,SEQ:5ef1f29ae6c48b186caa6e996c42991c0077374bda1649603ab90d4cbe9752aa,False,0,332,34,298,280,1207,803,404,280
CHEMBL5568,ROS1,SEQ:cf559ca22e969dc6a8bb865fe5e89cf38d07e22a24caf182f8384201045496e1,False,0,161,23,138,99,298,126,172,99
CHEMBL5608,NTRK3,SEQ:3394a44c77135f9edf6d1f3be38c64fdbf7e38bad6cdbf742241f2c25025b7c1,True,5,142,19,123,87,494,311,183,87
CHEMBL5619,APEX1,SEQ:26609ead5948182ab7db59542853a0a1d88afd779de2e29919cf8ca312cfc55b,False,0,18,13,5,0,252,22,230,0
CHEMBL5689,TPH1,SEQ:11464cac78fa396921bed3a7cd586d5bd145164fc65b01b3a84a2ed8f3a2bb8f,False,0,1,1,0,0,515,496,19,0
CHEMBL5697,EGLN1,SEQ:cb17e7a0aae2e99ddfd0bf964ad621c4b9f2342f01a43321ac1acd75c135d635,False,0,9,5,4,0,1188,858,330,0
CHEMBL5705,EGLN3,SEQ:9ed9d245a1ccec30c57b21996b7795d43966ae87dc4c5292f48fd56fb80def56,True,6,4,4,0,0,162,135,27,0
CHEMBL5721,GMPS,SEQ:f59ab0673a16b8a9d27cc39a4b28a9bca0e3952e77e9644cfc3c455a520bc990,False,0,0,0,0,0,4,3,1,0
CHEMBL5731,CFB,SEQ:f9c47916ec9ee1cf8af91ccc42f6a3a095bebec36067307a68a484b6c928c423,False,0,3,2,1,0,88,73,15,0
CHEMBL5838,ERBB3,SEQ:17edac2fa022b912a92821032c8b6d4a300cd07a4c81906cb7faa2b94996f600,False,0,118,4,114,84,160,31,129,84
CHEMBL5903,ACVR1,SEQ:7c2a7bcf3a9e687a4734d149429648beaeb58a4936962328b18c1fd4d5c90203,False,0,306,20,286,273,1208,866,342,273
CHEMBL6007,TRPA1,SEQ:a93ba2d243a68358de9b9adec225e83c68e9ffc050c5d9a71ea6483fb92db338,False,0,22,0,22,22,1514,1327,187,22
CHEMBL6009,DGAT1,SEQ:602770d3014bf6d6ea687ec5967462bda3efc028d8a34ad15709bcce552e3b6a,False,0,21,12,9,9,1026,930,96,9
CHEMBL6044,BCL2A1,SEQ:fe76404c5e0db4b161b830fbcbffabe5f6574550ded0cfdf7f3c45837c165164,False,0,46,26,20,0,163,76,87,0
CHEMBL6120,SLC22A12,SEQ:b2f7f8437797ff0397a89aeb7f6ff2916d84a5895e2cca8247f9dc9428c257dd,False,0,0,0,0,0,634,494,140,0
CHEMBL6136,KDM1A,SEQ:54d4ad68b7f18c59288a5d0ac6b402df893d8aadb55fda3f5e03b57be254e647,False,0,329,268,61,3,4265,3557,708,3
