ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
OZOMQRBLCMDCEG-VIZOYTHASA-N,CHEMBL1846,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL928,ANTAGONIST,Ryanodine receptor 1 antagonist,True
PCHKPVIQAHNQLW-CQSZACIVSA-N,CHEMBL3105,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1094636;CHEMBL3989922,INHIBITOR,Poly [ADP-ribose] polymerase-1 inhibitor,True
PCHKPVIQAHNQLW-CQSZACIVSA-N,CHEMBL5366,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1094636;CHEMBL3989922,INHIBITOR,Poly [ADP-ribose] polymerase 2 inhibitor,True
PDGKHKMBHVFCMG-UHFFFAOYSA-N,CHEMBL2508,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3894860;CHEMBL4650272,INHIBITOR,Cyclin-dependent kinase 6 inhibitor,True
PDGKHKMBHVFCMG-UHFFFAOYSA-N,CHEMBL331,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3894860;CHEMBL4650272,INHIBITOR,Cyclin-dependent kinase 4 inhibitor,True
PDWUPXJEEYOOTR-UHFFFAOYSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1615779,SUBSTRATE,Norepinephrine transporter substrate,True
PEMUGDMSUDYLHU-ZEQRLZLVSA-N,CHEMBL2189121,True,EXACT_MODEL_SPECIES,CHEMBL4594350,INHIBITOR,GTPase KRas inhibitor,True
PHLBKPHSAVXXEF-UHFFFAOYSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200798,INHIBITOR,Serotonin transporter inhibitor,True
PIBARDGJJAGJAJ-NQIIRXRSSA-N,CHEMBL2176771,True,EXACT_MODEL_SPECIES,CHEMBL4250860,INHIBITOR,Complement factor D inhibitor,True
PJDFLNIOAUIZSL-UHFFFAOYSA-N,CHEMBL2044,True,EXACT_MODEL_SPECIES,CHEMBL89598,INHIBITOR,Gamma-amino-N-butyrate transaminase inhibitor,True
PNVNVHUZROJLTJ-UHFFFAOYSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201066,INHIBITOR,Norepinephrine transporter inhibitor,True
PNVNVHUZROJLTJ-UHFFFAOYSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201066,INHIBITOR,Serotonin transporter inhibitor,True
PURKAOJPTOLRMP-ASMGOKTBSA-N,CHEMBL4051,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2010601;CHEMBL4297603,ACTIVATOR;POSITIVE MODULATOR,Cystic fibrosis transmembrane conductance regulator activator;Cystic fibrosis transmembrane conductance regulator positive modulator,True
PURKAOJPTOLRMP-UHFFFAOYSA-N,CHEMBL4051,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2010601;CHEMBL4297603,ACTIVATOR;POSITIVE MODULATOR,Cystic fibrosis transmembrane conductance regulator activator;Cystic fibrosis transmembrane conductance regulator positive modulator,True
PYNXFZCZUAOOQC-UTKZUKDTSA-N,CHEMBL1944,True,EXACT_MODEL_SPECIES,CHEMBL3137301,INHIBITOR,Neprilysin inhibitor,True
PZBCKZWLPGJMAO-UHFFFAOYSA-N,CHEMBL3130,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3218576;CHEMBL3545068,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,True
PZBCKZWLPGJMAO-UHFFFAOYSA-N,CHEMBL4005,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3218576;CHEMBL3545068,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,True
QCZAWDGAVJMPTA-RNFRBKRXSA-N,CHEMBL2007625,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4594378,INHIBITOR,Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor,True
QCZAWDGAVJMPTA-RNFRBKRXSA-N,CHEMBL3991501,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4594378,INHIBITOR,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",True
QGJUIPDUBHWZPV-SGTAVMJGSA-N,CHEMBL284,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201743,INHIBITOR,Dipeptidyl peptidase IV inhibitor,True
QKDRXGFQVGOQKS-CRSSMBPESA-N,CHEMBL3884,True,EXACT_MODEL_SPECIES,CHEMBL3039507,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,True
QKDRXGFQVGOQKS-CRSSMBPESA-N,CHEMBL4979,True,EXACT_MODEL_SPECIES,CHEMBL3039507,INHIBITOR,Sodium/glucose cotransporter 1 inhibitor,True
QNZCBYKSOIHPEH-UHFFFAOYSA-N,CHEMBL244,True,EXACT_MODEL_SPECIES,CHEMBL231779,INHIBITOR,Coagulation factor X inhibitor,True
QQHMKNYGKVVGCZ-UHFFFAOYSA-N,CHEMBL3106,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL65375,INHIBITOR,Thymidine phosphorylase inhibitor,True
QYSXJUFSXHHAJI-YRZJJWOYSA-N,CHEMBL1977,True,EXACT_MODEL_SPECIES,CHEMBL1042,AGONIST,Vitamin D receptor agonist,True
RENRQMCACQEWFC-UGKGYDQZSA-N,CHEMBL5731,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4594448;CHEMBL5095401,INHIBITOR,Complement factor B inhibitor,True
RHXHGRAEPCAFML-UHFFFAOYSA-N,CHEMBL2508,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3545110;CHEMBL3707266,INHIBITOR,Cyclin-dependent kinase 6 inhibitor,True
RHXHGRAEPCAFML-UHFFFAOYSA-N,CHEMBL331,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3545110;CHEMBL3707266,INHIBITOR,Cyclin-dependent kinase 4 inhibitor,True
RJCWBNBKOKFWNY-IDPLTSGASA-N,CHEMBL1075094,True,EXACT_MODEL_SPECIES,CHEMBL4303525,ACTIVATOR,Nuclear factor erythroid 2-related factor 2 activator,True
RJKFOVLPORLFTN-LEKSSAKUSA-N,CHEMBL208,True,EXACT_MODEL_SPECIES,CHEMBL103,AGONIST,Progesterone receptor agonist,True
RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL1808,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL419213,INHIBITOR,Angiotensin-converting enzyme inhibitor,True
RNOAOAWBMHREKO-QFIPXVFZSA-N,CHEMBL5251,True,EXACT_MODEL_SPECIES,CHEMBL3936761,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,True
RRMJMHOQSALEJJ-UHFFFAOYSA-N,CHEMBL203,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4558324;CHEMBL6068478,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201082,INHIBITOR,Serotonin transporter inhibitor,True
RUDATBOHQWOJDD-BSWAIDMHSA-N,CHEMBL2047,True,EXACT_MODEL_SPECIES,CHEMBL240597,AGONIST,Bile acid receptor FXR agonist,True
RUOKEQAAGRXIBM-GFCCVEGCSA-N,CHEMBL2039,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201142;CHEMBL6067988,INHIBITOR,Monoamine oxidase B inhibitor,True
RVOLLAQWKVFTGE-UHFFFAOYSA-N,CHEMBL220,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL812,INHIBITOR,Acetylcholinesterase inhibitor,True
RYMZZMVNJRMUDD-HGQWONQESA-N,CHEMBL402,True,EXACT_MODEL_SPECIES,CHEMBL1064,INHIBITOR,HMG-CoA reductase inhibitor,True
RZEKVGVHFLEQIL-UHFFFAOYSA-N,CHEMBL230,True,EXACT_MODEL_SPECIES,CHEMBL118,INHIBITOR,Cyclooxygenase-2 inhibitor,True
RZVAJINKPMORJF-UHFFFAOYSA-N,CHEMBL2243,True,EXACT_MODEL_SPECIES,CHEMBL112,INHIBITOR,Anandamide amidohydrolase inhibitor,True
RZVAJINKPMORJF-UHFFFAOYSA-N,CHEMBL4794,True,EXACT_MODEL_SPECIES,CHEMBL112,OPENER,Vanilloid receptor opener,True
SDEAXTCZPQIFQM-UHFFFAOYSA-N,CHEMBL1824,True,EXACT_MODEL_SPECIES,CHEMBL3989868,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,True
SECKRCOLJRRGGV-UHFFFAOYSA-N,CHEMBL1827,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1339,INHIBITOR,Phosphodiesterase 5A inhibitor,True
SGEGOXDYSFKCPT-UHFFFAOYSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1615374,INHIBITOR,Serotonin transporter inhibitor,True
SGEUNORSOZVTOL-CABZTGNLSA-N,CHEMBL4005,True,EXACT_MODEL_SPECIES,CHEMBL4650215,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,True
SIFNOOUKXBRGGB-AREMUKBSSA-N,CHEMBL206,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4297509;CHEMBL4594273,DEGRADER,Estrogen receptor alpha degrader,True
SJVQHLPISAIATJ-ZDUSSCGKSA-N,CHEMBL3130,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5315125,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,True
SJVQHLPISAIATJ-ZDUSSCGKSA-N,CHEMBL3267,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5315125,INHIBITOR,PI3-kinase p110-gamma subunit inhibitor,True
SNPPWIUOZRMYNY-UHFFFAOYSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201735;CHEMBL1698,INHIBITOR,Norepinephrine transporter inhibitor,True
SNPPWIUOZRMYNY-UHFFFAOYSA-N,CHEMBL238,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201735;CHEMBL1698,INHIBITOR,Dopamine transporter inhibitor,True
SPMVMDHWKHCIDT-UHFFFAOYSA-N,CHEMBL1936,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105756,INHIBITOR,Stem cell growth factor receptor inhibitor,True
STPKWKPURVSAJF-LJEWAXOPSA-N,CHEMBL2778,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL17879;CHEMBL363392,INHIBITOR,Ileal bile acid transporter inhibitor,True
STUWGJZDJHPWGZ-LBPRGKRZSA-N,CHEMBL4005,True,EXACT_MODEL_SPECIES,CHEMBL2396661,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,True
SUDAHWBOROXANE-SECBINFHSA-N,CHEMBL2964,True,EXACT_MODEL_SPECIES,CHEMBL507361,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,True
SUDAHWBOROXANE-SECBINFHSA-N,CHEMBL3587,True,EXACT_MODEL_SPECIES,CHEMBL507361,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,True
TTWJBBZEZQICBI-UHFFFAOYSA-N,CHEMBL1899,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200940,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,True
TZFNLOMSOLWIDK-JTQLQIEISA-N,CHEMBL1843,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200748,INHIBITOR,DOPA decarboxylase inhibitor,True
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL1862,True,EXACT_MODEL_SPECIES,CHEMBL288441,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,True
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL267,True,EXACT_MODEL_SPECIES,CHEMBL288441,INHIBITOR,Tyrosine-protein kinase SRC inhibitor,True
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL3234,True,EXACT_MODEL_SPECIES,CHEMBL288441,INHIBITOR,Tyrosine-protein kinase HCK inhibitor,True
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL3905,True,EXACT_MODEL_SPECIES,CHEMBL288441,INHIBITOR,Tyrosine-protein kinase Lyn inhibitor,True
UBZPNQRBUOBBLN-PWRODBHTSA-N,CHEMBL222,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4298139;CHEMBL4301162;CHEMBL904,INHIBITOR,Norepinephrine transporter inhibitor,True
UBZPNQRBUOBBLN-PWRODBHTSA-N,CHEMBL238,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4298139;CHEMBL4301162;CHEMBL904,INHIBITOR,Dopamine transporter inhibitor,True
UCFGDBYHRUNTLO-QHCPKHFHSA-N,CHEMBL1781,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1607,INHIBITOR,DNA topoisomerase I inhibitor,True
UFSKUSARDNFIRC-UHFFFAOYSA-N,CHEMBL4051,True,EXACT_MODEL_SPECIES,CHEMBL2103870,STABILISER,Cystic fibrosis transmembrane conductance regulator stabiliser,True
UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL2041,True,EXACT_MODEL_SPECIES,CHEMBL24828,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,True
UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL267,True,EXACT_MODEL_SPECIES,CHEMBL24828,INHIBITOR,Tyrosine-protein kinase SRC inhibitor,True
UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL4128,True,EXACT_MODEL_SPECIES,CHEMBL24828,INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor,True
UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL4601,True,EXACT_MODEL_SPECIES,CHEMBL24828,INHIBITOR,Tyrosine-protein kinase BRK inhibitor,True
UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL1994,True,EXACT_MODEL_SPECIES,CHEMBL1428,ANTAGONIST,Mineralocorticoid receptor antagonist,True
ULXXDDBFHOBEHA-CWDCEQMOSA-N,CHEMBL1824,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105712,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,True
ULXXDDBFHOBEHA-CWDCEQMOSA-N,CHEMBL203,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105712,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
ULXXDDBFHOBEHA-CWDCEQMOSA-N,CHEMBL3009,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105712,INHIBITOR,Receptor protein-tyrosine kinase erbB-4 inhibitor,True
UQRORFVVSGFNRO-UTINFBMNSA-N,CHEMBL2063,True,EXACT_MODEL_SPECIES,CHEMBL1029,INHIBITOR,Ceramide glucosyltransferase inhibitor,True
UREBDLICKHMUKA-CXSFZGCWSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2021430;CHEMBL384467,AGONIST,Glucocorticoid receptor agonist,True
UREBDLICKHMUKA-DVTGEIKXSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200538;CHEMBL1200762;CHEMBL632,AGONIST,Glucocorticoid receptor agonist,True
USUZGMWDZDXMDG-CYBMUJFWSA-N,CHEMBL1908,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3707393,INHIBITOR,Cytochrome P450 11B1 inhibitor,True
UTNUDOFZCWSZMS-YFHOEESVSA-N,CHEMBL1966,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL960;CHEMBL973,INHIBITOR,Dihydroorotate dehydrogenase inhibitor,True
UWKQSNNFCGGAFS-XIFFEERXSA-N,CHEMBL1781,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3989514;CHEMBL837,INHIBITOR,DNA topoisomerase I inhibitor,True
UXNXMBYCBRBRFD-MUUNZHRXSA-N,CHEMBL2000,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL6067995,INHIBITOR,Plasma kallikrein inhibitor,True
UZWDCWONPYILKI-UHFFFAOYSA-N,CHEMBL2508,True,EXACT_MODEL_SPECIES,CHEMBL3301610,INHIBITOR,Cyclin-dependent kinase 6 inhibitor,True
UZWDCWONPYILKI-UHFFFAOYSA-N,CHEMBL331,True,EXACT_MODEL_SPECIES,CHEMBL3301610,INHIBITOR,Cyclin-dependent kinase 4 inhibitor,True
VCSUIBJKYCVWNF-NRFANRHFSA-N,CHEMBL4051,True,EXACT_MODEL_SPECIES,CHEMBL5314934,POSITIVE MODULATOR,Cystic fibrosis transmembrane conductance regulator positive modulator,True
VERWOWGGCGHDQE-UHFFFAOYSA-N,CHEMBL4247,True,EXACT_MODEL_SPECIES,CHEMBL2403108,INHIBITOR,ALK tyrosine kinase receptor inhibitor,True
VGKDLMBJGBXTGI-SJCJKPOMSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1709,INHIBITOR,Serotonin transporter inhibitor,True
VGYFMXBACGZSIL-MCBHFWOFSA-N,CHEMBL402,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1237061;CHEMBL3989920;CHEMBL3989923,INHIBITOR,HMG-CoA reductase inhibitor,True
VHGCDTVCOLNTBX-QGZVFWFLSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1702,INHIBITOR,Norepinephrine transporter inhibitor,True
VIKNJXKGJWUCNN-XGXHKTLJSA-N,CHEMBL208,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1162;CHEMBL1201146,AGONIST,Progesterone receptor agonist,True
VJJPUSNTGOMMGY-MRVIYFEKSA-N,CHEMBL1806,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200645,INHIBITOR,DNA topoisomerase II alpha inhibitor,True
VKHAHZOOUSRJNA-GCNJZUOMSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1276308,ANTAGONIST,Glucocorticoid receptor antagonist,True
VKHAHZOOUSRJNA-GCNJZUOMSA-N,CHEMBL208,True,EXACT_MODEL_SPECIES,CHEMBL1276308,ANTAGONIST,Progesterone receptor antagonist,True
VOBHXZCDAVEXEY-JSGCOSHPSA-N,CHEMBL1893,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200782;CHEMBL1201178;CHEMBL3544971;CHEMBL3989844;CHEMBL612,INHIBITOR,Synaptic vesicular amine transporter inhibitor,True
VOBHXZCDAVEXEY-JSGCOSHPSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200782;CHEMBL1201178;CHEMBL3544971;CHEMBL3989844;CHEMBL612,RELEASING AGENT,Norepinephrine transporter releasing agent,True
VOBHXZCDAVEXEY-JSGCOSHPSA-N,CHEMBL238,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200782;CHEMBL1201178;CHEMBL3544971;CHEMBL3989844;CHEMBL612,RELEASING AGENT,Dopamine transporter releasing agent,True
VOVIALXJUBGFJZ-KWVAZRHASA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1370,AGONIST,Glucocorticoid receptor agonist,True
VOVZXURTCKPRDQ-CQSZACIVSA-N,CHEMBL1862,True,EXACT_MODEL_SPECIES,CHEMBL4208229,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,True
VUDZSIYXZUYWSC-DBRKOABJSA-N,CHEMBL4502,True,EXACT_MODEL_SPECIES,CHEMBL3237547,INHIBITOR,Cytidine deaminase inhibitor,True
VWUXBMIQPBEWFH-WCCTWKNTSA-N,CHEMBL206,True,EXACT_MODEL_SPECIES,CHEMBL1358,ANTAGONIST;DEGRADER,Estrogen receptor alpha antagonist;Estrogen receptor degrader,True
VWVSBHGCDBMOOT-IIEHVVJPSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1766,AGONIST,Glucocorticoid receptor agonist,True
WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL1829,True,EXACT_MODEL_SPECIES,CHEMBL98,INHIBITOR,Histone deacetylase 3 inhibitor,True
WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL1865,True,EXACT_MODEL_SPECIES,CHEMBL98,INHIBITOR,Histone deacetylase 6 inhibitor,True
WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL1937,True,EXACT_MODEL_SPECIES,CHEMBL98,INHIBITOR,Histone deacetylase 2 inhibitor,True
WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL325,True,EXACT_MODEL_SPECIES,CHEMBL98,INHIBITOR,Histone deacetylase 1 inhibitor,True
WANIDIGFXJFFEL-SANMLTNESA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL4068611,ANTAGONIST,Glucocorticoid receptor antagonist,True
WBGKWQHBNHJJPZ-LECWWXJVSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1201109,AGONIST,Glucocorticoid receptor agonist,True
WDENQIQQYWYTPO-IBGZPJMESA-N,CHEMBL5251,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3707348;CHEMBL4594293,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,True
WEAJZXNPAWBCOA-INIZCTEOSA-N,CHEMBL1827,True,EXACT_MODEL_SPECIES,CHEMBL1963681,INHIBITOR,Phosphodiesterase 5A inhibitor,True
WEQLWGNDNRARGE-DJIMGWMZSA-N,CHEMBL1893,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2364639;CHEMBL3707248,INHIBITOR,Synaptic vesicular amine transporter inhibitor,True
WGFOBBZOWHGYQH-MXHNKVEKSA-N,CHEMBL1628478,True,EXACT_MODEL_SPECIES,CHEMBL1201134,OPENER,Chloride channel protein 2 opener,True
WIJZXSAJMHAVGX-DHLKQENFSA-N,CHEMBL2007625,True,EXACT_MODEL_SPECIES,CHEMBL3989958,INHIBITOR,Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor,True
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL1844,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1567;CHEMBL535,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,True
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL1868,True,EXACT_MODEL_SPECIES,CHEMBL535,INHIBITOR,Vascular endothelial growth factor receptor 1 inhibitor,True
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL1936,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1567;CHEMBL535,INHIBITOR,Stem cell growth factor receptor inhibitor,True
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL1974,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1567;CHEMBL535,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL2007,True,EXACT_MODEL_SPECIES,CHEMBL535,INHIBITOR,Platelet-derived growth factor receptor alpha inhibitor,True
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL2041,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1567;CHEMBL535,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,True
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL279,True,EXACT_MODEL_SPECIES,CHEMBL535,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,True
WJOHZNCJWYWUJD-IUGZLZTKSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1501,AGONIST,Glucocorticoid receptor agonist,True
WOXKDUGGOYFFRN-IIBYNOLFSA-N,CHEMBL1827,True,EXACT_MODEL_SPECIES,CHEMBL779,INHIBITOR,Phosphodiesterase 5A inhibitor,True
WSEQXVZVJXJVFP-FQEVSTJZSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200322,INHIBITOR,Serotonin transporter inhibitor,True
WSEQXVZVJXJVFP-UHFFFAOYSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200781,INHIBITOR,Serotonin transporter inhibitor,True
WWYNJERNGUHSAO-XUDSTZEESA-N,CHEMBL208,True,EXACT_MODEL_SPECIES,CHEMBL1389,AGONIST,Progesterone receptor agonist,True
WXCXUHSOUPDCQV-UHFFFAOYSA-N,CHEMBL1871,True,EXACT_MODEL_SPECIES,CHEMBL1082407,ANTAGONIST,Androgen Receptor antagonist,True
WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL2148,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5315119,INHIBITOR,Tyrosine-protein kinase JAK3 inhibitor,True
WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL2835,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5315119,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,True
WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL2971,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5315119,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,True
WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL3553,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5315119,INHIBITOR,Tyrosine-protein kinase TYK2 inhibitor,True
WYQPLTPSGFELIB-JTQPXKBDSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1201749,AGONIST,Glucocorticoid receptor agonist,True
XAYGBKHKBBXDAK-UHFFFAOYSA-N,CHEMBL1075126,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4297223;CHEMBL4299940,ACTIVATOR,Pyruvate kinase isozymes R/L activator,True
XGALLCVXEZPNRQ-UHFFFAOYSA-N,CHEMBL203,True,EXACT_MODEL_SPECIES,CHEMBL939,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
XHOLNRLADUSQLD-UHFFFAOYSA-N,CHEMBL244,True,EXACT_MODEL_SPECIES,CHEMBL512351,INHIBITOR,Coagulation factor X inhibitor,True
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL1980,True,EXACT_MODEL_SPECIES,CHEMBL1404,BLOCKER,Sodium channel protein type V alpha subunit blocker,True
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL2072,True,EXACT_MODEL_SPECIES,CHEMBL1404,BLOCKER,Sodium channel protein type IV alpha subunit blocker,True
