ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
DMKSVUSAATWOCU-HROMYWEYSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1200865,AGONIST,Glucocorticoid receptor agonist,True
DOBNVUFHFMVMDB-BEFAXECRSA-N,CHEMBL1944,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3137301,INHIBITOR,Neprilysin inhibitor,True
DUGOZIWVEXMGBE-CHWSQXEVSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4298139;CHEMBL4301162;CHEMBL904,INHIBITOR,Norepinephrine transporter inhibitor,True
DUGOZIWVEXMGBE-CHWSQXEVSA-N,CHEMBL238,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4298139;CHEMBL4301162;CHEMBL904,INHIBITOR,Dopamine transporter inhibitor,True
DUYJMQONPNNFPI-UHFFFAOYSA-N,CHEMBL203,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3353410;CHEMBL3545063,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
DWYRIWUZIJHQKQ-SANMLTNESA-N,CHEMBL1936,True,EXACT_MODEL_SPECIES,CHEMBL4204794,INHIBITOR,Stem cell growth factor receptor inhibitor,True
DWYRIWUZIJHQKQ-SANMLTNESA-N,CHEMBL2007,True,EXACT_MODEL_SPECIES,CHEMBL4204794,INHIBITOR,Platelet-derived growth factor receptor alpha inhibitor,True
DWZAEMINVBZMHQ-UHFFFAOYSA-N,CHEMBL2842,True,EXACT_MODEL_SPECIES,CHEMBL592445,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,True
DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL3991501,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3989931,INHIBITOR,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",True
FBHSPRKOSMHSIF-GRMWVWQJSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1201891,AGONIST,Glucocorticoid receptor agonist,True
FDBYIYFVSAHJLY-UHFFFAOYSA-N,CHEMBL1947,True,EXACT_MODEL_SPECIES,CHEMBL3261331,AGONIST,Thyroid hormone receptor beta-1 agonist,True
FELGMEQIXOGIFQ-UHFFFAOYSA-N,CHEMBL1899,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3186492;CHEMBL46,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,True
FGQFOYHRJSUHMR-UHFFFAOYSA-N,CHEMBL6120,True,EXACT_MODEL_SPECIES,CHEMBL2105720,INHIBITOR,Solute carrier family 22 member 12 inhibitor,True
FIKPXCOQUIZNHB-WDEREUQCSA-N,CHEMBL2815,True,EXACT_MODEL_SPECIES,CHEMBL4298138,INHIBITOR,Nerve growth factor receptor Trk-A inhibitor,True
FIKPXCOQUIZNHB-WDEREUQCSA-N,CHEMBL4898,True,EXACT_MODEL_SPECIES,CHEMBL4298138,INHIBITOR,Neurotrophic tyrosine kinase receptor type 2 inhibitor,True
FIKPXCOQUIZNHB-WDEREUQCSA-N,CHEMBL5568,True,EXACT_MODEL_SPECIES,CHEMBL4298138,INHIBITOR,Proto-oncogene tyrosine-protein kinase ROS inhibitor,True
FIKPXCOQUIZNHB-WDEREUQCSA-N,CHEMBL5608,True,EXACT_MODEL_SPECIES,CHEMBL4298138,INHIBITOR,NT-3 growth factor receptor inhibitor,True
FJHBVJOVLFPMQE-QFIPXVFZSA-N,CHEMBL1781,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3989514;CHEMBL837,INHIBITOR,DNA topoisomerase I inhibitor,True
FJZZPCZKBUKGGU-AUSIDOKSSA-N,CHEMBL2063,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5723563,INHIBITOR,Ceramide glucosyltransferase inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1862,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1906,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Serine/threonine-protein kinase RAF inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1936,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Stem cell growth factor receptor inhibitor,True
