drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,rank_720,evidence
HPNSFSBZBAHARI-RUDMXATFSA-N,mycophenolate mofetil,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,122411,HGF,-5.8295507,-6.106489,51,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XAYGBKHKBBXDAK-UHFFFAOYSA-N,mitapivat,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1,287861,HGF,-5.8480873,-6.1580667,52,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
CSKDFZIMJXRJGH-VWLPUNTISA-N,tecovirimat,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,272865,HGF,-5.7443004,-6.1886945,53,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
HAYYBYPASCDWEQ-UHFFFAOYSA-N,entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,100411,HGF,-8.39949,-6.1998334,54,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,45018,HGF,-5.6320925,-6.2387776,55,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
WTDRDQBEARUVNC-LURJTMIESA-N,levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,252319,HGF,-6.227233,-6.433396,56,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
IKKXOSBHLYMWAE-QRPMWFLTSA-N,islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,1571,HGF,-6.167277,-6.5069046,57,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
ZRVUJXDFFKFLMG-UHFFFAOYSA-N,meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,207081,HGF,-6.3308306,-6.624002,58,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
CTRLABGOLIVAIY-UHFFFAOYSA-N,oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,241668,HGF,-5.7383704,-6.649194,59,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RKEWSXXUOLRFBX-UHFFFAOYSA-N,pimavanserin,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,30983,HGF,-6.1144915,-6.6677136,60,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,156314,HGF,-6.113628,-6.6755395,61,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
SDUQYLNIPVEERB-QPPQHZFASA-N,gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,256365,HGF,-5.968857,-6.707403,62,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
GYQYAJJFPNQOOW-UHFFFAOYSA-N,gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,82459,HGF,-11.1090975,-6.7261257,63,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
IAKHMKGGTNLKSZ-INIZCTEOSA-N,colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,134420,HGF,-6.6307344,-6.7784724,64,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
QCHFTSOMWOSFHM-WPRPVWTQSA-N,pilocarpine,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,77416,HGF,-6.438586,-6.9024024,65,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
DOUYETYNHWVLEO-UHFFFAOYSA-N,imiquimod,CC(C)Cn1cnc2c(N)nc3ccccc3c21,32549,HGF,-6.126777,-6.9729905,66,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
LDCRTTXIJACKKU-ONEGZZNKSA-N,dimethyl fumarate,COC(=O)/C=C/C(=O)OC,109951,HGF,-6.2809157,-6.9741735,67,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
OUBCNLGXQFSTLU-UHFFFAOYSA-N,nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],290471,HGF,-6.9676986,-7.0418277,68,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
FDLYAMZZIXQODN-UHFFFAOYSA-N,olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,287171,HGF,-6.387877,-7.0713716,69,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
HBOMLICNUCNMMY-XLPZGREQSA-N,zidovudine,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,206482,HGF,-6.182641,-7.0734115,70,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
JFOZKMSJYSPYLN-QHCPKHFHSA-N,lifitegrast,CS(=O)(=O)c1cccc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)c1,163468,HGF,-6.4996715,-7.0982914,71,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
PRMWGUBFXWROHD-UHFFFAOYSA-N,perampanel,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,238174,HGF,-6.7566624,-7.167781,72,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
IPOKCKJONYRRHP-FMQUCBEESA-N,balsalazide,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,282610,HGF,-6.8091426,-7.3102074,73,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
MOYKHGMNXAOIAT-JGWLITMVSA-N,isosorbide dinitrate,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],298460,HGF,-6.807185,-7.36559,74,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
BMKDZUISNHGIBY-ZETCQYMHSA-N,dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,165224,HGF,-6.4356346,-7.4119453,75,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
ZSKVGTPCRGIANV-ZXFLCMHBSA-N,imipenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,166586,HGF,-6.1683736,-7.4289627,76,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
BISPBXFUKNXOQY-RITPCOANSA-N,durlobactam,CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,47333,HGF,-6.62715,-7.443411,77,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
UHTHHESEBZOYNR-UHFFFAOYSA-N,vandetanib,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,133267,HGF,-9.635169,-7.4512053,78,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,219984,HGF,-8.337234,-7.488355,79,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
QDGZDCVAUDNJFG-FXQIFTODSA-N,entecavir,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,4423,HGF,-6.7826066,-7.500608,80,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
DUYJMQONPNNFPI-UHFFFAOYSA-N,osimertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,9160,HGF,-11.586867,-7.520451,81,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
JOLJIIDDOBNFHW-UHFFFAOYSA-N,xanomeline,CCCCCCOc1nsnc1C1=CCCN(C)C1,55602,HGF,-7.1677237,-7.539521,82,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XRVDGNKRPOAQTN-FQEVSTJZSA-N,ozanimod,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N,35347,HGF,-7.113532,-7.563271,83,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
FNKQXYHWGSIFBK-RPDRRWSUSA-N,sapropterin,C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1,172912,HGF,-6.9204454,-7.5635853,84,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,88387,HGF,-7.354065,-7.5902386,85,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
LIOLIMKSCNQPLV-UHFFFAOYSA-N,capmatinib,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,104355,HGF,-8.038543,-7.658447,86,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
QGJUIPDUBHWZPV-SGTAVMJGSA-N,saxagliptin,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,233037,HGF,-8.085211,-7.668013,87,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
NDCUAPJVLWFHHB-UHNVWZDZSA-N,avibactam,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,242043,HGF,-6.718851,-7.674169,88,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VSNHCAURESNICA-UHFFFAOYSA-N,hydroxyurea,NC(=O)NO,241697,HGF,-6.764292,-7.745256,89,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
HEVHTYMYEMEBPX-HZPDHXFCSA-N,taletrectinib,C[C@@H](N)COc1ccc(-c2cnc3ccc(N[C@H](C)c4cccc(F)c4)nn23)cc1,165580,HGF,-8.198859,-7.748192,90,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
PBAPPPCECJKMCM-IBGZPJMESA-N,mirabegron,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,256885,HGF,-7.423881,-7.7554216,91,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
GOTYRUGSSMKFNF-UHFFFAOYSA-N,lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,255736,HGF,-6.395283,-7.776579,92,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RZVAJINKPMORJF-UHFFFAOYSA-N,acetaminophen,CC(=O)Nc1ccc(O)cc1,17957,HGF,-6.96998,-7.7857385,93,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XQSPYNMVSIKCOC-NTSWFWBYSA-N,emtricitabine,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,256852,HGF,-6.68404,-7.7982297,94,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RYMZZMVNJRMUDD-HGQWONQESA-N,simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,50562,HGF,-8.233971,-7.848719,95,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
OZWKMVRBQXNZKK-UHFFFAOYSA-N,ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,288712,HGF,-6.981514,-7.849423,96,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VOBHXZCDAVEXEY-JSGCOSHPSA-N,lisdexamfetamine,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,165428,HGF,-7.348395,-7.8732815,97,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
PCHKPVIQAHNQLW-CQSZACIVSA-N,niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,243964,HGF,-7.6337814,-7.903591,98,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
GDLBFKVLRPITMI-UHFFFAOYSA-N,diazoxide,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,47546,HGF,-7.0395865,-7.9112377,99,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
OFCNXPDARWKPPY-UHFFFAOYSA-N,allopurinol,O=c1nc[nH]c2[nH]ncc12,302101,HGF,-7.1567616,-7.938342,100,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
BNRNXUUZRGQAQC-UHFFFAOYSA-N,sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,62138,HGF,-8.498318,-7.9499054,101,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,terbinafine,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,92960,HGF,-7.910089,-7.9889507,102,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
