tid,target_chembl_id,activity_id,assay_id,assay_chembl_id,assay_type,confidence_score,relationship_type,assay_description,assay_organism,assay_cell_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,data_validity_comment,potential_duplicate,molecule_chembl_id,molecule_name,molecule_type,max_phase,standard_inchi_key,canonical_smiles,document_year,pubmed_id,doi,normalized_smiles,evidence_category
11071,CHEMBL4076,839748,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,1.1,uM,,,,0,CHEMBL117154,,Small molecule,,LASBIWPGFBMFKW-UHFFFAOYSA-N,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCNCC1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCNCC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,841111,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.35,uM,,,,0,CHEMBL115584,,Small molecule,,JFENRDVPMSZMQD-UHFFFAOYSA-N,CN(C)CCCN1C(=O)N(C)c2ccc(Cl)cc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)N(C)c2ccc(Cl)cc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,843484,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,3.8,uM,,,,0,CHEMBL334287,,Small molecule,,GTOFKQKNYGAZDA-UHFFFAOYSA-N,CN(C)CCCN1C(=O)Nc2ccc(Cl)cc2C1c1ccco1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)Nc2ccc(Cl)cc2C1c1ccco1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,844789,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,>,10.0,uM,,,,0,CHEMBL117595,,Small molecule,,XRGDAJXCLSYGEN-UHFFFAOYSA-N,CCOCCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCOCCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,855046,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.58,uM,,,,0,CHEMBL326163,,Small molecule,,DJPZLMWKZXDXMS-UHFFFAOYSA-N,CCNCCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCNCCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,856168,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,>,10.0,uM,,,,0,CHEMBL117418,,Small molecule,,IHNWJAKZKSOBLF-UHFFFAOYSA-N,NCCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,NCCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,856169,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,3.6,uM,,,,0,CHEMBL545519,,Small molecule,,LGKHQILPYWZDKA-UHFFFAOYSA-N,Cl.O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(CCc2ccccc2)CC1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(CCc2ccccc2)CC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,857223,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.69,uM,,,,0,CHEMBL116130,,Small molecule,,SKZMNBGRJPKQSH-UHFFFAOYSA-N,CN(C)CCCN1C(=O)Nc2ccccc2C1c1cccs1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)Nc2ccccc2C1c1cccs1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,857224,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,1.9,uM,,,,0,CHEMBL116383,,Small molecule,,HVACNPZMKCTZCT-UHFFFAOYSA-N,CCN(CC)CCCCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCN(CC)CCCCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,858533,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,>,10.0,uM,,,,0,CHEMBL324038,,Small molecule,,OCGUFEHRUUSZMB-UHFFFAOYSA-N,CC(C)CCCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CC(C)CCCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,860728,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.069,uM,,,,0,CHEMBL117861,,Small molecule,,QULPELZNLMVPNT-UHFFFAOYSA-N,CCN(CC)CCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCN(CC)CCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,860730,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.053,uM,,,,0,CHEMBL545748,,Small molecule,,ZDUXHMCBWUXBBI-UHFFFAOYSA-N,CCN1CCC(N2C(=O)Nc3ccccc3C2c2ccccc2)CC1.Cl,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCN1CCC(N2C(=O)Nc3ccccc3C2c2ccccc2)CC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,861858,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.72,uM,,,,0,CHEMBL325855,,Small molecule,,UNPVLSPXRNLLHD-UHFFFAOYSA-N,CN(C)CCCN1C(=O)Nc2ccccc2C1c1ccccn1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)Nc2ccccc2C1c1ccccn1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,861859,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,>,10.0,uM,,,,0,CHEMBL115624,,Small molecule,,PMBKIMLJXDHSAH-UHFFFAOYSA-N,CCN(CC)C(=O)CN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCN(CC)C(=O)CN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,864336,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,>,10.0,uM,,,,0,CHEMBL539538,,Small molecule,,QXVFNSJGGGWQQD-UHFFFAOYSA-N,CN(C)CCCN1C(S)=Nc2ccccc2C1c1ccccc1.Cl,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(S)=Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,864337,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,5.3,uM,,,,0,CHEMBL420684,,Small molecule,,NKXIXJFADGYOFC-UHFFFAOYSA-N,CN(C)CCCN1C(=O)Nc2ccccc2C1C1CCCCC1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)Nc2ccccc2C1C1CCCCC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658100,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,300.0,nM,6.52,275761.0,,0,CHEMBL3657652,,Small molecule,,SRAPRHYRUBNVJU-UHFFFAOYSA-N,CCn1cc(CNC(=O)c2cnc(Oc3ccc4c(c3)CCC(c3ccccc3)O4)s2)cn1,2014,,,CCn1cc(CNC(=O)c2cnc(Oc3ccc4c(c3)CCC(c3ccccc3)O4)s2)cn1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658101,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,300.0,nM,6.52,275762.0,,0,CHEMBL3657653,,Small molecule,,FMETUUJKGDCDMN-UHFFFAOYSA-N,O=C(NCc1nnc2n1CCC2)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,2014,,,O=C(NCc1nnc2n1CCC2)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658102,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,400.0,nM,6.4,275763.0,,0,CHEMBL3657654,,Small molecule,,NBYMLKCMWNSWOA-UHFFFAOYSA-N,CCn1nccc1CNC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,2014,,,CCn1nccc1CNC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658103,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,300.0,nM,6.52,275764.0,,0,CHEMBL3657655,,Small molecule,,GLWZKXOGFVSLBK-UHFFFAOYSA-N,O=C(NCc1ccncc1)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,2014,,,O=C(NCc1ccncc1)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658104,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,400.0,nM,6.4,275765.0,,0,CHEMBL3657656,,Small molecule,,MZICQWSWZFRBTD-UHFFFAOYSA-N,Cn1nccc1CNC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,2014,,,Cn1nccc1CNC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658105,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,400.0,nM,6.4,275766.0,,0,CHEMBL3657657,,Small molecule,,KZBVEHVPUXEIQG-UHFFFAOYSA-N,CC(NC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1)c1ccncc1,2014,,,CC(NC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1)c1ccncc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658106,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,300.0,nM,6.52,275767.0,,0,CHEMBL3657658,,Small molecule,,DWQXHTGAKWJBLM-UHFFFAOYSA-N,Cc1ncsc1CCNC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,2014,,,Cc1ncsc1CCNC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,17658107,1528595,CHEMBL3705519,B,8,H,"Reverse Mode Assay: The assay is based on the monitoring of intracellular Ca2+concentrations using the calcium-sensitive dye Fluo-4. CHO cells expressing NCX1 were loaded with the dye by means of the acetoxymethyl ester Fluo-4 AM (Invitrogen, F14202), which is cleaved intracellularly by esterase activity to yield the charged species of free Fluo-4. After an preincubation period with the test compound, Gramicidine (Sigma, G5002) was added. Gramicidine is an ionophor for Na+ions mediating an increase of intracellular Na+ions. Consequently, intracellular Na+ions are exchanged against extracellular Ca2+ions (Ca2+influx, reverse mode). The intracellular elevation of Ca2+ ions was detected by measuring the fluorescence of Fluo-4 at a wavelength of 520 nm by a FLIPR device.Briefly, for the reverse mode transport assay 18000 cells per well were seeded into a 96 well microplate (Corning COSTAR 3904) and incubated overnight in culture medium (1x Nut Mix F12 (Ham) (Gibco, 21765-029); 10% (v/v) fetal calf serum.",,CHO,IC50,=,800.0,nM,6.1,275768.0,,0,CHEMBL3657659,,Small molecule,,ZEMMMDGDBJVBHG-UHFFFAOYSA-N,Cc1c(C(C)NC(=O)c2cnc(Oc3ccc4c(c3)CCC(c3ccccc3)O4)s2)cnn1C,2014,,,Cc1c(C(C)NC(=O)c2cnc(Oc3ccc4c(c3)CCC(c3ccccc3)O4)s2)cnn1C,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
