family,arm,variant,seed,panel,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,all_inactive,native,20260921,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.9405801870286302,0.9709469841715742,0.08243221980542988,0.9283268390601015,0.920285613952944,0.17779730521382542,0.4986560235573662,0.6698200792287536,120,1.0,1.399625424324008,598,1.0,1.399625424324008,1196,0.9949832775919732,1.3926038920949577
DTIAM,all_inactive,native,20260921,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.9611629661887829,0.9865073143815917,0.06424792571231377,0.9467002332154385,0.9405121752873122,0.1680872826457552,0.4986560235573662,0.7229874217353575,858,1.0,1.3150230923848834,4286,0.999066728884741,1.313795819316862,8571,0.9989499474973749,1.3136422490957147
DTIAM,all_inactive,native,20260921,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9179130355895602,0.9589554799184749,0.10780175586201744,0.8675338574898119,0.9087968952134541,0.2889467540630331,0.4986560235573662,0.6855385868827756,344,1.0,1.4802501078050885,1717,0.9988351776354106,1.4785258793743312,3433,0.9976696766676376,1.4768006464411383
DTIAM,all_inactive,native,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.9482476936624114,0.9770421589604085,0.08069229251636702,0.9130393641180924,0.9312807644049802,0.21163195332889823,0.4986560235573662,0.6944167578629895,1324,1.0,1.4191144140955934,6617,0.9990932446728125,1.4178276245407235,13234,0.9986398670092187,1.4171842297632888
DTIAM,all_inactive,native,20260921,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.20936050720126861,0.0,,0.30725889754906566,0.4986560235573662,0.37653843659282626,107,0.0,,533,0.0,,1065,0.0,
DTIAM,all_inactive,query,20260921,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.9381187940588777,0.9699093671890102,0.08463309712822643,0.9269330811066446,0.9177104061804987,0.18101933216168717,0.5048198190888741,0.6684159281810901,120,1.0,1.399625424324008,598,1.0,1.399625424324008,1196,0.9941471571906354,1.3914336367234494
DTIAM,all_inactive,query,20260921,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.9585498807767725,0.9854779344359927,0.06632580698016,0.9467675890308971,0.9365841682905498,0.16716185280794896,0.5048198190888741,0.7200802536209588,858,1.0,1.3150230923848834,4286,0.9995333644423705,1.3144094558508725,8571,0.9985999299964998,1.3131819679993253
DTIAM,all_inactive,query,20260921,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9188218759475415,0.9592627109453762,0.1070172619474552,0.8663475699558174,0.9131953428201811,0.2933465026488282,0.5048198190888741,0.6865616755528171,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9973783862510923,1.4763694637706446
DTIAM,all_inactive,query,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.9456682375548491,0.9758015054872058,0.08266951891962923,0.9112220762155059,0.929554204334631,0.2160841308019037,0.5048198190888741,0.6935619541668445,1324,1.0,1.4191144140955934,6617,0.9996977482242708,1.4186854842439702,13234,0.9982620522895572,1.4166480674487596
DTIAM,all_inactive,query,20260921,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.21823463425825018,0.0,,0.3182458446802517,0.5048198190888741,0.3871974196354797,107,0.0,,533,0.0,,1065,0.0,
